;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;7.0;2.0;-1.0;-2.0;-2.0;-1.0;33.0;2.0;3.0;3.0;4.0;-1.0;-1.0;-0.0;2.0;-0.0;-2.0;5.0;28.81;4.0;;;;;4.0;8.0;0.0;0.0;;-16.69;-23.06;-0.0;-24.69;;-21.77;-0.05;-0.05;33.0;;0.0;;0.0;1.0;0.0;0.0;1.0;;0.0;0.0;;;0.0;1.0;;1.0;;;;2.0;;;;1.0;1.0;;1.0;;0.0;-12.0;-1.0;11.0;3.0;-0.0;3.0;;-1.0;;;1.0;-1.0;-1.0;-0.0;-0.0;-1.0;0.0;-0.0;;;;;-0.0;;;;2.0;;0.0;0.0;;;0.21;-0.05;-0.05;;0.0;-0.03;33.0;-10.2;-0.7;;7.0;-23.1;;-1.0;;-21.8;-1.0;;-1.0;-28550.0;-38.1;145.6;100.0;
2013.0;12.0;3.0;-0.0;-1.0;-1.0;-1.0;43.0;4.0;6.0;4.0;4.0;2.0;-0.0;-1.0;4.0;2.0;-1.0;8.0;27.05;4.0;;;;;4.0;12.0;0.0;0.0;;-4.07;-6.44;-0.0;-7.39;;-5.34;-0.01;-0.01;43.0;;2.0;;2.0;1.0;0.0;1.0;2.0;;0.0;0.0;;;0.0;2.0;;2.0;;;;2.0;;;;1.0;1.0;;1.0;;0.0;-12.0;-1.0;16.0;7.0;-0.0;6.0;;-1.0;;;0.0;2.0;-0.0;0.0;0.0;1.0;-2.0;-1.0;;;;;-0.0;;;;4.0;;2.0;0.0;;;0.27;-0.01;-0.03;;0.03;0.06;43.0;-54.4;-3.2;;12.0;-6.4;;-1.0;;-5.3;1.0;;2.0;-14.8;-6.9;-25.5;100.0;
2014.0;17.0;5.0;0.0;-1.0;-1.0;-0.0;52.0;4.0;9.0;5.0;5.0;5.0;0.0;-3.0;1.0;-2.0;-3.0;12.0;30.53;6.0;;;;;6.0;18.0;;0.0;0.0;1.66;-3.97;-0.0;-4.2;;-1.65;-0.01;-0.01;52.0;;0.0;;0.0;3.0;;0.0;5.0;;0.0;0.0;;;0.0;5.0;;2.0;0.0;;1.0;2.0;0.0;;;;0.0;;;;0.0;-12.0;-1.0;18.0;10.0;-1.0;9.0;;-0.0;0.0;;1.0;-2.0;-2.0;;0.0;-1.0;1.0;-3.0;;;;-0.0;-0.0;2.0;;;0.0;;0.0;2.0;;;0.33;-0.01;-0.07;;0.07;0.09;52.0;-212.6;-11.7;;17.0;-4.0;0.0;-0.0;;-1.6;-1.0;0.0;5.0;-4.4;-2.1;-6.1;100.0;
2015.0;13.0;2.0;-2.0;-3.0;-3.0;-3.0;52.0;2.0;7.0;5.0;6.0;2.0;-0.0;-1.0;1.0;-0.0;-1.0;10.0;17.81;6.0;;6.0;6.0;;;16.0;;0.0;1.0;-16.44;-26.77;-0.0;-27.07;;-22.83;-0.05;-0.05;52.0;;0.0;;0.0;2.0;;1.0;4.0;0.0;1.0;1.0;;;0.0;5.0;;1.0;1.0;;0.0;2.0;1.0;0.0;;;1.0;;;;0.0;-15.0;-2.0;20.0;9.0;-1.0;7.0;;-3.0;1.0;;0.0;-1.0;2.0;;-0.0;-3.0;3.0;-1.0;;;;-0.0;-0.0;;;;1.0;;0.0;0.0;;;0.24;-0.06;-0.02;;0.02;0.05;52.0;-15.6;-0.8;;13.0;-26.8;1.0;-3.0;;-22.8;-3.0;1.0;2.0;-72.0;-31.5;-121.3;100.0;
2016.0;12.0;2.0;-3.0;-4.0;-5.0;-4.0;54.0;3.0;7.0;7.0;9.0;-0.0;-1.0;-0.0;1.0;-0.0;-1.0;10.0;18.51;5.0;;5.0;5.0;;;14.0;;;1.0;-26.55;-37.08;-0.0;-39.71;;-33.26;-0.07;-0.07;54.0;;0.0;;0.0;2.0;;1.0;3.0;0.0;0.0;1.0;;;0.0;4.0;;2.0;1.0;;1.0;4.0;2.0;0.0;;;2.0;;;;0.0;-19.0;-3.0;22.0;9.0;-2.0;7.0;;-4.0;1.0;;0.0;-1.0;-1.0;;1.0;-4.0;4.0;-0.0;;;;0.0;-1.0;0.0;;;1.0;;0.0;0.0;;;0.22;-0.07;-0.01;;0.0;-0.0;54.0;-8.9;-0.4;;12.0;-37.1;1.0;-4.0;;-33.3;-4.0;2.0;-0.0;-205.2;-44.6;2748.5;100.0;
2017.0;8.0;1.0;-1.0;-5.0;-6.0;-2.0;55.0;1.0;4.0;6.0;7.0;-1.0;-3.0;2.0;0.0;-0.0;-3.0;8.0;10.95;5.0;;5.0;5.0;;0.0;13.0;;1.0;;-9.17;-56.57;-1.0;-72.77;;-26.08;-0.04;-0.04;55.0;;0.0;;0.0;1.0;;0.0;1.0;0.0;0.0;1.0;;;1.0;2.0;;1.0;2.0;;1.0;2.0;1.0;0.0;;;1.0;;;;0.0;-21.0;-3.0;24.0;6.0;-3.0;4.0;;-2.0;;;0.0;-1.0;0.0;;-0.0;-5.0;0.0;-0.0;3.0;;;-1.0;-1.0;;;;2.0;;0.0;0.0;;;0.15;-0.04;-0.05;;0.0;-0.01;55.0;-16.1;-0.7;;8.0;-56.6;;-2.0;;-26.1;-5.0;1.0;-1.0;10586.3;-12.0;351.9;100.0;
2018.0;8.0;2.0;-1.0;-2.0;-3.0;-3.0;59.0;2.0;4.0;8.0;8.0;-2.0;-1.0;1.0;0.0;0.0;-1.0;6.0;24.86;4.0;;4.0;4.0;;;10.0;0.0;1.0;1.0;-11.35;-21.32;-1.0;-38.15;;-35.7;-0.05;-0.05;59.0;;0.0;;0.0;2.0;;0.0;1.0;0.0;0.0;1.0;;;0.0;2.0;;2.0;3.0;;1.0;2.0;0.0;0.0;;;0.0;;;0.0;0.0;-24.0;-3.0;26.0;6.0;-2.0;4.0;;-3.0;1.0;;0.0;-0.0;-0.0;;0.0;-5.0;1.0;-0.0;;;;1.0;-1.0;0.0;;;1.0;;0.0;0.0;;;0.14;-0.05;-0.02;;0.0;-0.03;59.0;-6.5;-0.3;;8.0;-21.3;1.0;-3.0;;-35.7;-5.0;0.0;-2.0;111.9;-23.8;161.8;100.0;
2019.0;4.0;2.0;-2.0;-1.0;-1.0;-3.0;62.0;2.0;3.0;9.0;9.0;-4.0;-2.0;0.0;2.0;0.0;-2.0;2.0;44.82;3.0;;3.0;3.0;;;5.0;;1.0;0.0;-38.07;-17.55;-0.0;-21.0;;-58.98;-0.04;-0.04;62.0;;0.0;;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;0.0;1.0;;1.0;4.0;;0.0;3.0;0.0;0.0;;0.0;1.0;;0.0;;0.0;-27.0;-3.0;26.0;5.0;-2.0;3.0;;-3.0;0.0;;0.0;-2.0;1.0;0.0;-0.0;-7.0;2.0;-0.0;;;;1.0;-0.0;;;;2.0;;0.0;0.0;;;0.07;-0.04;-0.03;;0.0;-0.07;62.0;-2.2;-0.1;;4.0;-17.5;0.0;-3.0;;-59.0;-7.0;0.0;-4.0;55.6;-39.0;59.7;100.0;
2020.0;3.0;1.0;-2.0;-2.0;-3.0;-3.0;64.0;1.0;2.0;11.0;11.0;-7.0;-2.0;0.0;1.0;-0.0;-2.0;2.0;25.64;5.0;;1.0;1.0;;4.0;7.0;;1.0;0.0;-58.02;-74.12;-1.0;-94.9;;-94.9;-0.04;-0.04;64.0;;0.0;;0.0;0.0;0.0;0.0;1.0;;0.0;0.0;;;;1.0;;1.0;1.0;1.0;0.0;9.0;1.0;;;;1.0;;0.0;;0.0;;;-7.0;4.0;-2.0;2.0;;-3.0;0.0;;0.0;-3.0;-0.0;-0.0;0.0;-10.0;4.0;-0.0;;;;0.0;-0.0;0.0;;;1.0;;0.0;0.0;;;0.05;-0.04;-0.03;;0.0;-0.1;64.0;-3.0;-0.1;;3.0;-74.1;0.0;-3.0;;-94.9;-10.0;1.0;-7.0;29.4;-43.2;41.5;100.0;
2021.0;3.0;1.0;1.0;-1.0;0.0;0.0;64.0;1.0;2.0;9.0;10.0;-6.0;-2.0;0.0;1.0;0.0;-2.0;2.0;35.3;2.0;;2.0;2.0;;;4.0;;1.0;0.0;34.54;-21.17;1.0;6.54;;9.46;0.01;0.01;64.0;;0.0;;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;0.0;1.0;;0.0;5.0;;1.0;2.0;2.0;;;;2.0;;0.0;;0.0;-29.0;;23.0;4.0;-2.0;2.0;;1.0;0.0;;0.0;0.0;-0.0;-0.0;0.0;0.0;-2.0;-0.0;;;;0.0;-0.0;;;;2.0;;0.0;0.0;;;0.05;0.01;-0.02;;0.0;-0.1;64.0;54.6;1.8;;3.0;-21.2;0.0;0.0;;9.5;-7.0;2.0;-6.0;-24.1;26.0;-5.2;100.0;
