;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;26.0;;25.0;;25.0;25.0;2.0;;113.0;;27.0;86.0;;;;;;;;1.0;;1.0;1.0;;;;;0.0;;97.44;;;96.77;;96.77;10.44;10.44;2.0;;0.0;;0.0;1.0;;;;;;;112.0;;;;113.0;0.0;;;;;10.0;;;;10.0;37.0;;;0.0;-54.0;;140.0;113.0;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;;10.85;10.49;;;;36.09;2.0;1.6;0.1;;26.0;;;25.0;;96.8;;10.0;86.0;22.3;22.3;29.1;;
2011.0;6.0;;6.0;;5.0;5.0;2.0;;114.0;;27.0;87.0;4.0;;-4.0;0.0;4.0;;;1.0;;1.0;1.0;;;;;0.0;;88.8;;;82.97;;82.97;2.2;2.2;2.0;;0.0;;0.0;1.0;;;;;;;113.0;;;;114.0;0.0;;;;;10.0;;;;10.0;37.0;;;0.0;-53.0;;140.0;114.0;;114.0;;5.0;;;;0.0;;;;;-2.0;;;;;;;;;-4.0;;;0.0;0.0;;;2.72;2.25;1.73;1.73;;36.62;2.0;7.2;0.4;10.7;6.0;;;5.0;;83.0;;10.0;87.0;5.0;5.0;6.2;23.2;100.0
2012.0;33.0;;33.0;;32.0;32.0;7.0;;227.0;;50.0;176.0;-32.0;;32.0;0.0;-32.0;;;1.0;;1.0;1.0;;-0.0;;;1.0;;99.97;;;98.12;;98.12;4.51;4.51;7.0;;0.0;;0.0;2.0;;;;;;;225.0;;;;227.0;0.0;;;;;50.0;;;;50.0;100.0;;17.0;0.0;-0.0;;160.0;227.0;;227.0;;32.0;;;;;;;;;-64.0;;;;;;-10.0;;;-8.0;50.0;;0.0;0.0;;;4.62;4.53;-4.42;1.18;;24.73;7.0;3.5;0.2;7.4;33.0;;;32.0;;98.1;;50.0;176.0;14.5;14.5;18.3;74.0;-26.7
2013.0;3.0;;2.0;;2.0;2.0;7.0;;229.0;;61.0;168.0;0.0;;-0.0;-0.0;0.0;;;1.0;;1.0;1.0;;0.0;;;1.0;;89.22;;;63.57;;63.57;0.2;0.2;7.0;;;;;3.0;;;;;;;227.0;;;;229.0;0.0;;;;;60.0;;;;60.0;121.0;;17.0;0.0;-0.0;;151.0;229.0;;229.0;;2.0;;;;;;;;;-1.0;;;;;;;;;-10.0;10.0;;;0.0;;;0.35;0.22;0.02;1.39;;22.84;7.0;83.7;4.9;7.4;3.0;;;2.0;;63.6;;60.0;168.0;1.0;1.0;1.0;-522.0;7248.7
2014.0;53.0;;52.0;;52.0;52.0;8.0;;270.0;;60.0;209.0;10.0;;-10.0;-10.0;10.0;;;1.0;;1.0;1.0;;0.0;;;1.0;;99.58;;;98.3;;98.3;6.73;6.73;8.0;;0.0;;0.0;2.0;;;;;;;268.0;;;;270.0;0.0;;;;;60.0;;;;60.0;120.0;;17.0;0.0;-0.0;;193.0;270.0;;270.0;;52.0;;;;;;;;;-41.0;;;;;;;;;-10.0;;;0.0;;;;6.88;6.76;1.35;1.35;;27.32;8.0;2.7;0.2;7.3;53.0;;;52.0;;98.3;;60.0;209.0;19.5;19.5;24.7;80.0;99.8
2015.0;-1.0;;-1.0;;-2.0;-2.0;8.0;;257.0;;60.0;197.0;10.0;;-10.0;-10.0;10.0;;;1.0;;1.0;1.0;;0.0;;;1.0;;116.97;;;172.66;;172.66;-0.32;-0.32;8.0;;;;;2.0;;;;;;;255.0;;;;257.0;0.0;;;;;60.0;;;;60.0;120.0;;17.0;0.0;-0.0;;180.0;257.0;;257.0;;-2.0;;;;;;;;;13.0;;;;;;;;;-10.0;;;;0.0;;;-0.16;-0.28;1.35;1.35;;25.51;8.0;-67.3;-3.4;7.1;-1.0;;;-2.0;;172.7;;60.0;197.0;-0.6;-0.6;-1.1;578.7;
2016.0;27.0;;27.0;;26.0;26.0;8.0;;273.0;;61.0;212.0;10.0;;-10.0;-10.0;10.0;;;1.0;;1.0;1.0;;0.0;;;1.0;;99.74;;;96.01;;96.01;3.33;3.33;8.0;;;;;2.0;;;;;;;271.0;;;;273.0;0.0;;;;;60.0;;;;60.0;121.0;;17.0;0.0;-0.0;;195.0;273.0;;273.0;;26.0;;;;;;;;;-15.0;;;;;;;;;-10.0;;;;;;;3.51;3.37;1.36;1.36;;27.72;8.0;5.7;0.3;7.1;27.0;;;26.0;;96.0;;60.0;212.0;9.8;9.8;12.2;59.6;100.0
2017.0;10.0;;10.0;;8.0;8.0;9.0;;344.0;;89.0;254.0;-62.0;;62.0;62.0;-62.0;;;2.0;;1.0;1.0;;0.0;;0.0;1.0;;97.81;;;83.6;;83.6;0.91;0.91;9.0;;;;;3.0;;;;;;;341.0;;;;344.0;1.0;;;;;88.0;;;;88.0;177.0;;17.0;0.0;-0.0;;237.0;344.0;;344.0;;8.0;;;;;;;;;-70.0;;;;;;;45.0;;-11.0;28.0;;;;;;1.15;0.96;-7.23;1.33;;29.71;9.0;21.0;0.9;6.6;10.0;;;8.0;;83.6;;88.0;254.0;2.8;2.8;3.2;-38.4;54.7
2018.0;-24.0;;-22.0;;-25.0;-25.0;10.0;;304.0;;89.0;215.0;14.0;;-14.0;-14.0;14.0;;;1.0;;1.0;1.0;;0.0;;0.0;3.0;;93.05;;;105.35;;105.35;-2.5;-2.5;10.0;;;;;3.0;;;;;;;301.0;;;;304.0;0.0;;;;;88.0;;;;88.0;177.0;;17.0;0.0;;;198.0;304.0;;304.0;;-25.0;;;;;;;;;39.0;;;;;;;;;-14.0;;;;;;;-2.32;-2.44;1.38;1.38;;21.1;10.0;-7.2;-0.3;7.9;-24.0;;;-25.0;;105.3;;88.0;215.0;-7.2;-7.2;-11.6;156.3;
2019.0;72.0;;74.0;;71.0;71.0;10.0;;361.0;;89.0;272.0;14.0;;-14.0;-14.0;14.0;;;1.0;;1.0;1.0;;;;0.0;3.0;;102.43;;;98.44;;98.44;6.89;6.89;10.0;;0.0;;0.0;3.0;;;;;;;358.0;;;;361.0;0.0;;;;;88.0;;;;88.0;177.0;;17.0;0.0;;;255.0;361.0;;361.0;;71.0;;;;;;;;;-57.0;;;;;;;;;-14.0;;;0.0;;;;7.06;6.95;1.38;1.38;;26.66;10.0;2.7;0.1;7.3;72.0;;;71.0;;98.4;;88.0;272.0;20.5;20.5;26.1;80.1;100.0
2020.0;-54.0;;-54.0;;-56.0;-56.0;10.0;;196.0;;3.0;193.0;210.0;;-111.0;99.0;210.0;;;1.0;;1.0;1.0;;;;1.0;1.0;;100.31;;;102.53;;102.53;-5.49;-5.49;10.0;;103.0;;103.0;0.0;;;;;;;92.0;;;;196.0;;;2.0;;;;;;;;3.0;;;0.0;;;193.0;196.0;;196.0;;-56.0;;;;;;;;;266.0;;;;;;-88.0;;-17.0;-7.0;;;104.0;5.0;;;-5.32;-5.46;20.62;0.66;;18.91;10.0;-2.2;-0.1;5.5;-54.0;;;-56.0;;102.5;;;193.0;-27.8;-27.8;-28.9;112.1;
2021.0;30.0;;26.0;26.0;25.0;25.0;10.0;600.0;600.0;342.0;342.0;258.0;1.0;-284.0;206.0;-77.0;1.0;;;5.0;;5.0;5.0;;;8.0;17.0;2.0;-2.0;84.55;84.6;-1.0;82.65;0.0;81.53;2.42;2.42;10.0;;26.0;;26.0;572.0;;2.0;;;;;;;;;;2.0;340.0;;;1.0;340.0;;;;340.0;;;;0.0;20.0;;238.0;600.0;;600.0;;25.0;-2.0;;1.0;-4.0;;;-2.0;;-19.0;;;-348.0;59.0;5.0;-38.0;;-0.0;-5.0;248.0;;26.0;104.0;;;2.96;2.42;0.08;0.45;;25.26;10.0;4.7;0.2;3.9;30.0;84.6;-2.0;25.0;1.4;81.5;258.0;340.0;258.0;10.4;4.5;9.6;81.4;587.4
