;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;120.0;61.0;13.0;10.0;3.0;3.0;3.0;18.0;157.0;10.0;96.0;61.0;10.0;-7.0;-3.0;-3.0;5.0;59.0;51.0;51.0;;41.0;41.0;;10.0;110.0;;;10.0;10.45;8.36;-7.0;2.26;0.0;2.17;0.11;0.11;3.0;;1.0;;1.0;7.0;9.0;1.0;98.0;;41.0;41.0;;;0.0;139.0;;2.0;2.0;;;6.0;85.0;;;0.0;85.0;;;;;;-13.0;74.0;157.0;;157.0;;3.0;10.0;;;-3.0;;-2.0;;8.0;1.0;-5.0;;;;-2.0;;56.0;-9.0;-28.0;-22.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;135.0;63.0;12.0;9.0;;2.0;5.0;14.0;148.0;11.0;96.0;52.0;19.0;-5.0;-14.0;-14.0;14.0;72.0;46.6;54.0;;43.0;43.0;;10.0;126.0;;;10.0;9.17;6.95;-0.0;;;1.48;0.37;0.37;5.0;;1.0;;1.0;6.0;7.0;1.0;95.0;;38.0;38.0;;;;133.0;;3.0;;;;8.0;85.0;;;0.0;85.0;;;;;;-19.0;71.0;148.0;;148.0;;2.0;10.0;;;-4.0;;2.0;;3.0;11.0;-5.0;;;;0.0;;;;-12.0;-3.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;112.0;62.0;11.0;7.0;;-1.0;6.0;18.0;180.0;18.0;122.0;57.0;9.0;-13.0;4.0;4.0;-6.0;50.0;55.68;55.0;;43.0;43.0;;12.0;104.0;;;12.0;9.49;6.54;-0.0;;;-0.9;-0.16;-0.16;6.0;;1.0;;1.0;5.0;11.0;1.0;110.0;;51.0;51.0;;;;162.0;;3.0;6.0;;;9.0;104.0;;;0.0;104.0;;;;;;-27.0;84.0;180.0;;180.0;;-1.0;12.0;;;-3.0;;-4.0;;;2.0;-15.0;;;;2.0;;16.0;;-13.0;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;224.0;92.0;-21.0;-29.0;-44.0;-30.0;11.0;87.0;539.0;106.0;389.0;150.0;11.0;-3.0;-4.0;3.0;-12.0;132.0;41.16;121.0;;98.0;98.0;;23.0;253.0;;;23.0;-9.55;-12.9;-16.0;-19.82;-15.0;-13.21;-2.53;-2.53;11.0;;5.0;;5.0;42.0;26.0;14.0;155.0;;292.0;292.0;;;6.0;452.0;;13.0;5.0;;;88.0;277.0;;;7.0;284.0;;;;;;-38.0;188.0;539.0;;539.0;;-30.0;23.0;-15.0;;-19.0;;-2.0;;-19.0;51.0;-22.0;;;;19.0;;136.0;-12.0;-20.0;-109.0;;5.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;745.0;243.0;37.0;31.0;2.0;1.0;18.0;127.0;619.0;165.0;480.0;139.0;20.0;-65.0;51.0;6.0;13.0;502.0;32.64;212.0;;177.0;177.0;;35.0;714.0;;;35.0;4.98;4.16;-29.0;0.25;0.0;0.18;0.07;0.07;18.0;;11.0;;11.0;67.0;34.0;15.0;171.0;;313.0;313.0;;;7.0;492.0;;28.0;41.0;;;96.0;310.0;;;5.0;315.0;;;;135.0;-2.0;-51.0;57.0;619.0;;619.0;;1.0;35.0;;;-19.0;;-6.0;;-38.0;3.0;-8.0;-60.0;;;2.0;;23.0;;-36.0;64.0;;11.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1086.0;315.0;41.0;29.0;-5.0;-5.0;22.0;185.0;899.0;229.0;701.0;198.0;63.0;-256.0;199.0;6.0;45.0;771.0;28.97;285.0;;236.0;236.0;;50.0;1057.0;;;45.0;3.81;2.69;-34.0;-0.48;1.0;-0.48;-0.23;-0.23;22.0;;17.0;;17.0;105.0;41.0;22.0;235.0;;471.0;471.0;;;7.0;714.0;;36.0;26.0;;;167.0;457.0;;;14.0;472.0;;;;210.0;-2.0;-67.0;58.0;899.0;;899.0;;-5.0;45.0;;;-6.0;;-4.0;;-44.0;29.0;-18.0;-239.0;;;1.0;;124.0;;-51.0;126.0;;17.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1025.0;363.0;48.0;26.0;-13.0;-11.0;29.0;222.0;944.0;289.0;712.0;232.0;65.0;-62.0;41.0;44.0;50.0;662.0;35.42;337.0;;278.0;278.0;;59.0;999.0;;;60.0;4.67;2.57;-39.0;-1.23;-1.0;-1.09;-0.38;-0.38;29.0;;61.0;;61.0;83.0;39.0;38.0;242.0;;473.0;473.0;;;7.0;722.0;;20.0;98.0;;31.0;140.0;397.0;;;26.0;422.0;;;;243.0;-11.0;-89.0;89.0;944.0;;944.0;;-11.0;60.0;;;-23.0;;3.0;;-67.0;39.0;-15.0;-49.0;;;2.0;;100.0;;;-59.0;;61.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1464.0;453.0;57.0;49.0;6.0;0.0;33.0;211.0;976.0;259.0;786.0;190.0;57.0;-101.0;-7.0;-51.0;39.0;1010.0;30.98;405.0;;;;;405.0;1415.0;;;55.0;3.9;3.32;-43.0;0.38;2.0;0.01;0.01;0.01;33.0;;10.0;;10.0;106.0;42.0;53.0;262.0;;481.0;481.0;;;22.0;765.0;;31.0;35.0;;32.0;161.0;499.0;;;28.0;527.0;;;;211.0;-18.0;-113.0;110.0;976.0;;976.0;;0.0;55.0;;;19.0;;-0.0;;-48.0;-18.0;-18.0;-84.0;;;2.0;;34.0;-9.0;-73.0;40.0;;10.0;61.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1454.0;458.0;57.0;45.0;-5.0;-6.0;35.0;234.0;961.0;262.0;791.0;170.0;66.0;-12.0;-48.0;6.0;56.0;996.0;31.49;413.0;;;;;413.0;1409.0;;;61.0;3.9;3.08;-50.0;-0.32;2.0;-0.4;-0.16;-0.17;35.0;;16.0;;16.0;103.0;48.0;67.0;248.0;;456.0;456.0;;;23.0;727.0;;36.0;32.0;;37.0;157.0;504.0;;;25.0;529.0;;;;167.0;13.0;-137.0;126.0;961.0;;961.0;;-6.0;61.0;;;19.0;;-9.0;;-28.0;-9.0;-9.0;-17.0;;;15.0;;35.0;;-80.0;-3.0;;16.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1259.0;276.0;13.0;-102.0;-178.0;-26.0;36.0;311.0;629.0;186.0;484.0;145.0;-66.0;467.0;-307.0;94.0;-69.0;984.0;21.89;377.0;;;;;377.0;1361.0;;;38.0;1.02;-8.08;-76.0;-14.15;1.0;-2.06;-0.72;-0.72;36.0;;99.0;;99.0;90.0;52.0;70.0;50.0;;249.0;249.0;;;19.0;318.0;;20.0;7.0;;37.0;122.0;267.0;;;31.0;299.0;;;;144.0;;-71.0;72.0;629.0;;629.0;;-26.0;38.0;;;154.0;;-18.0;;126.0;-232.0;-3.0;;;;471.0;;;;;-307.0;;99.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
