;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;24.0;19.0;-0.0;-2.0;-1.0;-1.0;66.0;;;;;;2.0;-3.0;0.0;-1.0;0.0;5.0;79.86;20.0;6.0;14.0;2.0;12.0;;25.0;0.0;;1.0;-1.96;-6.38;0.0;-5.2;;-5.2;-0.02;-0.02;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;1.0;;0.0;2.0;-1.0;;;2.0;;-2.0;-1.0;;;-0.0;;;;;0.0;0.0;18.0;18.0;;;0.36;-0.02;0.0;;0.03;;66.0;;;;24.0;-6.4;1.0;-1.0;;-5.2;;;;;;;100.0;
2013.0;50.0;37.0;-3.0;-4.0;-5.0;-5.0;67.0;88.0;96.0;10.0;10.0;85.0;1.0;-5.0;70.0;66.0;-3.0;14.0;73.11;41.0;14.0;27.0;4.0;23.0;;55.0;0.0;;2.0;-6.13;-8.5;-1.0;-9.63;;-9.63;-0.07;-0.07;67.0;;84.0;;84.0;3.0;;1.0;4.0;2.0;1.0;3.0;;;;8.0;;3.0;;;4.0;3.0;;0.0;;0.0;0.0;;0.0;87.0;3.0;-7.0;-2.0;4.0;96.0;;96.0;;-5.0;2.0;;1.0;3.0;-1.0;;;2.0;0.0;-5.0;-1.0;;;-1.0;;;;;70.0;-0.0;84.0;18.0;;;0.76;-0.07;-0.05;;0.07;1.28;67.0;;;;50.0;-8.5;2.0;-5.0;;-9.6;78.0;;85.0;-5.6;-5.0;-5.7;100.0;
2014.0;105.0;62.0;-18.0;-22.0;-22.0;-22.0;66.0;68.0;95.0;20.0;27.0;68.0;-1.0;-40.0;0.0;-42.0;-24.0;43.0;58.84;83.0;26.0;57.0;12.0;46.0;;127.0;0.0;;5.0;-16.8;-20.58;-1.0;-21.24;;-21.24;-0.34;-0.34;66.0;;42.0;18.0;60.0;7.0;;1.0;22.0;2.0;3.0;5.0;;;;27.0;;8.0;;;7.0;5.0;;0.0;;7.0;8.0;;8.0;87.0;4.0;-29.0;-3.0;9.0;95.0;;95.0;;-22.0;5.0;;4.0;12.0;-4.0;;;3.0;1.0;-23.0;;-20.0;2.0;-2.0;;;;;0.0;-1.0;42.0;84.0;;;1.59;-0.34;-0.36;;0.34;1.02;66.0;;;;105.0;-20.6;5.0;-22.0;;-21.2;49.0;;68.0;-29.6;-23.4;-32.9;100.0;
2015.0;205.0;111.0;-12.0;-18.0;-19.0;-19.0;62.0;202.0;244.0;37.0;48.0;195.0;16.0;-84.0;138.0;68.0;-5.0;94.0;54.12;129.0;40.0;89.0;19.0;70.0;;223.0;0.0;;7.0;-5.63;-8.65;-1.0;-9.16;;-9.16;-0.3;-0.3;62.0;;110.0;80.0;190.0;6.0;;6.0;33.0;2.0;6.0;8.0;;;;41.0;;18.0;;;13.0;6.0;;1.0;;10.0;11.0;;11.0;;231.0;-48.0;-9.0;21.0;244.0;;244.0;;-19.0;7.0;;8.0;17.0;1.0;;;6.0;2.0;-21.0;;-111.0;48.0;-5.0;;136.0;;;2.0;-2.0;110.0;42.0;;;3.33;-0.3;-0.09;;0.34;3.16;62.0;-102.4;-5.1;;205.0;-8.7;7.0;-19.0;;-9.2;165.0;;195.0;-9.1;-7.7;-9.6;100.0;
2016.0;389.0;209.0;-21.0;-37.0;-35.0;-35.0;84.0;423.0;491.0;67.0;80.0;410.0;14.0;-270.0;229.0;-26.0;-12.0;180.0;53.81;247.0;74.0;172.0;43.0;129.0;;426.0;2.0;;14.0;-5.49;-9.55;2.0;-9.08;;-9.08;-0.42;-0.42;84.0;;84.0;308.0;392.0;21.0;;9.0;46.0;16.0;6.0;22.0;;;;68.0;;34.0;;;20.0;12.0;;1.0;;13.0;14.0;;14.0;;468.0;-83.0;-2.0;27.0;491.0;;491.0;;-35.0;14.0;;23.0;13.0;-14.0;;;8.0;-1.0;-26.0;-14.0;-369.0;140.0;-3.0;;224.0;;;4.0;1.0;84.0;110.0;;;4.64;-0.42;-0.15;;0.31;4.89;84.0;-78.3;-3.5;;389.0;-9.5;14.0;-35.0;;-9.1;356.0;;410.0;-8.3;-7.2;-8.6;100.0;
2017.0;673.0;380.0;-17.0;-49.0;-40.0;-40.0;96.0;1026.0;1114.0;95.0;112.0;1001.0;8.0;-527.0;575.0;58.0;-16.0;293.0;56.48;429.0;136.0;293.0;68.0;226.0;;722.0;8.0;;23.0;-2.47;-7.3;9.0;-5.94;;-5.94;-0.42;-0.42;96.0;;142.0;796.0;938.0;69.0;;19.0;50.0;20.0;17.0;38.0;;;;88.0;;44.0;;;31.0;20.0;;1.0;1.0;15.0;18.0;;16.0;;1077.0;-123.0;3.0;44.0;1114.0;;1114.0;;-40.0;23.0;;49.0;-26.0;-51.0;;;11.0;1.0;-24.0;-16.0;-1129.0;642.0;-4.0;;560.0;;;15.0;2.0;142.0;84.0;;;7.03;-0.42;-0.17;;0.25;10.45;96.0;-207.0;-8.8;;673.0;-7.3;23.0;-40.0;;-5.9;931.0;;1001.0;-3.9;-3.6;-4.0;100.0;
2018.0;1073.0;596.0;-38.0;-92.0;-65.0;-65.0;106.0;2129.0;2255.0;139.0;164.0;2091.0;9.0;-811.0;1072.0;269.0;-32.0;477.0;55.56;688.0;231.0;458.0;107.0;350.0;;1165.0;29.0;;27.0;-3.49;-8.56;27.0;-6.01;;-6.01;-0.61;-0.61;106.0;;411.0;1559.0;1970.0;133.0;;26.0;62.0;38.0;26.0;64.0;;;;126.0;;61.0;;;39.0;38.0;;2.0;1.0;22.0;25.0;;25.0;;2216.0;-188.0;-12.0;75.0;2255.0;;2255.0;;-65.0;27.0;;96.0;-56.0;-83.0;;;9.0;7.0;-42.0;-19.0;-2448.0;1698.0;-14.0;;1042.0;;;30.0;-2.0;411.0;142.0;;;10.16;-0.61;-0.3;;0.39;19.79;106.0;-227.4;-9.1;;1073.0;-8.6;27.0;-65.0;;-6.0;1990.0;;2091.0;-3.1;-2.9;-3.1;100.0;
2019.0;1578.0;866.0;-60.0;-141.0;-96.0;-125.0;113.0;2745.0;3489.0;316.0;474.0;3016.0;71.0;-569.0;736.0;239.0;8.0;713.0;54.85;1007.0;355.0;652.0;179.0;473.0;;1719.0;48.0;;36.0;-3.81;-8.94;45.0;-6.07;29.0;-7.91;-1.1;-1.1;113.0;;650.0;1805.0;2455.0;241.0;;49.0;246.0;312.0;167.0;479.0;;19.0;;745.0;;91.0;;;57.0;169.0;;6.0;9.0;143.0;157.0;;152.0;;3256.0;-304.0;1.0;63.0;3489.0;;3489.0;;-125.0;36.0;-38.0;158.0;20.0;-130.0;;;78.0;19.0;-62.0;-266.0;-2719.0;2477.0;-5.0;;688.0;;;48.0;2.0;650.0;411.0;;;13.96;-1.1;0.07;;0.55;26.68;113.0;-250.6;-10.4;;1578.0;-8.9;36.0;-125.0;-30.3;-7.9;2428.0;;3016.0;-3.9;-2.7;-4.1;100.0;
2020.0;2929.0;1542.0;320.0;90.0;240.0;320.0;123.0;6878.0;7763.0;438.0;1362.0;6401.0;425.0;-1932.0;3557.0;2054.0;383.0;1388.0;52.62;1451.0;552.0;899.0;297.0;602.0;;2839.0;23.0;9.0;70.0;10.91;3.08;150.0;8.2;-79.0;10.91;2.67;2.59;120.0;;2704.0;3684.0;6388.0;422.0;;68.0;211.0;312.0;136.0;448.0;173.0;53.0;;885.0;;169.0;;;108.0;162.0;758.0;21.0;;145.0;924.0;;155.0;;6115.0;15.0;9.0;261.0;7763.0;;7763.0;;320.0;70.0;-42.0;247.0;-100.0;-142.0;;;-66.0;-69.0;-42.0;;-5600.0;3721.0;-11.0;;2579.0;;;979.0;3.0;2704.0;650.0;;;24.5;2.67;3.2;;0.35;53.53;120.0;299.0;7.9;;2929.0;3.1;70.0;320.0;-32.9;10.9;6439.0;758.0;6401.0;4.5;3.2;5.0;100.0;-673.3
2021.0;4612.0;2481.0;3208.0;269.0;3141.0;2915.0;120.0;8539.0;13340.0;703.0;2207.0;11133.0;504.0;-2348.0;1650.0;-201.0;454.0;2131.0;53.8;2213.0;854.0;1276.0;375.0;902.0;82.0;4343.0;15.0;1.0;66.0;69.56;5.83;2872.0;68.1;226.0;63.2;24.38;24.38;120.0;;2503.0;5265.0;7768.0;668.0;;103.0;302.0;357.0;138.0;495.0;3750.0;48.0;206.0;4801.0;;284.0;16.0;80.0;217.0;186.0;1158.0;163.0;183.0;;1504.0;;263.0;;8040.0;2938.0;-6.0;161.0;13340.0;;13340.0;;2915.0;66.0;191.0;331.0;-161.0;-72.0;;;89.0;-2837.0;-51.0;-710.0;-7337.0;5750.0;;;1541.0;;;109.0;-7.0;2503.0;2704.0;;;38.57;24.38;3.79;;0.42;93.11;120.0;55.6;1.9;;4612.0;5.8;66.0;2915.0;7.2;63.2;7837.0;1158.0;11133.0;23.1;23.6;26.2;100.0;-339.7
