;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;47.0;33.0;17.0;15.0;14.0;11.0;47.0;29.0;42.0;15.0;21.0;21.0;12.0;-14.0;7.0;5.0;2.0;14.0;71.0;19.0;8.0;;;;10.0;32.0;;;3.0;37.1;31.34;-0.0;30.49;3.0;23.45;0.73;0.25;47.0;;8.0;7.0;15.0;10.0;3.0;2.0;12.0;;;;;;0.0;13.0;;7.0;;;;8.0;6.0;;;0.0;6.0;;;;;6.0;-3.0;18.0;42.0;;42.0;;11.0;3.0;;;-2.0;;-2.0;;14.0;0.0;-10.0;;-9.0;6.0;;;1.0;;;6.0;;8.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;103.0;68.0;40.0;23.0;26.0;14.0;49.0;120.0;185.0;17.0;22.0;163.0;23.0;-69.0;90.0;44.0;7.0;36.0;65.47;44.0;19.0;21.0;21.0;;4.0;80.0;;;14.0;38.44;22.66;2.0;25.02;12.0;13.58;0.37;0.29;38.0;;52.0;45.0;96.0;14.0;7.0;3.0;23.0;38.0;2.0;40.0;;;2.0;65.0;;9.0;;;;8.0;3.0;;;2.0;5.0;;;;;20.0;-42.0;185.0;185.0;-0.0;185.0;;14.0;14.0;-0.0;;89.0;;-4.0;;103.0;-94.0;-16.0;-14.0;-63.0;26.0;-1.0;;93.0;-0.0;;-3.0;;52.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;74.0;42.0;-30.0;-51.0;-48.0;-46.0;46.0;122.0;145.0;16.0;20.0;125.0;12.0;19.0;0.0;30.0;6.0;32.0;56.95;93.0;29.0;25.0;25.0;;39.0;125.0;;;18.0;-40.79;-69.16;3.0;-65.32;-3.0;-61.54;-0.99;-0.99;46.0;;82.0;19.0;101.0;11.0;5.0;6.0;20.0;;0.0;0.0;;;2.0;23.0;;7.0;;;;9.0;1.0;;;2.0;4.0;;;;;-26.0;-37.0;188.0;145.0;;145.0;;-46.0;18.0;-0.0;;3.0;;2.0;;107.0;36.0;-5.0;;-59.0;84.0;-1.0;;2.0;;;-2.0;;82.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;182.0;102.0;49.0;31.0;31.0;21.0;51.0;163.0;197.0;40.0;41.0;156.0;39.0;-46.0;-1.0;-8.0;18.0;80.0;56.1;71.0;32.0;39.0;39.0;;;151.0;;;18.0;26.86;17.05;0.0;17.2;11.0;11.37;0.44;0.41;47.0;;74.0;41.0;115.0;28.0;13.0;7.0;30.0;0.0;0.0;1.0;;;4.0;34.0;;13.0;;;;27.0;;;;1.0;1.0;;;;;-5.0;-26.0;187.0;197.0;0.0;197.0;;21.0;18.0;;;16.0;;-8.0;;122.0;-15.0;-21.0;;-77.0;55.0;-3.0;;3.0;-0.0;;-4.0;;74.0;82.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;325.0;163.0;90.0;65.0;66.0;45.0;52.0;284.0;378.0;81.0;91.0;287.0;72.0;-11.0;17.0;77.0;60.0;162.0;50.11;98.0;52.0;44.0;44.0;;2.0;260.0;;;24.0;27.78;20.11;1.0;20.35;22.0;13.74;0.92;0.86;49.0;;58.0;132.0;190.0;48.0;34.0;11.0;34.0;39.0;15.0;53.0;;;7.0;95.0;;46.0;;13.0;6.0;30.0;;;;10.0;10.0;;;;0.0;40.0;-19.0;266.0;378.0;-0.0;378.0;;45.0;24.0;1.0;;80.0;;-19.0;;203.0;-78.0;-11.0;;-81.0;83.0;-2.0;;17.0;-0.0;;0.0;;151.0;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;426.0;232.0;86.0;58.0;66.0;48.0;55.0;477.0;613.0;108.0;115.0;498.0;104.0;83.0;20.0;207.0;84.0;194.0;54.45;174.0;101.0;73.0;73.0;;;368.0;;;21.0;20.24;13.63;8.0;15.42;18.0;11.16;0.89;0.86;53.0;;255.0;108.0;364.0;69.0;23.0;21.0;33.0;;78.0;78.0;;;26.0;136.0;;44.0;;;34.0;30.0;;;;7.0;7.0;;;;0.0;164.0;-40.0;374.0;613.0;;613.0;;48.0;21.0;-4.0;;75.0;;15.0;;369.0;-35.0;-20.0;-0.0;-181.0;301.0;-17.0;;20.0;;;;;255.0;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;288.0;188.0;57.0;29.0;20.0;31.0;57.0;504.0;687.0;102.0;118.0;569.0;83.0;-110.0;-5.0;-32.0;54.0;101.0;65.06;181.0;90.0;89.0;89.0;;3.0;282.0;;;21.0;19.68;10.1;-9.0;6.84;4.0;10.83;0.56;0.54;55.0;;68.0;318.0;386.0;37.0;22.0;59.0;34.0;66.0;20.0;86.0;;;63.0;183.0;;26.0;;;13.0;62.0;;;;17.0;17.0;;;;0.0;195.0;-48.0;422.0;687.0;0.0;687.0;;31.0;21.0;-7.0;;33.0;;-17.0;;402.0;5.0;-30.0;-21.0;-405.0;350.0;-4.0;;38.0;-50.0;;7.0;;68.0;101.0;;;5.21;0.56;0.97;;0.54;10.28;55.0;70.5;3.9;;288.0;10.1;21.0;31.0;21.8;10.8;402.0;;569.0;4.7;5.2;5.5;100.0;22.2
2007.0;338.0;207.0;228.0;23.0;47.0;205.0;56.0;693.0;840.0;93.0;137.0;704.0;55.0;255.0;-114.0;196.0;49.0;130.0;61.42;184.0;89.0;95.0;95.0;;0.0;314.0;;;16.0;67.46;6.84;23.0;13.78;7.0;60.68;3.74;3.64;55.0;;264.0;309.0;573.0;51.0;29.0;40.0;28.0;73.0;18.0;91.0;;;28.0;148.0;;33.0;;;6.0;54.0;;;;43.0;43.0;;;;0.0;400.0;-54.0;357.0;840.0;-0.0;840.0;;205.0;16.0;-0.0;;197.0;;-6.0;;599.0;-363.0;-5.0;-9.0;-556.0;565.0;260.0;;22.0;-164.0;;28.0;;264.0;68.0;;;6.16;3.74;0.9;;0.1;12.83;55.0;9.5;0.5;;338.0;6.8;16.0;205.0;14.6;60.7;599.0;;704.0;24.2;25.2;29.1;100.0;287.4
2008.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.64;0.68;2.23;;0.26;10.44;48.0;52.5;0.7;;416.0;10.5;19.0;33.0;38.0;7.9;290.0;;502.0;6.0;8.5;6.5;100.0;263.0
