;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;0.0;;6.0;;2.0;1.0;3.0;;113.0;101.0;102.0;11.0;2.0;-10.0;9.0;0.0;0.0;;;;;2.0;2.0;;;;9.0;4.0;0.0;1429.3;;;460.8;1.0;304.19;0.4;0.4;3.0;;4.0;;4.0;1.0;;;3.0;;;;;;;;113.0;;;;;101.0;1.0;;;0.0;1.0;;;;1.0;10.0;;1.0;113.0;;113.0;;1.0;0.0;0.0;;1.0;;;;;-1.0;-1.0;;-14.0;8.0;-3.0;-2.0;;;-0.0;11.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1.0;;7.0;;2.0;1.0;3.0;;122.0;106.0;110.0;12.0;2.0;-8.0;8.0;1.0;1.0;;;;;2.0;2.0;;;;10.0;5.0;0.0;1289.01;;;386.75;1.0;270.14;0.45;0.45;3.0;;4.0;;4.0;1.0;;;3.0;;;;;;;;122.0;;4.0;;;102.0;4.0;;;-0.0;4.0;7.0;;;1.0;11.0;;1.0;122.0;;122.0;;1.0;0.0;-0.0;;1.0;;;;;-1.0;-0.0;;-10.0;13.0;-11.0;-0.0;;;-0.0;8.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1.0;;8.0;;2.0;2.0;3.0;;141.0;123.0;126.0;15.0;2.0;-19.0;17.0;1.0;2.0;;;;;2.0;2.0;;;;11.0;5.0;0.0;1155.69;;;325.37;1.0;223.64;0.44;0.44;3.0;;4.0;;4.0;1.0;;;3.0;;;;;;;;141.0;;7.0;;;116.0;10.0;;;-8.0;3.0;;;;1.0;12.0;;2.0;141.0;;141.0;;2.0;0.0;0.0;;1.0;;;;;0.0;-0.0;;-13.0;10.0;-15.0;-1.0;;;-0.0;18.0;;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1.0;;10.0;;3.0;2.0;5.0;;193.0;235.0;169.0;24.0;2.0;-12.0;9.0;0.0;2.0;;;;;2.0;2.0;;;;14.0;7.0;0.0;1145.83;;;307.12;1.0;197.17;0.36;0.36;5.0;;4.0;;4.0;1.0;;;5.0;;;;;;;;193.0;;5.0;;;230.0;16.0;;;0.0;17.0;;;;2.0;13.0;;10.0;193.0;;193.0;;2.0;0.0;0.0;;1.0;;;;;-1.0;-1.0;;-7.0;14.0;-17.0;-4.0;8.0;-0.0;-1.0;6.0;;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;14.0;;18.0;;5.0;3.0;8.0;373.0;386.0;333.0;351.0;35.0;4.0;-52.0;50.0;2.0;2.0;;;;;4.0;4.0;;;;25.0;12.0;1.0;129.47;;;33.67;2.0;22.21;0.39;0.39;8.0;;13.0;;13.0;2.0;;358.0;9.0;;;4.0;;;;13.0;;;32.0;;;300.0;18.0;;;-0.0;18.0;;;;2.0;25.0;;8.0;386.0;;386.0;;3.0;1.0;0.0;;-1.0;;;;;1.0;-2.0;35.0;-77.0;31.0;-41.0;-3.0;;;-1.0;54.0;;7.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;15.0;;24.0;;5.0;3.0;8.0;465.0;481.0;360.0;441.0;40.0;4.0;-98.0;94.0;0.0;-1.0;;;;;5.0;5.0;;;;32.0;18.0;1.0;157.2;;;31.5;2.0;21.36;0.42;0.42;8.0;;8.0;;8.0;4.0;;454.0;12.0;;;4.0;;;;16.0;;;9.0;;;351.0;81.0;;;0.0;81.0;;;;2.0;27.0;;11.0;481.0;;481.0;;3.0;1.0;-0.0;;-1.0;;;;;0.0;-4.0;-1.0;-76.0;21.0;-42.0;-7.0;;;-1.0;102.0;;7.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;19.0;;29.0;;8.0;5.0;8.0;575.0;592.0;424.0;547.0;44.0;7.0;-108.0;106.0;5.0;5.0;;;;;6.0;6.0;;;;38.0;20.0;1.0;150.61;;;40.04;2.0;27.3;0.69;0.69;8.0;;14.0;;14.0;4.0;;558.0;13.0;;;3.0;;;;16.0;;;24.0;;;400.0;123.0;;;-0.0;123.0;;;;4.0;31.0;;9.0;592.0;;592.0;;5.0;1.0;-0.0;;1.0;;;;;1.0;-2.0;;-154.0;123.0;-77.0;-0.0;;;-1.0;107.0;;12.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;24.0;;30.0;;10.0;7.0;8.0;445.0;672.0;20.0;620.0;52.0;9.0;-80.0;71.0;-0.0;8.0;;;;;7.0;7.0;;;;41.0;19.0;2.0;127.78;;;41.91;3.0;30.42;0.94;0.94;8.0;;14.0;;14.0;4.0;;427.0;11.0;;;3.0;213.0;;;227.0;899.0;;20.0;;;;137.0;;;;137.0;737.0;;;4.0;37.0;3.0;8.0;672.0;;672.0;;7.0;2.0;-1.0;;-1.0;;;;;2.0;-1.0;;-97.0;92.0;-76.0;-16.0;;;-1.0;89.0;;11.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;30.0;;32.0;;12.0;8.0;8.0;535.0;791.0;50.0;734.0;57.0;6.0;-116.0;112.0;3.0;-2.0;;;;;10.0;9.0;1.0;;;41.0;18.0;3.0;107.8;;;39.7;4.0;27.81;1.07;1.06;8.0;;18.0;;18.0;4.0;;514.0;18.0;;;3.0;235.0;;;256.0;1048.0;;50.0;;;;168.0;;;;168.0;853.0;;;9.0;43.0;2.0;3.0;791.0;;791.0;;8.0;3.0;-0.0;;1.0;;;;;-5.0;-8.0;;-161.0;138.0;-92.0;-6.0;;;-2.0;120.0;;14.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;55.0;;36.0;;15.0;11.0;8.0;654.0;889.0;121.0;824.0;66.0;7.0;-89.0;88.0;5.0;2.0;;;;;23.0;18.0;5.0;;;46.0;18.0;3.0;64.84;;;27.6;5.0;19.28;1.38;1.36;8.0;;22.0;;22.0;4.0;;628.0;21.0;;;3.0;211.0;;;236.0;1125.0;;121.0;;;;172.0;;;;172.0;875.0;;1.0;18.0;47.0;-0.0;-1.0;889.0;;889.0;;11.0;3.0;-0.0;;1.0;;;;;-7.0;-4.0;-1.0;-87.0;108.0;-109.0;-26.0;;;-2.0;116.0;;19.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;60.0;;44.0;;16.0;11.0;8.0;859.0;1110.0;182.0;1036.0;74.0;13.0;-218.0;208.0;3.0;9.0;;;;;25.0;20.0;5.0;;;57.0;27.0;2.0;73.96;;;26.73;5.0;18.84;1.44;1.43;8.0;;24.0;;24.0;5.0;;830.0;23.0;;;3.0;224.0;;;250.0;1360.0;;182.0;;;;171.0;;;;171.0;1024.0;;;19.0;56.0;-1.0;;1110.0;;1110.0;;11.0;2.0;-1.0;;-0.0;;;;;2.0;-4.0;;-80.0;60.0;-198.0;-42.0;;;-2.0;252.0;;23.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;40.0;;60.0;;16.0;8.0;8.0;961.0;1235.0;60.0;1155.0;80.0;22.0;-146.0;113.0;-11.0;20.0;;;;;12.0;12.0;0.0;;;80.0;45.0;2.0;152.39;;;40.69;5.0;20.9;1.06;1.05;8.0;;12.0;;12.0;6.0;;943.0;22.0;;;3.0;248.0;;;274.0;1508.0;;60.0;;;;194.0;;;;194.0;1288.0;;;18.0;62.0;-0.0;;1235.0;;1235.0;;8.0;2.0;-2.0;;16.0;;;;;-3.0;-1.0;;-81.0;61.0;-126.0;-40.0;;;-2.0;156.0;;12.0;23.0;;;5.07;1.06;2.63;0.29;0.19;10.24;8.0;19.4;1.1;1.4;40.0;;2.0;8.0;31.2;20.9;901.0;194.0;80.0;3.4;4.7;10.4;72.5;11.1
