;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2004.0;0.0;;-0.0;-0.0;-0.0;-0.0;19.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;0.0;;0.0;;0.0;0.0;;;0.0;0.0;;;-2300.0;-2400.0;0.0;-2300.0;;-2300.0;-0.0;-0.0;19.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;;;;;0.0;0.0;;;;;;;0.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;0.0;0.0;-0.0;-1.0;-0.0;-0.0;23.0;27.0;27.0;0.0;0.0;27.0;0.0;-26.0;26.0;-26.0;0.0;0.0;20.35;1.0;1.0;0.0;0.0;;;1.0;0.0;;0.0;-57.52;-252.21;0.0;-61.95;-0.0;-40.71;-0.0;-0.0;23.0;;27.0;;27.0;;;0.0;0.0;;0.0;0.0;;27.0;-27.0;0.0;;0.0;;;;0.0;;;;;;;;;6.0;-0.0;-0.0;21.0;27.0;-0.0;27.0;;-0.0;0.0;;;26.0;;;;26.0;-26.0;-0.0;;;;-26.0;;26.0;;;;;1.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1.0;1.0;-2.0;-3.0;-2.0;-2.0;31.0;24.0;26.0;1.0;2.0;23.0;-2.0;1.0;1.0;-20.0;-4.0;0.0;56.12;4.0;2.0;2.0;2.0;;0.0;4.0;1.0;;0.0;-203.77;-338.98;1.0;-229.19;-0.0;-200.0;-0.06;-0.06;31.0;;2.0;21.0;23.0;;0.0;1.0;2.0;;0.0;0.0;;2.0;-2.0;2.0;;1.0;0.0;;;0.0;1.0;;;;1.0;;;;6.0;-2.0;-0.0;20.0;26.0;;26.0;;-2.0;0.0;;0.0;-4.0;;-0.0;;22.0;4.0;-2.0;;;;4.0;;;;;1.0;;1.0;21.0;;;0.03;-0.06;-0.13;;0.08;0.75;31.0;;;;1.0;-339.0;0.0;-2.0;12.7;-200.0;22.0;1.0;23.0;-7.7;-8.4;-8.1;100.0;
2007.0;2.0;1.0;-6.0;-9.0;-7.0;-6.0;37.0;38.0;46.0;3.0;6.0;40.0;-6.0;-2.0;19.0;11.0;-9.0;1.0;70.6;10.0;6.0;2.0;1.0;1.0;2.0;11.0;2.0;0.0;1.0;-302.42;-423.79;2.0;-339.36;-1.0;-292.07;-0.16;-0.16;37.0;;36.0;;36.0;;0.0;2.0;5.0;;3.0;3.0;;36.0;-36.0;8.0;;2.0;0.0;;;0.0;1.0;;;2.0;3.0;;;;7.0;-8.0;-1.0;42.0;46.0;;46.0;;-6.0;1.0;;1.0;13.0;;-0.0;;36.0;-15.0;-3.0;-1.0;;;2.0;-0.0;20.0;;;0.0;;36.0;25.0;;;0.05;-0.16;-0.25;;0.09;1.08;37.0;;;;2.0;-423.8;1.0;-6.0;13.9;-292.1;36.0;1.0;40.0;-13.6;-14.8;-14.8;100.0;
2008.0;6.0;3.0;-19.0;-23.0;-22.0;-20.0;51.0;25.0;69.0;7.0;15.0;54.0;-16.0;-2.0;1.0;-16.0;-20.0;3.0;46.44;25.0;15.0;7.0;5.0;2.0;3.0;29.0;2.0;0.0;3.0;-308.42;-388.45;1.0;-364.13;-2.0;-334.06;-0.42;-0.42;51.0;;20.0;;20.0;;1.0;5.0;8.0;19.0;16.0;36.0;;20.0;-20.0;44.0;;4.0;0.0;;;3.0;2.0;;4.0;2.0;9.0;;;;13.0;-28.0;-2.0;72.0;69.0;;69.0;;-20.0;3.0;;1.0;-17.0;;-0.0;;19.0;17.0;-4.0;1.0;;;2.0;-0.0;0.0;;;1.0;;20.0;36.0;;;0.12;-0.4;-0.39;;0.08;1.06;51.0;;;;6.0;-388.4;3.0;-20.0;8.3;-334.1;19.0;2.0;54.0;-32.0;-31.5;-37.2;100.0;
2009.0;0.0;0.0;-32.0;-19.0;-19.0;-32.0;53.0;8.0;20.0;3.0;8.0;12.0;-15.0;-1.0;5.0;-11.0;-16.0;0.0;97.84;15.0;7.0;5.0;4.0;1.0;3.0;15.0;0.0;0.0;3.0;-11983.24;-7198.92;0.0;-7081.08;-3.0;-12109.73;-0.6;-0.6;53.0;;4.0;;4.0;;1.0;3.0;5.0;;7.0;7.0;;4.0;-4.0;12.0;;1.0;0.0;;;2.0;2.0;;1.0;2.0;5.0;;;;8.0;-53.0;-3.0;60.0;20.0;;20.0;;-32.0;3.0;;0.0;-13.0;;-0.0;;5.0;28.0;-2.0;;;;0.0;-0.0;6.0;;;-0.0;;4.0;15.0;;;0.0;-0.6;-0.31;;0.03;0.23;53.0;;;;0.0;-7198.9;3.0;-32.0;13.3;-12109.7;5.0;2.0;12.0;-172.7;-172.6;-261.9;100.0;
2010.0;0.0;;-5.0;-9.0;-9.0;-9.0;166.0;11.0;18.0;2.0;5.0;13.0;-3.0;-0.0;8.0;5.0;-3.0;;;11.0;4.0;4.0;4.0;0.0;3.0;11.0;0.0;0.0;4.0;-1775.66;-3047.62;-0.0;-3078.84;-1.0;-2867.2;-0.13;-0.13;166.0;;10.0;;10.0;;;1.0;1.0;;7.0;7.0;;10.0;-10.0;8.0;;0.0;;;;2.0;;;2.0;2.0;3.0;;;;11.0;-44.0;-5.0;51.0;18.0;0.0;18.0;;-9.0;4.0;;-0.0;4.0;;0.0;;9.0;-1.0;-0.0;;;;0.0;-0.0;9.0;;;-1.0;;10.0;4.0;;;0.0;-0.05;-0.02;;0.0;0.08;166.0;;;;0.0;-3047.6;4.0;-9.0;6.4;-2867.2;9.0;;13.0;-51.5;-49.8;-65.5;100.0;
2011.0;1.0;;-9.0;-9.0;-9.0;-7.0;168.0;6.0;8.0;2.0;2.0;6.0;-4.0;-0.0;0.0;-4.0;-5.0;;;-4.0;4.0;3.0;3.0;;-10.0;11.0;0.0;0.0;1.0;-715.99;-777.06;0.0;-775.36;-2.0;-614.68;-0.04;-0.04;168.0;;5.0;;5.0;;;1.0;0.0;;2.0;2.0;;5.0;-5.0;2.0;;1.0;;;;1.0;;;;0.0;0.0;;;;11.0;-51.0;-2.0;47.0;8.0;-0.0;8.0;;-7.0;1.0;;0.0;-5.0;;;;4.0;7.0;-0.0;;;;0.0;;0.0;;;-0.0;;5.0;10.0;;;0.01;-0.04;-0.03;;0.0;0.03;168.0;;;;1.0;-777.1;1.0;-7.0;20.7;-614.7;4.0;;6.0;-120.7;-116.1;-127.5;100.0;
2012.0;3.0;;-4.0;-5.0;-5.0;-4.0;187.0;4.0;6.0;2.0;2.0;4.0;-4.0;-0.0;2.0;-2.0;-4.0;;;7.0;5.0;2.0;2.0;;0.0;7.0;0.0;0.0;0.0;-159.04;-170.08;0.0;-169.86;-0.0;-152.63;-0.02;-0.02;187.0;;3.0;;3.0;;;1.0;0.0;;2.0;2.0;;3.0;-3.0;2.0;;1.0;;;;1.0;;;;0.0;0.0;1.0;;;11.0;-55.0;-2.0;49.0;6.0;0.0;6.0;;-4.0;0.0;;0.0;-2.0;;;;2.0;2.0;-0.0;;;;0.0;;2.0;;;-0.0;;3.0;5.0;;;0.01;-0.02;-0.02;;0.0;0.02;187.0;;;;3.0;-170.1;0.0;-4.0;10.1;-152.6;2.0;;4.0;-103.1;-76.9;-112.0;100.0;
2013.0;3.0;3.0;-7.0;-7.0;-7.0;-7.0;4.0;7.0;7.0;2.0;2.0;5.0;-5.0;-0.0;7.0;2.0;-5.0;;100.0;9.0;6.0;3.0;3.0;;0.0;9.0;0.0;;0.0;-246.58;-252.32;0.0;-251.71;-1.0;-232.91;-0.02;-0.02;4.0;;5.0;;5.0;1.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;0.0;1.0;1.0;;;;;;;;;14.0;-62.0;-3.0;55.0;7.0;;7.0;;-7.0;0.0;;0.0;2.0;;;;4.0;-1.0;-0.0;;;;-0.0;;8.0;;;-1.0;;5.0;3.0;;;0.81;-1.88;-1.46;;0.03;1.27;4.0;;;;3.0;-252.3;0.0;-7.0;7.5;-232.9;4.0;;5.0;-148.2;-104.3;-148.2;100.0;
