;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;243.0;100.0;21.0;18.0;18.0;11.0;13.0;142.0;175.0;35.0;54.0;121.0;;;;;;143.0;40.98;82.0;;78.0;;;4.0;225.0;;;4.0;8.77;7.41;-0.0;7.33;7.0;4.32;0.8;0.8;13.0;;21.0;;21.0;57.0;65.0;0.0;31.0;;;;;;2.0;33.0;;;;;;35.0;18.0;;;0.0;18.0;;;;;94.0;-15.0;42.0;175.0;;175.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;286.0;126.0;37.0;32.0;32.0;19.0;13.0;204.0;249.0;53.0;114.0;136.0;;;;;;161.0;43.85;93.0;;89.0;;;5.0;254.0;;;5.0;12.85;11.31;-0.0;11.28;14.0;6.49;1.41;1.41;13.0;;21.0;;21.0;72.0;110.0;1.0;43.0;;;;;;2.0;45.0;;;;;;53.0;56.0;;5.0;;61.0;;;;;108.0;-17.0;45.0;249.0;;249.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;356.0;143.0;32.0;32.0;26.0;16.0;13.0;223.0;277.0;71.0;131.0;146.0;;;;;;213.0;40.15;111.0;;105.0;;;6.0;324.0;;;6.0;8.84;9.06;-6.0;7.27;10.0;4.57;1.23;1.23;13.0;;23.0;;23.0;80.0;118.0;3.0;50.0;;;;;;3.0;54.0;;;;;;71.0;54.0;;6.0;;60.0;;;;;121.0;-21.0;46.0;277.0;;277.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;398.0;162.0;18.0;21.0;12.0;9.0;13.0;282.0;354.0;136.0;203.0;151.0;;;;;;236.0;40.74;141.0;;135.0;;;6.0;377.0;;;6.0;4.57;5.32;-9.0;3.01;3.0;2.33;0.71;0.71;13.0;;24.0;;24.0;92.0;162.0;5.0;71.0;;;;;;1.0;72.0;;;;;;136.0;61.0;;6.0;0.0;67.0;;;;;126.0;-26.0;52.0;354.0;;354.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;429.0;166.0;25.0;33.0;18.0;13.0;13.0;313.0;406.0;149.0;260.0;146.0;-26.0;-17.0;40.0;;-50.0;263.0;38.63;133.0;;125.0;;;7.0;396.0;;;7.0;5.81;7.74;-16.0;4.1;5.0;3.05;1.0;1.0;13.0;;4.0;;4.0;109.0;183.0;18.0;86.0;;;;;;7.0;93.0;;26.0;;;;123.0;103.0;;8.0;-0.0;112.0;;;;;135.0;-30.0;42.0;406.0;;406.0;;13.0;7.0;;;-47.0;;-21.0;;164.0;0.0;-23.0;;-57.0;63.0;;;2.0;-17.0;-4.0;58.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;508.0;199.0;18.0;28.0;10.0;8.0;13.0;321.0;422.0;175.0;271.0;151.0;27.0;-12.0;-8.0;;11.0;309.0;39.09;171.0;;163.0;;;8.0;480.0;;;8.0;3.47;5.47;-18.0;1.89;2.0;1.52;0.59;0.59;13.0;;11.0;;11.0;81.0;214.0;15.0;94.0;;;;;;8.0;101.0;;33.0;;;;142.0;90.0;;6.0;0.0;96.0;;;;;138.0;-34.0;47.0;422.0;;422.0;;8.0;8.0;;;-18.0;;-32.0;;146.0;30.0;-16.0;;-30.0;34.0;1.0;;2.0;;-4.0;-6.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;535.0;196.0;17.0;25.0;8.0;7.0;13.0;292.0;393.0;160.0;238.0;155.0;50.0;-7.0;-30.0;;38.0;339.0;36.67;172.0;;163.0;;;9.0;510.0;;;9.0;3.14;4.58;-17.0;1.48;1.0;1.25;0.51;0.51;13.0;;24.0;;24.0;78.0;179.0;11.0;96.0;;;;;;5.0;101.0;;34.0;;;;127.0;73.0;;4.0;0.0;77.0;;;;;141.0;-37.0;52.0;393.0;;393.0;;7.0;9.0;;;-15.0;;36.0;;131.0;50.0;-12.0;;-3.0;8.0;0.0;;;;-4.0;-26.0;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;536.0;199.0;21.0;23.0;11.0;9.0;13.0;265.0;375.0;74.0;214.0;161.0;32.0;-15.0;-24.0;;16.0;337.0;37.1;176.0;;167.0;;;10.0;513.0;;;10.0;3.83;4.2;-12.0;2.02;2.0;1.66;0.68;0.68;13.0;;17.0;;17.0;84.0;153.0;11.0;102.0;;;;;;8.0;110.0;;27.0;;;;47.0;136.0;;3.0;;139.0;;;;;145.0;-43.0;59.0;375.0;;375.0;;9.0;10.0;;;60.0;;25.0;;191.0;-47.0;-15.0;;-23.0;24.0;0.0;;;;-4.0;-19.0;;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;583.0;220.0;36.0;38.0;27.0;18.0;14.0;304.0;423.0;100.0;245.0;178.0;20.0;-12.0;-13.0;;8.0;363.0;37.71;182.0;;172.0;;;11.0;545.0;;;11.0;6.21;6.43;-11.0;4.6;8.0;3.0;1.23;1.23;14.0;;12.0;;12.0;98.0;164.0;30.0;103.0;;;;;;17.0;120.0;;41.0;;;;58.0;131.0;;4.0;11.0;146.0;;;;;159.0;-53.0;73.0;423.0;;423.0;;18.0;11.0;-6.0;;13.0;;-11.0;;204.0;-16.0;-12.0;;-18.0;18.0;0.0;;5.0;-5.0;-4.0;-9.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;641.0;236.0;46.0;46.0;35.0;24.0;13.0;329.0;462.0;140.0;267.0;195.0;21.0;-20.0;-10.0;;9.0;405.0;36.84;190.0;;179.0;179.0;;11.0;594.0;;;11.0;7.24;7.24;-11.0;5.52;12.0;3.7;1.8;1.8;13.0;;3.0;;3.0;110.0;186.0;30.0;104.0;;;;;;29.0;134.0;;41.0;27.0;;;73.0;110.0;;5.0;13.0;128.0;;;;;178.0;-63.0;80.0;462.0;;462.0;;24.0;11.0;-1.0;;-15.0;;-26.0;;189.0;3.0;-13.0;;-14.0;6.0;0.0;;1.0;-4.0;-4.0;-2.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
