;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;3803.0;176.0;70.0;70.0;76.0;36.0;24.0;;636.0;;479.0;158.0;;;;;;3626.0;4.64;106.0;;106.0;;;;3733.0;;;;1.84;1.84;6.0;2.0;33.0;0.96;1.7;1.49;21.0;;21.0;;21.0;;;;;;;;;;;;636.0;;;;;;2.0;;;;2.0;481.0;;;;;;158.0;636.0;;636.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3032.0;149.0;43.0;54.0;42.0;26.0;24.0;;565.0;;382.0;183.0;;;;;;2883.0;4.93;95.0;;95.0;;;;2978.0;;;;1.41;1.79;-12.0;1.38;17.0;0.85;1.18;1.06;22.0;;16.0;;16.0;;;;;;;;;;;;565.0;;;;;;43.0;;;;43.0;425.0;;;;;;183.0;565.0;;565.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3768.0;174.0;53.0;50.0;45.0;28.0;49.0;572.0;629.0;372.0;413.0;213.0;69.0;-63.0;-7.0;-0.0;60.0;3594.0;4.62;123.0;;123.0;;;;3717.0;;;8.0;1.41;1.34;-6.0;1.19;17.0;0.74;0.64;0.58;44.0;;16.0;4.0;19.0;259.0;261.0;33.0;25.0;;24.0;24.0;;1.0;7.0;57.0;;270.0;;;;103.0;39.0;;1.0;2.0;41.0;;;;0.0;136.0;-32.0;109.0;626.0;3.0;629.0;;28.0;8.0;;;33.0;;-10.0;;200.0;0.0;-9.0;-47.0;-8.0;6.0;-5.0;;1.0;;;-8.0;1.0;16.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4126.0;188.0;55.0;58.0;47.0;30.0;25.0;742.0;790.0;525.0;535.0;253.0;-13.0;-2.0;20.0;7.0;-16.0;3939.0;4.55;130.0;;130.0;;;;4068.0;;;7.0;1.33;1.4;-11.0;1.14;17.0;0.73;1.36;1.22;22.0;;22.0;4.0;26.0;319.0;361.0;37.0;24.0;;19.0;19.0;;1.0;4.0;48.0;;343.0;;;;182.0;8.0;;0.0;1.0;10.0;;;;0.0;166.0;-38.0;125.0;787.0;3.0;790.0;;30.0;7.0;;;17.0;;-98.0;;217.0;-68.0;-3.0;-2.0;-3.0;4.0;1.0;;5.0;;;15.0;2.0;22.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5314.0;225.0;78.0;79.0;70.0;47.0;30.0;913.0;1000.0;596.0;628.0;370.0;0.0;-50.0;57.0;7.0;-6.0;5089.0;4.23;146.0;;146.0;;;;5235.0;;;8.0;1.47;1.49;-9.0;1.31;24.0;0.88;1.74;1.55;27.0;;29.0;5.0;34.0;444.0;408.0;27.0;34.0;;49.0;49.0;;1.0;3.0;87.0;;387.0;75.0;;;134.0;13.0;;1.0;18.0;32.0;;;;0.0;212.0;-42.0;200.0;998.0;2.0;1000.0;;47.0;8.0;;;100.0;;-24.0;;317.0;-154.0;-6.0;-45.0;-1.0;5.0;-2.0;;61.0;;;-4.0;-1.0;29.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;5641.0;239.0;86.0;79.0;63.0;53.0;31.0;993.0;1082.0;642.0;645.0;437.0;7.0;-8.0;-14.0;-15.0;3.0;5402.0;4.23;160.0;;160.0;;;;5562.0;;;9.0;1.52;1.4;-15.0;1.13;24.0;0.94;1.85;1.7;29.0;;14.0;28.0;42.0;430.0;495.0;26.0;34.0;;43.0;43.0;;5.0;8.0;90.0;;448.0;29.0;;;165.0;1.0;;1.0;1.0;3.0;;;;0.0;265.0;13.0;159.0;1082.0;;1082.0;;53.0;9.0;;;34.0;;-102.0;;351.0;-88.0;-5.0;;-2.0;6.0;-7.0;;9.0;;;-23.0;-1.0;14.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6347.0;288.0;89.0;99.0;80.0;51.0;32.0;1138.0;1383.0;721.0;871.0;512.0;-19.0;-24.0;59.0;14.0;-27.0;6058.0;4.54;189.0;;189.0;;;;6247.0;;;10.0;1.41;1.56;-19.0;1.26;28.0;0.81;1.73;1.61;30.0;;28.0;13.0;41.0;460.0;595.0;42.0;37.0;30.0;18.0;49.0;;7.0;153.0;245.0;;462.0;51.0;;;208.0;48.0;;1.0;101.0;150.0;;;;0.0;316.0;14.0;181.0;1383.0;;1383.0;;51.0;10.0;;;66.0;;-92.0;;417.0;-146.0;-8.0;-21.0;-15.0;28.0;-8.0;;11.0;;;47.0;-1.0;28.0;14.0;;;213.69;1.73;-0.9;;0.27;17.22;30.0;5.8;0.3;;6347.0;1.6;10.0;51.0;35.3;0.8;417.0;48.0;512.0;7.8;5.8;10.0;100.0;41.8
2007.0;7004.0;355.0;114.0;112.0;99.0;63.0;33.0;1588.0;1887.0;1169.0;1282.0;605.0;-153.0;-137.0;309.0;15.0;-175.0;6649.0;5.07;243.0;;243.0;;;;6892.0;;;16.0;1.63;1.6;-13.0;1.41;35.0;0.9;2.04;1.93;31.0;;43.0;17.0;60.0;836.0;643.0;50.0;59.0;96.0;22.0;118.0;;5.0;116.0;299.0;;589.0;351.0;;;229.0;38.0;;0.0;75.0;113.0;;;;0.0;379.0;29.0;196.0;1886.0;1.0;1887.0;;63.0;16.0;;;3.0;;2.0;;420.0;-234.0;-23.0;-107.0;-3.0;;-4.0;;6.0;;;303.0;-5.0;43.0;28.0;;;226.36;2.04;-5.67;;0.74;19.54;31.0;5.0;0.3;;7004.0;1.6;16.0;63.0;35.6;0.9;420.0;38.0;605.0;8.8;5.2;10.4;100.0;3.6
2008.0;7768.0;432.0;148.0;152.0;130.0;84.0;33.0;1725.0;2033.0;1135.0;1348.0;680.0;53.0;-66.0;20.0;18.0;18.0;7336.0;5.56;280.0;;280.0;;;;7616.0;;;19.0;1.9;1.95;-22.0;1.67;45.0;1.08;2.65;2.52;32.0;;61.0;10.0;71.0;909.0;696.0;49.0;85.0;113.0;26.0;140.0;;6.0;77.0;308.0;;571.0;340.0;;;223.0;152.0;;1.0;60.0;214.0;;;;0.0;463.0;9.0;208.0;2028.0;5.0;2033.0;;84.0;19.0;;;171.0;;-16.0;;591.0;-221.0;-35.0;-28.0;-14.0;15.0;-3.0;;4.0;;;17.0;11.0;61.0;43.0;;;245.68;2.65;0.56;;1.11;21.5;32.0;3.9;0.2;;7768.0;2.0;19.0;84.0;34.8;1.1;591.0;152.0;680.0;9.4;6.4;12.3;100.0;-22.1
2009.0;7719.0;423.0;176.0;150.0;139.0;92.0;34.0;1841.0;2100.0;1078.0;1275.0;818.0;262.0;-70.0;-183.0;3.0;237.0;7296.0;5.48;273.0;;273.0;;;;7570.0;;14.0;20.0;2.28;1.94;-11.0;1.8;51.0;1.19;2.82;2.7;33.0;;38.0;21.0;59.0;925.0;714.0;142.0;95.0;108.0;18.0;126.0;;3.0;37.0;260.0;;687.0;151.0;;;240.0;153.0;;1.0;42.0;197.0;;;;0.0;555.0;27.0;236.0;2093.0;7.0;2100.0;;92.0;20.0;;8.0;172.0;-6.0;-12.0;103.0;763.0;-30.0;-25.0;-16.0;-34.0;22.0;-16.0;-2916.0;12.0;;;2720.0;-6.0;59.0;56.0;;;235.98;2.82;7.25;;0.76;25.02;33.0;4.3;0.1;;7719.0;1.9;20.0;92.0;36.5;1.2;763.0;153.0;818.0;9.8;7.5;11.3;100.0;-5.2
