;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;24.0;;5.0;3.0;-0.0;-0.0;6.0;;;;;;;;;;;;;2.0;;;;;2.0;2.0;;3.0;2.0;19.74;12.56;-3.0;-0.53;;-0.53;-0.02;-0.02;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;24.0;;2.0;3.0;-0.0;-1.0;6.0;;;;;;;;;;;;;2.0;;;;;2.0;2.0;;;2.0;6.68;12.3;-3.0;-1.46;;-2.31;-0.09;-0.09;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;21.0;;2.0;3.0;0.0;-0.0;6.0;;31.0;;34.0;-3.0;;;;;;;;;;;;;;2.0;;;2.0;9.06;12.43;-2.0;0.63;;-0.58;-0.02;-0.02;6.0;;;;;;;;;;;;;;;;31.0;;;;;;;;;;;34.0;;;;;;;31.0;-0.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;24.0;;5.0;3.0;;0.0;6.0;3.0;31.0;4.0;33.0;-2.0;3.0;-2.0;-0.0;-0.0;1.0;;;;;;;;;22.0;0.0;2.0;2.0;18.64;11.66;-0.0;;;0.57;0.02;0.02;6.0;;0.0;;0.0;2.0;0.0;1.0;28.0;;;;0.0;;0.0;28.0;;2.0;;;;3.0;29.0;;;1.0;29.0;;0.0;;;;-12.0;10.0;32.0;-1.0;31.0;;0.0;2.0;;;0.0;;;;-2.0;0.0;-1.0;;;;-2.0;-1.0;;;;1.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;27.0;;0.0;-0.0;-3.0;-2.0;6.0;11.0;94.0;27.0;33.0;40.0;0.0;-59.0;67.0;-0.0;-55.0;;;25.0;;4.0;4.0;;21.0;25.0;;;2.0;0.55;-1.44;-2.0;-10.39;-0.0;-5.81;-0.42;-0.42;6.0;;8.0;;8.0;2.0;;1.0;78.0;;;;;;;;83.0;;;;;27.0;28.0;;;0.0;28.0;;;;0.0;-3.0;;42.0;73.0;21.0;94.0;;-2.0;2.0;-0.0;;-14.0;-2.0;;3.0;-16.0;14.0;-56.0;;;;-3.0;-1.0;60.0;-5.0;;14.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;58.0;13.0;10.0;6.0;3.0;2.0;7.0;4563.0;118.0;29.0;53.0;43.0;6.0;-16.0;2.0;-8.0;-6.0;45.0;21.95;6.0;;2.0;2.0;;4.0;52.0;0.0;3.0;4.0;17.46;10.92;-3.0;5.89;1.0;4.29;0.37;0.37;7.0;;1.0;;1.0;2.0;;4560.0;106.0;;;;;;;;;3.0;;;;26.0;46.0;;;0.0;46.0;;;;0.0;-5.0;;48.0;97.0;22.0;118.0;;2.0;4.0;;;4549.0;-2.0;-0.0;-0.0;4534.0;-4550.0;-13.0;;;;-3.0;-4.0;7.0;-0.0;-3.0;2.0;;1.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;67.0;17.0;13.0;10.0;5.0;3.0;7.0;5568.0;128.0;29.0;65.0;42.0;11.0;-13.0;3.0;1.0;-4.0;50.0;25.33;8.0;;3.0;3.0;;5.0;58.0;0.0;4.0;5.0;18.96;14.16;-4.0;8.01;0.0;4.73;0.47;0.47;7.0;;1.0;;1.0;2.0;;5565.0;111.0;;;;;;;;;4.0;;;;25.0;57.0;;;-0.0;57.0;;;;0.0;-6.0;;48.0;107.0;21.0;128.0;;3.0;5.0;;;1006.0;0.0;-0.0;0.0;5539.0;-1003.0;-15.0;;;;2.0;-12.0;;;-5.0;20.0;;1.0;1.0;;;10.02;0.47;-0.58;0.68;2.2;6.26;7.0;19.6;1.1;7.3;67.0;14.2;5.0;3.0;4.7;4.7;5539.0;57.0;42.0;9.4;7.2;7.6;-43.4;-117.2
2007.0;70.0;18.0;7.0;10.0;4.0;2.0;7.0;3710.0;160.0;30.0;100.0;40.0;13.0;-35.0;25.0;3.0;-20.0;52.0;25.69;8.0;;3.0;3.0;;5.0;60.0;;;5.0;10.49;13.97;-6.0;5.21;-0.0;3.53;0.36;0.36;7.0;;4.0;;4.0;2.0;;3704.0;141.0;;;;6.0;;-3697.0;-3550.0;;7.0;;;;24.0;89.0;;;0.0;89.0;;;;0.0;-8.0;;48.0;140.0;20.0;160.0;;2.0;5.0;;;-1860.0;-1.0;-1.0;2.0;3680.0;1865.0;-33.0;;;;-2.0;-1.0;;;-5.0;30.0;;4.0;1.0;;;10.2;0.36;-2.99;0.68;4.86;5.87;7.0;27.7;1.6;6.9;70.0;14.0;5.0;2.0;-5.2;3.5;3680.0;89.0;40.0;2.2;1.6;6.1;-89.9;-22.8
2008.0;71.0;15.0;11.0;6.0;-2.0;-1.0;7.0;10.0;211.0;11.0;157.0;36.0;7.0;-52.0;42.0;-2.0;-39.0;56.0;21.05;9.0;;;;;9.0;65.0;0.0;7.0;6.0;15.66;7.92;-8.0;-3.39;-1.0;-0.84;-0.09;-0.09;7.0;;2.0;;2.0;2.0;;7.0;187.0;;;;10.0;;3.0;201.0;;11.0;;;;;145.0;;;1.0;146.0;;;;0.0;-12.0;-28.0;76.0;194.0;17.0;211.0;;-1.0;6.0;;0.0;-3681.0;0.0;-3.0;;-1.0;3682.0;-47.0;;;;-5.0;-1.0;;;-5.0;48.0;;2.0;4.0;;;10.2;-0.09;-5.67;0.68;6.71;5.23;7.0;-64.3;-3.0;12.2;71.0;7.9;6.0;-1.0;61.6;-0.8;-1.0;145.0;36.0;1.0;2.4;-1.6;886.8;
2009.0;72.0;72.0;13.0;4.0;-5.0;-3.0;7.0;16.0;214.0;11.0;160.0;38.0;3.0;-11.0;10.0;2.0;-10.0;;100.0;68.0;;;;;68.0;68.0;0.0;10.0;8.0;18.55;5.42;-9.0;-6.74;-2.0;-4.21;-0.28;-0.28;7.0;;3.0;1.0;5.0;2.0;;9.0;189.0;;;;10.0;;;198.0;;5.0;5.0;;;2.0;148.0;;;1.0;149.0;;;;0.0;-14.0;-36.0;88.0;198.0;16.0;214.0;;-3.0;8.0;;0.0;5.0;-0.0;-1.0;;4.0;-8.0;-13.0;;;;2.0;-5.0;3.0;;-0.0;12.0;;3.0;2.0;;;10.01;-0.42;-1.35;0.03;1.79;5.34;7.0;-4.2;-0.1;1.7;72.0;5.4;8.0;-3.0;37.5;-4.2;4.0;148.0;38.0;1.6;2.4;-7.9;107.1;
2010.0;77.0;18.0;16.0;6.0;-3.0;-2.0;9.0;15.0;210.0;11.0;159.0;39.0;5.0;-3.0;-2.0;-0.0;2.0;59.0;23.68;12.0;;;;;12.0;71.0;0.0;10.0;9.0;21.15;8.3;-9.0;-3.93;0.0;-3.08;-0.25;-0.25;9.0;;3.0;1.0;4.0;2.0;;9.0;184.0;;;;9.0;;1.0;194.0;;;4.0;;;6.0;147.0;;;1.0;148.0;;;;0.0;-17.0;-42.0;98.0;198.0;12.0;210.0;;-2.0;9.0;;0.0;0.0;-0.0;-0.0;;5.0;-2.0;-3.0;;;;-1.0;-1.0;;-0.0;;-1.0;;3.0;3.0;;;8.19;-0.25;0.19;;0.31;4.12;9.0;-9.7;-0.5;;77.0;8.3;9.0;-2.0;-7.1;-3.1;5.0;147.0;39.0;4.5;4.0;-6.1;100.0;
2011.0;81.0;19.0;16.0;7.0;-6.0;-5.0;10.0;16.0;209.0;20.0;165.0;35.0;8.0;-6.0;-0.0;1.0;2.0;62.0;23.89;13.0;;;;;13.0;75.0;0.0;11.0;9.0;19.2;8.21;-12.0;-6.86;1.0;-5.97;-0.5;-0.5;10.0;;4.0;1.0;5.0;2.0;;9.0;181.0;;;;9.0;;3.0;194.0;;7.0;9.0;;;3.0;120.0;;;26.0;146.0;;;;0.0;-22.0;-50.0;107.0;200.0;9.0;209.0;;-5.0;9.0;;0.0;-9.0;0.0;0.0;;-4.0;12.0;-6.0;;;;-0.0;-56.0;;-0.0;-0.0;56.0;;4.0;3.0;;;8.39;-0.5;0.16;0.03;0.62;3.61;10.0;-5.1;-0.3;1.1;81.0;8.2;9.0;-5.0;-16.3;-6.0;-4.0;120.0;35.0;4.4;3.4;-13.9;105.3;
2012.0;87.0;23.0;18.0;10.0;-4.0;-4.0;11.0;13.0;204.0;7.0;167.0;30.0;9.0;-3.0;-3.0;3.0;9.0;64.0;26.38;13.0;;4.0;4.0;;9.0;77.0;0.0;12.0;9.0;20.88;11.8;-14.0;-4.61;1.0;-4.7;-0.41;-0.41;10.0;;7.0;;7.0;1.0;;5.0;0.0;;;;9.0;3.0;179.0;191.0;;7.0;4.0;;1.0;-4.0;140.0;1.0;;19.0;160.0;;;;0.0;-27.0;;57.0;197.0;7.0;204.0;;-4.0;9.0;;0.0;11.0;0.0;0.0;;6.0;-6.0;-3.0;;;;-3.0;-33.0;;-12.0;-1.0;43.0;;7.0;4.0;;;8.74;-0.41;0.9;0.12;0.29;3.0;10.0;-8.0;-0.5;3.6;87.0;11.8;9.0;-4.0;-32.3;-4.7;6.0;140.0;30.0;6.7;4.9;-13.7;128.4;
2013.0;89.0;24.0;18.0;11.0;-3.0;-3.0;11.0;18.0;228.0;8.0;197.0;25.0;10.0;-30.0;22.0;2.0;10.0;65.0;26.75;13.0;;4.0;4.0;;8.0;78.0;0.0;12.0;8.0;20.34;12.39;-14.0;-3.26;2.0;-3.86;-0.29;-0.29;10.0;;9.0;0.0;10.0;2.0;;6.0;0.0;;;;2.0;1.0;206.0;210.0;;8.0;28.0;;1.0;-28.0;188.0;1.0;;;189.0;;;;0.0;-32.0;-60.0;118.0;222.0;6.0;228.0;;-3.0;8.0;;0.0;3.0;-0.0;0.0;;9.0;1.0;-5.0;;;;6.0;-9.0;;-14.0;-2.0;47.0;;9.0;7.0;;;8.8;-0.34;0.94;0.18;0.48;2.5;10.0;-12.9;-0.8;4.1;89.0;12.4;8.0;-3.0;-52.2;-3.9;9.0;188.0;25.0;6.9;4.4;-13.6;152.8;
2014.0;123.0;33.0;24.0;13.0;-2.0;-1.0;10.0;29.0;300.0;13.0;272.0;23.0;15.0;-71.0;64.0;7.0;15.0;90.0;26.63;17.0;;5.0;5.0;;12.0;107.0;0.0;15.0;12.0;19.76;10.17;-15.0;-2.01;-2.0;-0.48;0.21;0.21;10.0;;17.0;;17.0;2.0;;10.0;;;;;2.0;4.0;266.0;271.0;;12.0;53.0;;1.0;-53.0;258.0;1.0;;;259.0;;;;0.0;-35.0;;59.0;296.0;4.0;300.0;;-1.0;12.0;;0.0;6.0;0.0;-2.0;;16.0;-3.0;-10.0;;;;-71.0;-24.0;0.0;-0.0;-3.0;90.0;;17.0;9.0;;;11.85;-0.06;1.43;0.26;0.94;2.25;10.0;-125.8;-6.9;3.7;123.0;10.2;12.0;-1.0;70.1;-0.5;16.0;258.0;23.0;1.3;4.2;-2.5;559.5;
2015.0;139.0;37.0;34.0;15.0;5.0;5.0;13.0;29.0;393.0;14.0;340.0;49.0;11.0;-41.0;25.0;-5.0;11.0;102.0;26.45;21.0;;7.0;7.0;;14.0;123.0;0.0;17.0;14.0;24.64;11.07;-10.0;3.65;-1.0;3.87;0.43;0.43;13.0;;11.0;;11.0;7.0;;10.0;;;;;;5.0;359.0;364.0;;12.0;53.0;;2.0;-53.0;325.0;2.0;;;327.0;;;;0.0;-34.0;;83.0;389.0;4.0;393.0;;5.0;14.0;;0.0;-1.0;-2.0;-1.0;;15.0;-7.0;-20.0;;;;-41.0;-120.0;23.0;;-4.0;126.0;;11.0;17.0;;;11.05;0.43;0.91;0.33;1.61;3.91;13.0;16.6;0.8;4.6;139.0;11.1;14.0;5.0;-26.4;3.9;15.0;325.0;49.0;6.9;5.3;10.9;23.4;-168.3
2016.0;153.0;40.0;32.0;19.0;-0.0;1.0;15.0;50.0;406.0;15.0;325.0;79.0;17.0;-13.0;16.0;20.0;17.0;113.0;26.18;21.0;;6.0;6.0;;15.0;134.0;0.0;18.0;15.0;21.14;12.17;-19.0;-0.31;-1.0;0.61;-0.01;-0.01;15.0;;32.0;;32.0;4.0;5.0;9.0;;;;;;7.0;349.0;356.0;;13.0;24.0;;2.0;-24.0;307.0;2.0;;;309.0;;;0.0;0.0;-40.0;;118.0;404.0;2.0;406.0;;1.0;15.0;;0.0;20.0;0.0;-0.0;;35.0;-19.0;-15.0;;;;-13.0;-117.0;;-2.0;-6.0;142.0;;32.0;11.0;;;10.26;0.06;1.15;0.42;1.0;5.3;15.0;88.9;4.0;7.5;153.0;12.2;15.0;1.0;292.6;0.6;35.0;307.0;79.0;-8.6;4.3;1.2;-568.1;48.2
2017.0;154.0;41.0;35.0;16.0;2.0;0.0;14.0;47.0;410.0;17.0;316.0;93.0;16.0;-18.0;1.0;-2.0;16.0;113.0;26.57;23.0;;6.0;6.0;;17.0;137.0;0.0;16.0;17.0;22.63;10.48;-14.0;1.15;2.0;0.29;-0.24;-0.24;14.0;;30.0;;30.0;6.0;;11.0;;;;;;5.0;358.0;363.0;;14.0;;;2.0;2.0;297.0;2.0;;;299.0;;;0.0;0.0;-49.0;;142.0;409.0;1.0;410.0;;0.0;17.0;;0.0;-5.0;-2.0;-3.0;;30.0;3.0;-18.0;;;;-18.0;-51.0;;-9.0;-10.0;70.0;;30.0;32.0;;;11.16;0.03;1.14;0.7;1.28;6.73;14.0;202.8;8.6;10.8;154.0;10.5;17.0;0.0;98.3;0.3;30.0;297.0;93.0;0.1;4.4;0.5;-2098.2;116.2
2018.0;178.0;48.0;41.0;20.0;-0.0;0.0;14.0;50.0;493.0;20.0;411.0;82.0;26.0;-101.0;79.0;4.0;26.0;130.0;26.76;27.0;;6.0;6.0;;21.0;158.0;0.0;20.0;21.0;23.25;11.28;-20.0;-0.08;0.0;0.06;-0.42;-0.42;14.0;;34.0;;34.0;7.0;;9.0;2.0;;;;;5.0;436.0;443.0;;16.0;24.0;;3.0;-23.0;389.0;3.0;;;392.0;;;0.0;0.0;-61.0;;143.0;493.0;0.0;493.0;;0.0;21.0;;0.0;1.0;-1.0;2.0;;30.0;4.0;-22.0;;;;-101.0;-107.0;1.0;;-12.0;198.0;;38.0;33.0;;;13.18;0.01;1.94;0.9;1.64;6.05;14.0;827.5;33.1;13.4;178.0;11.3;21.0;0.0;-338.1;0.1;30.0;389.0;82.0;19.0;4.2;0.1;-10951.5;44.2
2019.0;186.0;47.0;43.0;18.0;1.0;2.0;14.0;39.0;487.0;24.0;386.0;103.0;22.0;-19.0;-14.0;-10.0;22.0;139.0;25.26;28.0;;7.0;7.0;;22.0;167.0;0.0;20.0;22.0;23.18;9.87;-17.0;0.5;-0.0;1.03;-0.45;-0.45;14.0;;24.0;;24.0;5.0;;10.0;;;;;;5.0;443.0;449.0;;20.0;;;;4.0;359.0;3.0;;;361.0;;;0.0;0.0;-74.0;;176.0;488.0;-1.0;487.0;;2.0;22.0;;0.0;-16.0;2.0;-0.0;;14.0;15.0;-13.0;;;;-19.0;-32.0;;;-15.0;33.0;;28.0;38.0;;;13.62;0.14;1.65;1.1;0.93;7.52;14.0;48.2;2.0;16.3;186.0;9.9;22.0;2.0;-26.9;1.0;14.0;359.0;103.0;5.9;4.4;1.9;-683.6;66.6
2020.0;72.0;-3.0;-6.0;-30.0;-48.0;-49.0;14.0;45.0;473.0;69.0;429.0;50.0;-11.0;-4.0;22.0;7.0;-11.0;75.0;-4.51;26.0;;6.0;6.0;;20.0;101.0;0.0;18.0;20.0;-8.33;-41.61;-19.0;-67.69;5.0;-68.8;-4.08;-4.08;14.0;;25.0;;25.0;2.0;8.0;10.0;;;;;;;428.0;428.0;;36.0;29.0;;;4.0;358.0;2.0;;;360.0;;;0.0;0.0;-127.0;;177.0;478.0;-5.0;473.0;;-49.0;20.0;5.0;1.0;-38.0;3.0;;15.0;-24.0;50.0;;;;;-4.0;-3.0;;;-4.0;29.0;;35.0;28.0;;;5.0;-3.44;-0.79;0.29;;3.46;14.0;-0.9;-0.0;9.6;72.0;-41.6;20.0;-49.0;-10.9;-68.8;-24.0;358.0;50.0;-7.0;-5.4;-99.3;108.5;
