;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;2.0;0.0;-3.0;-3.0;;-3.0;22.0;;;;;;-2.0;-3.0;7.0;3.0;-3.0;1.0;19.67;4.0;0.0;;;;3.0;5.0;;;0.0;-196.17;-213.98;;;;-213.3;-0.16;-0.16;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;0.0;;;1.0;;;;;0.0;-1.0;;;;-2.0;;5.0;;;2.0;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;6.0;2.0;-14.0;-21.0;;-19.0;20.0;;;;;;-18.0;-5.0;82.0;59.0;-25.0;4.0;33.08;23.0;2.0;;;;21.0;27.0;3.0;;5.0;-239.48;-356.66;-1.0;;;-323.13;-1.14;-1.14;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19.0;5.0;;;-6.0;;;;;2.0;-7.0;-1.0;;;3.0;;90.0;;;-7.0;;63.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;13.0;10.0;-9.0;-28.0;;-44.0;36.0;;;;;;-10.0;-23.0;0.0;-33.0;-15.0;3.0;78.7;38.0;5.0;20.0;13.0;7.0;13.0;41.0;2.0;;35.0;-69.74;-212.18;-18.0;;;-335.28;-1.22;-1.22;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-44.0;35.0;;;-2.0;;;;;1.0;-5.0;;-17.0;;-2.0;;;;;0.0;;29.0;63.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;29.0;15.0;4.0;-2.0;;-1.0;36.0;27.0;62.0;7.0;7.0;55.0;5.0;-14.0;-2.0;-10.0;3.0;13.0;53.27;17.0;6.0;;;;12.0;31.0;1.0;;5.0;13.54;-7.25;-0.0;;;-3.61;-0.03;-0.03;35.0;;19.0;;19.0;4.0;;4.0;6.0;;;;;;29.0;35.0;;1.0;;;;6.0;;;;;;;;;0.0;-73.0;-9.0;137.0;62.0;;62.0;;-1.0;5.0;;;0.0;;;;;1.0;-3.0;;-8.0;;-3.0;;0.0;-2.0;;;;19.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;80.0;55.0;38.0;32.0;33.0;26.0;40.0;145.0;205.0;23.0;113.0;92.0;42.0;-51.0;89.0;80.0;42.0;25.0;68.66;23.0;8.0;;;;16.0;48.0;2.0;;5.0;47.08;39.81;1.0;41.04;7.0;32.77;0.74;0.66;35.0;;99.0;;99.0;12.0;;33.0;7.0;;36.0;36.0;;;18.0;60.0;;1.0;;;;22.0;;;;90.0;90.0;;;;0.0;-47.0;-12.0;150.0;205.0;;205.0;;26.0;5.0;;;3.0;;;;;7.0;;-38.0;-18.0;3.0;2.0;;2.0;;;88.0;;99.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;103.0;69.0;42.0;34.0;36.0;36.0;41.0;152.0;235.0;36.0;126.0;108.0;46.0;-3.0;-19.0;23.0;36.0;34.0;67.07;35.0;9.0;;;;26.0;69.0;2.0;;7.0;40.99;32.94;2.0;34.49;-0.0;34.53;0.98;0.89;36.0;;122.0;4.0;127.0;20.0;;5.0;12.0;;52.0;52.0;;;19.0;83.0;;2.0;;;;34.0;90.0;;;;90.0;;;;0.0;-11.0;-15.0;135.0;235.0;;235.0;;36.0;7.0;;;3.0;;;;;1.0;-10.0;-17.0;;24.0;-1.0;;4.0;-24.0;;;;122.0;99.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;108.0;72.0;38.0;25.0;30.0;30.0;40.0;152.0;240.0;35.0;110.0;130.0;36.0;-17.0;-24.0;-3.0;28.0;36.0;66.48;47.0;14.0;;;;33.0;84.0;3.0;;9.0;35.43;22.93;5.0;27.5;0.0;27.49;0.82;0.77;36.0;;119.0;9.0;128.0;19.0;;5.0;16.0;;59.0;59.0;;;13.0;88.0;;2.0;;;;33.0;75.0;;;;75.0;;;;0.0;19.0;-16.0;127.0;240.0;;240.0;;30.0;9.0;;;-3.0;;;;;0.0;-8.0;-10.0;;5.0;-3.0;;3.0;-14.0;;-14.0;2.0;119.0;122.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;134.0;87.0;38.0;25.0;28.0;26.0;39.0;159.0;254.0;98.0;98.0;156.0;37.0;-10.0;-24.0;6.0;25.0;47.0;64.89;63.0;19.0;;;;44.0;110.0;3.0;;10.0;27.95;18.33;4.0;21.08;2.0;19.28;0.7;0.68;37.0;;125.0;5.0;130.0;25.0;;5.0;21.0;55.0;8.0;63.0;;0.0;9.0;94.0;;1.0;;;;96.0;;;;;;;;;0.0;44.0;-20.0;131.0;254.0;0.0;254.0;;26.0;10.0;;;-6.0;;;;;7.0;-12.0;-4.0;;9.0;-4.0;;5.0;-15.0;;-14.0;3.0;125.0;119.0;;;3.65;0.7;0.68;;0.32;4.25;37.0;33.3;1.8;;134.0;18.3;10.0;26.0;5.6;19.3;62.0;;156.0;16.6;10.8;16.6;100.0;40.5
2007.0;189.0;124.0;49.0;33.0;36.0;35.0;39.0;157.0;291.0;72.0;72.0;219.0;91.0;-50.0;-47.0;-2.0;36.0;65.0;65.72;91.0;25.0;;;;66.0;156.0;3.0;;13.0;26.09;17.31;4.0;19.26;1.0;18.49;0.94;0.9;37.0;;123.0;;123.0;27.0;;8.0;65.0;56.0;7.0;63.0;;;6.0;133.0;;3.0;;;14.0;55.0;;;;;;;;;0.0;79.0;-28.0;167.0;291.0;0.0;291.0;;35.0;13.0;;;33.0;;;;;10.0;-56.0;-1.0;;7.0;0.0;;11.0;;;-58.0;4.0;123.0;125.0;;;5.09;0.94;0.96;;1.5;5.89;37.0;36.6;2.1;;189.0;17.3;13.0;35.0;4.1;18.5;86.0;;219.0;16.0;12.5;16.0;100.0;-30.3
2008.0;429.0;322.0;184.0;164.0;168.0;159.0;39.0;379.0;522.0;131.0;131.0;386.0;218.0;-27.0;-7.0;192.0;190.0;107.0;74.99;158.0;50.0;107.0;23.0;85.0;1.0;265.0;4.0;;17.0;42.95;38.19;4.0;39.06;9.0;36.97;4.16;4.06;38.0;;314.0;;314.0;37.0;;28.0;76.0;56.0;6.0;61.0;;;6.0;143.0;;4.0;;;31.0;95.0;;;;;;;;;0.0;238.0;-40.0;188.0;517.0;5.0;522.0;;159.0;17.0;;11.0;31.0;-9.0;;2.0;17.0;2.0;-29.0;;;;-1.0;-0.0;13.0;-20.0;;-0.0;8.0;314.0;123.0;;;11.24;4.16;4.97;;0.75;10.11;38.0;14.2;0.7;;429.0;38.2;17.0;159.0;5.4;37.0;248.0;;386.0;41.1;32.4;41.1;100.0;3.6
