;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;;;;-1.0;-1.0;101.0;;605.0;;20.0;585.0;-2.0;;605.0;605.0;-2.0;;;;;1.0;1.0;;;1.0;;;;;;;-inf;;-inf;-0.01;-0.01;101.0;;604.0;;604.0;;;;;;;;;;;;605.0;19.0;;;;;;;;;;20.0;;;8.0;-1.0;;579.0;605.0;;605.0;;-1.0;;;;-0.0;;;1.0;;;;;;;;;605.0;;;;;604.0;;;;;-0.01;-0.02;;;5.82;101.0;;;;;;;-1.0;;-inf;;;585.0;;;-0.2;100.0;
2012.0;233.0;;99.0;101.0;101.0;99.0;101.0;;1402.0;;474.0;869.0;-33.0;-766.0;229.0;-570.0;-33.0;;;;;27.0;27.0;;;132.0;25.0;;;42.68;43.2;;43.2;;42.68;0.99;0.99;101.0;;34.0;;34.0;218.0;;;1.0;;;;883.0;;;;1402.0;71.0;;;;;;;;;;474.0;;;8.0;98.0;;762.0;1342.0;60.0;1402.0;;99.0;;;6.0;;-84.0;;4.0;;-138.0;;40.0;-2853.0;2250.0;-204.0;;159.0;;;70.0;;34.0;604.0;;;2.32;0.99;-0.32;;;8.64;101.0;;;;233.0;43.2;;99.0;;42.7;;;869.0;7.4;7.4;11.4;100.0;487.2
2013.0;474.0;;227.0;233.0;233.0;227.0;89.0;;2160.0;;649.0;1392.0;9.0;-398.0;386.0;-2.0;9.0;;;;;32.0;32.0;;;241.0;;;;47.97;49.19;;49.19;;47.97;2.58;2.54;88.0;;32.0;;32.0;302.0;;;;;;;1448.0;;;;2160.0;63.0;;;;;;;;;;649.0;;;10.0;326.0;;1056.0;2041.0;119.0;2160.0;;227.0;;;10.0;;-117.0;;13.0;;-228.0;;;-2580.0;2234.0;-52.0;;286.0;;;100.0;;32.0;34.0;;;5.42;2.6;0.11;;;15.9;88.0;5.9;0.3;;474.0;49.2;;227.0;;48.0;;;1392.0;11.1;11.1;16.3;100.0;-3106.0
2014.0;530.0;;56.0;62.0;62.0;50.0;106.0;;2853.0;;1301.0;1452.0;122.0;-119.0;-6.0;-3.0;122.0;;;;;39.0;39.0;;;468.0;;;;10.57;11.76;;11.76;6.0;9.51;0.48;0.47;103.0;;29.0;;29.0;365.0;;;;;;;1822.0;;;;2853.0;350.0;;;;;;;;;;1301.0;;;10.0;376.0;;1065.0;2752.0;100.0;2853.0;;50.0;;;9.0;;-103.0;;19.0;;63.0;;;-3347.0;3136.0;92.0;;1.0;;;-7.0;;29.0;32.0;;;5.13;0.49;1.19;;;14.06;103.0;31.6;1.7;;530.0;11.8;;50.0;9.1;9.5;;;1452.0;1.9;2.0;3.5;100.0;-0.5
2015.0;578.0;;-83.0;-90.0;-90.0;-87.0;104.0;;3545.0;;2149.0;1380.0;188.0;-164.0;-32.0;-8.0;188.0;;;;;46.0;46.0;;;668.0;;7.0;;-14.37;-15.63;;-15.63;-3.0;-15.12;-0.84;-0.84;104.0;;20.0;;20.0;632.0;;;;;;;2308.0;;;;3545.0;611.0;;;;;113.0;3.0;;;117.0;2266.0;;;11.0;289.0;;1081.0;3529.0;16.0;3545.0;;-87.0;;;11.0;;9.0;;-1.0;;264.0;;;-3905.0;3622.0;119.0;;4.0;;;-37.0;;20.0;29.0;;;5.56;-0.84;1.81;;;13.27;104.0;-16.7;-0.8;;578.0;-15.6;;-87.0;3.2;-15.1;;113.0;1380.0;-2.3;-2.4;-6.3;100.0;
2016.0;709.0;;41.0;34.0;34.0;28.0;106.0;;3896.0;;2446.0;1414.0;5.0;-53.0;38.0;-10.0;5.0;;;;;39.0;39.0;;;674.0;;8.0;;5.85;4.86;;4.86;6.0;3.9;0.26;0.26;104.0;;10.0;;10.0;673.0;;;;;;;2646.0;;;;3896.0;953.0;;;;;114.0;2.0;;;115.0;2561.0;;;11.0;316.0;;1087.0;3860.0;36.0;3896.0;;28.0;;;9.0;;-87.0;;18.0;;-32.0;;;-4994.0;4551.0;390.0;;5.0;-7.0;;40.0;;10.0;20.0;;;6.81;0.27;0.05;;;13.59;104.0;44.4;2.0;;709.0;4.9;;28.0;16.2;3.9;;114.0;1414.0;0.9;1.1;2.0;100.0;47.1
2017.0;927.0;;298.0;;294.0;278.0;105.0;;4672.0;;3010.0;1656.0;-79.0;23.0;54.0;-2.0;-79.0;;;;;53.0;53.0;;;633.0;;8.0;;32.16;;;31.7;12.0;29.98;2.71;2.64;102.0;;8.0;;8.0;785.0;;;;;;;2984.0;;;;4672.0;846.0;;;;;114.0;1.0;;;114.0;3125.0;;;11.0;594.0;;1051.0;4666.0;5.0;4672.0;;278.0;;;4.0;;-87.0;;23.0;;-360.0;;;-3891.0;4277.0;-362.0;;2.0;;;52.0;;8.0;10.0;;;9.06;2.72;-0.77;;;16.19;102.0;5.1;0.2;;927.0;;;278.0;4.1;30.0;;114.0;1656.0;6.1;6.4;16.8;100.0;1.9
2018.0;378.0;;-313.0;;-321.0;-318.0;97.0;;3086.0;;1882.0;1205.0;13.0;378.0;-227.0;164.0;13.0;;;;;36.0;36.0;;;699.0;;8.0;;-83.04;;;-85.16;-4.0;-84.15;-3.27;-3.27;97.0;;104.0;;104.0;607.0;;;;;;;1524.0;;;;3086.0;77.0;;;;;114.0;0.0;;;114.0;1996.0;;;9.0;276.0;;919.0;3086.0;;3086.0;;-318.0;;;5.0;;-122.0;;4.0;;326.0;;;-4337.0;4282.0;432.0;;;;;-227.0;;713.0;549.0;;;3.89;-3.27;0.14;;;12.41;97.0;-3.9;-0.2;;378.0;;;-318.0;1.2;-84.2;;114.0;1205.0;-10.0;-10.2;-26.4;100.0;
2019.0;979.0;;210.0;;201.0;201.0;93.0;;3440.0;;2026.0;1414.0;141.0;787.0;13.0;941.0;141.0;;;;;54.0;54.0;;;778.0;;8.0;;21.4;;;20.56;1.0;20.49;2.18;2.16;92.0;;639.0;;639.0;604.0;;;;;;;986.0;;;;3440.0;100.0;;;;;114.0;0.0;;;114.0;2140.0;;;9.0;477.0;;928.0;3440.0;;3440.0;;201.0;;;7.0;;27.0;;23.0;;-67.0;;;-418.0;1206.0;-1.0;;2.0;;;11.0;;1654.0;713.0;;;10.66;2.18;1.54;;;15.4;92.0;4.7;0.2;;979.0;;;201.0;0.4;20.5;;114.0;1414.0;6.1;6.1;14.2;100.0;-1.3
2020.0;885.0;;160.0;;152.0;144.0;93.0;;3726.0;;2160.0;1564.0;73.0;6.0;-19.0;60.0;73.0;;;;;61.0;61.0;;;733.0;16.0;8.0;;18.07;;;17.18;8.0;16.22;1.54;1.53;93.0;;526.0;;526.0;670.0;;;;;;;1157.0;;;;3726.0;95.0;;;;;114.0;1.0;;;115.0;2276.0;;;10.0;620.0;;934.0;3724.0;1.0;3726.0;;144.0;;;7.0;;30.0;;-5.0;;-77.0;;;-447.0;548.0;-95.0;;;;;-19.0;;1714.0;1654.0;;;9.56;1.55;0.79;;;16.91;93.0;5.4;0.1;;885.0;;;144.0;5.3;16.2;;114.0;1564.0;4.1;4.3;9.2;100.0;
