;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2008.0;100.0;43.0;12.0;10.0;6.0;5.0;57.0;33.0;52.0;21.0;38.0;13.0;3.0;-7.0;-6.0;-9.0;-4.0;57.0;43.19;33.0;1.0;31.0;11.0;20.0;1.0;90.0;;2.0;3.0;11.51;10.21;-4.0;5.96;1.0;4.81;0.08;0.08;57.0;;4.0;;4.0;28.0;;2.0;9.0;6.0;;6.0;;2.0;1.0;18.0;;2.0;;;;19.0;17.0;;;0.0;17.0;;;;13.0;;-4.0;5.0;52.0;;52.0;;5.0;3.0;-2.0;5.0;-9.0;-6.0;;1.0;12.0;1.0;-7.0;;;;;-22.0;;;;16.0;0.0;4.0;13.0;;;1.75;0.08;-0.06;;0.12;0.24;57.0;;;;100.0;10.2;3.0;5.0;19.3;4.8;12.0;17.0;13.0;21.6;15.8;35.8;100.0;
2009.0;111.0;52.0;17.0;13.0;12.0;10.0;57.0;44.0;70.0;25.0;39.0;30.0;20.0;-7.0;-2.0;9.0;12.0;59.0;46.8;39.0;2.0;37.0;14.0;23.0;0.0;98.0;;1.0;4.0;15.26;11.49;-0.0;11.06;2.0;9.37;0.18;0.18;57.0;;13.0;;13.0;29.0;;2.0;14.0;6.0;;6.0;;3.0;3.0;26.0;;1.0;;;;24.0;14.0;;;0.0;15.0;;;;31.0;;-8.0;8.0;70.0;;70.0;;10.0;4.0;-1.0;6.0;7.0;-4.0;;-1.0;19.0;-6.0;-7.0;;;;;-14.0;;-0.0;;11.0;-0.0;13.0;4.0;;;1.93;0.18;0.21;;0.13;0.53;57.0;;;;111.0;11.5;4.0;10.0;15.2;9.4;19.0;14.0;30.0;25.2;19.2;34.2;100.0;1.0
2010.0;153.0;63.0;7.0;1.0;-0.0;-3.0;57.0;76.0;137.0;57.0;59.0;78.0;23.0;-9.0;-4.0;9.0;13.0;90.0;41.12;62.0;7.0;54.0;19.0;35.0;;152.0;;1.0;6.0;4.57;0.79;-2.0;-0.27;2.0;-1.68;-0.04;-0.04;57.0;;23.0;;23.0;49.0;;4.0;19.0;6.0;;6.0;;33.0;2.0;61.0;;4.0;;;;53.0;1.0;;;1.0;2.0;;;;0.0;22.0;-14.0;70.0;137.0;;137.0;;-3.0;6.0;-1.0;8.0;-0.0;-21.0;;2.0;19.0;12.0;-9.0;;;;;-2.0;;-0.0;;-2.0;0.0;23.0;13.0;;;2.67;-0.04;0.23;;0.16;1.36;57.0;;;;153.0;0.8;6.0;-3.0;-511.2;-1.7;19.0;1.0;78.0;6.5;0.6;-3.3;100.0;
2011.0;206.0;92.0;6.0;-3.0;-4.0;15.0;74.0;174.0;239.0;40.0;42.0;197.0;-11.0;-58.0;112.0;43.0;-25.0;113.0;44.81;95.0;13.0;82.0;34.0;49.0;;209.0;;1.0;9.0;2.73;-1.53;-1.0;-2.08;-19.0;7.35;0.23;0.21;67.0;;66.0;43.0;109.0;54.0;;11.0;27.0;6.0;;6.0;;30.0;1.0;65.0;;9.0;;;1.0;30.0;;;;2.0;2.0;;2.0;;0.0;19.0;-23.0;201.0;239.0;;239.0;;15.0;9.0;-21.0;12.0;116.0;-5.0;;2.0;135.0;-142.0;-14.0;;-54.0;10.0;;-40.0;126.0;;;26.0;-0.0;66.0;23.0;;;3.08;0.23;-0.38;;0.21;2.96;67.0;68.7;4.2;;206.0;-1.5;9.0;15.0;453.7;7.4;135.0;;197.0;6.7;-1.6;7.7;100.0;497.6
2012.0;244.0;107.0;-0.0;-10.0;-11.0;-43.0;74.0;180.0;224.0;31.0;38.0;187.0;11.0;-11.0;11.0;11.0;-10.0;136.0;44.06;117.0;19.0;98.0;41.0;57.0;;254.0;;0.0;10.0;-0.19;-4.08;-1.0;-4.39;32.0;-17.57;-0.58;-0.58;74.0;;77.0;33.0;109.0;65.0;;6.0;35.0;6.0;;6.0;;2.0;1.0;44.0;;3.0;;;2.0;25.0;7.0;;;;7.0;;1.0;;0.0;-23.0;-33.0;243.0;224.0;;224.0;;-43.0;10.0;31.0;21.0;15.0;-11.0;;-2.0;149.0;-24.0;-20.0;;-64.0;73.0;;-1.0;10.0;;;1.0;-0.0;77.0;66.0;;;3.28;-0.58;-0.13;;0.27;2.52;74.0;-20.9;-1.4;;244.0;-4.1;10.0;-43.0;-299.9;-17.6;149.0;7.0;187.0;-21.6;-4.7;-22.9;100.0;
2013.0;272.0;110.0;-7.0;-18.0;-22.0;-23.0;78.0;355.0;400.0;40.0;159.0;241.0;16.0;-82.0;160.0;94.0;10.0;162.0;40.38;128.0;24.0;104.0;45.0;59.0;;290.0;;4.0;12.0;-2.41;-6.44;-4.0;-8.07;1.0;-8.39;-0.29;-0.29;78.0;;170.0;105.0;275.0;73.0;;7.0;28.0;6.0;0.0;6.0;;2.0;9.0;45.0;;4.0;;;6.0;30.0;114.0;;;6.0;119.0;;1.0;;0.0;-46.0;1.0;286.0;400.0;-0.0;400.0;;-23.0;12.0;0.0;24.0;166.0;-7.0;;1.0;315.0;-163.0;-5.0;;-94.0;17.0;;-0.0;25.0;;;135.0;1.0;170.0;77.0;;;3.48;-0.29;0.13;;0.07;3.07;78.0;-30.5;-1.8;;272.0;-6.4;12.0;-23.0;-4.0;-8.4;315.0;114.0;241.0;-5.3;-4.6;-9.5;100.0;
2014.0;272.0;78.0;-72.0;-84.0;-95.0;-95.0;83.0;293.0;340.0;43.0;169.0;171.0;-24.0;-62.0;4.0;-80.0;-33.0;194.0;28.72;134.0;26.0;108.0;48.0;60.0;;328.0;;10.0;13.0;-26.36;-30.81;-11.0;-34.85;0.0;-34.96;-1.15;-1.15;83.0;;90.0;125.0;215.0;70.0;;7.0;26.0;6.0;5.0;11.0;;2.0;8.0;47.0;;3.0;;;7.0;33.0;121.0;;;5.0;125.0;;0.0;;0.0;-141.0;1.0;312.0;340.0;;340.0;;-95.0;13.0;-1.0;21.0;-66.0;4.0;;-0.0;250.0;103.0;-9.0;-33.0;-84.0;64.0;0.0;-0.0;4.0;;;0.0;2.0;90.0;170.0;;;3.28;-1.15;-0.4;;0.11;2.07;83.0;-4.9;-0.3;;272.0;-30.8;13.0;-95.0;-0.3;-35.0;250.0;121.0;171.0;-28.7;-25.0;-55.6;100.0;
2015.0;252.0;81.0;-15.0;-30.0;-39.0;-40.0;85.0;274.0;320.0;37.0;170.0;150.0;3.0;-25.0;4.0;-18.0;-9.0;171.0;32.05;107.0;16.0;90.0;46.0;44.0;;278.0;;10.0;14.0;-5.9;-11.77;-9.0;-15.47;1.0;-16.02;-0.47;-0.47;85.0;;72.0;136.0;209.0;57.0;;8.0;26.0;6.0;3.0;9.0;;2.0;9.0;46.0;;1.0;;;6.0;30.0;128.0;;;4.0;132.0;;0.0;;0.0;-182.0;-60.0;392.0;320.0;;320.0;;-40.0;14.0;1.0;13.0;-13.0;12.0;;-2.0;236.0;28.0;-12.0;;-95.0;83.0;-1.0;-0.0;6.0;-1.0;;;0.0;72.0;90.0;;;2.95;-0.47;-0.11;;0.14;1.76;85.0;-9.3;-0.5;;252.0;-11.8;14.0;-40.0;-3.6;-16.0;236.0;128.0;150.0;-10.5;-9.0;-26.9;100.0;
2016.0;253.0;88.0;-2.0;-15.0;-29.0;-32.0;86.0;256.0;306.0;38.0;179.0;127.0;4.0;-29.0;1.0;-25.0;-22.0;165.0;34.73;103.0;8.0;95.0;53.0;42.0;;268.0;;11.0;16.0;-0.64;-6.13;-13.0;-11.35;3.0;-12.7;-0.37;-0.37;86.0;;48.0;138.0;186.0;63.0;;8.0;38.0;6.0;2.0;8.0;;0.0;3.0;50.0;;2.0;;;4.0;32.0;135.0;;;6.0;141.0;;0.0;;0.0;-216.0;-1.0;344.0;306.0;;306.0;;-32.0;16.0;2.0;11.0;-18.0;-7.0;;1.0;219.0;26.0;-26.0;;-102.0;100.0;;-0.0;11.0;-9.0;;-1.0;-1.0;48.0;72.0;;;2.93;-0.37;-0.25;;0.31;1.47;86.0;-12.1;-0.5;;253.0;-6.1;16.0;-32.0;-11.9;-12.7;219.0;135.0;127.0;-7.4;-5.8;-25.3;100.0;
2017.0;239.0;75.0;1.0;-24.0;-31.0;-30.0;89.0;251.0;295.0;179.0;183.0;112.0;20.0;-15.0;0.0;4.0;3.0;164.0;31.54;92.0;6.0;86.0;53.0;33.0;;256.0;;10.0;23.0;0.41;-9.91;-8.0;-13.17;-2.0;-12.48;-0.33;-0.33;89.0;;51.0;137.0;189.0;57.0;;6.0;34.0;6.0;0.0;6.0;;0.0;4.0;44.0;;5.0;144.0;;1.0;29.0;;;;5.0;5.0;;;;0.0;-246.0;-1.0;359.0;295.0;;295.0;;-30.0;23.0;-2.0;14.0;-146.0;9.0;;2.0;73.0;161.0;-17.0;;-57.0;57.0;2.0;-0.0;1.0;;;-1.0;-2.0;51.0;48.0;;;2.68;-0.33;0.03;;0.19;1.26;89.0;-11.4;-0.5;;239.0;-9.9;23.0;-30.0;5.2;-12.5;73.0;;112.0;-17.5;-7.3;-26.6;100.0;
