;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;1.0;1.0;-5.0;0.0;-5.0;-5.0;2.0;;196.0;5.0;37.0;159.0;-147.0;;169.0;22.0;-147.0;0.0;97.92;1.0;;1.0;1.0;;-0.0;1.0;;;;-535.42;4.17;-5.0;-535.42;;-535.42;-2.94;-2.94;2.0;;22.0;;22.0;9.0;;;;;;;162.0;;4.0;;196.0;;5.0;;;;;;;13.0;;32.0;;;;-1.0;-5.0;164.0;196.0;;196.0;;-5.0;;-4.0;;-138.0;;;;;0.0;;;;;;;;0.0;;169.0;;22.0;;;;0.55;-2.94;-84.19;;;90.91;2.0;-118.7;-6.8;;1.0;4.2;;-5.0;;-535.4;-5.0;;159.0;-2.7;-2.6;-3.2;100.0;
2008.0;2.0;1.0;-122.0;-2.0;-122.0;-122.0;2.0;;62.0;15.0;24.0;38.0;-27.0;;11.0;-16.0;-27.0;1.0;39.87;3.0;;3.0;3.0;;-1.0;4.0;;;;-7984.31;-138.56;-120.0;-7984.31;;-7984.31;-64.29;-64.29;2.0;;6.0;;6.0;0.0;;;;;;;56.0;;;;62.0;;15.0;;;;;;;6.0;;10.0;;;;-69.0;-58.0;165.0;62.0;;62.0;;-122.0;;3.0;;92.0;;;;;;;;;;;;;;-11.0;22.0;;6.0;22.0;;;0.81;-64.29;-14.11;5.86;;19.89;2.0;-4.7;-0.2;2.0;2.0;-138.6;;-122.0;;-7984.3;-15.0;;38.0;-257.2;-197.0;-323.2;109.1;
2009.0;2.0;2.0;27.0;0.0;27.0;27.0;2.0;;98.0;30.0;34.0;65.0;-5.0;;-1.0;-6.0;-5.0;0.0;92.24;2.0;;2.0;2.0;;-0.0;2.0;;;;1168.53;17.67;27.0;1168.53;;1168.53;12.05;12.05;2.0;;0.0;;0.0;8.0;;;;;;;91.0;;;;98.0;;30.0;;;;;;;;;4.0;;;;-121.0;21.0;165.0;98.0;;98.0;;27.0;;;;-32.0;;;;;;;;;;;;;;-10.0;9.0;;0.0;6.0;;;1.03;12.05;-2.17;4.3;;28.67;2.0;10.5;0.1;3.4;2.0;17.7;;27.0;;1168.5;-30.0;;65.0;39.6;27.6;42.0;64.3;-197.8
2010.0;6.0;6.0;50.0;2.0;50.0;50.0;5.0;;293.0;70.0;85.0;208.0;-136.0;;137.0;1.0;-136.0;0.0;92.7;4.0;;3.0;3.0;;0.0;4.0;;;;778.57;35.71;48.0;778.57;;778.57;9.68;9.68;5.0;;1.0;;1.0;7.0;;;;;;;286.0;;;;293.0;;70.0;;;;;;;;;15.0;;;;-117.0;67.0;258.0;293.0;;293.0;;50.0;;;;-186.0;;;;;-0.0;;;;;;;;0.0;-14.0;150.0;;1.0;0.0;;;1.24;9.68;-26.22;2.61;;40.15;5.0;18.3;0.9;1.5;6.0;35.7;;50.0;;778.6;-70.0;;208.0;22.5;17.1;24.1;73.0;-10.0
2011.0;9.0;8.0;-1.0;0.0;-0.0;-0.0;7.0;;370.0;73.0;115.0;256.0;23.0;;45.0;68.0;23.0;1.0;92.45;8.0;;7.0;7.0;;1.0;9.0;;-0.0;;-5.66;2.89;-0.0;-1.0;;-1.0;-0.01;-0.01;7.0;;69.0;;69.0;2.0;;;;;;;299.0;;;;370.0;;73.0;;;;;;;41.0;;42.0;;;;-59.0;9.0;306.0;370.0;;370.0;;-0.0;;;;23.0;;;;;-0.0;;;;;;;;0.0;-24.0;69.0;;69.0;1.0;;;1.36;-0.01;3.52;3.67;;38.68;7.0;-14441.4;-886.0;1.9;9.0;2.9;;-0.0;;-1.0;-73.0;;256.0;-0.2;-0.1;-0.0;27022.2;
2012.0;5.0;4.0;-17.0;-5.0;-7.0;-8.0;7.0;;258.0;36.0;38.0;220.0;17.0;;-65.0;-48.0;17.0;1.0;81.25;9.0;;8.0;8.0;;1.0;10.0;;-10.0;;-326.56;-90.23;-2.0;-136.72;1.0;-149.41;-1.15;-1.15;7.0;;21.0;;21.0;0.0;;;;;;;237.0;;;;258.0;;36.0;;;;;;;1.0;;1.0;;;;-65.0;1.0;284.0;258.0;;258.0;;-8.0;;;;24.0;;;;;-0.0;;;;;;;;;-28.0;-37.0;;21.0;69.0;;;0.77;-1.15;2.49;4.28;;33.08;7.0;-154.9;-10.4;2.4;5.0;-90.2;;-8.0;-9.3;-149.4;-36.0;;220.0;-8.3;-6.5;-3.5;471.9;
2013.0;39.0;38.0;45.0;34.0;48.0;42.0;7.0;;330.0;73.0;96.0;234.0;-7.0;;8.0;1.0;-7.0;1.0;98.58;5.0;;5.0;5.0;;0.0;5.0;;-3.0;;115.96;86.81;14.0;123.24;6.0;108.39;6.27;6.27;7.0;;22.0;;22.0;0.0;;;;;;;308.0;;;;330.0;;73.0;;;;;;;14.0;;23.0;;;;-66.0;18.0;282.0;330.0;;330.0;;42.0;;;;-49.0;;;;;0.0;;;;;;;;;-28.0;37.0;;22.0;21.0;;;5.78;6.27;-1.07;4.24;;34.87;7.0;25.7;1.5;2.6;39.0;86.8;;42.0;12.0;108.4;-73.0;;234.0;15.4;13.6;18.0;32.4;-396.0
2014.0;41.0;40.0;-3.0;34.0;3.0;-5.0;7.0;;;;;;7.0;;-6.0;0.0;7.0;1.0;97.69;6.0;;5.0;5.0;;0.0;7.0;;-6.0;;-6.75;83.43;-32.0;6.75;8.0;-11.66;-0.71;-0.71;7.0;;22.0;;22.0;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;-5.0;;-6.0;;18.0;;;;;0.0;;;;;;;;;-29.0;23.0;;22.0;22.0;;;6.12;-0.71;1.01;4.31;;;7.0;-234.0;-12.9;2.6;41.0;83.4;;-5.0;272.3;-11.7;;;;inf;-inf;-inf;703.8;
2015.0;-73.0;-74.0;-100.0;-77.0;-100.0;-93.0;2.0;;;;;;45.0;;-67.0;-22.0;45.0;1.0;101.43;3.0;;4.0;4.0;;-0.0;4.0;;-0.0;;137.97;106.0;-23.0;137.43;-7.0;127.15;-54.99;-54.99;2.0;;0.0;;0.0;;;;;;;;;;4.0;;;;;;;;;;;0.0;;;;;;;-31.0;;;;;;-93.0;;3.0;;135.0;;;;;0.0;;;;;;;;;-15.0;-52.0;;0.0;22.0;;;-43.25;-54.99;26.47;8.68;;;2.0;-1.3;-0.1;12.4;-73.0;106.0;;-93.0;7.5;127.2;;;;-inf;-inf;-inf;115.8;
2016.0;-35.0;-36.0;15.0;-38.0;15.0;15.0;2.0;;150.0;50.0;50.0;100.0;1.0;;-1.0;-0.0;1.0;1.0;102.59;2.0;;2.0;2.0;;-1.0;3.0;;0.0;;-42.54;107.38;52.0;-42.02;0.0;-41.61;8.67;8.67;2.0;;;;;2.0;;;;;;;146.0;;1.0;;150.0;;50.0;;;;;;;;;0.0;;;;-183.0;22.0;261.0;150.0;;150.0;;15.0;;3.0;;-16.0;;;;;0.0;;;;;;;;;-7.0;6.0;;;0.0;;;-20.83;8.67;0.7;4.32;;59.4;2.0;5.3;0.2;9.4;-35.0;107.4;;15.0;1.0;-41.6;-50.0;;100.0;14.7;10.0;14.6;50.2;621.5
