;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;0.0;-1.0;-4.0;-2.0;;-4.0;3.0;92.0;92.0;20.0;20.0;72.0;-75.0;;75.0;;-75.0;1.0;-622.67;1.0;;1.0;1.0;;0.0;2.0;;;;-2226.15;-1252.93;-2.0;;;-2226.15;-1.07;-1.07;3.0;;0.0;91.0;91.0;0.0;;0.0;;;;;;;0.0;0.0;;0.0;;;;20.0;;;;;;;;;0.0;;;71.0;92.0;;92.0;;-4.0;;;;-0.0;;;0.0;71.0;-71.0;;;;;;;76.0;;;-1.0;;0.0;;;;0.05;-1.07;-22.13;;;21.17;3.0;-13.6;-0.8;;0.0;-1252.9;;-4.0;;-2226.1;71.0;;72.0;;-3.9;-5.1;100.0;
2012.0;-16.0;-23.0;-20.0;-8.0;-20.0;-20.0;16.0;12.0;253.0;1.0;1.0;253.0;-190.0;;201.0;11.0;-190.0;7.0;143.28;4.0;;4.0;4.0;;;8.0;0.0;;;126.15;52.68;-12.0;126.15;;126.15;-1.23;-1.23;16.0;;11.0;;11.0;0.0;;0.0;;;;;241.0;;;241.0;;0.0;;;;0.0;;;;;;;;;0.0;-10.0;-12.0;275.0;253.0;;253.0;;-20.0;;;;-60.0;;;0.0;11.0;-110.0;;;;;;;202.0;;;-1.0;;11.0;0.0;;;-0.98;-1.23;-11.8;;;15.69;16.0;-9.9;-0.7;;-16.0;52.7;;-20.0;;126.2;11.0;;253.0;-7.9;-7.8;-7.9;100.0;
2013.0;49.0;30.0;45.0;-22.0;44.0;35.0;21.0;378.0;378.0;22.0;90.0;288.0;-69.0;;65.0;-4.0;-69.0;19.0;60.79;5.0;;5.0;5.0;;;21.0;0.0;1.0;;92.64;-45.38;66.0;90.0;8.0;72.87;1.83;1.78;19.0;;7.0;366.0;373.0;0.0;;4.0;;;;;366.0;;;;;1.0;1.0;;;19.0;68.0;;;;68.0;;;;0.0;-19.0;-33.0;340.0;378.0;;378.0;;35.0;;8.0;;345.0;;;-0.0;356.0;-458.0;;;;;;;;;;65.0;;7.0;11.0;;;2.51;1.83;-3.57;;;14.91;19.0;5.6;0.3;;49.0;-45.4;;35.0;19.0;72.9;356.0;68.0;288.0;10.2;11.9;12.3;100.0;
2014.0;2.0;-9.0;2.0;-13.0;-3.0;-2.0;19.0;7.0;486.0;131.0;200.0;286.0;-22.0;;18.0;-4.0;-22.0;11.0;-564.51;5.0;;5.0;5.0;;;17.0;0.0;6.0;;125.23;-789.08;9.0;-214.6;-1.0;-127.36;-0.11;-0.11;19.0;;3.0;;3.0;0.0;;4.0;;;;;478.0;;;478.0;;91.0;18.0;;;22.0;68.0;;;;68.0;;;;0.0;-32.0;;318.0;486.0;;486.0;;-2.0;;-1.0;;-480.0;;;-0.0;-124.0;462.0;;;;;;-18.0;;;;36.0;;3.0;7.0;;;0.08;-0.11;-1.12;;;14.8;19.0;-97.8;-5.4;;2.0;-789.1;;-2.0;40.7;-127.4;-124.0;68.0;286.0;0.3;0.4;-0.7;100.0;
2015.0;20.0;;19.0;;14.0;8.0;19.0;;400.0;63.0;132.0;268.0;54.0;;-44.0;10.0;54.0;;;6.0;;5.0;5.0;;1.0;;0.0;5.0;;95.76;;;70.75;6.0;42.68;0.44;0.44;19.0;;13.0;;13.0;0.0;;;;;;;383.0;;;;400.0;28.0;;;;36.0;;;;67.0;67.0;135.0;;;0.0;-17.0;-14.0;298.0;400.0;;400.0;;8.0;;;;61.0;;;;-63.0;-15.0;;;;;;-24.0;;;-26.0;6.0;;13.0;3.0;;;1.03;0.44;2.81;1.36;;13.87;19.0;22.0;1.1;14.2;20.0;;;8.0;39.7;42.7;-63.0;;268.0;3.4;4.8;3.2;-211.3;48.6
2016.0;-72.0;;-72.0;;-77.0;-75.0;22.0;;301.0;41.0;109.0;192.0;-4.0;;-1.0;-5.0;-4.0;;;6.0;;6.0;6.0;;;;1.0;5.0;;101.16;;;107.77;-2.0;104.81;-3.38;-3.38;22.0;;8.0;;8.0;0.0;;;;;;;292.0;;;;301.0;28.0;;;;13.0;;;;68.0;68.0;;;;0.0;-1.0;-2.0;195.0;301.0;;301.0;;-75.0;;;;22.0;;;;-41.0;49.0;;;;;;-4.0;;;-1.0;3.0;;8.0;13.0;;;-3.23;-3.38;-0.18;0.04;;8.66;22.0;-1.6;-0.1;0.8;-72.0;;;-75.0;2.7;104.8;-41.0;;192.0;-27.1;-24.0;-39.0;101.2;
2017.0;19.0;;20.0;;15.0;18.0;22.0;;382.0;109.0;177.0;205.0;57.0;;-5.0;52.0;57.0;;;4.0;;5.0;5.0;;-1.0;;0.0;5.0;;102.52;;;77.84;-3.0;92.33;0.8;0.8;22.0;;60.0;;60.0;1.0;;;;;;;321.0;;;;382.0;91.0;;;;18.0;;;;68.0;68.0;;;;0.0;-9.0;-8.0;221.0;382.0;;382.0;;18.0;;;;-67.0;;;;-109.0;106.0;;;;;;-16.0;;-5.0;;16.0;;60.0;8.0;;;0.87;0.8;2.58;;;9.34;22.0;6.3;0.3;;19.0;;;18.0;-18.6;92.3;-109.0;;205.0;8.5;5.1;8.6;100.0;8.7
2018.0;-7.0;;-1.0;;-6.0;1.0;21.0;;330.0;96.0;135.0;195.0;10.0;;-41.0;-32.0;10.0;;;-1.0;;5.0;5.0;;-5.0;;1.0;5.0;;19.1;;;86.94;-7.0;-13.31;0.04;0.04;21.0;;28.0;;28.0;3.0;;;;;;;299.0;;;;330.0;90.0;;;;6.0;;;;38.0;38.0;;;;0.0;-16.0;-24.0;235.0;330.0;;330.0;;1.0;;;;12.0;;;;-96.0;-3.0;;;;;;-69.0;;-10.0;;38.0;;28.0;60.0;;;-0.32;0.04;0.46;;;9.48;21.0;162.3;6.5;;-7.0;;;1.0;115.3;-13.3;-96.0;;195.0;0.1;-0.4;0.5;100.0;107.3
2019.0;35.0;;25.0;;23.0;24.0;23.0;44861.0;289.0;50.0;89.0;200.0;35.0;;-18.0;17.0;35.0;;;12.0;;8.0;8.0;;4.0;;1.0;2.0;;71.76;;;65.06;-1.0;67.56;1.24;1.14;19.0;;45.0;;45.0;0.0;;44816.0;;;;;242.0;;;;;48.0;;;;1.0;;;;39.0;39.0;;;;0.0;-26.0;-20.0;245.0;289.0;;289.0;;24.0;;;;44908.0;;;;44811.0;-44897.0;;;;;;;;-15.0;-4.0;;;45.0;28.0;;;1.83;1.24;1.81;0.18;;10.34;19.0;5.3;0.2;2.8;35.0;;;24.0;-3.8;67.6;44811.0;;200.0;11.1;8.8;12.0;85.3;52.3
2020.0;89.0;1824.0;4.0;-14514.0;75.0;75.0;22.0;46.0;479.0;1.0;177.0;302.0;-24.0;;25.0;1.0;-24.0;;2039.77;14.0;;5.0;5.0;;9.0;16339.0;1.0;2.0;-73.0;4.67;-16230.25;14590.0;84.24;;84.24;4.21;3.56;18.0;;46.0;;46.0;1.0;;-1.0;;;;;431.0;;;;433.0;140.0;;0.0;;-139.0;;;;;;177.0;;;0.0;-40.0;;342.0;479.0;;479.0;;75.0;-73.0;;2.0;-44766.0;1.0;;-0.0;45.0;44739.0;;;90.0;;;;50.0;-10.0;-15.0;-0.0;;46.0;45.0;;;4.99;4.21;-1.32;0.82;;16.84;18.0;2.1;0.1;9.1;89.0;-16230.3;-73.0;75.0;;84.2;45.0;;302.0;16.2;16.2;25.0;80.5;105.2
2021.0;158.0;;;0.0;;;27.0;;462.0;;97.0;365.0;;;;;;;;;;;;;;;1.0;1.0;;;0.01;;;;;5.69;5.52;26.0;;198.0;;198.0;;;;;;;;;;;;462.0;;;;;;;;;;;97.0;;;0.0;;;;462.0;;462.0;;;;;;385.0;;;;430.0;-385.0;;;;;;;;;;;;;46.0;;;6.1;;;;;14.11;26.0;inf;inf;;158.0;0.0;;;;;;;365.0;;;;;
