;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;1403.0;458.0;190.0;122.0;-172.0;-252.0;144.0;466.0;3556.0;305.0;2989.0;566.0;155.0;-356.0;176.0;-25.0;89.0;945.0;32.67;331.0;34.0;;;;297.0;1276.0;3.0;191.0;189.0;13.57;8.72;-294.0;-12.24;63.0;-17.99;-1.75;-1.75;144.0;;60.0;;60.0;212.0;156.0;39.0;267.0;1556.0;1180.0;2736.0;;2.0;84.0;3089.0;;127.0;;;;178.0;2491.0;;95.0;98.0;2684.0;;71.0;;2.0;-465.0;-86.0;1116.0;3556.0;;3556.0;;-252.0;189.0;44.0;2.0;41.0;5.0;-19.0;46.0;161.0;132.0;-67.0;-277.0;;;-12.0;-16.0;;;;191.0;;60.0;85.0;;;9.74;-1.75;0.61;;0.46;3.93;144.0;;;;1403.0;8.7;189.0;-252.0;-36.4;-18.0;161.0;2491.0;566.0;0.0;0.0;-44.6;100.0;
2008.0;1423.0;471.0;317.0;80.0;-61.0;-135.0;144.0;406.0;3303.0;390.0;2898.0;405.0;47.0;-39.0;9.0;18.0;7.0;952.0;33.1;354.0;38.0;;;;315.0;1305.0;2.0;198.0;200.0;22.28;5.62;-141.0;-4.28;54.0;-9.46;-0.93;-0.93;144.0;;78.0;;78.0;146.0;139.0;43.0;255.0;1537.0;1033.0;2570.0;;4.0;68.0;2897.0;;64.0;;;;326.0;2242.0;;134.0;132.0;2508.0;;269.0;;2.0;-600.0;-135.0;1139.0;3303.0;;3303.0;;-135.0;200.0;29.0;2.0;-146.0;66.0;27.0;-108.0;16.0;96.0;-41.0;0.0;;;2.0;-23.0;;-0.0;;32.0;;78.0;60.0;;;9.88;-0.93;0.05;;0.28;2.81;144.0;;;;1423.0;5.6;200.0;-135.0;-87.9;-9.5;16.0;2242.0;405.0;7.5;3.5;-33.2;100.0;
2009.0;1135.0;393.0;367.0;58.0;16.0;-28.0;144.0;487.0;3167.0;242.0;2780.0;387.0;188.0;-15.0;-102.0;71.0;173.0;742.0;34.62;297.0;17.0;;;;280.0;1039.0;1.0;151.0;202.0;32.38;5.12;-42.0;1.39;43.0;-2.44;-0.19;-0.19;144.0;;148.0;;148.0;181.0;125.0;32.0;220.0;1531.0;866.0;2396.0;;6.0;58.0;2680.0;;123.0;;;;119.0;2244.0;;165.0;129.0;2538.0;;57.0;;2.0;-628.0;-181.0;1194.0;3167.0;;3167.0;;-28.0;202.0;26.0;2.0;230.0;-35.0;14.0;62.0;245.0;-244.0;-15.0;;;;-0.0;-76.0;0.0;;;-25.0;;148.0;78.0;;;7.88;-0.19;1.2;;0.1;2.69;144.0;;;;1135.0;5.1;202.0;-28.0;273.1;-2.4;245.0;2244.0;387.0;-9.8;5.2;-7.1;100.0;
2010.0;1540.0;592.0;458.0;228.0;168.0;130.0;173.0;865.0;3388.0;255.0;2380.0;1008.0;300.0;-53.0;98.0;345.0;247.0;948.0;38.44;364.0;25.0;195.0;195.0;;145.0;1312.0;1.0;106.0;183.0;29.73;14.83;-60.0;10.93;38.0;8.44;0.78;0.75;166.0;;494.0;;494.0;198.0;141.0;32.0;235.0;1529.0;723.0;2252.0;;5.0;32.0;2523.0;;133.0;17.0;;;105.0;1873.0;;179.0;73.0;2125.0;;;;2.0;-498.0;-27.0;1530.0;3388.0;;3388.0;;130.0;183.0;24.0;25.0;364.0;-17.0;-16.0;;610.0;-427.0;-53.0;;;;0.0;-358.0;434.0;;;22.0;;494.0;148.0;;;9.26;0.78;1.49;;0.32;6.06;166.0;25.7;1.2;;1540.0;14.8;183.0;130.0;22.8;8.4;610.0;1873.0;1008.0;6.8;8.1;12.9;100.0;-175.4
2011.0;1827.0;660.0;361.0;294.0;75.0;6.0;181.0;593.0;3457.0;279.0;2412.0;1045.0;306.0;-554.0;-153.0;-402.0;216.0;1167.0;36.13;351.0;45.0;165.0;165.0;;142.0;1518.0;1.0;100.0;186.0;19.75;16.1;-219.0;4.12;69.0;0.35;0.04;0.04;175.0;;92.0;;92.0;261.0;198.0;42.0;340.0;1747.0;738.0;2484.0;;4.0;35.0;2863.0;;155.0;14.0;;;110.0;1778.0;;262.0;92.0;2132.0;;43.0;;2.0;-491.0;-23.0;1557.0;3457.0;;3457.0;;6.0;186.0;49.0;8.0;-296.0;-11.0;-20.0;;314.0;353.0;-90.0;-465.0;;;;-1933.0;0.0;;;1780.0;;92.0;494.0;;;10.42;0.04;1.23;;0.51;5.96;175.0;870.6;53.4;;1827.0;16.1;186.0;6.0;91.4;0.4;314.0;1778.0;1045.0;0.5;5.1;0.6;100.0;-0.1
2012.0;1914.0;656.0;472.0;277.0;173.0;177.0;182.0;895.0;3648.0;278.0;2426.0;1222.0;397.0;-63.0;-13.0;321.0;343.0;1258.0;34.29;339.0;52.0;142.0;142.0;;145.0;1596.0;1.0;100.0;199.0;24.67;14.5;-105.0;9.02;-5.0;9.27;1.0;0.98;177.0;;414.0;;414.0;258.0;176.0;47.0;328.0;1754.0;604.0;2358.0;;39.0;29.0;2754.0;;153.0;13.0;;;113.0;1768.0;;272.0;107.0;2148.0;;43.0;;2.0;-316.0;-39.0;1575.0;3648.0;;3648.0;;177.0;199.0;-26.0;15.0;302.0;7.0;22.0;-14.0;616.0;-270.0;-55.0;-13.0;;;6.0;-13.0;;-15.0;;15.0;;414.0;92.0;;;10.78;1.0;1.93;;0.31;6.89;177.0;30.2;2.0;;1914.0;14.5;199.0;177.0;-2.8;9.3;616.0;1768.0;1222.0;8.3;7.5;14.5;100.0;4.4
2013.0;1981.0;724.0;514.0;363.0;234.0;188.0;179.0;856.0;3499.0;318.0;2357.0;1142.0;396.0;-88.0;-404.0;-96.0;313.0;1256.0;36.58;355.0;58.0;163.0;163.0;;134.0;1612.0;1.0;95.0;185.0;25.97;18.35;-130.0;11.81;46.0;9.5;1.07;1.05;176.0;;318.0;;318.0;292.0;183.0;63.0;345.0;1756.0;502.0;2258.0;;11.0;29.0;2643.0;;178.0;8.0;;;133.0;1667.0;;281.0;90.0;2039.0;;49.0;;2.0;-188.0;-33.0;1360.0;3499.0;;3499.0;;188.0;185.0;26.0;9.0;-79.0;-33.0;-7.0;24.0;537.0;67.0;-83.0;-15.0;;;11.0;-712.0;;-305.0;;613.0;;318.0;414.0;;;11.25;1.07;1.78;;0.47;6.48;176.0;33.4;2.0;;1981.0;18.4;185.0;188.0;19.6;9.5;537.0;1667.0;1142.0;8.3;9.4;16.5;100.0;97.5
2014.0;2410.0;842.0;573.0;372.0;253.0;284.0;172.0;1119.0;5117.0;678.0;3814.0;1303.0;383.0;-1430.0;941.0;-107.0;238.0;1567.0;34.96;449.0;82.0;220.0;220.0;;147.0;2016.0;1.0;107.0;213.0;23.78;15.42;-118.0;10.52;-30.0;11.77;1.67;1.65;170.0;;211.0;;211.0;445.0;356.0;106.0;589.0;2425.0;911.0;3336.0;;17.0;56.0;3998.0;;288.0;146.0;;15.0;229.0;2651.0;;363.0;123.0;3136.0;;45.0;;2.0;67.0;-12.0;1245.0;5117.0;;5117.0;;284.0;213.0;-59.0;13.0;-96.0;-26.0;-77.0;19.0;441.0;28.0;-144.0;-1294.0;;;8.0;-76.0;;-182.0;;1199.0;;211.0;318.0;;;14.17;1.67;1.4;;0.85;7.66;170.0;26.8;1.5;;2410.0;15.4;213.0;284.0;-12.0;11.8;441.0;2651.0;1303.0;9.1;7.0;21.8;100.0;76.3
2015.0;2975.0;997.0;626.0;394.0;206.0;348.0;172.0;1278.0;6337.0;865.0;4669.0;1669.0;533.0;-1166.0;764.0;131.0;356.0;1978.0;33.52;582.0;124.0;271.0;271.0;;187.0;2559.0;;138.0;283.0;21.04;13.23;-188.0;6.91;-142.0;11.69;2.05;2.03;170.0;;342.0;;342.0;468.0;359.0;109.0;694.0;3020.0;1263.0;4282.0;;26.0;56.0;5059.0;;291.0;300.0;;;274.0;3303.0;;390.0;110.0;3804.0;;36.0;;2.0;391.0;-26.0;1301.0;6337.0;;6337.0;;348.0;283.0;-179.0;15.0;-29.0;19.0;41.0;-38.0;413.0;95.0;-177.0;-994.0;;;5.0;-2000.0;;-0.0;;2764.0;;342.0;211.0;;;17.5;2.05;2.09;;1.04;9.82;170.0;24.7;1.2;;2975.0;13.2;283.0;348.0;-69.1;11.7;413.0;3303.0;1669.0;10.6;5.4;20.8;100.0;0.0
2016.0;3202.0;1118.0;796.0;492.0;321.0;262.0;171.0;1341.0;6241.0;583.0;4299.0;1942.0;522.0;-175.0;-338.0;9.0;391.0;2084.0;34.91;622.0;127.0;294.0;294.0;;201.0;2706.0;;166.0;308.0;24.85;15.37;-171.0;10.04;59.0;8.2;1.54;1.53;171.0;;351.0;;351.0;500.0;390.0;100.0;726.0;3005.0;1075.0;4081.0;;21.0;72.0;4899.0;;299.0;15.0;;;269.0;3227.0;;393.0;96.0;3716.0;;32.0;;2.0;637.0;-34.0;1337.0;6241.0;;6241.0;;262.0;308.0;8.0;17.0;345.0;-33.0;-38.0;-21.0;758.0;-421.0;-130.0;5.0;-50.0;;1.0;-336.0;;-5.0;;3.0;;351.0;342.0;;;18.76;1.54;2.29;;0.76;11.38;171.0;24.2;1.1;;3202.0;15.4;308.0;262.0;18.4;8.2;758.0;3227.0;1942.0;7.0;7.8;13.5;100.0;1.2
