;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;41.0;41.0;31.0;19.0;7.0;8.0;111.0;110.0;980.0;174.0;483.0;497.0;22.0;-672.0;683.0;34.0;22.0;0.0;99.98;21.0;;10.0;10.0;;11.0;21.0;2.0;11.0;11.0;76.04;47.34;-12.0;18.14;0.0;20.13;0.07;0.07;111.0;;65.0;;65.0;41.0;;4.0;;;;;;;870.0;870.0;;;161.0;;;13.0;307.0;2.0;;1.0;309.0;;;;0.0;-6.0;-1.0;503.0;980.0;;980.0;;8.0;11.0;;0.0;1.0;;;;-64.0;2.0;;;;;-672.0;-200.0;280.0;;-6.0;609.0;;65.0;31.0;;;0.37;0.07;0.2;0.05;;4.48;111.0;;;;41.0;47.3;11.0;8.0;1.0;20.1;-64.0;307.0;497.0;2.4;2.0;1.6;30.5;-1224.8
2013.0;109.0;109.0;92.0;64.0;22.0;26.0;111.0;162.0;1786.0;13.0;1012.0;774.0;55.0;-787.0;729.0;-3.0;55.0;0.0;99.88;44.0;;14.0;14.0;;30.0;45.0;5.0;35.0;31.0;84.82;59.04;-42.0;20.64;0.0;24.16;0.23;0.23;111.0;;62.0;;62.0;67.0;;34.0;;;;;;;1624.0;1624.0;;;;;;13.0;992.0;7.0;;0.0;999.0;;;;1.0;-25.0;-0.0;798.0;1786.0;;1786.0;;26.0;31.0;;1.0;213.0;;;;149.0;-216.0;;;;;-787.0;-530.0;294.0;;-52.0;1016.0;;62.0;65.0;;;0.98;0.24;0.5;0.47;;6.98;111.0;;;;109.0;59.0;31.0;26.0;0.7;24.2;149.0;992.0;774.0;3.4;3.4;3.4;-96.1;-440.8
2014.0;190.0;190.0;173.0;113.0;43.0;48.0;78.0;281.0;2914.0;44.0;1331.0;1583.0;108.0;-1060.0;1026.0;74.0;108.0;0.0;99.75;77.0;;19.0;19.0;;57.0;77.0;8.0;68.0;57.0;91.0;59.57;-71.0;22.41;0.0;25.28;0.61;0.61;78.0;;136.0;;136.0;111.0;;33.0;;;;;;;2633.0;2633.0;;;;;;44.0;1284.0;;;3.0;1287.0;;;;1.0;-54.0;-0.0;1636.0;2914.0;;2914.0;;48.0;57.0;;2.0;88.0;;;;237.0;-87.0;;;;;-1060.0;-611.0;875.0;-0.0;-65.0;826.0;;136.0;62.0;;;2.43;0.61;1.38;0.82;;20.17;78.0;33.6;1.9;4.0;190.0;59.6;57.0;48.0;0.4;25.3;237.0;1284.0;1583.0;4.0;4.0;3.0;-34.1;-750.0
2015.0;285.0;283.0;248.0;167.0;83.0;84.0;122.0;280.0;3911.0;74.0;1852.0;2060.0;186.0;-1178.0;923.0;-69.0;186.0;2.0;99.47;117.0;;28.0;28.0;;89.0;118.0;14.0;75.0;89.0;87.07;58.53;-84.0;29.05;0.0;29.42;0.68;0.68;122.0;;67.0;;67.0;213.0;;;;;;;;;3631.0;3631.0;;;;;;74.0;1770.0;;;7.0;1777.0;;;;1.0;-103.0;-0.0;2162.0;3911.0;;3911.0;;84.0;89.0;;5.0;-31.0;;;;206.0;40.0;-1076.0;;;;-102.0;-690.0;542.0;;-108.0;1179.0;;67.0;136.0;;;2.33;0.69;1.52;0.88;8.81;16.86;122.0;31.8;1.6;4.1;285.0;58.5;89.0;84.0;0.3;29.4;206.0;1770.0;2060.0;4.1;4.1;4.1;-28.8;-233.6
2016.0;376.0;372.0;341.0;218.0;110.0;123.0;149.0;323.0;4942.0;155.0;2458.0;2483.0;246.0;-1130.0;874.0;-10.0;246.0;4.0;98.92;154.0;;35.0;34.0;1.0;120.0;158.0;20.0;98.0;120.0;90.67;57.9;-107.0;29.35;0.0;32.77;0.82;0.82;149.0;;54.0;;54.0;269.0;;;;;;;;;4618.0;4618.0;;61.0;48.0;;;46.0;2304.0;;;;2304.0;;;;2.0;-152.0;1.0;2632.0;4942.0;;4942.0;;123.0;120.0;;7.0;-38.0;;;;169.0;34.0;-1092.0;;;;-39.0;-580.0;479.0;;-163.0;1138.0;;73.0;83.0;;;2.53;0.83;1.65;1.09;7.33;16.68;149.0;32.3;1.5;4.1;376.0;57.9;120.0;123.0;0.3;32.8;169.0;2304.0;2483.0;4.6;4.5;5.0;-31.9;-128.3
2017.0;453.0;448.0;423.0;257.0;123.0;162.0;179.0;331.0;5900.0;422.0;2729.0;3171.0;309.0;-1101.0;767.0;-24.0;309.0;5.0;98.95;191.0;;41.0;41.0;;150.0;196.0;23.0;111.0;150.0;93.47;56.71;-134.0;27.14;0.0;35.78;0.9;0.9;179.0;;43.0;;43.0;271.0;;17.0;;;;;;;5569.0;5569.0;;;290.0;;;132.0;2307.0;;;;2307.0;;;;2.0;-215.0;3.0;3381.0;5900.0;;5900.0;;162.0;150.0;;8.0;-259.0;;;;-91.0;249.0;-1095.0;;;;-5.0;-638.0;754.0;;-210.0;861.0;;49.0;73.0;;;2.54;0.91;1.73;1.18;6.13;17.76;179.0;26.6;1.1;4.9;453.0;56.7;150.0;162.0;0.4;35.8;-91.0;2307.0;3171.0;5.0;4.6;5.1;-29.5;-176.0
2018.0;541.0;537.0;520.0;309.0;218.0;217.0;205.0;379.0;7114.0;325.0;3250.0;3864.0;392.0;-1367.0;969.0;-6.0;392.0;4.0;99.21;228.0;;46.0;46.0;;182.0;232.0;26.0;120.0;182.0;96.12;57.13;-91.0;40.24;1.0;40.12;1.06;1.06;204.0;;28.0;;28.0;351.0;;;;;;;;;6735.0;6735.0;;;135.0;;;190.0;2925.0;;;;2925.0;;;;2.0;-268.0;-0.0;4129.0;7114.0;;7114.0;;217.0;182.0;;9.0;144.0;;;;54.0;-160.0;-1284.0;;;;-83.0;-1427.0;754.0;;-256.0;1898.0;;43.0;49.0;;;2.65;1.06;1.92;1.25;6.28;18.91;204.0;25.2;1.0;4.7;541.0;57.1;182.0;217.0;0.3;40.1;54.0;2925.0;3864.0;5.0;4.8;5.6;-17.8;-127.2
2019.0;666.0;655.0;656.0;379.0;286.0;285.0;230.0;682.0;8297.0;191.0;3811.0;4485.0;458.0;-1250.0;860.0;68.0;458.0;11.0;98.38;276.0;;54.0;54.0;;222.0;287.0;34.0;148.0;222.0;98.48;56.88;-93.0;42.91;1.0;42.81;1.24;1.24;230.0;;100.0;;100.0;582.0;;;24.0;;44.0;44.0;;;7546.0;7615.0;;;;;;191.0;3591.0;;;29.0;3620.0;;29.0;;2.0;-303.0;-2.0;4788.0;8297.0;;8297.0;;285.0;222.0;;12.0;438.0;;;;491.0;-498.0;-1013.0;;;;-237.0;-1185.0;660.0;;-307.0;1692.0;;111.0;43.0;;;2.9;1.24;2.0;1.34;4.41;19.52;230.0;28.1;1.2;3.8;666.0;56.9;222.0;285.0;0.2;42.8;491.0;3591.0;4485.0;5.3;5.2;6.4;-7.8;-77.0
2020.0;694.0;694.0;456.0;213.0;213.0;213.0;253.0;0.0;62.0;1641.0;3989.0;5016.0;432.0;-812.0;445.0;65.0;432.0;;100.0;50.0;;50.0;50.0;;;50.0;;;243.0;65.7;30.71;;30.71;1.0;30.62;0.84;0.84;253.0;;0.0;;0.0;650.0;;-650.0;;;62.0;62.0;;;;62.0;;;;;131.0;1510.0;2916.0;;;;2916.0;;39.0;;3.0;-460.0;-3.0;5476.0;9004.0;-8943.0;62.0;;213.0;243.0;;5.0;-2132.0;-154.0;;;-1641.0;2103.0;;;;;-107.0;-128.0;696.0;;-353.0;230.0;;177.0;111.0;;;2.75;0.84;1.71;1.4;;19.86;253.0;32.0;0.8;5.2;694.0;30.7;243.0;213.0;0.3;30.6;-1641.0;2916.0;5016.0;2.9;2.4;4.2;-66.1;-79.4
2021.0;783.0;764.0;696.0;269.0;269.0;268.0;271.0;787.0;9773.0;383.0;4629.0;5144.0;583.0;-1130.0;440.0;-107.0;583.0;18.0;97.67;350.0;;84.0;84.0;;266.0;368.0;;161.0;266.0;88.91;34.39;;34.39;1.0;34.29;0.99;0.99;271.0;;64.0;;64.0;697.0;;25.0;33.0;;30.0;30.0;;;8923.0;8986.0;;;130.0;;;253.0;4246.0;;;;4246.0;;38.0;;3.0;-602.0;-2.0;;9773.0;;9773.0;;268.0;266.0;;32.0;42.0;;;;;-25.0;;;;;-1130.0;-936.0;248.0;;-398.0;1526.0;;70.0;177.0;;;2.89;0.99;2.15;1.47;;18.96;271.0;34.6;1.2;4.3;783.0;34.4;266.0;268.0;0.3;34.3;404.0;4246.0;5144.0;4.6;4.4;5.2;-48.3;25.8
