;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;88.0;61.0;48.0;-3.0;-18.0;-12.0;7.0;44.0;712.0;24.0;546.0;165.0;30.0;-35.0;8.0;8.0;14.0;27.0;69.21;64.0;;;;;64.0;91.0;;11.0;54.0;54.39;-3.42;-15.0;-20.52;-6.0;-13.8;-1.7;-1.7;7.0;;3.0;;3.0;40.0;;1.0;400.0;;;;;;269.0;669.0;;23.0;;;;1.0;474.0;;47.0;1.0;522.0;;;;;-12.0;-305.0;482.0;710.0;2.0;712.0;;-12.0;54.0;-9.0;;-19.0;;;;9.0;15.0;-15.0;;;;-20.0;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;25.0;70.0;52.0;-19.0;-21.0;-19.0;7.0;106.0;396.0;97.0;250.0;146.0;101.0;199.0;-301.0;-301.0;95.0;-45.0;281.05;89.0;;;;;89.0;44.0;;5.0;73.0;208.87;-76.61;-2.0;-83.06;-7.0;-75.81;-5.28;-5.28;7.0;;3.0;;3.0;103.0;;0.0;287.0;;;;;;4.0;290.0;;32.0;;;;64.0;118.0;;30.0;6.0;153.0;;;;;-31.0;-305.0;482.0;396.0;;396.0;;-19.0;73.0;-17.0;;-24.0;;;;-15.0;88.0;-6.0;;;;205.0;;;;;-301.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;40.0;-0.0;-120.0;-9.0;-123.0;-86.0;7.0;7.0;214.0;22.0;155.0;59.0;12.0;29.0;-42.0;-42.0;-43.0;41.0;-0.25;9.0;;;;;9.0;49.0;;1.0;2.0;-297.52;-21.78;-114.0;-304.7;-37.0;-213.61;-12.08;-12.08;7.0;;1.0;;1.0;6.0;;;199.0;;;;;;9.0;208.0;;19.0;;;;3.0;129.0;;;4.0;133.0;;;;;-117.0;;177.0;214.0;;214.0;;-86.0;2.0;-30.0;;17.0;;;;2.0;110.0;-55.0;;;;84.0;;;;;-42.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;48.0;3.0;1.0;-4.0;-3.0;0.0;7.0;10.0;195.0;8.0;135.0;60.0;48.0;-35.0;-11.0;-11.0;48.0;46.0;5.39;7.0;;;;;7.0;52.0;;1.0;3.0;2.28;-8.51;2.0;-5.19;-3.0;0.41;0.02;0.02;7.0;;2.0;;2.0;7.0;;;180.0;;;;;;5.0;185.0;;8.0;;;;;121.0;;;6.0;127.0;;;;;-117.0;;177.0;195.0;;195.0;;0.0;3.0;;;-5.0;;;;-4.0;50.0;;;;;-35.0;;;;;-11.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;79.0;7.0;5.0;4.0;;-0.0;8.0;6.0;130.0;10.0;74.0;56.0;69.0;-6.0;-63.0;-63.0;63.0;72.0;9.22;4.0;;2.0;2.0;;2.0;76.0;;4.0;2.0;6.44;4.42;;;;-0.38;0.02;0.02;7.0;;2.0;;2.0;4.0;;;118.0;;;;;;6.0;124.0;;6.0;;;;4.0;58.0;;;6.0;64.0;;;;;-117.0;;173.0;130.0;;130.0;;-0.0;2.0;;;4.0;;;;-0.0;64.0;-6.0;;;;;;;;;-63.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;31.0;7.0;7.0;4.0;7.0;7.0;7.0;3.0;113.0;3.0;46.0;67.0;30.0;-10.0;-21.0;-21.0;20.0;24.0;21.94;3.0;;3.0;3.0;;0.0;27.0;;;0.0;23.23;12.58;3.0;22.9;0.0;22.58;0.98;0.96;7.0;;1.0;;1.0;2.0;;0.0;105.0;;;;;;5.0;110.0;;1.0;;;;2.0;37.0;;;6.0;43.0;;;;;-110.0;;177.0;113.0;;113.0;;7.0;0.0;;;4.0;;;;4.0;18.0;-10.0;;;;;;;;;-21.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;18.0;4.0;-0.0;-1.0;-3.0;-3.0;7.0;7.0;112.0;2.0;38.0;74.0;11.0;-9.0;2.0;2.0;5.0;14.0;20.45;4.0;;4.0;4.0;;0.0;18.0;;2.0;0.0;-2.27;-2.84;-2.0;-14.2;0.0;-14.77;-0.36;-0.36;7.0;;5.0;;5.0;1.0;;0.0;97.0;;;;;;9.0;105.0;;1.0;;;;2.0;29.0;;;6.0;35.0;;;;;-113.0;-122.0;309.0;112.0;;112.0;;-3.0;0.0;;;-1.0;;;;3.0;15.0;-6.0;;;;-3.0;;10.0;;;-8.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;15.0;7.0;3.0;3.0;3.0;3.0;8.0;6.0;116.0;2.0;39.0;77.0;21.0;-9.0;-13.0;-1.0;12.0;8.0;47.62;4.0;;4.0;4.0;;0.0;11.0;;;0.0;21.09;23.13;-0.0;20.41;0.0;19.73;0.4;0.36;7.0;;4.0;;4.0;1.0;;0.0;92.0;;;;;;18.0;110.0;;1.0;;;;2.0;17.0;;;20.0;37.0;;;;0.0;-110.0;-209.0;396.0;116.0;;116.0;;3.0;0.0;;;2.0;;;;5.0;15.0;-9.0;;;;-0.0;;;;;-13.0;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;10.0;1.0;16.0;-2.0;15.0;14.0;8.0;9.0;112.0;3.0;21.0;91.0;18.0;-5.0;-8.0;4.0;12.0;9.0;14.04;4.0;;4.0;4.0;;0.0;13.0;;1.0;0.0;158.7;-24.22;17.0;144.75;0.0;140.83;1.98;1.74;7.0;;8.0;;8.0;1.0;;0.0;93.0;;;;;;10.0;103.0;;2.0;;;;1.0;8.0;;;9.0;17.0;;;;0.0;-96.0;-189.0;375.0;112.0;;112.0;;14.0;0.0;;;-5.0;;;;0.0;9.0;-5.0;;;;;;0.0;;;-8.0;;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;15.0;6.0;5.0;3.0;4.0;4.0;8.0;5.0;129.0;4.0;45.0;85.0;3.0;-24.0;17.0;-4.0;-20.0;9.0;38.57;3.0;;3.0;3.0;;;12.0;1.0;0.0;0.0;30.54;18.84;1.0;26.57;;26.57;0.55;0.48;7.0;;4.0;;4.0;1.0;;0.0;110.0;;;;;;15.0;125.0;;2.0;;;;2.0;26.0;;;15.0;40.0;;;;0.0;-92.0;-0.0;176.0;129.0;;129.0;;4.0;0.0;;;-5.0;;;;-5.0;4.0;-23.0;;;;-1.0;;0.0;-0.0;;17.0;;4.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;12.0;3.0;1.0;-1.0;;-1.0;7.0;2.0;139.0;7.0;53.0;87.0;7.0;-8.0;-1.0;-2.0;-3.0;8.0;27.12;4.0;;4.0;4.0;;;13.0;1.0;1.0;1.0;9.35;-9.91;1.0;;;-4.5;0.26;0.25;7.0;;1.0;;1.0;1.0;;0.0;132.0;;;;;;5.0;137.0;;2.0;2.0;;;3.0;42.0;;;3.0;46.0;;;;0.0;-92.0;-3.0;181.0;139.0;;139.0;;-1.0;1.0;;;4.0;;;;-1.0;3.0;-10.0;-4.0;;;5.0;;0.0;-8.0;;6.0;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;14.0;4.0;2.0;0.0;;0.0;7.0;4.0;142.0;5.0;56.0;87.0;8.0;-9.0;3.0;2.0;-1.0;10.0;29.07;4.0;;4.0;4.0;;;14.0;1.0;1.0;1.0;16.43;1.25;0.0;;;0.14;0.0;0.0;7.0;;3.0;;3.0;1.0;;0.0;114.0;;;;;;24.0;138.0;;2.0;0.0;;;3.0;47.0;;;3.0;50.0;;;;0.0;-92.0;-0.0;179.0;142.0;;142.0;;0.0;1.0;;;-4.0;;;;-4.0;10.0;-9.0;;;;0.0;;0.0;;;3.0;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;21.0;6.0;3.0;2.0;;1.0;8.0;1.0;153.0;5.0;65.0;88.0;10.0;-22.0;9.0;-3.0;1.0;15.0;29.66;5.0;;5.0;5.0;;;19.0;0.0;1.0;2.0;15.83;7.47;;;;3.22;0.09;0.09;7.0;;0.0;;0.0;0.0;;0.0;147.0;;;;;;5.0;152.0;;1.0;2.0;;;2.0;54.0;;;5.0;59.0;;;;0.0;-91.0;-1.0;180.0;153.0;;153.0;;1.0;2.0;;;-3.0;;;;-7.0;10.0;-9.0;;;;-12.0;;1.0;-0.0;;8.0;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;35.0;14.0;10.0;8.0;8.0;8.0;8.0;15.0;174.0;22.0;80.0;94.0;38.0;-40.0;3.0;2.0;-2.0;21.0;40.1;6.0;;5.0;5.0;;1.0;27.0;0.0;1.0;1.0;27.94;23.69;-0.0;22.82;0.0;24.08;1.18;1.11;7.0;;2.0;;2.0;0.0;;13.0;153.0;;;;;;6.0;159.0;;6.0;0.0;;;16.0;50.0;;;7.0;57.0;;;;0.0;-83.0;-1.0;178.0;174.0;;174.0;;8.0;1.0;;;2.0;;;;-5.0;26.0;-40.0;;;;0.0;;1.0;-3.0;;6.0;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;64.0;31.0;35.0;24.0;23.0;40.0;8.0;8.0;204.0;13.0;70.0;134.0;44.0;-42.0;-2.0;0.0;8.0;33.0;48.41;7.0;;7.0;7.0;;;40.0;0.0;1.0;2.0;54.15;37.58;-1.0;36.45;-8.0;62.94;5.51;5.26;7.0;;2.0;;2.0;1.0;;5.0;180.0;;;;;7.0;9.0;196.0;;6.0;0.0;;;6.0;50.0;;;7.0;57.0;;;;0.0;-43.0;-3.0;180.0;204.0;;204.0;;40.0;2.0;-6.0;;38.0;;;;33.0;-29.0;-36.0;;;;-6.0;;;-3.0;;1.0;;2.0;2.0;;;8.76;5.51;1.1;;4.97;18.33;7.0;4.7;0.3;;64.0;37.6;2.0;40.0;-35.8;62.9;-5.0;50.0;134.0;23.5;16.2;30.1;100.0;37.4
2007.0;27.0;7.0;16.0;0.0;4.0;13.0;8.0;45.0;228.0;12.0;76.0;152.0;26.0;-23.0;37.0;39.0;-11.0;20.0;25.88;7.0;;7.0;7.0;;;27.0;1.0;0.0;1.0;60.29;0.01;4.0;15.68;2.0;49.16;1.77;1.74;8.0;;41.0;;41.0;3.0;;1.0;171.0;;;;;6.0;7.0;183.0;;6.0;0.0;;;6.0;61.0;;;3.0;64.0;;;;0.0;-29.0;-4.0;185.0;228.0;;228.0;;13.0;1.0;1.0;;-27.0;;;;6.0;37.0;-36.0;;;;13.0;;;-1.0;;38.0;;41.0;2.0;;;3.6;1.77;-1.42;;4.82;20.17;8.0;17.8;1.0;;27.0;0.0;1.0;13.0;39.2;49.2;33.0;61.0;152.0;4.2;6.6;8.8;100.0;-13.5
