;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;5.0;;-1.0;;;-3.0;48.0;;1109.0;50.0;213.0;888.0;6.0;-460.0;1100.0;645.0;6.0;;;11.0;;9.0;9.0;;2.0;;7.0;2.0;;-22.16;;;;;-60.06;-0.06;-0.06;48.0;;645.0;;645.0;2.0;;;;;;;246.0;;;;1109.0;4.0;;;;46.0;171.0;;;-0.0;171.0;;;;0.0;-8.0;;896.0;1101.0;8.0;1109.0;;-3.0;;;2.0;6.0;;;;-50.0;-0.0;;;-246.0;0.0;-214.0;-0.0;;;;1100.0;;645.0;0.0;;;0.11;-0.06;0.12;;;18.66;48.0;-252.1;-3.6;;5.0;;;-3.0;;-60.1;-50.0;171.0;888.0;;-0.1;-0.3;100.0;
2010.0;89.0;;73.0;;59.0;57.0;50.0;;2101.0;140.0;764.0;1328.0;-100.0;-1166.0;847.0;-418.0;-100.0;;;46.0;;30.0;30.0;;16.0;;95.0;16.0;;82.02;;;66.35;0.0;63.87;1.16;1.14;49.0;;227.0;;227.0;10.0;;;;;;;412.0;;;;2101.0;;;;;140.0;;;;634.0;634.0;;580.0;;1.0;-19.0;8.0;1338.0;2092.0;10.0;2101.0;;57.0;;;8.0;-90.0;-8.0;;;-140.0;-74.0;;;-220.0;99.0;-1045.0;-69.0;454.0;;-44.0;507.0;;227.0;645.0;;;1.82;1.16;-2.03;0.9;;27.02;49.0;13.2;0.6;5.9;89.0;;;57.0;0.7;63.9;-140.0;;1328.0;3.7;3.5;4.3;22.4;410.9
2011.0;172.0;;149.0;;121.0;119.0;86.0;2383.0;2997.0;81.0;1232.0;1759.0;79.0;-1002.0;810.0;-113.0;79.0;;;80.0;;48.0;48.0;;32.0;;205.0;29.0;;86.44;;;70.45;1.0;69.28;1.38;1.38;85.0;;114.0;;114.0;15.0;;2253.0;;;;;386.0;;229.0;615.0;;;;;;81.0;;;;1157.0;1157.0;;1104.0;;1.0;-55.0;-4.0;1818.0;2992.0;6.0;2997.0;;119.0;;;14.0;2442.0;-11.0;;;2302.0;-2495.0;;;-366.0;591.0;-1228.0;-1080.0;477.0;-11.0;-143.0;1567.0;;114.0;227.0;;;2.03;1.4;0.93;1.68;;20.71;85.0;11.6;0.7;10.3;172.0;;;119.0;0.7;69.3;2302.0;;1759.0;5.1;5.0;6.8;-19.7;-407.1
2012.0;285.0;;249.0;;205.0;201.0;115.0;3092.0;4324.0;211.0;1527.0;2719.0;266.0;-1189.0;987.0;64.0;266.0;;;122.0;;69.0;69.0;;53.0;;307.0;47.0;;87.64;;;71.95;1.0;70.72;1.76;1.76;114.0;;178.0;863.0;1040.0;24.0;;2028.0;;;;;1085.0;;148.0;1232.0;;9.0;;;;202.0;1394.0;;;0.0;1394.0;;;;1.0;-72.0;80.0;2711.0;4247.0;78.0;4324.0;;201.0;;;16.0;579.0;-8.0;;;2881.0;-531.0;;;-642.0;362.0;-909.0;;876.0;;-186.0;297.0;;178.0;114.0;;;2.5;1.77;2.34;1.64;;23.91;114.0;9.8;0.7;9.4;285.0;;;201.0;0.5;70.7;2881.0;1394.0;2719.0;6.1;5.9;7.4;7.5;-259.7
2013.0;627.0;;462.0;;334.0;305.0;167.0;5616.0;110771.0;103051.0;106443.0;4283.0;326.0;-2828.0;2640.0;140.0;326.0;;;373.0;;240.0;240.0;;133.0;;419.0;118.0;15.0;73.72;;;53.31;24.0;48.63;1.82;1.82;166.0;;318.0;;318.0;38.0;;5261.0;;140.0;177.0;318.0;1058.0;;103778.0;105154.0;;225.0;;;;102826.0;3437.0;;;0.0;3437.0;;;;2.0;-85.0;75.0;4290.0;110726.0;45.0;110771.0;;305.0;15.0;;19.0;-100316.0;-32.0;;35.0;-97435.0;100303.0;;-586.0;-528.0;546.0;-2260.0;-4066.0;1514.0;;-301.0;5493.0;1.0;318.0;178.0;;;3.77;1.83;1.96;1.81;;25.74;166.0;11.4;0.7;8.6;627.0;;15.0;305.0;7.2;48.6;-97435.0;3437.0;4283.0;5.4;0.4;7.1;1.3;-371.6
2014.0;842.0;;697.0;;526.0;495.0;219.0;1294.0;116099.0;107553.0;112216.0;3861.0;221.0;-1715.0;1438.0;-62.0;221.0;;;484.0;;287.0;287.0;;197.0;;547.0;161.0;17.0;82.75;;;62.48;24.0;58.78;2.28;2.24;215.0;;255.0;;255.0;40.0;;998.0;;140.0;144.0;285.0;1192.0;;113329.0;114806.0;;145.0;;;;107409.0;4685.0;;;;4685.0;;;;2.0;-9.0;56.0;3812.0;116077.0;22.0;116099.0;;495.0;17.0;;40.0;-8825.0;-53.0;;-41.0;-106260.0;8494.0;;;-392.0;162.0;-1484.0;-3556.0;601.0;-13.0;-402.0;4807.0;-6.0;255.0;318.0;;;3.92;2.3;1.03;1.87;;17.96;215.0;10.2;0.6;8.0;842.0;;17.0;495.0;4.6;58.8;-106260.0;4685.0;3861.0;7.6;0.6;12.8;18.9;-84.4
2015.0;608.0;;698.0;;469.0;451.0;234.0;1128.0;85738.0;76166.0;81567.0;4140.0;613.0;-401.0;-94.0;114.0;613.0;;;536.0;;291.0;291.0;;245.0;;572.0;203.0;27.0;114.79;;;77.23;17.0;74.16;1.92;1.91;233.0;;369.0;;369.0;34.0;;725.0;;140.0;202.0;342.0;924.0;;83344.0;84610.0;;157.0;;;;76009.0;5432.0;;;-40.0;5392.0;10794.0;;;2.0;-12.0;30.0;4120.0;85708.0;31.0;85738.0;;451.0;27.0;;50.0;31222.0;-66.0;;-27.0;-75037.0;-31137.0;;-555.0;-242.0;472.0;-76.0;-4800.0;326.0;-49.0;-447.0;4875.0;-5.0;369.0;255.0;;;2.6;1.93;2.62;1.91;;17.74;233.0;11.6;0.6;8.5;608.0;;27.0;451.0;3.7;74.2;-75037.0;5432.0;4140.0;6.8;0.8;10.9;0.9;27.6
2016.0;665.0;;666.0;;376.0;365.0;242.0;1451.0;77256.0;66533.0;72696.0;4522.0;557.0;-813.0;505.0;247.0;557.0;;;651.0;;335.0;335.0;;316.0;;538.0;231.0;62.0;100.18;;;56.57;8.0;54.94;1.52;1.5;239.0;;616.0;;616.0;28.0;;808.0;;140.0;219.0;360.0;1012.0;;74433.0;75805.0;;198.0;;;;66335.0;6201.0;;;;6201.0;;;;3.0;-116.0;36.0;4599.0;77218.0;38.0;77256.0;;365.0;62.0;;50.0;9956.0;-76.0;;-7.0;-65082.0;-9876.0;;-850.0;-399.0;213.0;223.0;-5549.0;449.0;-20.0;-458.0;6083.0;-3.0;616.0;369.0;;;2.79;1.53;2.33;1.92;;18.96;239.0;13.4;0.6;9.3;665.0;;62.0;365.0;2.2;54.9;-65082.0;6201.0;4522.0;5.5;0.8;8.1;-25.5;5.2
2017.0;629.0;;819.0;;444.0;401.0;262.0;1135.0;62941.0;51063.0;58362.0;4478.0;-247.0;-1037.0;1048.0;-232.0;-247.0;;;735.0;;347.0;347.0;;388.0;;567.0;296.0;91.0;130.2;;;70.64;32.0;63.72;1.53;1.52;260.0;;369.0;;369.0;48.0;;718.0;;140.0;183.0;324.0;904.0;;60579.0;61806.0;;185.0;;;;50878.0;7972.0;;;-573.0;7400.0;;;;3.0;-217.0;70.0;4623.0;62841.0;101.0;62941.0;;401.0;91.0;;38.0;15154.0;-94.0;;23.0;-49928.0;-15930.0;;-18.0;-171.0;276.0;-1124.0;-4724.0;1.0;;-502.0;6272.0;3.0;418.0;651.0;;;2.42;1.54;-0.95;1.93;;17.25;260.0;14.3;0.6;8.7;629.0;;91.0;401.0;7.1;63.7;-49928.0;7972.0;4478.0;5.7;1.2;8.9;-25.2;-203.0
2018.0;836.0;;940.0;;427.0;386.0;276.0;1207.0;68262.0;53468.0;63362.0;4603.0;585.0;-2521.0;2005.0;70.0;585.0;;;978.0;;393.0;393.0;;585.0;;677.0;408.0;131.0;112.41;;;51.0;15.0;46.13;1.4;1.4;276.0;;240.0;;240.0;60.0;;906.0;;260.0;145.0;405.0;1078.0;;65573.0;67056.0;;218.0;1551.0;;;51699.0;10757.0;;;-565.0;10191.0;;;;3.0;-349.0;59.0;4891.0;67966.0;297.0;68262.0;;386.0;131.0;;44.0;-2333.0;-62.0;;25.0;-52261.0;2358.0;;-2159.0;-525.0;420.0;-257.0;-6771.0;1.0;-12.0;-510.0;9297.0;0.0;488.0;418.0;;;3.03;1.4;2.12;1.85;;16.7;276.0;15.3;0.6;8.7;836.0;;131.0;386.0;3.6;46.1;-52261.0;10757.0;4603.0;5.4;1.2;8.4;-32.2;89.1
