;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;;;-11.0;-11.0;;-10.0;0.0;;25.0;;2.0;23.0;;;;;;;;11.0;9.0;2.0;2.0;0.0;;11.0;;;;-inf;-inf;;;;-inf;-193.69;-193.69;0.0;;;;;;;;;;;;;;;;25.0;;;;;;;;;;;2.0;;;;-25.0;;48.0;25.0;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;-14.0;-18.0;;-17.0;0.0;;;;;;;;;;;;;;14.0;;;;;14.0;1.0;;;-inf;-inf;;;;-inf;-215.94;-215.94;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;0.0;-0.0;-21.0;-22.0;;-21.0;0.0;32.0;33.0;7.0;9.0;24.0;-22.0;1.0;21.0;0.0;-22.0;0.0;-110.37;22.0;14.0;7.0;;;;22.0;0.0;;0.0;-111385.67;-113873.42;;;;-113537.87;-180.27;-180.27;0.0;;29.0;;29.0;0.0;2.0;0.0;1.0;;;;;;0.0;1.0;;2.0;1.0;;2.0;3.0;2.0;;;0.0;2.0;;;0.0;0.0;-63.0;-1.0;88.0;33.0;;33.0;;-21.0;0.0;;;-1.0;;-2.0;;50.0;0.0;-0.0;;;2.0;;;18.0;;;3.0;;29.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;5.0;1.0;-24.0;-24.0;;-24.0;0.0;33.0;37.0;10.0;12.0;25.0;-24.0;-7.0;24.0;-7.0;-27.0;4.0;19.21;25.0;14.0;11.0;;;;29.0;0.0;;1.0;-469.27;-477.59;;;;-479.31;-172.39;-172.39;0.0;;21.0;5.0;26.0;1.0;4.0;1.0;2.0;;2.0;2.0;;;1.0;5.0;;2.0;2.0;;1.0;5.0;2.0;;;0.0;2.0;;;0.0;0.0;-87.0;-1.0;114.0;37.0;;37.0;;-24.0;1.0;;;-34.0;;-2.0;;16.0;33.0;-2.0;;-5.0;;;;25.0;-0.0;;-1.0;;21.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;19.0;8.0;-26.0;-28.0;;-27.0;1.0;61.0;71.0;12.0;13.0;58.0;-32.0;-30.0;57.0;-4.0;-33.0;11.0;43.28;36.0;18.0;17.0;17.0;;;46.0;1.0;;1.0;-140.14;-146.54;;;;-144.86;-22.33;-22.33;1.0;;17.0;29.0;46.0;9.0;5.0;2.0;2.0;;2.0;2.0;;;6.0;10.0;;2.0;1.0;;3.0;6.0;1.0;;;0.0;1.0;;;;0.0;-115.0;-1.0;174.0;71.0;;71.0;;-27.0;1.0;;;24.0;;-0.0;;40.0;-30.0;-2.0;;-37.0;7.0;1.0;;58.0;-0.0;;-1.0;;17.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;15.0;7.0;-42.0;-44.0;;-44.0;3.0;32.0;37.0;16.0;19.0;18.0;-41.0;27.0;3.0;-12.0;-43.0;8.0;48.62;51.0;18.0;31.0;31.0;;3.0;59.0;1.0;;1.0;-282.11;-292.84;-3.0;;;-289.88;-15.02;-15.02;3.0;;5.0;6.0;11.0;6.0;9.0;5.0;3.0;;2.0;2.0;;;0.0;5.0;;5.0;1.0;;4.0;6.0;2.0;;1.0;0.0;3.0;;;;0.0;-158.0;-3.0;179.0;37.0;;37.0;;-44.0;1.0;;;-18.0;;-5.0;;22.0;20.0;-2.0;;-8.0;37.0;;;2.0;;;1.0;;5.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;27.0;14.0;-44.0;-47.0;;-46.0;4.0;63.0;69.0;23.0;25.0;45.0;-39.0;-16.0;67.0;12.0;-41.0;13.0;52.59;61.0;22.0;39.0;39.0;;;74.0;2.0;;2.0;-162.25;-171.64;;;;-168.14;-13.04;-13.04;4.0;;15.0;22.0;37.0;15.0;8.0;3.0;4.0;;2.0;2.0;;;0.0;6.0;;6.0;2.0;;6.0;10.0;0.0;;;1.0;2.0;;;;0.0;-204.0;0.0;249.0;69.0;;69.0;;-46.0;2.0;;;1.0;;1.0;;23.0;4.0;-2.0;;-33.0;19.0;0.0;;68.0;-0.0;;-1.0;;15.0;4.0;;;7.74;-13.01;-11.75;;0.66;12.74;4.0;-7.8;-0.4;;27.0;-171.6;2.0;-46.0;;-168.1;40.0;0.0;45.0;;-66.0;-102.1;100.0;
2007.0;39.0;24.0;-47.0;-49.0;;-48.0;4.0;51.0;60.0;29.0;36.0;24.0;-36.0;11.0;27.0;2.0;-40.0;15.0;60.95;73.0;25.0;48.0;48.0;;;89.0;1.0;;2.0;-118.33;-125.3;;;;-122.45;-12.58;-12.58;4.0;;17.0;7.0;24.0;14.0;10.0;3.0;7.0;;1.0;1.0;;;1.0;10.0;;7.0;1.0;;9.0;12.0;6.0;;;1.0;7.0;;;;0.0;-252.0;0.0;276.0;60.0;;60.0;;-48.0;2.0;;;-0.0;;-4.0;;23.0;11.0;-5.0;;-14.0;29.0;0.0;;22.0;;;5.0;;17.0;15.0;;;10.3;-12.62;-10.61;;1.24;6.34;4.0;-9.1;-0.5;;39.0;-125.3;2.0;-48.0;;-122.5;22.0;6.0;24.0;;-79.6;-198.9;100.0;
2008.0;40.0;26.0;-40.0;-41.0;;-44.0;4.0;51.0;59.0;28.0;55.0;5.0;-29.0;5.0;37.0;13.0;-30.0;14.0;64.88;67.0;17.0;50.0;50.0;;;81.0;0.0;;4.0;-98.76;-101.62;;;;-108.72;-11.26;-11.26;4.0;;30.0;;30.0;10.0;8.0;3.0;6.0;;1.0;1.0;;;0.0;8.0;;5.0;4.0;;10.0;10.0;25.0;;;1.0;27.0;;;;0.0;-296.0;-7.0;307.0;59.0;;59.0;;-44.0;4.0;;;-10.0;;2.0;;12.0;22.0;-2.0;;;7.0;0.0;;20.0;;;17.0;;30.0;17.0;;;10.35;-11.26;-7.78;;0.43;1.22;4.0;-4.9;-0.2;;40.0;-101.6;4.0;-44.0;;-108.7;23.0;25.0;5.0;;-73.8;-919.9;100.0;
2009.0;51.0;34.0;-21.0;-24.0;;-27.0;5.0;50.0;56.0;27.0;48.0;8.0;-22.0;-1.0;24.0;0.0;-24.0;17.0;66.72;58.0;14.0;44.0;15.0;29.0;;75.0;0.0;5.0;2.0;-40.46;-46.6;1.0;;;-53.75;-5.91;-5.91;5.0;;31.0;;31.0;11.0;4.0;4.0;5.0;;1.0;1.0;;;0.0;6.0;;4.0;3.0;;7.0;13.0;20.0;1.0;;0.0;21.0;;;;0.0;-323.0;-7.0;338.0;56.0;;56.0;;-27.0;2.0;;4.0;-19.0;-1.0;4.0;-1.0;-7.0;18.0;-1.0;;;;;-7.0;28.0;;;3.0;;31.0;30.0;;;11.07;-5.95;-5.15;;0.32;1.65;5.0;-5.8;-0.1;;51.0;-46.6;2.0;-27.0;;-53.8;23.0;20.0;8.0;;-40.8;-359.8;100.0;
