;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1991.0;1354.0;731.0;268.0;161.0;112.0;67.0;859.0;327.0;1937.0;258.0;876.0;1061.0;301.0;-194.0;-130.0;-130.0;100.0;622.0;54.03;570.0;;;;;570.0;1192.0;;;157.0;19.82;11.9;-49.0;8.25;45.0;4.92;0.08;0.08;859.0;;2.0;;2.0;185.0;140.0;;1383.0;;;;;;227.0;1610.0;;183.0;16.0;;;59.0;116.0;;338.0;164.0;618.0;;;;;624.0;-5600.0;6037.0;1937.0;0.0;1937.0;;67.0;157.0;41.0;;39.0;;;;;-2.0;-201.0;;-25.0;;32.0;;;;-49.0;-81.0;;;24.0;;0.87;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1208.0;603.0;-109.0;87.0;-259.0;-179.0;860.0;293.0;1532.0;269.0;795.0;736.0;165.0;-153.0;-13.0;-13.0;-3.0;605.0;49.94;517.0;;;;;517.0;1122.0;;;149.0;-9.05;7.17;-345.0;-21.41;-79.0;-14.84;-0.21;-0.21;860.0;;;;;180.0;113.0;;1056.0;;;;;;182.0;1238.0;;189.0;20.0;;;60.0;135.0;;225.0;167.0;526.0;;;;;343.0;-1057.0;1451.0;1532.0;;1532.0;;-179.0;149.0;-83.0;;31.0;;;;;248.0;-168.0;;-1.0;;16.0;;;-4.0;-45.0;35.0;;;2.0;;0.79;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1150.0;632.0;219.0;145.0;87.0;57.0;872.0;269.0;1531.0;257.0;797.0;734.0;179.0;-154.0;-25.0;-25.0;179.0;518.0;54.94;486.0;;;;;486.0;1005.0;;;132.0;19.01;12.65;-58.0;7.57;30.0;4.94;0.07;0.07;872.0;;;;;152.0;116.0;0.0;1068.0;;;;;;194.0;1262.0;;182.0;23.0;;;53.0;145.0;;238.0;157.0;540.0;1079.0;;;;356.0;-1027.0;1406.0;1531.0;-0.0;1531.0;;57.0;132.0;;;;;;;;-9.0;;;;;-154.0;;;;-43.0;18.0;;;;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1171.0;700.0;261.0;192.0;133.0;87.0;863.0;299.0;1576.0;301.0;835.0;741.0;271.0;-209.0;-37.0;-37.0;271.0;471.0;59.75;508.0;;;;;508.0;979.0;;;128.0;22.32;16.39;-59.0;11.38;47.0;7.4;0.1;0.1;863.0;;26.0;;26.0;155.0;117.0;-0.0;1117.0;;;;;;160.0;1278.0;;109.0;26.0;;;166.0;136.0;;246.0;152.0;534.0;;;;;382.0;-1017.0;1376.0;1576.0;;1576.0;;87.0;128.0;;;34.0;;-7.0;;0.0;22.0;;;;;-209.0;;1.0;;-41.0;4.0;;;;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1391.0;831.0;319.0;252.0;180.0;111.0;868.0;301.0;1788.0;353.0;962.0;826.0;292.0;-316.0;-1.0;-1.0;292.0;560.0;59.75;579.0;;;;;579.0;1139.0;;;139.0;22.97;18.13;-72.0;12.96;70.0;7.95;0.13;0.13;868.0;;1.0;;1.0;180.0;119.0;;1360.0;;;;;;128.0;1487.0;;146.0;30.0;;;177.0;185.0;;279.0;145.0;610.0;;;;;456.0;-1052.0;1422.0;1788.0;;1788.0;;111.0;139.0;;;12.0;;1.0;;;30.0;;;;;-316.0;;2.0;;-45.0;42.0;;;26.0;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1532.0;1009.0;382.0;324.0;234.0;136.0;867.0;321.0;2060.0;371.0;1150.0;910.0;346.0;-393.0;47.0;47.0;346.0;522.0;65.9;685.0;;;;;685.0;1207.0;;;149.0;24.96;21.18;-91.0;15.25;97.0;8.91;0.16;0.16;867.0;;1.0;;1.0;213.0;107.0;-0.0;1611.0;;;;;;128.0;1739.0;;163.0;22.0;;;186.0;288.0;;358.0;134.0;780.0;;;;;539.0;-1095.0;1465.0;2060.0;;2060.0;;136.0;149.0;;;6.0;;12.0;;-0.0;55.0;;;;;-393.0;;2.0;;-51.0;96.0;;;1.0;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1503.0;1112.0;401.0;237.0;238.0;156.0;866.0;307.0;2418.0;359.0;1438.0;980.0;406.0;-618.0;220.0;220.0;-186.0;391.0;73.98;875.0;;;;;875.0;1266.0;;;164.0;26.72;15.74;1.0;15.83;82.0;10.38;0.18;0.18;866.0;;9.0;;9.0;187.0;111.0;0.0;1971.0;;;;;;141.0;2111.0;;125.0;29.0;;;204.0;537.0;;427.0;116.0;1079.0;;;;;621.0;-1156.0;1515.0;2418.0;-0.0;2418.0;;156.0;164.0;78.0;;4.0;;-8.0;;0.0;4.0;-592.0;;;;-26.0;;4.0;;-52.0;269.0;;;1.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1351.0;1035.0;366.0;204.0;194.0;123.0;890.0;262.0;2682.0;242.0;1689.0;993.0;335.0;-612.0;286.0;286.0;-276.0;316.0;76.59;831.0;;;;;831.0;1147.0;;;172.0;27.12;15.13;-10.0;14.36;71.0;9.09;0.14;0.14;890.0;;17.0;;17.0;131.0;114.0;;2290.0;;;;;494.0;-364.0;2420.0;;82.0;11.0;;;149.0;848.0;;;599.0;1447.0;;;;338.0;654.0;-1189.0;1189.0;2682.0;;2682.0;;123.0;172.0;84.0;;-44.0;;-10.0;;;-0.0;-612.0;;;;-1.0;;3.0;;-49.0;331.0;;;8.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1648.0;1193.0;451.0;223.0;231.0;138.0;890.0;316.0;3579.0;491.0;2098.0;1481.0;579.0;-892.0;298.0;-15.0;-354.0;455.0;72.37;969.0;;;;;969.0;1425.0;;;220.0;27.38;13.54;8.0;14.03;93.0;8.38;0.14;0.14;884.0;;3.0;;3.0;201.0;111.0;;3131.0;;;;;580.0;-448.0;3263.0;;192.0;23.0;;;276.0;903.0;;;704.0;1607.0;;;;362.0;763.0;;355.0;3579.0;;3579.0;;138.0;220.0;;;171.0;;10.0;;-0.0;50.0;-933.0;;;;41.0;;355.0;;-77.0;20.0;;3.0;18.0;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2258.0;1552.0;656.0;455.0;413.0;251.0;894.0;444.0;4559.0;558.0;2910.0;1649.0;605.0;-1073.0;477.0;11.0;-727.0;706.0;68.72;1097.0;;;;;1097.0;1803.0;;;243.0;29.07;20.16;-42.0;18.3;162.0;11.12;0.26;0.26;888.0;;14.0;;14.0;272.0;128.0;30.0;3925.0;;;;;721.0;-530.0;4115.0;;283.0;43.0;;;233.0;1463.0;;;889.0;2351.0;;;;358.0;948.0;-1214.0;1557.0;4559.0;;4559.0;;251.0;243.0;;;-34.0;;-21.0;;-0.0;145.0;-1333.0;;;;260.0;;6.0;;-79.0;550.0;;14.0;3.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
