;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;131.0;24.0;15.0;11.0;11.0;7.0;29.0;54.0;75.0;24.0;35.0;40.0;;;;;;107.0;18.5;13.0;;10.0;;;3.0;120.0;;1.0;3.0;11.39;8.64;-0.0;8.33;4.0;5.5;0.05;0.05;29.0;;16.0;;16.0;21.0;17.0;1.0;21.0;;;;;;0.0;21.0;;;;;;24.0;6.0;;5.0;0.0;11.0;;;;;20.0;-17.0;37.0;75.0;;75.0;;7.0;;;;;;;;;-7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;149.0;28.0;20.0;14.0;14.0;9.0;30.0;83.0;115.0;34.0;68.0;47.0;;;;;;121.0;18.64;14.0;;11.0;;;3.0;135.0;;2.0;3.0;13.19;9.22;1.0;9.69;6.0;5.72;0.06;0.06;30.0;;39.0;;39.0;21.0;22.0;2.0;32.0;;;;;;1.0;33.0;;;;;;34.0;29.0;;6.0;0.0;35.0;;;;;19.0;-20.0;48.0;115.0;;115.0;;9.0;;;;;;;;;-9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;170.0;33.0;20.0;16.0;15.0;10.0;29.0;83.0;124.0;35.0;70.0;54.0;;;;;;137.0;19.47;17.0;;12.0;;;5.0;153.0;;;5.0;11.62;9.5;-1.0;8.91;6.0;5.6;0.06;0.06;29.0;;21.0;;21.0;30.0;30.0;2.0;40.0;;;;;;1.0;41.0;;;;;;35.0;28.0;;7.0;0.0;35.0;;;;;27.0;-25.0;51.0;124.0;;124.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;200.0;43.0;29.0;22.0;21.0;13.0;23.0;111.0;162.0;47.0;97.0;64.0;18.0;-18.0;13.0;13.0;1.0;158.0;21.28;20.0;;15.0;;;5.0;178.0;;4.0;5.0;14.69;11.19;-2.0;10.24;7.0;6.54;0.13;0.13;23.0;;31.0;;31.0;35.0;35.0;9.0;50.0;;;;;;1.0;51.0;;;;;;47.0;42.0;;8.0;1.0;50.0;;;;;31.0;-30.0;64.0;162.0;;162.0;;13.0;5.0;-3.0;;-0.0;;-5.0;;;3.0;-17.0;;-2.0;1.0;-0.0;;;;;13.0;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;246.0;50.0;37.0;28.0;26.0;16.0;26.0;109.0;218.0;60.0;141.0;77.0;46.0;-64.0;20.0;20.0;-18.0;196.0;20.32;23.0;;15.0;;;7.0;219.0;;4.0;7.0;15.12;11.17;-2.0;10.44;10.0;6.58;0.15;0.15;26.0;;33.0;;33.0;35.0;33.0;9.0;107.0;;;;;;2.0;108.0;;45.0;;;;15.0;68.0;;11.0;3.0;81.0;;;;;44.0;-37.0;71.0;218.0;;218.0;;16.0;7.0;4.0;;19.0;;2.0;;;-0.0;-64.0;;;;;;0.0;-2.0;-2.0;24.0;;;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;268.0;56.0;31.0;29.0;20.0;12.0;28.0;122.0;234.0;70.0;148.0;86.0;4.0;-22.0;6.0;6.0;-15.0;212.0;20.93;27.0;;16.0;;;12.0;239.0;;;12.0;11.73;10.76;-9.0;7.44;8.0;4.6;0.13;0.13;28.0;;21.0;;21.0;46.0;39.0;15.0;111.0;;;;;;2.0;113.0;;41.0;;;;29.0;63.0;;12.0;3.0;78.0;;;;;36.0;-45.0;95.0;234.0;;234.0;;12.0;12.0;-1.0;;-24.0;;-7.0;;;5.0;-19.0;;-5.0;2.0;;;1.0;-2.0;-2.0;9.0;;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;274.0;58.0;41.0;32.0;28.0;18.0;29.0;147.0;271.0;92.0;167.0;104.0;76.0;-25.0;-19.0;-19.0;51.0;216.0;21.1;26.0;;14.0;;;12.0;242.0;;;12.0;14.92;11.55;-3.0;10.38;10.0;6.65;0.21;0.21;29.0;;53.0;;53.0;45.0;29.0;19.0;122.0;;;;;;2.0;124.0;;66.0;;;;26.0;53.0;;16.0;6.0;75.0;;;;;29.0;-52.0;126.0;271.0;;271.0;;18.0;12.0;3.0;;41.0;;10.0;;;1.0;-25.0;;-4.0;1.0;3.0;;2.0;;-3.0;-18.0;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;325.0;84.0;72.0;48.0;45.0;29.0;30.0;134.0;267.0;63.0;131.0;137.0;9.0;-46.0;-5.0;-5.0;-19.0;242.0;25.67;36.0;;14.0;;;22.0;278.0;;5.0;22.0;22.16;14.69;-2.0;13.96;17.0;8.79;0.63;0.63;30.0;;12.0;;12.0;59.0;26.0;38.0;131.0;;;;;;2.0;133.0;;37.0;;;;26.0;44.0;;14.0;9.0;67.0;;;;;55.0;-68.0;150.0;267.0;;267.0;;29.0;22.0;-2.0;;-40.0;;4.0;;;1.0;-28.0;;-35.0;18.0;-0.0;;14.0;-7.0;-3.0;-9.0;;;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;393.0;113.0;99.0;75.0;73.0;45.0;31.0;141.0;310.0;76.0;133.0;177.0;73.0;-58.0;-18.0;-18.0;19.0;280.0;28.78;39.0;;17.0;;;22.0;319.0;;4.0;22.0;25.11;18.96;-2.0;18.5;28.0;11.5;1.5;1.47;30.0;;8.0;;8.0;65.0;27.0;41.0;162.0;;;;;;7.0;169.0;;52.0;;;;24.0;34.0;;12.0;11.0;57.0;;;;;92.0;-85.0;170.0;310.0;;310.0;;45.0;22.0;-4.0;;9.0;;-2.0;;;1.0;-54.0;;-83.0;78.0;-0.0;;2.0;-3.0;-3.0;-14.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;457.0;138.0;120.0;92.0;90.0;56.0;31.0;161.0;358.0;107.0;158.0;200.0;50.0;-58.0;5.0;5.0;-10.0;319.0;30.2;46.0;;19.0;;;27.0;365.0;;3.0;27.0;26.24;20.17;-2.0;19.78;34.0;12.33;1.85;1.85;30.0;;6.0;;6.0;81.0;45.0;29.0;186.0;;;;;;11.0;197.0;;46.0;39.0;;;22.0;23.0;;11.0;17.0;51.0;;;;;143.0;-107.0;164.0;358.0;;358.0;;56.0;27.0;1.0;;-40.0;;-18.0;;;6.0;-60.0;;-27.0;29.0;-0.0;;2.0;-17.0;-5.0;26.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
