;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;24.0;;17.0;11.0;;11.0;5.0;;339.0;41.0;41.0;298.0;14.0;-304.0;292.0;292.0;-314.0;;;12.0;;1.0;1.0;;11.0;12.0;;;6.0;72.72;48.0;;;;48.0;2.51;2.51;5.0;;2.0;;2.0;0.0;;;327.0;;;;;;;;339.0;0.0;;;;41.0;;;;;;;;;0.0;11.0;-6.0;292.0;339.0;;339.0;;11.0;6.0;;;1.0;-0.0;;0.0;-41.0;-4.0;-328.0;;;;24.0;-65.0;198.0;;-5.0;163.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;83.0;;72.0;57.0;;52.0;23.0;;872.0;101.0;226.0;645.0;62.0;-449.0;423.0;36.0;-430.0;;;25.0;;5.0;5.0;;20.0;25.0;;;21.0;87.62;69.36;;;;62.53;2.23;2.23;23.0;;38.0;;38.0;2.0;;;816.0;;;;;;;;872.0;4.0;;;;97.0;125.0;;;;125.0;;;;0.0;63.0;-26.0;608.0;872.0;;872.0;;52.0;21.0;;;-60.0;-2.0;;3.0;-101.0;50.0;-492.0;;;;43.0;-116.0;358.0;;-54.0;234.0;;38.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;114.0;;92.0;75.0;;59.0;28.0;;1313.0;180.0;305.0;1008.0;81.0;-347.0;310.0;44.0;-329.0;;;39.0;;7.0;7.0;;33.0;39.0;;;33.0;81.0;65.44;;;;51.83;2.15;2.15;28.0;;82.0;;82.0;2.0;;;1208.0;;;;;;;;1313.0;2.0;;;;178.0;125.0;;;;125.0;;;;0.0;122.0;-58.0;943.0;1313.0;;1313.0;;59.0;33.0;;;-79.0;-1.0;;4.0;-180.0;68.0;-410.0;;;;63.0;-261.0;376.0;;-65.0;259.0;;82.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;175.0;;136.0;110.0;;81.0;42.0;;1838.0;249.0;664.0;1174.0;134.0;-558.0;366.0;-57.0;-479.0;;;65.0;;10.0;10.0;;55.0;65.0;;;55.0;77.79;62.72;;;;46.49;1.92;1.92;42.0;;25.0;;25.0;1.0;;;1775.0;;;;;;;;1838.0;11.0;;;;238.0;415.0;;;0.0;415.0;;;;0.0;204.0;-113.0;1083.0;1838.0;;1838.0;;81.0;55.0;;;-69.0;1.0;;4.0;-249.0;67.0;-614.0;;;;56.0;-432.0;197.0;;-107.0;709.0;;25.0;82.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;237.0;;189.0;149.0;;112.0;53.0;;2195.0;260.0;675.0;1520.0;172.0;-325.0;202.0;49.0;-194.0;;;88.0;;13.0;13.0;;75.0;88.0;;;77.0;79.61;62.93;;;;47.18;2.03;2.03;53.0;;74.0;;74.0;;;;2083.0;;;;;;;;2195.0;1.0;;;;259.0;415.0;;;0.0;415.0;830.0;;;1.0;-60.0;-188.0;1766.0;2195.0;;2195.0;;112.0;77.0;;;-11.0;1.0;;3.0;-260.0;-6.0;-365.0;;;;40.0;-172.0;275.0;;-145.0;244.0;;74.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;263.0;;211.0;164.0;;126.0;56.0;;2221.0;273.0;738.0;1483.0;188.0;-123.0;-114.0;-49.0;54.0;;;99.0;;15.0;15.0;;84.0;99.0;;;84.0;80.06;62.33;;;;48.01;2.11;2.11;56.0;;25.0;;25.0;;;;2157.0;;;;;;;;2221.0;;;;;273.0;465.0;;;-0.0;465.0;;;;1.0;442.0;-272.0;1313.0;2221.0;;2221.0;;126.0;84.0;;;-13.0;-1.0;;2.0;-273.0;-9.0;-134.0;;;;11.0;;;;-164.0;49.0;;25.0;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;304.0;;226.0;173.0;;132.0;59.0;;2355.0;286.0;750.0;1605.0;205.0;-179.0;-12.0;14.0;20.0;;;131.0;;15.0;15.0;;116.0;131.0;;;94.0;74.3;57.02;;;;43.42;2.12;2.12;59.0;;39.0;;39.0;;;;2266.0;;;;;;;;2355.0;;;;;286.0;;;;465.0;465.0;930.0;;;1.0;574.0;-363.0;1394.0;2355.0;;2355.0;;132.0;94.0;;;-12.0;-0.0;;7.0;-286.0;-8.0;-186.0;;;;7.0;-150.0;159.0;;-171.0;150.0;;39.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;349.0;;241.0;186.0;;142.0;63.0;;2404.0;285.0;759.0;1645.0;210.0;-142.0;-100.0;-32.0;62.0;;;162.0;;15.0;15.0;;147.0;162.0;;;99.0;69.21;53.4;;;;40.78;2.15;2.15;63.0;;7.0;;7.0;;;;2336.0;;;;;;;;2404.0;;;;;285.0;;;;474.0;474.0;948.0;;156.0;1.0;-179.0;-426.0;2094.0;2404.0;;2404.0;;142.0;99.0;;;1.0;-1.0;;-6.0;-285.0;-32.0;-148.0;;;;6.0;-410.0;;;-186.0;496.0;;7.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;553.0;;346.0;283.0;;238.0;63.0;5.0;2762.0;290.0;1116.0;1646.0;219.0;-372.0;151.0;-1.0;-169.0;;;270.0;;17.0;17.0;;253.0;270.0;;;107.0;62.51;51.15;108.0;;;43.09;3.57;3.57;63.0;;6.0;;6.0;;;-1.0;2685.0;;;;;;;;2757.0;1.0;;;;289.0;201.0;;;625.0;826.0;;;156.0;1.0;-180.0;-494.0;2164.0;2762.0;;2762.0;;238.0;107.0;;;-0.0;-1.0;;10.0;-285.0;-126.0;-388.0;;;;17.0;-340.0;;;-194.0;685.0;;6.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;645.0;;242.0;177.0;;127.0;67.0;16.0;2689.0;306.0;1004.0;1686.0;223.0;-2.0;-211.0;9.0;213.0;;;468.0;;19.0;19.0;;449.0;468.0;;;115.0;37.49;27.47;0.0;;;19.69;1.72;1.72;67.0;;16.0;;16.0;;;;2624.0;;;;;;;;2674.0;78.0;;;;228.0;694.0;;;4.0;698.0;;;83.0;1.0;-258.0;-557.0;2416.0;2689.0;;2689.0;;127.0;115.0;;;-5.0;2.0;;9.0;-290.0;-14.0;-10.0;;;;8.0;-715.0;268.0;-150.0;-200.0;586.0;;16.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
