;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1984.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985.0;492.0;138.0;44.0;35.0;31.0;17.0;47.0;154.0;292.0;69.0;164.0;129.0;;;;;;353.0;28.16;104.0;;91.0;;;12.0;457.0;;;12.0;8.89;7.1;-4.0;6.37;14.0;3.54;0.37;0.37;47.0;;9.0;;9.0;54.0;83.0;7.0;110.0;;18.0;18.0;;;11.0;139.0;;;;;;69.0;74.0;;18.0;4.0;95.0;;;;;96.0;-59.0;91.0;292.0;;292.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;603.0;179.0;43.0;46.0;29.0;15.0;48.0;191.0;400.0;94.0;235.0;165.0;;;;;;424.0;29.7;133.0;;119.0;;;14.0;557.0;;;14.0;7.18;7.58;-17.0;4.83;14.0;2.56;0.32;0.32;48.0;;9.0;;9.0;64.0;107.0;11.0;146.0;;51.0;51.0;;;13.0;209.0;;;;;;94.0;112.0;;22.0;7.0;141.0;;;;;103.0;-71.0;133.0;400.0;;400.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;710.0;213.0;62.0;55.0;46.0;25.0;53.0;184.0;392.0;89.0;209.0;183.0;;;;;;497.0;30.0;158.0;;142.0;;;16.0;655.0;;;16.0;8.76;7.8;-9.0;6.54;22.0;3.49;0.47;0.47;53.0;;15.0;;15.0;60.0;100.0;9.0;143.0;;49.0;49.0;;;15.0;208.0;;;;;;89.0;85.0;;27.0;7.0;120.0;;;;;118.0;-84.0;149.0;392.0;;392.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;721.0;221.0;66.0;62.0;50.0;28.0;49.0;189.0;404.0;99.0;227.0;178.0;;;;;;501.0;30.58;158.0;;142.0;;;17.0;659.0;;;17.0;9.18;8.64;-13.0;6.88;22.0;3.83;0.56;0.56;49.0;;3.0;;3.0;68.0;103.0;15.0;148.0;;51.0;51.0;;;17.0;216.0;;;;;;99.0;85.0;;25.0;18.0;128.0;;;;;124.0;-95.0;149.0;404.0;;404.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;837.0;252.0;87.0;77.0;67.0;40.0;50.0;214.0;489.0;121.0;285.0;203.0;50.0;-75.0;26.0;26.0;4.0;585.0;30.08;175.0;;154.0;;;21.0;760.0;;;21.0;10.41;9.22;-11.0;7.95;27.0;4.78;0.8;0.8;50.0;;4.0;;4.0;79.0;116.0;16.0;180.0;;73.0;73.0;;;22.0;275.0;;98.0;;;;23.0;126.0;;23.0;15.0;164.0;;;;;150.0;-110.0;163.0;489.0;;489.0;;40.0;21.0;-1.0;;-9.0;;-3.0;;90.0;;-47.0;;-1.0;;-28.0;;;;-13.0;39.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;839.0;282.0;109.0;91.0;83.0;49.0;50.0;226.0;549.0;135.0;305.0;243.0;44.0;-25.0;-15.0;-15.0;-26.0;557.0;33.59;191.0;;164.0;;;26.0;748.0;;;26.0;12.98;10.88;-9.0;9.83;33.0;5.89;0.98;0.98;50.0;;8.0;;8.0;69.0;133.0;16.0;214.0;;88.0;88.0;;;21.0;323.0;;109.0;;;;26.0;117.0;;14.0;39.0;170.0;;;;;183.0;-110.0;171.0;549.0;;549.0;;49.0;26.0;-9.0;;3.0;;-23.0;;93.0;-26.0;-70.0;;;1.0;44.0;;;;-17.0;2.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;834.0;306.0;122.0;106.0;92.0;58.0;53.0;284.0;653.0;157.0;361.0;292.0;58.0;-72.0;18.0;18.0;3.0;529.0;36.65;200.0;;170.0;;;29.0;728.0;;;29.0;14.59;12.74;-14.0;11.06;35.0;6.93;1.09;1.09;53.0;;13.0;;13.0;75.0;174.0;22.0;253.0;;95.0;95.0;;;21.0;369.0;;121.0;;;;36.0;152.0;;22.0;30.0;204.0;;;;;218.0;-140.0;215.0;653.0;;653.0;;58.0;29.0;8.0;;-2.0;;-24.0;;91.0;-35.0;-55.0;;-1.0;;-16.0;;;;-20.0;38.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;883.0;323.0;100.0;103.0;67.0;42.0;53.0;300.0;702.0;185.0;399.0;303.0;68.0;-63.0;-6.0;-6.0;23.0;560.0;36.61;221.0;;188.0;;;33.0;781.0;;;33.0;11.32;11.63;-36.0;7.58;25.0;4.72;0.79;0.79;53.0;;11.0;;11.0;89.0;175.0;25.0;269.0;;108.0;108.0;;;25.0;402.0;;125.0;;;;59.0;168.0;;24.0;22.0;214.0;;;;;237.0;-159.0;225.0;702.0;;702.0;;42.0;33.0;2.0;;36.0;;4.0;;127.0;-45.0;-45.0;;-2.0;;-17.0;;1.0;-14.0;-22.0;29.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;892.0;337.0;102.0;106.0;91.0;33.0;52.0;312.0;730.0;175.0;425.0;305.0;83.0;-48.0;-35.0;-35.0;37.0;555.0;37.79;231.0;;196.0;;;35.0;786.0;;;35.0;11.45;11.86;-15.0;10.16;34.0;3.7;0.63;0.63;52.0;;11.0;;11.0;94.0;175.0;32.0;282.0;;107.0;107.0;;;29.0;418.0;;130.0;;;;45.0;172.0;;21.0;58.0;250.0;;;;;247.0;-190.0;248.0;730.0;;730.0;;33.0;35.0;3.0;;-11.0;;2.0;;116.0;23.0;-46.0;;-2.0;;1.0;;1.0;-1.0;-23.0;-12.0;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
