;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;10.0;;13.0;;3.0;2.0;18.0;;222.0;;204.0;18.0;4.0;-16.0;14.0;14.0;4.0;;;;;4.0;4.0;;;;18.0;10.0;0.0;132.0;;;25.0;1.0;19.0;0.1;0.1;18.0;;8.0;;8.0;2.0;;;2.0;;;;;;;;222.0;1.0;;;;;1.0;;;;1.0;204.0;;;;7.0;;11.0;222.0;;222.0;;2.0;0.0;-0.0;;1.0;;;;;1.0;-0.0;;-33.0;33.0;-17.0;;;;-1.0;15.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;11.0;;12.0;;3.0;2.0;18.0;;237.0;;217.0;20.0;1.0;-10.0;13.0;13.0;-0.0;;;;;4.0;4.0;;;;17.0;8.0;1.0;102.65;;;24.78;1.0;17.7;0.11;0.11;18.0;;11.0;;11.0;1.0;;;3.0;;;;;;;;237.0;1.0;;;;;1.0;;;;1.0;218.0;;;;9.0;;11.0;237.0;;237.0;;2.0;1.0;-0.0;;0.0;;;;;-2.0;-1.0;;-24.0;32.0;-19.0;;;;-1.0;14.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;13.0;;11.0;;4.0;3.0;20.0;;248.0;;226.0;22.0;2.0;-15.0;8.0;8.0;1.0;;;;;5.0;5.0;;;;17.0;7.0;1.0;83.33;;;26.52;1.0;18.94;0.12;0.12;20.0;;7.0;;7.0;1.0;;;4.0;;;;;;;;248.0;1.0;;;;;1.0;;;;1.0;226.0;;;;8.0;;14.0;248.0;;248.0;;3.0;1.0;-0.0;;;;;;;-1.0;-1.0;;-30.0;31.0;-16.0;;;;-1.0;9.0;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;16.0;;12.0;;5.0;3.0;21.0;;274.0;;250.0;24.0;6.0;-24.0;23.0;23.0;4.0;;;;;6.0;6.0;;;;19.0;7.0;1.0;77.07;;;28.66;1.0;19.75;0.15;0.15;20.0;;10.0;;10.0;2.0;;;5.0;;;;;;;;274.0;2.0;;;;;1.0;;;;1.0;250.0;;;;6.0;;19.0;274.0;;274.0;;3.0;1.0;-0.0;;-1.0;;;;;3.0;-2.0;;-58.0;55.0;-22.0;;;;-1.0;23.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;19.0;;18.0;;6.0;4.0;21.0;;324.0;;297.0;28.0;4.0;-43.0;46.0;46.0;1.0;;;;;7.0;7.0;;;;25.0;11.0;1.0;91.62;;;31.41;2.0;21.47;0.2;0.2;21.0;;16.0;;16.0;2.0;;;7.0;;;;;;;;324.0;2.0;;;;;1.0;;;;1.0;297.0;;;;9.0;;19.0;324.0;;324.0;;4.0;1.0;-0.0;;-1.0;;;;;-1.0;-3.0;;-37.0;43.0;-49.0;;;;-1.0;47.0;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;22.0;;21.0;;8.0;5.0;21.0;;415.0;381.0;384.0;32.0;6.0;-85.0;78.0;78.0;2.0;;;;;8.0;8.0;;;;29.0;13.0;1.0;96.38;;;34.39;2.0;23.53;0.24;0.24;21.0;;15.0;;15.0;2.0;;;10.0;;;;;;;;415.0;3.0;3.0;;;375.0;3.0;;;;3.0;;;;;13.0;;19.0;415.0;;415.0;;5.0;1.0;-0.0;;0.0;;;;;-0.0;-4.0;;-57.0;25.0;-53.0;-0.0;;;-1.0;79.0;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;27.0;;26.0;;9.0;7.0;21.0;;479.0;440.0;442.0;37.0;6.0;-60.0;56.0;56.0;1.0;;;;;10.0;10.0;;;;35.0;16.0;1.0;97.42;;;34.69;3.0;23.99;0.32;0.3;21.0;;18.0;;18.0;3.0;;;14.0;;;;;;;;479.0;4.0;5.0;;;431.0;2.0;;;;2.0;;;;;18.0;;19.0;479.0;;479.0;;7.0;1.0;-0.0;;-1.0;;;;;0.0;-5.0;;-36.0;50.0;-74.0;-2.0;;;-2.0;60.0;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;35.0;;33.0;;12.0;8.0;21.0;;610.0;564.0;566.0;44.0;6.0;-122.0;120.0;120.0;3.0;;;;;12.0;12.0;;;;43.0;20.0;2.0;95.97;;;34.58;4.0;23.63;0.4;0.38;21.0;;22.0;;22.0;14.0;;;16.0;;;;;;;;610.0;7.0;1.0;;;556.0;2.0;;;;2.0;4.0;;;;24.0;;20.0;610.0;;610.0;;8.0;2.0;-1.0;;;;;;;-3.0;-3.0;;-162.0;122.0;-82.0;;;;-2.0;122.0;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;40.0;;37.0;;14.0;10.0;22.0;;690.0;638.0;640.0;50.0;23.0;-85.0;69.0;6.0;20.0;;;;;14.0;14.0;;;;49.0;21.0;2.0;92.02;;;35.66;5.0;24.19;0.46;0.45;21.0;;28.0;;28.0;13.0;;;16.0;;;;;;;;690.0;10.0;4.0;;;623.0;2.0;;;;2.0;;;;6.0;31.0;;13.0;690.0;;690.0;;10.0;2.0;-0.0;;3.0;;;;;9.0;-2.0;;-78.0;93.0;-100.0;;;;-2.0;71.0;;28.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;47.0;;48.0;;17.0;12.0;21.0;26.0;852.0;790.0;792.0;60.0;11.0;-143.0;149.0;17.0;8.0;;;;;16.0;16.0;;;;60.0;29.0;2.0;103.19;;;36.56;5.0;24.89;0.56;0.54;21.0;;45.0;;45.0;17.0;;-36.0;17.0;;;;;;;;827.0;10.0;2.0;;;778.0;2.0;;;;2.0;;;;6.0;40.0;;14.0;852.0;;852.0;;12.0;2.0;-1.0;;-5.0;;;;;3.0;-3.0;;-37.0;13.0;-120.0;;;;-3.0;152.0;;45.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
