;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1996.0;1149.0;;132.0;;;132.0;159.0;;;;;;;;;;;;;;;;;;;;;;;11.49;;;;;11.49;0.83;0.83;159.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1179.0;933.0;254.0;406.0;254.0;128.0;160.0;311.0;3415.0;561.0;2186.0;1115.0;354.0;-238.0;-97.0;19.0;119.0;246.0;79.15;527.0;;;;;527.0;773.0;;;;21.51;34.46;-153.0;21.51;126.0;10.83;0.8;0.8;160.0;;43.0;;43.0;232.0;36.0;-0.0;3047.0;;;;;;57.0;3104.0;;339.0;191.0;;;31.0;1375.0;;62.0;;1437.0;3062.0;;;;458.0;-1923.0;2580.0;3301.0;114.0;3415.0;;128.0;;;;106.0;;0.0;;1.0;121.0;-236.0;-2.0;;2.0;-3.0;;5.0;-2.0;;-100.0;;43.0;24.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1082.0;842.0;575.0;462.0;303.0;138.0;161.0;461.0;3522.0;503.0;1981.0;1212.0;310.0;-92.0;-157.0;61.0;101.0;240.0;77.86;381.0;;;;;381.0;620.0;21.0;119.0;186.0;53.18;42.68;-159.0;28.02;132.0;12.77;0.85;0.84;161.0;;101.0;;101.0;198.0;32.0;130.0;2770.0;;;160.0;;;132.0;3061.0;;298.0;174.0;;;31.0;1129.0;;48.0;;1177.0;2655.0;;;;462.0;-1955.0;2705.0;3193.0;329.0;3522.0;;138.0;186.0;-7.0;;-4.0;;;;-4.0;-3.0;-210.0;-163.0;-133.0;;413.0;;140.0;;-103.0;-195.0;;101.0;40.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;712.0;570.0;431.0;218.0;144.0;132.0;170.0;425.0;4102.0;661.0;2572.0;1269.0;292.0;-684.0;341.0;-55.0;-180.0;142.0;80.05;352.0;;;;;352.0;494.0;;;225.0;60.48;30.63;-74.0;20.18;73.0;18.61;0.62;0.62;170.0;;52.0;;52.0;273.0;39.0;61.0;3284.0;;;151.0;;;242.0;3677.0;;333.0;295.0;;;33.0;1359.0;;50.0;;1409.0;3320.0;;;;500.0;-2069.0;2838.0;3841.0;261.0;4102.0;;132.0;225.0;-6.0;;-38.0;;;;-38.0;-22.0;-472.0;-178.0;-106.0;11.0;62.0;;211.0;-13.0;-121.0;263.0;-4.0;52.0;107.0;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1870.0;630.0;557.0;273.0;183.0;195.0;169.0;1203.0;5089.0;1385.0;3614.0;1306.0;133.0;-137.0;-2.0;-14.0;-398.0;1240.0;33.69;357.0;;;;;357.0;1597.0;;61.0;215.0;29.77;14.59;-89.0;9.81;86.0;10.44;1.11;1.09;169.0;;36.0;;36.0;983.0;61.0;123.0;3521.0;;;;;;365.0;3886.0;;959.0;368.0;;;58.0;1416.0;;233.0;;1649.0;3877.0;;;;552.0;-1658.0;2412.0;4920.0;169.0;5089.0;;195.0;215.0;23.0;;-279.0;;;;-279.0;-21.0;-530.0;325.0;-6.0;58.0;17.0;;3.0;-16.0;-120.0;132.0;-8.0;36.0;50.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3095.0;2285.0;460.0;238.0;171.0;143.0;169.0;900.0;4949.0;1138.0;3414.0;1534.0;449.0;-676.0;232.0;5.0;-333.0;809.0;73.84;2047.0;;;;;2047.0;2857.0;;55.0;205.0;14.85;7.69;-67.0;5.53;56.0;4.62;0.8;0.79;169.0;;39.0;;39.0;796.0;54.0;11.0;1494.0;;;;23.0;257.0;2274.0;4049.0;;;403.0;;;735.0;1512.0;;;764.0;2276.0;;;;736.0;526.0;-25.0;297.0;4948.0;1.0;4949.0;;143.0;205.0;25.0;;57.0;;;;57.0;19.0;-783.0;-6.0;;;113.0;;115.0;-28.0;-109.0;253.0;1.0;39.0;34.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1096.0;649.0;398.0;126.0;61.0;134.0;170.0;644.0;4717.0;859.0;3253.0;1297.0;278.0;-23.0;-204.0;52.0;-323.0;447.0;59.19;523.0;;;;;523.0;970.0;;53.0;200.0;36.34;11.46;-65.0;5.57;12.0;12.23;0.71;0.71;170.0;;91.0;;91.0;298.0;72.0;183.0;3837.0;;;36.0;;;201.0;4074.0;;300.0;410.0;;;149.0;1495.0;;236.0;;1731.0;4126.0;;;;529.0;-12.0;;4550.0;167.0;4717.0;;134.0;200.0;-38.0;;-31.0;;;;-31.0;14.0;-601.0;495.0;;;84.0;;1.0;-32.0;-96.0;-78.0;0.0;91.0;39.0;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1934.0;1111.0;692.0;413.0;259.0;198.0;185.0;680.0;6492.0;726.0;4226.0;1897.0;583.0;-413.0;-155.0;9.0;155.0;823.0;57.45;698.0;;;;;698.0;1521.0;20.0;142.0;292.0;35.78;21.36;-154.0;13.38;60.0;10.25;0.97;0.97;185.0;;120.0;;120.0;316.0;36.0;208.0;4870.0;;;536.0;;;406.0;5812.0;;422.0;234.0;;;70.0;2296.0;;529.0;;2826.0;6326.0;;;;720.0;-22.0;;6124.0;368.0;6492.0;;198.0;292.0;21.0;;151.0;;;;151.0;-78.0;-428.0;-105.0;;17.0;104.0;;204.0;;-149.0;-210.0;-7.0;120.0;110.0;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2359.0;1336.0;719.0;397.0;175.0;141.0;193.0;828.0;6760.0;1060.0;4192.0;2055.0;510.0;-54.0;-464.0;-15.0;206.0;1023.0;56.62;938.0;;;;;938.0;1962.0;9.0;193.0;342.0;30.46;16.84;-222.0;7.42;42.0;6.0;0.73;0.73;193.0;;114.0;;114.0;357.0;33.0;325.0;5190.0;;;444.0;;;297.0;5932.0;;359.0;517.0;;;183.0;2053.0;;585.0;;2638.0;5771.0;;;;757.0;-41.0;;6248.0;512.0;6760.0;;141.0;342.0;15.0;;21.0;;;;21.0;-9.0;-304.0;97.0;;;153.0;;3.0;-2.0;-113.0;-353.0;-6.0;114.0;129.0;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;2441.0;1408.0;726.0;379.0;201.0;171.0;197.0;797.0;6658.0;981.0;3990.0;2187.0;533.0;-208.0;-341.0;-19.0;253.0;1034.0;57.66;1028.0;;;;;1028.0;2062.0;7.0;170.0;345.0;29.75;15.54;-178.0;8.25;41.0;7.0;0.87;0.87;197.0;;68.0;;68.0;510.0;24.0;194.0;4770.0;;;419.0;;;672.0;5861.0;;508.0;352.0;;;121.0;1900.0;;637.0;;2536.0;5545.0;;;;785.0;-58.0;;6177.0;480.0;6658.0;;171.0;345.0;5.0;;-28.0;;;;-28.0;40.0;-280.0;;-8.0;;80.0;;17.0;-258.0;-85.0;-14.0;-2.0;68.0;87.0;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;
