;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1987.0;9.0;4.0;0.0;0.0;;;12.0;;;;;;;;;;;5.0;43.18;4.0;;4.0;;;;9.0;;;;3.41;3.41;0.0;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;9.0;4.0;0.0;0.0;;0.0;10.0;;;;;;;;;;;5.0;44.57;4.0;;4.0;;;0.0;9.0;;;0.0;4.35;3.26;0.0;;;1.09;0.01;0.01;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;12.0;6.0;0.0;1.0;;-0.0;13.0;;;;;;;;;;;6.0;49.15;5.0;;5.0;;;1.0;11.0;;;1.0;3.39;4.24;0.0;;;-1.69;-0.01;-0.01;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;13.0;6.0;0.0;1.0;;-0.0;13.0;;;;;;;;;;;7.0;48.12;6.0;;5.0;;;0.0;12.0;;;0.0;1.5;6.77;-0.0;;;-1.5;-0.01;-0.01;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;21.0;11.0;2.0;3.0;2.0;1.0;15.0;;;;;;-0.0;-3.0;3.0;3.0;-2.0;10.0;53.88;8.0;;8.0;;;1.0;18.0;;;1.0;9.71;14.08;-1.0;7.28;1.0;3.88;0.06;0.06;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;-2.0;;-1.0;;;1.0;-2.0;;;;-1.0;;3.0;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;27.0;14.0;2.0;2.0;1.0;1.0;18.0;;;;;;-1.0;-8.0;9.0;9.0;-7.0;12.0;53.96;12.0;;12.0;;;1.0;25.0;;;1.0;8.68;7.17;-1.0;4.15;1.0;3.4;0.05;0.05;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;-2.0;;-2.0;;;;-7.0;;-2.0;;-0.0;;4.0;;;4.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;29.0;16.0;2.0;1.0;1.0;0.0;20.0;;;;;;0.0;-5.0;6.0;6.0;-3.0;13.0;56.14;15.0;;14.0;;;1.0;27.0;;;1.0;7.02;4.91;-0.0;3.51;1.0;0.7;0.01;0.01;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;-0.0;;-1.0;;-0.0;;;-0.0;-3.0;;;;-2.0;;5.0;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;42.0;26.0;7.0;7.0;6.0;3.0;20.0;;;;;;0.0;-4.0;3.0;3.0;-3.0;16.0;62.71;19.0;;18.0;;;1.0;35.0;;;1.0;17.34;16.86;-1.0;14.01;3.0;8.08;0.17;0.17;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;1.0;0.0;;-5.0;;-3.0;;;0.0;-4.0;;;;;;1.0;;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;50.0;31.0;5.0;5.0;4.0;2.0;21.0;;;;;;1.0;-5.0;4.0;4.0;-4.0;19.0;61.49;25.0;;23.0;;;2.0;44.0;;;2.0;10.69;10.69;-2.0;7.06;2.0;4.03;0.1;0.1;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;0.0;;-3.0;;-2.0;;;0.0;-5.0;;;;-1.0;;;;;4.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;57.0;34.0;6.0;5.0;3.0;2.0;21.0;;;;;;1.0;-9.0;8.0;8.0;-8.0;23.0;59.82;29.0;9.0;18.0;;;2.0;52.0;;;2.0;10.09;8.5;-2.0;5.84;1.0;3.89;0.11;0.1;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;0.0;;-4.0;;-2.0;;;0.0;-9.0;;-0.0;;;;0.0;;;7.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
