;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1988.0;5.0;0.0;0.0;0.0;;;2.0;;;;;;;;;;;4.0;8.51;0.0;;;;;0.0;5.0;;;0.0;8.51;4.26;0.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;5.0;0.0;0.0;0.0;;;2.0;;;;;;;;;;;5.0;7.69;0.0;;;;;0.0;5.0;;0.0;0.0;7.69;3.85;0.0;;;;-0.01;-0.01;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;5.0;2.0;1.0;1.0;0.0;0.0;3.0;;;;;;0.0;-0.0;-0.0;-0.0;0.0;3.0;40.82;1.0;;1.0;;;0.0;4.0;;;0.0;12.24;12.24;-0.0;8.16;0.0;4.08;0.08;0.08;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;-0.0;;;-0.0;-0.0;;;;;;;;-0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;4.0;2.0;0.0;0.0;;0.0;3.0;;;;;;-0.0;-0.0;;;-0.0;3.0;36.36;1.0;;1.0;;;0.0;4.0;;;0.0;4.55;6.82;;;;2.27;0.02;0.02;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;-0.0;;;-0.0;;;;;-0.0;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;6.0;2.0;0.0;1.0;0.0;0.0;3.0;;;;;;0.0;-0.0;-0.0;-0.0;0.0;4.0;34.43;2.0;;1.0;;;0.0;6.0;;;0.0;6.56;9.84;-0.0;4.92;0.0;3.28;0.08;0.08;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;-0.0;-0.0;;;;;;;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;5.0;2.0;0.0;0.0;;0.0;3.0;;;;;;0.0;;;;0.0;4.0;33.96;2.0;;1.0;;;0.0;5.0;;;0.0;5.66;5.66;;;;3.77;0.07;0.07;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;-0.0;;;-0.0;;;;;;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;6.0;2.0;1.0;0.0;0.0;0.0;3.0;;;;;;1.0;-0.0;-0.0;-0.0;0.0;4.0;31.25;2.0;;2.0;;;0.0;6.0;;;0.0;7.81;4.69;;4.69;0.0;4.69;0.1;0.1;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;0.0;;;0.0;-0.0;;;;;;;;;-0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;8.0;3.0;1.0;0.0;1.0;1.0;3.0;;;;;;1.0;-1.0;-0.0;-0.0;1.0;6.0;32.1;2.0;;2.0;;;0.0;8.0;;;0.0;7.41;4.94;0.0;6.17;-0.0;7.41;0.2;0.2;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;-0.0;;;;-1.0;;;1.0;-1.0;;;;;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;9.0;3.0;1.0;1.0;1.0;1.0;3.0;5.0;8.0;2.0;4.0;4.0;1.0;-0.0;-0.0;-0.0;0.0;6.0;38.2;3.0;;2.0;2.0;;0.0;8.0;;;0.0;11.24;8.99;;8.99;0.0;6.74;0.22;0.22;3.0;;1.0;;1.0;1.0;2.0;0.0;2.0;;0.0;0.0;;;1.0;3.0;;1.0;0.0;;;1.0;2.0;;;;2.0;;;;;1.0;-3.0;5.0;8.0;0.0;8.0;;1.0;0.0;0.0;;3.0;;-0.0;;3.0;-3.0;-0.0;;;;-0.0;;0.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;10.0;4.0;1.0;1.0;1.0;1.0;3.0;5.0;8.0;2.0;4.0;4.0;1.0;-0.0;-0.0;-0.0;1.0;6.0;40.0;3.0;;3.0;3.0;;0.0;9.0;;;0.0;11.0;8.0;;8.0;0.0;5.0;0.19;0.19;3.0;;1.0;;1.0;1.0;2.0;0.0;3.0;;0.0;0.0;;;0.0;3.0;;1.0;0.0;;;1.0;2.0;;;-0.0;1.0;;;;;2.0;-3.0;5.0;8.0;0.0;8.0;;1.0;0.0;;;0.0;;;;3.0;-0.0;-0.0;;;;;;0.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
