;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;3.0;;-2.0;;-9.0;-9.0;8.0;;409.0;46.0;336.0;73.0;-8.0;-385.0;330.0;-64.0;-13.0;;;;;2.0;;2.0;;;14.0;6.0;1.0;-79.38;;;-305.35;;-305.35;-1.23;-1.23;8.0;;9.0;;9.0;;;;4.0;2.0;;2.0;;;;;409.0;;46.0;;;;;;;;;289.0;;;0.0;-10.0;;83.0;409.0;;409.0;;-9.0;1.0;;;-2.0;;;;;3.0;-5.0;;-409.0;25.0;4.0;;13.0;-1.0;;317.0;;9.0;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;8.0;;18.0;;-16.0;-16.0;9.0;901.0;908.0;17.0;822.0;86.0;-8.0;-447.0;507.0;52.0;-11.0;;;;;4.0;;4.0;;;56.0;33.0;2.0;222.84;;;-203.87;;-203.87;-1.89;-1.89;9.0;;60.0;;60.0;;;840.0;6.0;2.0;;2.0;;;;8.0;;;17.0;;;;2.0;;;;2.0;808.0;;;0.0;-27.0;;113.0;908.0;;908.0;;-16.0;2.0;;;1.0;;;;;6.0;-3.0;;-573.0;110.0;18.0;;27.0;-0.0;;480.0;;60.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;12.0;;43.0;;6.0;6.0;10.0;1158.0;1165.0;1058.0;1058.0;106.0;12.0;-267.0;251.0;-4.0;12.0;;;;;0.0;;0.0;;;71.0;36.0;2.0;368.71;;;49.76;;49.76;0.61;0.61;10.0;;57.0;;57.0;;;1102.0;5.0;1.0;;1.0;;;;6.0;;;77.0;;;981.0;87.0;;;;87.0;0.0;;;0.0;-21.0;;127.0;1165.0;;1165.0;;6.0;2.0;;;0.0;;;;;4.0;-1.0;;-260.0;142.0;-149.0;;0.0;;;250.0;;57.0;60.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;51.0;;42.0;;10.0;7.0;20.0;1235.0;1793.0;68.0;1668.0;125.0;-63.0;-515.0;611.0;32.0;-64.0;;;;;18.0;17.0;1.0;;;70.0;28.0;4.0;82.93;;;19.41;3.0;14.43;0.33;0.32;19.0;;89.0;;89.0;42.0;;1104.0;4.0;;;1.0;553.0;;;558.0;2352.0;4.0;64.0;;;;10.0;;;;10.0;1611.0;;0.0;0.0;-13.0;7.0;131.0;1793.0;;1793.0;;7.0;4.0;;;-6.0;;;;;-69.0;-0.0;-25.0;-486.0;148.0;-153.0;;;;-1.0;612.0;;89.0;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;64.0;;55.0;;12.0;14.0;22.0;1411.0;2193.0;38.0;2021.0;172.0;55.0;-464.0;390.0;-19.0;53.0;;;;;24.0;24.0;1.0;;;85.0;32.0;11.0;85.72;;;18.18;-2.0;21.6;0.62;0.6;21.0;;70.0;;70.0;49.0;;1293.0;5.0;;;1.0;775.0;;;782.0;2974.0;3.0;35.0;;;;21.0;;;;21.0;2004.0;;;0.0;0.0;4.0;167.0;2193.0;;2193.0;;14.0;11.0;;;2.0;;;;;29.0;-2.0;;-653.0;417.0;-228.0;;;;-1.0;391.0;;70.0;89.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;88.0;;71.0;;29.0;20.0;26.0;1801.0;2611.0;7.0;2416.0;195.0;-16.0;-372.0;397.0;9.0;-17.0;;;;;37.0;35.0;3.0;;;111.0;36.0;6.0;80.83;;;33.21;10.0;22.13;0.77;0.75;25.0;;78.0;;78.0;57.0;;1665.0;5.0;;;1.0;805.0;;;811.0;3422.0;4.0;3.0;;;;21.0;;;;21.0;2430.0;;;0.0;20.0;3.0;172.0;2611.0;;2611.0;;20.0;6.0;;;-5.0;;;;;-37.0;-1.0;;-239.0;204.0;-338.0;;;;;397.0;;78.0;70.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;122.0;;109.0;;41.0;27.0;27.0;2378.0;3042.0;59.0;2827.0;216.0;42.0;-386.0;403.0;59.0;38.0;;;;;54.0;51.0;3.0;;;168.0;66.0;2.0;89.43;;;33.7;14.0;22.25;1.06;1.02;26.0;;138.0;;138.0;72.0;;2168.0;22.0;;;13.0;630.0;;;665.0;3707.0;5.0;54.0;;;;46.0;;;;46.0;2814.0;;;0.0;47.0;-8.0;176.0;3042.0;;3042.0;;27.0;2.0;-0.0;;2.0;;;;;11.0;-4.0;-11.0;-17.0;173.0;-530.0;;;;;403.0;;138.0;78.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;139.0;;170.0;;44.0;29.0;27.0;3096.0;3675.0;8.0;3422.0;254.0;-79.0;-557.0;592.0;-44.0;-99.0;;;;;56.0;53.0;3.0;;;238.0;120.0;7.0;122.83;;;31.89;15.0;20.85;1.11;1.09;26.0;;94.0;;94.0;86.0;;2917.0;34.0;;;13.0;532.0;;;579.0;4254.0;6.0;2.0;;;;113.0;;;;113.0;3527.0;;;0.0;76.0;-5.0;182.0;3675.0;;3675.0;;29.0;7.0;-1.0;;-132.0;;;;;18.0;-19.0;;-17.0;119.0;-659.0;;;;;592.0;;94.0;138.0;;;5.32;1.11;-3.78;;0.74;9.73;26.0;19.1;1.1;;139.0;;7.0;29.0;34.0;20.8;3088.0;113.0;254.0;2.9;4.5;11.4;100.0;
2007.0;160.0;;203.0;;48.0;29.0;27.0;3781.0;4287.0;13.0;3992.0;295.0;99.0;-678.0;575.0;-4.0;84.0;;;;;60.0;57.0;3.0;;;290.0;150.0;8.0;126.56;;;29.79;16.0;18.35;1.12;1.1;26.0;;89.0;;89.0;86.0;;3605.0;32.0;;;8.0;467.0;;;507.0;4794.0;6.0;7.0;;;;545.0;;;;545.0;4525.0;;;0.0;106.0;-0.0;190.0;4287.0;;4287.0;;29.0;8.0;-4.0;;28.0;;;;;38.0;-16.0;;-39.0;110.0;-749.0;;;;;575.0;;89.0;94.0;;;6.11;1.12;3.19;;0.59;11.23;26.0;18.7;1.1;;160.0;;8.0;29.0;34.4;18.3;3768.0;545.0;295.0;3.0;4.6;10.0;100.0;
2008.0;174.0;;142.0;;38.0;24.0;28.0;4744.0;5140.0;819.0;4753.0;387.0;-316.0;-519.0;827.0;-7.0;-322.0;;;;;67.0;65.0;3.0;;;249.0;97.0;8.0;81.54;;;21.7;13.0;13.93;0.87;0.87;28.0;;78.0;;78.0;184.0;;4482.0;9.0;;;8.0;379.0;;;396.0;5536.0;6.0;813.0;;;;40.0;;;;40.0;3974.0;;;0.0;130.0;2.0;254.0;5140.0;;5140.0;;24.0;8.0;-4.0;;-49.0;;;;;-295.0;-6.0;;-40.0;36.0;-515.0;;;;;827.0;;82.0;89.0;;;6.23;0.87;-11.5;;0.21;13.85;28.0;19.2;0.9;;174.0;;8.0;24.0;34.2;13.9;3925.0;40.0;387.0;2.0;2.6;6.3;100.0;
