;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;5.0;3.0;1.0;0.0;0.0;0.0;1.0;;;;;;;;;;;2.0;60.38;3.0;;3.0;;;0.0;5.0;;;0.0;9.43;7.55;;7.55;0.0;5.66;0.29;0.29;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;3.0;1.0;-1.0;-2.0;-2.0;-1.0;1.0;;;;;;;;;;;2.0;42.31;3.0;;3.0;;;0.0;4.0;;;0.0;-53.85;-57.69;;-57.69;-0.0;-46.15;-0.99;-0.99;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;3.0;2.0;0.0;0.0;;0.0;1.0;;;;;;;;;;;1.0;57.58;2.0;;2.0;;;0.0;3.0;;;0.0;6.06;3.03;0.0;;;3.03;0.06;0.06;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;10.0;6.0;2.0;2.0;2.0;1.0;1.0;;;;;;;;;;;5.0;55.77;4.0;;4.0;;;0.0;8.0;;;0.0;22.12;21.15;;21.15;1.0;12.5;1.05;1.02;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;13.0;9.0;3.0;3.0;3.0;2.0;1.0;;;;;;5.0;-2.0;;;5.0;5.0;64.18;6.0;;6.0;;;0.0;11.0;;;0.0;24.63;20.15;1.0;23.88;1.0;14.93;1.62;1.62;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;-1.0;;4.0;;1.0;;;-0.0;-0.0;;-2.0;;-0.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;11.0;8.0;2.0;2.0;2.0;2.0;1.0;;;;;;-3.0;2.0;;;-3.0;3.0;70.8;6.0;;6.0;;;0.0;9.0;;;0.0;21.24;17.7;0.0;20.35;1.0;13.27;1.25;1.25;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;1.0;;;;-0.0;;;-5.0;-0.0;;;2.0;0.0;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;13.0;9.0;2.0;2.0;2.0;2.0;1.0;;;;;;2.0;-0.0;;;2.0;4.0;68.0;7.0;;6.0;;;0.0;11.0;;;0.0;19.2;16.0;0.0;18.4;1.0;12.8;1.27;1.27;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;-0.0;;;;-1.0;;;0.0;-0.0;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;15.0;9.0;2.0;2.0;2.0;1.0;1.0;;;;;;1.0;-0.0;-0.0;-0.0;1.0;5.0;63.45;8.0;;8.0;;;0.0;13.0;;;0.0;13.1;10.34;0.0;11.72;0.0;8.97;1.02;1.02;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;;;;;;;-1.0;-0.0;;;;;;;;;-0.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;10.0;5.0;0.0;;;0.0;1.0;;;;;;1.0;-1.0;-0.0;-0.0;0.0;5.0;53.61;5.0;;5.0;;;0.0;10.0;;;0.0;3.09;;0.0;;;1.03;0.07;0.07;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;0.0;-1.0;;;;;;;-0.0;;-0.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;9.0;6.0;0.0;0.0;;0.0;1.0;;;;;;1.0;-0.0;-0.0;-0.0;1.0;4.0;61.54;6.0;1.0;4.0;;;0.0;9.0;;;0.0;4.4;1.1;0.0;;;1.1;0.09;0.09;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;0.0;;;1.0;-0.0;;;;;;0.0;;;-0.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
