;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;;;;-0.0;;;12.0;0.0;0.0;;;0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;;;;;;;-inf;;;;;;;12.0;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;0.0;;;;;;;;;;0.0;-0.0;;;;;;;0.0;;;0.0;;0.0;;;;;;-0.0;;;0.0;12.0;;;;;-inf;;;;;0.0;;0.0;;;;;434.8
2008.0;;;-0.0;-0.0;-0.0;-0.0;18.0;0.0;0.0;;;0.0;-0.0;;0.0;0.0;-0.0;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;;-inf;-inf;-0.0;-inf;;-inf;-0.0;-0.0;18.0;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;0.0;0.0;-0.0;;;;;;;0.0;;;0.0;;0.0;0.0;;;;-0.0;-0.0;;;0.0;18.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-60.0;-60.0;-64.6;100.0;
2009.0;;;-0.0;-0.0;-0.0;-0.0;28.0;0.0;0.0;;;0.0;-0.0;;;-0.0;-0.0;;;0.0;0.0;0.0;0.0;;-0.0;0.0;;;;-inf;-inf;0.0;-inf;;-inf;-0.0;-0.0;28.0;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;-0.0;0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;-0.0;-0.0;;;0.0;28.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-100.0;-100.0;-83.9;100.0;
2010.0;;;-0.0;-0.0;-0.0;-0.0;28.0;0.0;0.0;;;0.0;-0.0;;;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;0.0;-inf;;-inf;-0.0;-0.0;28.0;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;-0.0;-0.0;;;0.0;28.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-100.0;-100.0;-110.7;100.0;
2011.0;;;-0.0;-0.0;-0.0;-0.0;28.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.0;-0.0;28.0;;;0.0;0.0;;;;;;;;;;;;;;0.0;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;-0.0;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.0;-0.0;;;-0.0;28.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;254.2;-160.2;258.7;100.0;
2012.0;;;0.0;-0.0;;;28.0;;;0.0;0.0;-0.0;0.0;;-0.0;0.0;0.0;;;0.0;;0.0;0.0;;;;;0.0;;inf;-inf;;;;;;;28.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;-0.0;;;;;;;;;;;-0.0;0.0;;;;;;-0.0;;;;0.0;;0.0;0.0;;;;;0.0;;;-0.0;28.0;;;;;-inf;;;;;-0.0;;-0.0;;19.8;;;
2013.0;;;-0.0;-0.0;-0.0;-0.0;28.0;;;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;-0.0;-inf;;-inf;-0.0;-0.0;28.0;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;0.0;-0.0;;0.0;-0.0;0.0;;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.0;-0.0;;;-0.0;28.0;-368.7;-21.6;;;-inf;;-0.0;;-inf;-0.0;;-0.0;97.2;8003.7;98.8;100.0;
2014.0;0.0;0.0;-0.0;-0.0;-1.0;-1.0;28.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;0.0;-0.0;0.0;35.42;0.0;;0.0;0.0;;;0.0;;0.0;;-103538.54;-83166.46;-0.0;-106083.33;;-106083.33;-0.01;-0.01;28.0;;0.0;;0.0;;;0.0;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;0.0;-1.0;;0.0;0.0;-0.0;0.0;;-1.0;;;;-1.0;;;;-1.0;1.0;;;;;;;;;;0.0;;0.0;0.0;;;0.0;-0.02;-0.01;;;-0.02;28.0;-42.3;-2.3;;0.0;-83166.5;;-1.0;;-106083.3;-1.0;;-1.0;87.2;-35423.0;89.3;100.0;
2015.0;0.0;0.0;-2.0;-2.0;-3.0;-3.0;28.0;0.0;0.0;3.0;3.0;-3.0;-2.0;;2.0;0.0;-2.0;0.0;39.95;2.0;;2.0;3.0;;;3.0;;1.0;;-15030.97;-13758.18;-1.0;-19129.87;;-19041.52;-0.11;-0.11;28.0;;0.0;;0.0;;0.0;0.0;;;;;;;;;;0.0;3.0;;;0.0;;;;-0.0;-0.0;;;;0.0;-4.0;;1.0;0.0;-0.0;0.0;;-3.0;;;0.0;-2.0;;-0.0;;-3.0;3.0;;;;;;-0.0;;;;3.0;;0.0;0.0;;;0.0;-0.11;-0.08;;;-0.09;28.0;-7.5;-0.4;;0.0;-13758.2;;-3.0;;-19041.5;-3.0;;-3.0;95.5;-639.9;121.6;100.0;
2016.0;0.0;0.0;-2.0;-3.0;-3.0;-3.0;31.0;2.0;4.0;1.0;6.0;-1.0;-2.0;;4.0;1.0;-2.0;0.0;41.84;3.0;;3.0;3.0;;;3.0;;1.0;0.0;-1359.74;-1553.83;-1.0;-1896.65;;-1866.21;-0.1;-0.1;31.0;;2.0;;2.0;0.0;0.0;0.0;;;2.0;2.0;;;;2.0;;0.0;0.0;;;0.0;5.0;;;-0.0;5.0;;;;0.0;-7.0;;5.0;4.0;-0.0;4.0;;-3.0;0.0;;0.0;4.0;-0.0;-0.0;;1.0;-3.0;;;;;;-1.0;;;;5.0;;2.0;0.0;;;0.01;-0.1;-0.08;;;-0.05;31.0;-8.0;-0.4;;0.0;-1553.8;0.0;-3.0;;-1866.2;1.0;5.0;-1.0;-71.6;-59.5;212.9;100.0;
