;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;522.0;203.0;129.0;56.0;58.0;24.0;2.0;286.0;810.0;130.0;253.0;557.0;136.0;-46.0;-92.0;-2.0;82.0;319.0;38.84;147.0;;63.0;63.0;;84.0;466.0;;;84.0;24.78;10.75;2.0;11.05;22.0;4.64;14.24;14.24;2.0;;107.0;;107.0;141.0;35.0;4.0;448.0;;;;22.0;45.0;8.0;524.0;;;48.0;;;83.0;;;;123.0;123.0;;;;5.0;231.0;-22.0;343.0;810.0;;810.0;;24.0;84.0;5.0;;-45.0;8.0;-0.0;;100.0;68.0;-53.0;;;;8.0;;;;-21.0;-71.0;;107.0;109.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;539.0;207.0;156.0;60.0;67.0;43.0;2.0;201.0;902.0;102.0;322.0;580.0;139.0;-274.0;42.0;-92.0;-161.0;331.0;38.49;147.0;;60.0;60.0;;87.0;478.0;;2.0;87.0;28.93;11.21;7.0;12.51;25.0;7.91;25.06;25.06;2.0;;15.0;;15.0;146.0;36.0;4.0;606.0;25.0;;25.0;22.0;50.0;-1.0;701.0;;;;;;102.0;100.0;;;121.0;221.0;;;;5.0;252.0;-25.0;347.0;902.0;;902.0;;43.0;87.0;4.0;;24.0;-5.0;-2.0;;123.0;-18.0;-300.0;;;;26.0;;;;-21.0;64.0;;15.0;107.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;643.0;256.0;196.0;114.0;111.0;76.0;2.0;209.0;978.0;86.0;240.0;739.0;179.0;-21.0;-153.0;6.0;133.0;388.0;39.73;142.0;;59.0;59.0;;83.0;530.0;;2.0;82.0;30.42;17.69;-3.0;17.24;35.0;11.84;38.1;38.1;2.0;;29.0;;29.0;145.0;31.0;4.0;660.0;23.0;;23.0;36.0;77.0;-26.0;769.0;;;;;;86.0;;;;154.0;154.0;;;;6.0;323.0;-24.0;434.0;978.0;-0.0;978.0;;76.0;82.0;16.0;;51.0;1.0;5.0;;174.0;-46.0;-46.0;;;;26.0;;;4.0;-25.0;-132.0;;20.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;803.0;353.0;306.0;206.0;217.0;146.0;2.0;269.0;1039.0;95.0;269.0;770.0;206.0;-34.0;-159.0;12.0;148.0;450.0;43.99;147.0;;65.0;65.0;;82.0;597.0;;7.0;82.0;38.06;25.67;10.0;26.96;71.0;18.18;73.0;73.0;2.0;;41.0;;41.0;188.0;36.0;4.0;681.0;21.0;;21.0;21.0;96.0;-48.0;770.0;;;;;;95.0;;;;175.0;175.0;;;;6.0;433.0;-22.0;353.0;1039.0;;1039.0;;146.0;82.0;19.0;;-59.0;-43.0;-5.0;;115.0;17.0;-58.0;;;;24.0;;;-80.0;-35.0;-43.0;;41.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1060.0;527.0;504.0;363.0;357.0;316.0;2.0;319.0;1493.0;204.0;494.0;999.0;346.0;-287.0;-76.0;-16.0;264.0;533.0;49.72;164.0;;73.0;73.0;;91.0;697.0;;-16.0;91.0;47.58;34.21;-6.0;33.63;113.0;29.76;166.05;166.05;2.0;;25.0;;25.0;259.0;32.0;4.0;706.0;356.0;;356.0;22.0;159.0;-69.0;1174.0;;;;;;204.0;25.0;;;265.0;290.0;;;;6.0;713.0;-30.0;310.0;1493.0;-0.0;1493.0;;316.0;91.0;-2.0;;84.0;-71.0;5.0;;199.0;-143.0;-83.0;;;;-204.0;;;-57.0;-36.0;18.0;;25.0;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;969.0;432.0;382.0;264.0;277.0;211.0;2.0;281.0;1395.0;82.0;327.0;1068.0;254.0;-94.0;-175.0;-15.0;206.0;537.0;44.57;168.0;;74.0;74.0;;95.0;705.0;;10.0;95.0;39.38;27.21;13.0;28.56;66.0;21.74;117.06;117.06;2.0;;10.0;;10.0;238.0;28.0;5.0;638.0;347.0;;347.0;17.0;129.0;-18.0;1114.0;;;;;;82.0;;;;245.0;245.0;;;;6.0;889.0;-28.0;200.0;1395.0;;1395.0;;211.0;95.0;-30.0;;130.0;21.0;4.0;;329.0;-152.0;-48.0;;;;-46.0;;;-109.0;-34.0;-31.0;;10.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;575.0;215.0;207.0;67.0;105.0;77.0;2.0;404.0;1432.0;75.0;318.0;1114.0;235.0;14.0;-33.0;217.0;178.0;360.0;37.37;148.0;;66.0;66.0;;83.0;508.0;;19.0;83.0;36.01;11.59;39.0;18.32;29.0;13.33;42.56;42.56;2.0;;227.0;;227.0;149.0;25.0;2.0;556.0;338.0;;338.0;23.0;145.0;-34.0;1029.0;;;;;;75.0;;;;243.0;243.0;;;;6.0;932.0;-24.0;201.0;1432.0;;1432.0;;77.0;83.0;7.0;;-124.0;89.0;3.0;;205.0;193.0;-57.0;;;;72.0;;;0.0;-33.0;;;227.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;617.0;227.0;229.0;82.0;127.0;86.0;2.0;289.0;1506.0;84.0;327.0;1178.0;151.0;-259.0;-24.0;-132.0;-152.0;389.0;36.87;145.0;;66.0;66.0;;79.0;534.0;;22.0;80.0;37.17;13.36;45.0;20.66;41.0;13.96;47.83;47.83;2.0;;95.0;;95.0;161.0;29.0;4.0;772.0;329.0;;329.0;17.0;156.0;-56.0;1217.0;;;;;;84.0;;;;244.0;244.0;;;;6.0;985.0;-24.0;212.0;1506.0;;1506.0;;86.0;80.0;9.0;;-52.0;-12.0;-3.0;;153.0;29.0;-303.0;;;;44.0;;;10.0;-34.0;;;95.0;227.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;729.0;337.0;289.0;192.0;205.0;136.0;2.0;227.0;1669.0;74.0;384.0;1286.0;194.0;-300.0;23.0;-83.0;-124.0;392.0;46.21;145.0;;67.0;67.0;;78.0;537.0;;6.0;78.0;39.68;26.32;13.0;28.09;69.0;18.68;75.67;75.67;2.0;;12.0;;12.0;183.0;28.0;4.0;998.0;329.0;;329.0;14.0;173.0;-72.0;1443.0;;;;;173.0;-100.0;54.0;;;256.0;310.0;;;;6.0;1087.0;-26.0;219.0;1669.0;;1669.0;;136.0;78.0;12.0;;-12.0;-22.0;1.0;;141.0;-21.0;-318.0;;;;18.0;;;3.0;-34.0;54.0;;12.0;95.0;;;;;;;;;;;;;;;;;;;;;;;;;;
