;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;9.0;5.0;0.0;2.0;-1.0;-1.0;2.0;9.0;42.0;17.0;28.0;14.0;;;;;;4.0;54.65;3.0;;2.0;;;1.0;7.0;;;1.0;2.33;20.93;-2.0;-5.81;0.0;-8.14;-0.32;-0.32;2.0;;4.0;;4.0;5.0;0.0;;32.0;;;;;;1.0;33.0;;;;;;17.0;;;0.0;11.0;11.0;;;;;-19.0;-2.0;36.0;42.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;7.0;5.0;1.0;2.0;-0.0;-1.0;2.0;7.0;38.0;5.0;24.0;14.0;;;;;;3.0;61.64;3.0;;1.0;;;1.0;5.0;;;1.0;15.07;26.03;-2.0;-1.37;1.0;-9.59;-0.32;-0.32;2.0;;3.0;;3.0;3.0;0.0;0.0;31.0;;;;;;;31.0;;;;;;5.0;7.0;;1.0;11.0;19.0;;;;;-20.0;-3.0;37.0;38.0;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;11.0;8.0;6.0;4.0;;;3.0;3.0;36.0;1.0;21.0;15.0;;;;;;3.0;73.58;3.0;;2.0;;;2.0;6.0;;;2.0;57.55;41.51;-0.0;;1.0;;;;3.0;;1.0;;1.0;1.0;0.0;;33.0;;;;;;;33.0;;;;;;1.0;3.0;;3.0;14.0;20.0;;;;;-20.0;-6.0;40.0;36.0;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;9.0;6.0;2.0;2.0;0.0;-0.0;3.0;;;;;;;;;;;3.0;67.78;4.0;;2.0;;;2.0;7.0;;;2.0;24.44;24.44;-2.0;3.33;1.0;-2.22;-0.08;-0.08;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;11.0;8.0;3.0;1.0;1.0;-0.0;3.0;7.0;48.0;2.0;29.0;19.0;;;;;;3.0;73.83;7.0;;4.0;;;3.0;9.0;;;3.0;30.84;13.08;-1.0;4.67;1.0;-1.87;-0.08;-0.08;3.0;;4.0;;4.0;2.0;0.0;;42.0;;;;;;;42.0;;;;;;2.0;4.0;;6.0;18.0;27.0;;;;;-20.0;-11.0;51.0;48.0;;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;14.0;11.0;4.0;1.0;1.0;-0.0;3.0;8.0;46.0;3.0;12.0;19.0;7.0;-3.0;-3.0;;0.0;3.0;76.26;9.0;;6.0;;;3.0;13.0;;;3.0;27.34;10.07;-1.0;3.6;1.0;-2.88;-0.16;-0.16;3.0;;5.0;;5.0;3.0;0.0;0.0;39.0;;;;;;;39.0;;3.0;;;;;;;8.0;2.0;10.0;;;;;-4.0;-14.0;37.0;31.0;15.0;46.0;;-0.0;3.0;1.0;;0.0;;-0.0;;5.0;3.0;-7.0;;;;4.0;;;;;-3.0;0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;14.0;11.0;5.0;1.0;0.0;-1.0;3.0;10.0;45.0;2.0;13.0;17.0;7.0;-3.0;-1.0;;2.0;3.0;76.43;10.0;;5.0;;;5.0;13.0;;;5.0;38.57;4.29;-0.0;1.43;1.0;-6.43;-0.32;-0.32;3.0;;8.0;;8.0;2.0;0.0;;35.0;;;;;;;35.0;;1.0;;;;1.0;;;9.0;2.0;12.0;;;;;-22.0;-19.0;58.0;31.0;14.0;45.0;;-1.0;5.0;1.0;;3.0;;;;8.0;-1.0;-5.0;;;;2.0;;0.0;;-1.0;-0.0;-0.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;13.0;10.0;5.0;1.0;-0.0;1.0;3.0;11.0;43.0;4.0;12.0;17.0;7.0;-4.0;-1.0;;3.0;4.0;73.08;9.0;;5.0;;;4.0;12.0;;;4.0;37.69;6.15;-1.0;-1.54;0.0;5.38;0.24;0.24;3.0;;9.0;;9.0;2.0;0.0;-0.0;32.0;;;;;;0.0;32.0;;3.0;;;;1.0;;;6.0;2.0;8.0;;;;;-21.0;-21.0;58.0;28.0;15.0;43.0;;1.0;4.0;-2.0;;-1.0;;-0.0;;8.0;5.0;-4.0;;;;;;;;-1.0;;-1.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;13.0;9.0;4.0;2.0;1.0;1.0;3.0;11.0;46.0;2.0;11.0;18.0;4.0;-4.0;-1.0;-1.0;1.0;4.0;68.8;6.0;;3.0;;;3.0;10.0;;;3.0;32.0;15.2;-1.0;5.6;0.0;4.0;0.16;0.16;3.0;;8.0;;8.0;2.0;0.0;0.0;35.0;;;;;;0.0;36.0;;2.0;;;;1.0;;;7.0;2.0;9.0;;;;;-20.0;-26.0;64.0;30.0;17.0;46.0;;1.0;3.0;1.0;;1.0;;;;9.0;-1.0;-4.0;;;;;;;;-1.0;;0.0;8.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;14.0;10.0;6.0;4.0;2.0;1.0;4.0;11.0;49.0;2.0;13.0;19.0;9.0;-6.0;-2.0;1.0;1.0;4.0;73.53;7.0;;3.0;3.0;;3.0;10.0;;;3.0;41.18;29.41;-2.0;16.18;1.0;5.88;0.24;0.24;3.0;;9.0;;9.0;2.0;0.0;0.0;37.0;;;;;;0.0;38.0;;1.0;;;;1.0;;;9.0;2.0;11.0;;;;;-20.0;-21.0;59.0;32.0;17.0;49.0;;1.0;3.0;1.0;;0.0;;0.0;;9.0;3.0;-7.0;;;;1.0;;0.0;;-2.0;0.0;;9.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
