;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;18.0;4.0;4.0;2.0;2.0;3.0;20.0;3.0;41.0;18.0;20.0;22.0;3.0;0.0;-1.0;1.0;2.0;14.0;22.6;2.0;;;;;2.0;15.0;0.0;0.0;1.0;21.88;12.98;0.0;13.03;0.0;16.06;0.14;0.14;20.0;;1.0;;1.0;1.0;0.0;;3.0;1.0;;1.0;;;34.0;38.0;;1.0;;;;17.0;0.0;0.0;;1.0;1.0;;;;2.0;-13.0;-2.0;35.0;41.0;;41.0;;3.0;1.0;;;-1.0;;0.0;;-15.0;-0.0;-0.0;-1.0;;;1.0;-1.0;;;;-0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;18.0;3.0;1.0;-0.0;-0.0;-0.0;20.0;3.0;41.0;17.0;19.0;22.0;-0.0;-1.0;-0.0;-1.0;-0.0;16.0;15.16;3.0;;2.0;2.0;;1.0;19.0;0.0;0.0;1.0;3.69;-1.45;-0.0;-2.01;;-2.01;-0.02;-0.02;20.0;;0.0;0.0;1.0;2.0;0.0;;3.0;0.0;;0.0;;;35.0;38.0;;1.0;15.0;;;2.0;1.0;0.0;;1.0;2.0;;;;2.0;-13.0;-3.0;36.0;41.0;;41.0;;-0.0;1.0;;;1.0;;0.0;;-15.0;-1.0;-0.0;-1.0;-0.0;0.0;0.0;-1.0;;;;1.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;22.0;3.0;1.0;-0.0;-0.0;-0.0;20.0;4.0;44.0;16.0;20.0;23.0;-0.0;-0.0;0.0;-0.0;-0.0;19.0;12.07;3.0;;2.0;2.0;;1.0;22.0;0.0;0.0;1.0;2.9;-1.46;-0.0;-1.78;;-1.78;-0.02;-0.02;20.0;;0.0;0.0;1.0;3.0;1.0;;3.0;0.0;;0.0;;;37.0;40.0;;1.0;12.0;;;2.0;4.0;0.0;;1.0;4.0;;;;2.0;-14.0;-3.0;38.0;43.0;1.0;44.0;;-0.0;1.0;;;3.0;;-0.0;;-12.0;-3.0;-0.0;-0.0;-0.0;;0.0;-0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;26.0;4.0;1.0;1.0;;1.0;22.0;5.0;45.0;15.0;19.0;25.0;1.0;-1.0;0.0;0.0;1.0;22.0;15.49;3.0;;3.0;3.0;;1.0;25.0;;;1.0;5.18;3.14;0.0;;;3.13;0.04;0.04;21.0;;1.0;0.0;1.0;3.0;1.0;;3.0;;;;;;38.0;41.0;;1.0;12.0;;;2.0;3.0;0.0;;1.0;4.0;;;;2.0;-13.0;-3.0;39.0;44.0;1.0;45.0;;1.0;1.0;;;2.0;;0.0;;-10.0;-2.0;-0.0;-1.0;-0.0;;0.0;-1.0;1.0;;;0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;25.0;7.0;4.0;4.0;4.0;3.0;26.0;5.0;47.0;15.0;17.0;29.0;5.0;-1.0;-2.0;1.0;3.0;18.0;27.49;3.0;;3.0;3.0;;0.0;21.0;0.0;0.0;0.0;17.83;15.14;-0.0;14.74;0.0;13.72;0.16;0.14;22.0;;2.0;0.0;2.0;3.0;0.0;;3.0;;;;;;38.0;42.0;;1.0;12.0;;;2.0;1.0;0.0;;1.0;2.0;;;;2.0;-10.0;-4.0;40.0;46.0;1.0;47.0;;3.0;0.0;;;0.0;;0.0;;-10.0;1.0;-1.0;-1.0;-0.0;0.0;0.0;-4.0;0.0;;;2.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;28.0;6.0;4.0;3.0;3.0;3.0;23.0;6.0;53.0;16.0;20.0;31.0;2.0;-3.0;3.0;2.0;-0.0;21.0;23.17;4.0;;3.0;3.0;;1.0;25.0;;;1.0;13.47;10.02;0.0;10.88;0.0;9.86;0.12;0.12;22.0;;0.0;0.0;0.0;4.0;1.0;;5.0;;;;;;42.0;47.0;;1.0;13.0;;;2.0;4.0;0.0;;1.0;4.0;;;;2.0;-7.0;-4.0;40.0;52.0;1.0;53.0;;3.0;1.0;;;-0.0;;-1.0;;-11.0;-1.0;-2.0;-0.0;;0.0;-0.0;-1.0;0.0;;;4.0;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;43.0;2.0;-2.0;-3.0;-4.0;-4.0;23.0;6.0;58.0;28.0;29.0;28.0;0.0;-6.0;1.0;-4.0;-2.0;41.0;4.45;5.0;;4.0;4.0;;1.0;46.0;0.0;1.0;1.0;-3.8;-7.11;-1.0;-9.16;;-9.16;-0.17;-0.17;23.0;;0.0;;0.0;5.0;1.0;;12.0;;;;;;40.0;51.0;;5.0;20.0;;;2.0;;0.0;;1.0;1.0;;;;2.0;-11.0;-6.0;42.0;57.0;1.0;58.0;;-4.0;1.0;;;-11.0;;0.0;;-21.0;14.0;-3.0;-3.0;;0.0;0.0;-2.0;;;;3.0;;0.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;33.0;4.0;1.0;-1.0;-2.0;-2.0;23.0;5.0;56.0;30.0;30.0;25.0;1.0;-1.0;-0.0;0.0;1.0;28.0;13.41;5.0;;4.0;4.0;;1.0;33.0;0.0;2.0;1.0;2.42;-2.18;-1.0;-6.4;;-6.4;-0.09;-0.09;23.0;;0.0;;0.0;4.0;1.0;;11.0;;;;;;40.0;50.0;;5.0;19.0;;;5.0;;0.0;;;0.0;;;;2.0;-13.0;-7.0;43.0;55.0;1.0;56.0;;-2.0;1.0;;;-3.0;;0.0;;-24.0;5.0;-0.0;-1.0;;;0.0;-1.0;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;37.0;7.0;3.0;1.0;1.0;1.0;23.0;6.0;56.0;29.0;29.0;26.0;1.0;-1.0;-0.0;0.0;1.0;30.0;18.28;6.0;;4.0;4.0;;1.0;36.0;0.0;1.0;1.0;9.42;3.31;-1.0;1.88;;1.88;0.03;0.03;23.0;;0.0;;0.0;5.0;1.0;;10.0;;;;;;40.0;50.0;;4.0;19.0;;;6.0;;0.0;;;0.0;;;;2.0;-13.0;-8.0;45.0;55.0;1.0;56.0;;1.0;1.0;;;1.0;;-0.0;;-23.0;-2.0;-1.0;-0.0;;;;-1.0;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;40.0;3.0;-1.0;-3.0;-4.0;-4.0;23.0;4.0;53.0;29.0;30.0;22.0;1.0;-1.0;-1.0;-0.0;1.0;36.0;8.2;6.0;;4.0;4.0;;1.0;42.0;0.0;1.0;1.0;-2.25;-6.32;-1.0;-8.85;;-8.85;-0.15;-0.15;23.0;;0.0;;0.0;3.0;1.0;;9.0;;;;;;40.0;49.0;;8.0;15.0;;;7.0;;0.0;;;0.0;;;;2.0;-17.0;-10.0;46.0;52.0;1.0;53.0;;-4.0;1.0;;;-3.0;;0.0;;-26.0;6.0;-0.0;-0.0;;;;-1.0;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
