;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;5.0;1.0;-3.0;-3.0;;-3.0;3.0;;;;;;-3.0;;2.0;2.0;-3.0;4.0;15.38;4.0;;3.0;;;0.0;8.0;;;0.0;-59.62;-51.92;-1.0;;;-63.46;-1.32;-1.32;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;0.0;;;-1.0;;0.0;;;1.0;-0.0;;;0.0;;;3.0;-0.0;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;10.0;2.0;-2.0;-2.0;-1.0;-2.0;4.0;;;;;;-1.0;1.0;7.0;7.0;-1.0;8.0;20.0;4.0;2.0;4.0;2.0;;-1.0;11.0;;;0.0;-22.0;-18.0;1.0;-8.0;;-24.0;-0.63;-0.63;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;0.0;;;0.0;;;;;1.0;-0.0;;;1.0;;;8.0;-1.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;7.0;2.0;-2.0;-1.0;-1.0;-3.0;4.0;;;;;;-4.0;-3.0;4.0;4.0;-6.0;5.0;26.47;2.0;1.0;2.0;1.0;;-1.0;8.0;;;0.0;-35.29;-10.29;-0.0;-11.76;;-38.24;-0.8;-0.8;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;0.0;;;-3.0;;-0.0;;;1.0;-3.0;;-1.0;1.0;-1.0;;4.0;-0.0;;0.0;-0.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;18.0;6.0;-1.0;1.0;1.0;-1.0;6.0;16.0;25.0;9.0;18.0;7.0;-1.0;-9.0;9.0;9.0;-10.0;12.0;32.02;5.0;2.0;3.0;4.0;;0.0;17.0;;;0.0;-5.06;2.81;1.0;7.3;;-7.3;-0.23;-0.23;6.0;;3.0;1.0;4.0;5.0;4.0;3.0;6.0;;0.0;0.0;3.0;;;9.0;;4.0;0.0;;;5.0;7.0;;;2.0;9.0;;;;0.0;-29.0;-8.0;44.0;25.0;;25.0;;-1.0;0.0;;;-3.0;;-1.0;;;2.0;-8.0;;;;-1.0;;4.0;;;5.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;23.0;8.0;3.0;3.0;3.0;2.0;6.0;18.0;45.0;18.0;30.0;15.0;-1.0;-10.0;9.0;-2.0;-4.0;15.0;34.48;6.0;3.0;3.0;3.0;;1.0;20.0;0.0;1.0;1.0;12.5;12.5;-0.0;11.21;;6.9;0.25;0.25;6.0;;1.0;0.0;1.0;5.0;10.0;2.0;8.0;16.0;2.0;18.0;1.0;;;27.0;;3.0;5.0;;;11.0;7.0;;;5.0;12.0;;;;0.0;-26.0;-9.0;49.0;45.0;;45.0;;2.0;1.0;;;-4.0;;-2.0;;;1.0;-3.0;;;;-7.0;;3.0;;;6.0;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;26.0;12.0;3.0;5.0;5.0;1.0;2.0;20.0;45.0;14.0;22.0;23.0;4.0;-6.0;4.0;1.0;2.0;15.0;44.44;8.0;2.0;4.0;4.0;;2.0;22.0;;;2.0;9.6;19.79;-0.0;18.77;;3.83;0.57;0.55;2.0;;3.0;;3.0;5.0;10.0;2.0;5.0;19.0;2.0;21.0;;;-0.0;25.0;;2.0;5.0;;;7.0;8.0;;;-0.0;8.0;;;;1.0;-21.0;-9.0;52.0;45.0;-0.0;45.0;;1.0;2.0;;;-2.0;;1.0;;;3.0;-1.0;-11.0;;;6.0;;3.0;;;1.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;30.0;14.0;4.0;7.0;5.0;2.0;2.0;27.0;67.0;10.0;13.0;55.0;3.0;-16.0;14.0;1.0;2.0;15.0;48.15;10.0;3.0;5.0;5.0;;2.0;25.0;0.0;1.0;2.0;15.04;21.9;-2.0;16.5;0.0;5.72;0.73;0.69;2.0;;4.0;;4.0;6.0;14.0;2.0;6.0;30.0;3.0;34.0;1.0;;;41.0;;2.0;1.0;;;7.0;2.0;;;0.0;3.0;;;;1.0;-16.0;-10.0;80.0;67.0;;67.0;;2.0;2.0;;;-5.0;;-5.0;;;4.0;-1.0;-13.0;;;-1.0;;22.0;;;-8.0;;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;37.0;19.0;4.0;2.0;2.0;1.0;3.0;29.0;77.0;13.0;21.0;56.0;5.0;-7.0;1.0;-1.0;4.0;18.0;51.21;17.0;3.0;10.0;10.0;;4.0;34.0;0.0;0.0;3.0;10.37;5.88;0.0;6.47;;1.89;0.28;0.28;3.0;;5.0;;5.0;8.0;16.0;;6.0;;40.0;40.0;1.0;;-0.0;48.0;;13.0;4.0;;;-4.0;8.0;;;0.0;8.0;;;;1.0;-15.0;-10.0;80.0;77.0;;77.0;;1.0;3.0;;;-2.0;;-2.0;;;4.0;-1.0;-5.0;;;-1.0;;0.0;;;1.0;;5.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;52.0;26.0;10.0;6.0;6.0;5.0;3.0;39.0;90.0;19.0;27.0;63.0;12.0;-7.0;5.0;9.0;9.0;26.0;50.58;19.0;5.0;15.0;15.0;;-0.0;45.0;0.0;1.0;4.0;19.26;12.42;-1.0;10.96;1.0;9.62;1.98;1.92;3.0;;6.0;;6.0;13.0;21.0;-0.0;10.0;;40.0;40.0;;;1.0;51.0;;19.0;;;;0.0;8.0;;;0.0;8.0;;;;1.0;-10.0;-4.0;76.0;90.0;-0.0;90.0;;5.0;4.0;;;-4.0;;-2.0;;;7.0;-3.0;-4.0;;;-0.0;;1.0;;;5.0;;39.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
