;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1987.0;15.0;7.0;1.0;1.0;1.0;0.0;5.0;7.0;8.0;2.0;4.0;4.0;;;;;;9.0;42.48;6.0;;6.0;;;;15.0;;;;3.27;3.27;;3.27;0.0;1.96;0.04;0.04;5.0;;0.0;;0.0;3.0;3.0;1.0;1.0;;;;;;0.0;1.0;;;;;;2.0;2.0;;;1.0;2.0;;;;;2.0;-1.0;3.0;8.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;17.0;8.0;1.0;1.0;1.0;0.0;5.0;7.0;8.0;2.0;4.0;4.0;;;;;;9.0;45.24;7.0;;7.0;;;;16.0;;;;4.17;5.36;-0.0;4.17;0.0;2.38;0.04;0.04;5.0;;0.0;;0.0;3.0;3.0;0.0;1.0;;;;;;1.0;2.0;;;;;;2.0;1.0;;;1.0;1.0;;;;;2.0;-1.0;3.0;8.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;21.0;10.0;2.0;2.0;2.0;1.0;5.0;8.0;10.0;4.0;5.0;5.0;;;;;;11.0;47.64;9.0;;8.0;;;0.0;20.0;;;0.0;8.49;7.55;-0.0;7.08;1.0;4.25;0.1;0.1;5.0;;0.0;;0.0;3.0;5.0;0.0;1.0;;;;;;1.0;2.0;;;;;;4.0;1.0;;;1.0;1.0;;;;;3.0;-2.0;4.0;10.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;24.0;10.0;2.0;2.0;2.0;1.0;5.0;10.0;11.0;3.0;5.0;6.0;;;;;;14.0;43.04;8.0;;8.0;;;0.0;22.0;;;0.0;8.86;8.02;-0.0;7.17;1.0;4.64;0.12;0.12;5.0;;0.0;;0.0;4.0;5.0;0.0;1.0;;;;;;1.0;2.0;;;;;;3.0;1.0;;;1.0;2.0;;;;;4.0;-2.0;4.0;11.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;24.0;11.0;1.0;1.0;0.0;0.0;5.0;11.0;12.0;3.0;6.0;7.0;;;;;;13.0;45.68;11.0;;10.0;;;0.0;24.0;;;0.0;2.88;2.47;-0.0;1.65;0.0;0.82;0.03;0.03;5.0;;0.0;;0.0;4.0;6.0;1.0;1.0;;;;;;1.0;2.0;;;;;;3.0;2.0;;;1.0;2.0;;;;;5.0;-2.0;4.0;12.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;26.0;10.0;0.0;;-0.0;-0.0;5.0;11.0;13.0;3.0;6.0;6.0;-1.0;-0.0;1.0;1.0;-1.0;15.0;39.61;;;10.0;;;;26.0;;;0.0;0.39;;;-1.18;-0.0;-0.78;-0.03;-0.03;5.0;;1.0;;1.0;4.0;6.0;1.0;1.0;;;;;;1.0;2.0;;1.0;;;;1.0;3.0;;;1.0;4.0;;;;;4.0;-3.0;5.0;13.0;;13.0;;-0.0;0.0;-0.0;;-1.0;;1.0;;9.0;-0.0;-0.0;;;;;;;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;29.0;12.0;1.0;1.0;1.0;1.0;5.0;14.0;16.0;5.0;9.0;7.0;-0.0;-0.0;1.0;1.0;-1.0;17.0;41.52;11.0;;11.0;;;0.0;28.0;;;0.0;4.5;3.46;-0.0;3.11;0.0;1.73;0.06;0.06;5.0;;1.0;;1.0;5.0;8.0;1.0;1.0;;;;;;1.0;2.0;;3.0;;;;2.0;4.0;;;1.0;5.0;;;;;5.0;-3.0;5.0;16.0;;16.0;;1.0;0.0;0.0;;1.0;;-2.0;;10.0;-2.0;-0.0;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;34.0;13.0;-0.0;-1.0;;-1.0;5.0;16.0;18.0;6.0;12.0;6.0;-1.0;-1.0;1.0;1.0;-2.0;21.0;37.65;13.0;;13.0;;;0.0;35.0;;;0.0;-0.59;-1.47;;;;-1.76;-0.04;-0.04;5.0;;0.0;;0.0;6.0;7.0;2.0;2.0;;;;;;1.0;3.0;;4.0;;;;2.0;5.0;;0.0;1.0;6.0;;;;;4.0;-4.0;5.0;18.0;;18.0;;-1.0;0.0;0.0;;-0.0;;1.0;;10.0;-1.0;-1.0;;;;;;;;;1.0;-0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;37.0;14.0;1.0;1.0;;0.0;5.0;14.0;16.0;5.0;10.0;7.0;2.0;-0.0;-1.0;-1.0;2.0;23.0;38.07;13.0;1.0;12.0;;;0.0;36.0;;;0.0;2.14;2.68;;;;1.07;0.04;0.04;5.0;;1.0;;1.0;6.0;7.0;2.0;2.0;;;;;;1.0;2.0;;4.0;;;;1.0;4.0;;;1.0;5.0;;;;;-5.0;-4.0;15.0;16.0;;16.0;;0.0;0.0;-0.0;;-1.0;;0.0;;9.0;2.0;-0.0;;;;;;;;;-1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;38.0;15.0;2.0;2.0;2.0;1.0;5.0;13.0;16.0;5.0;8.0;8.0;2.0;-1.0;-2.0;-2.0;1.0;24.0;37.76;12.0;1.0;11.0;11.0;;1.0;36.0;;;1.0;5.99;5.47;-0.0;4.69;1.0;3.13;0.24;0.24;5.0;;0.0;;0.0;6.0;7.0;0.0;2.0;;;;;;0.0;2.0;;3.0;;;;2.0;2.0;;;1.0;3.0;;;;;6.0;-4.0;6.0;16.0;;16.0;;1.0;1.0;-0.0;;1.0;;0.0;;10.0;-1.0;-1.0;;;;;;0.0;;;-2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
