;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;1140.0;670.0;264.0;142.0;8.0;-12.0;192.0;377.0;4321.0;195.0;2643.0;1678.0;144.0;-81.0;-17.0;47.0;75.0;470.0;58.75;528.0;;384.0;384.0;;144.0;998.0;;125.0;144.0;23.15;12.45;-134.0;0.73;7.0;-1.04;-0.06;-0.06;192.0;;154.0;11.0;165.0;164.0;;48.0;121.0;1804.0;1912.0;3716.0;11.0;;96.0;3944.0;;78.0;;;;118.0;1672.0;;;775.0;2448.0;;;;1.0;15.0;-24.0;1686.0;4321.0;;4321.0;;-12.0;144.0;-7.0;3.0;76.0;-1.0;;-1.0;102.0;-61.0;-49.0;-1486.0;-1.0;;1455.0;-41.0;1097.0;80.0;-28.0;-1125.0;0.0;154.0;108.0;;;5.94;-0.06;0.39;0.15;0.25;8.74;192.0;;;;1140.0;12.4;144.0;-12.0;79.5;-1.0;182.0;1672.0;1678.0;0.6;2.8;-0.7;334.5;
2013.0;1183.0;709.0;352.0;169.0;-26.0;-35.0;148.0;350.0;4492.0;248.0;3778.0;628.0;143.0;-367.0;187.0;-43.0;62.0;474.0;59.95;540.0;;353.0;353.0;;187.0;1014.0;2.0;198.0;187.0;29.72;14.3;-195.0;-2.19;2.0;-2.97;-0.24;-0.24;148.0;;111.0;;111.0;172.0;;67.0;150.0;1910.0;1934.0;3844.0;102.0;;46.0;4143.0;;100.0;14.0;;9.0;124.0;2853.0;;637.0;40.0;3530.0;;;;2.0;-418.0;-73.0;1117.0;4406.0;87.0;4492.0;;-35.0;187.0;-16.0;6.0;-31.0;-3.0;;6.0;71.0;33.0;-82.0;-292.0;-2.0;4.0;-77.0;-1000.0;6.0;-3.0;;1185.0;-7.0;111.0;154.0;;;8.0;-0.24;0.42;;0.55;4.25;148.0;;;;1183.0;14.3;187.0;-35.0;-8.9;-3.0;102.0;2853.0;628.0;4.3;3.7;-5.6;100.0;
2014.0;1305.0;806.0;421.0;128.0;-2.0;-13.0;148.0;401.0;4666.0;330.0;3918.0;587.0;154.0;-276.0;92.0;-33.0;-1.0;499.0;61.75;677.0;;436.0;436.0;;241.0;1176.0;3.0;190.0;241.0;32.29;9.84;-130.0;-0.14;3.0;-0.96;-0.08;-0.08;148.0;;78.0;12.0;90.0;203.0;;108.0;181.0;2024.0;1940.0;3964.0;83.0;;37.0;4265.0;;107.0;74.0;;9.0;141.0;2866.0;;677.0;46.0;3588.0;;;;2.0;-430.0;-118.0;1133.0;4505.0;161.0;4666.0;;-13.0;241.0;-21.0;8.0;60.0;-36.0;;6.0;132.0;-122.0;-155.0;-116.0;-17.0;11.0;-154.0;-1820.0;10.0;-0.0;;1902.0;-4.0;78.0;111.0;;;8.82;-0.08;-0.01;;1.05;3.97;148.0;;;;1305.0;9.8;241.0;-13.0;-144.4;-1.0;71.0;2866.0;587.0;10.5;4.0;-2.1;100.0;
2015.0;1507.0;975.0;430.0;197.0;27.0;6.0;167.0;428.0;4447.0;296.0;3080.0;1231.0;309.0;-197.0;-51.0;55.0;177.0;532.0;64.72;778.0;;500.0;500.0;;278.0;1310.0;4.0;134.0;278.0;28.52;13.08;-171.0;1.77;11.0;0.39;0.04;0.04;165.0;;133.0;15.0;149.0;228.0;;51.0;183.0;1983.0;1770.0;3754.0;75.0;;8.0;4019.0;;105.0;44.0;;11.0;136.0;2165.0;;588.0;31.0;2784.0;;;;2.0;-424.0;-192.0;1846.0;4311.0;136.0;4447.0;;6.0;278.0;-17.0;9.0;45.0;-39.0;;1.0;177.0;-12.0;-132.0;-61.0;-17.0;13.0;-132.0;-3004.0;767.0;-0.0;;2186.0;-5.0;133.0;78.0;;;9.12;0.04;1.07;;0.8;7.45;165.0;707.4;35.3;;1507.0;13.1;278.0;6.0;42.5;0.4;132.0;2165.0;1231.0;2.2;3.5;0.5;100.0;-433.6
2016.0;1705.0;1126.0;545.0;301.0;205.0;121.0;185.0;550.0;4781.0;373.0;3308.0;1363.0;390.0;-496.0;154.0;49.0;266.0;579.0;66.03;825.0;;560.0;560.0;;265.0;1404.0;5.0;86.0;265.0;31.98;17.63;-95.0;12.05;74.0;7.07;0.66;0.65;183.0;;182.0;33.0;215.0;283.0;;52.0;198.0;2174.0;1762.0;3936.0;85.0;;13.0;4231.0;;114.0;50.0;12.0;12.0;197.0;2325.0;;579.0;31.0;2935.0;;;;2.0;-304.0;-175.0;1840.0;4671.0;110.0;4781.0;;121.0;265.0;-22.0;24.0;-46.0;-43.0;;3.0;130.0;48.0;-124.0;-363.0;-66.0;59.0;-126.0;-194.0;6.0;-1.0;;343.0;1.0;182.0;133.0;;;9.34;0.66;1.46;;0.68;7.46;183.0;45.6;2.1;;1705.0;17.6;265.0;121.0;36.0;7.1;177.0;2325.0;1363.0;4.2;6.0;8.8;100.0;-2.0
2017.0;1934.0;1288.0;688.0;465.0;373.0;441.0;190.0;589.0;5119.0;458.0;3294.0;1729.0;468.0;-481.0;-54.0;-66.0;333.0;646.0;66.61;823.0;;585.0;585.0;;238.0;1469.0;6.0;88.0;238.0;35.56;24.03;-92.0;19.26;-79.0;22.82;2.42;2.32;182.0;;116.0;22.0;137.0;367.0;;84.0;199.0;2369.0;1826.0;4195.0;105.0;;31.0;4530.0;;131.0;119.0;9.0;13.0;195.0;2345.0;;419.0;71.0;2836.0;;;;2.0;137.0;-135.0;1725.0;5023.0;96.0;5119.0;;441.0;238.0;-213.0;33.0;163.0;-45.0;;10.0;293.0;-194.0;-135.0;-356.0;-52.0;62.0;-135.0;-163.0;27.0;-134.0;;215.0;0.0;116.0;182.0;;;10.6;2.42;1.82;;0.74;9.48;182.0;18.1;0.8;;1934.0;24.0;238.0;441.0;-21.2;22.8;130.0;2345.0;1729.0;11.9;9.0;25.5;100.0;32.0
2018.0;2317.0;1527.0;776.0;513.0;344.0;277.0;191.0;842.0;7040.0;549.0;5058.0;1890.0;556.0;-2018.0;1540.0;72.0;376.0;790.0;65.9;1015.0;;708.0;708.0;;307.0;1805.0;6.0;138.0;307.0;33.47;22.12;-169.0;14.82;55.0;11.94;1.5;1.45;185.0;;187.0;27.0;214.0;478.0;;150.0;220.0;3294.0;2548.0;5842.0;107.0;;30.0;6198.0;;170.0;72.0;17.0;73.0;234.0;3976.0;1.0;478.0;54.0;4509.0;;;;2.0;363.0;-283.0;1807.0;6947.0;93.0;7040.0;;277.0;307.0;-69.0;58.0;24.0;-114.0;;21.0;317.0;-41.0;-180.0;-1828.0;-34.0;26.0;-182.0;-324.0;26.0;;-42.0;1880.0;-7.0;187.0;116.0;;;12.55;1.5;2.03;0.23;0.98;10.24;185.0;43.8;1.8;0.3;2317.0;22.1;307.0;277.0;15.9;11.9;293.0;3976.0;1890.0;6.2;6.7;14.6;85.0;4.1
2019.0;2656.0;1782.0;967.0;608.0;441.0;347.0;192.0;888.0;7113.0;571.0;4774.0;2245.0;777.0;-204.0;-487.0;87.0;578.0;874.0;67.09;1174.0;;812.0;812.0;;362.0;2048.0;8.0;174.0;362.0;36.39;22.88;-167.0;16.58;84.0;13.06;1.85;1.81;188.0;;274.0;34.0;308.0;480.0;;101.0;290.0;3378.0;2392.0;5770.0;134.0;;31.0;6225.0;;176.0;79.0;15.0;83.0;234.0;3598.0;16.0;439.0;149.0;4202.0;;77.0;;2.0;652.0;-252.0;1843.0;7019.0;94.0;7113.0;;347.0;362.0;-23.0;51.0;125.0;7.0;;6.0;442.0;-86.0;-199.0;-46.0;-31.0;36.0;-162.0;-4148.0;24.0;;-57.0;3694.0;1.0;274.0;187.0;;;14.14;1.85;3.08;0.3;1.06;11.96;188.0;39.7;1.6;0.4;2656.0;22.9;362.0;347.0;19.0;13.1;317.0;3598.0;2245.0;7.6;8.6;15.4;83.6;5.6
2020.0;2716.0;1796.0;749.0;568.0;455.0;355.0;192.0;1106.0;7312.0;665.0;4676.0;2540.0;787.0;-267.0;-297.0;219.0;573.0;920.0;66.13;2148.0;;860.0;860.0;;1288.0;3068.0;6.0;126.0;368.0;27.57;20.91;-113.0;16.75;-100.0;13.07;1.81;1.79;190.0;;493.0;3.0;496.0;474.0;;136.0;289.0;3462.0;2285.0;5746.0;139.0;;32.0;6205.0;;193.0;73.0;;86.0;312.0;3453.0;3.0;397.0;159.0;4011.0;;72.0;;2.0;937.0;-272.0;1873.0;7216.0;96.0;7312.0;;355.0;368.0;-35.0;47.0;328.0;-24.0;;19.0;770.0;-275.0;-214.0;-72.0;-74.0;91.0;-213.0;-209.0;23.0;;-58.0;-53.0;-4.0;493.0;274.0;;;14.3;1.87;3.02;0.3;1.13;13.38;190.0;45.7;1.2;0.4;2716.0;20.9;368.0;355.0;-22.0;13.1;442.0;3453.0;2540.0;7.1;5.3;14.0;83.8;6.1
2021.0;2960.0;1969.0;2008.0;648.0;501.0;1387.0;192.0;2632.0;12635.0;1357.0;8629.0;3908.0;808.0;-2213.0;2762.0;1350.0;584.0;992.0;66.5;1321.0;;944.0;;;377.0;2313.0;3.0;113.0;377.0;67.82;21.88;-146.0;16.94;131.0;46.86;7.3;7.22;190.0;;1842.0;3.0;1846.0;563.0;;223.0;393.0;5526.0;3771.0;9296.0;241.0;;73.0;10003.0;;270.0;153.0;351.0;134.0;800.0;6370.0;7.0;788.0;107.0;7272.0;;158.0;;2.0;2255.0;-285.0;;12537.0;98.0;12635.0;;1387.0;377.0;-17.0;69.0;-45.0;-36.0;;46.0;;-963.0;-224.0;-3672.0;-67.0;36.0;1489.0;-781.0;22.0;;-70.0;3591.0;-8.0;1842.0;493.0;;;15.59;7.3;3.08;0.37;1.18;20.58;190.0;14.6;0.5;0.3;2960.0;21.9;377.0;1387.0;26.1;46.9;1275.0;6370.0;3908.0;10.8;13.0;35.5;95.0;8.2
