;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;223.0;68.0;47.0;35.0;7.0;6.0;8.0;65.0;610.0;34.0;402.0;208.0;20.0;-142.0;120.0;-3.0;10.0;155.0;30.61;31.0;;16.0;16.0;;15.0;186.0;0.0;26.0;15.0;21.22;15.78;-28.0;3.03;0.0;2.87;0.81;0.81;8.0;;22.0;;22.0;40.0;;2.0;78.0;92.0;363.0;455.0;0.0;;12.0;545.0;;5.0;1.0;1.0;3.0;24.0;366.0;;;2.0;368.0;;;;;;-37.0;245.0;610.0;0.0;610.0;;6.0;15.0;;;-7.0;-8.0;;-0.0;31.0;5.0;-10.0;-134.0;-0.0;;2.0;-252.0;;;;372.0;;22.0;25.0;;;28.24;0.81;1.23;;1.29;26.36;8.0;;;;223.0;15.8;15.0;6.0;5.0;2.9;31.0;366.0;208.0;5.3;5.3;3.1;100.0;
2013.0;269.0;83.0;59.0;46.0;10.0;6.0;17.0;111.0;939.0;52.0;705.0;234.0;26.0;-286.0;283.0;23.0;17.0;185.0;31.04;36.0;;21.0;21.0;;15.0;222.0;0.0;34.0;15.0;22.02;17.2;-36.0;3.89;4.0;2.38;0.84;0.38;8.0;;46.0;;46.0;57.0;;8.0;96.0;217.0;502.0;719.0;0.0;;13.0;828.0;;9.0;2.0;1.0;9.0;32.0;651.0;;;1.0;652.0;;;;;;-51.0;285.0;939.0;0.0;939.0;;6.0;15.0;;;27.0;-4.0;;0.0;58.0;-22.0;-10.0;-277.0;;;0.0;-1.0;;-0.0;;285.0;;46.0;22.0;;;35.49;0.84;2.2;;1.26;30.93;8.0;;;;269.0;17.2;15.0;6.0;38.9;2.4;58.0;651.0;234.0;3.0;4.7;2.7;100.0;1.0
2014.0;374.0;120.0;54.0;41.0;-6.0;-17.0;12.0;93.0;948.0;53.0;604.0;344.0;45.0;-40.0;-27.0;-21.0;31.0;253.0;32.22;80.0;;63.0;63.0;;17.0;333.0;0.0;43.0;17.0;14.37;10.84;-47.0;-1.63;11.0;-4.65;-1.41;-1.41;12.0;;24.0;;24.0;61.0;;8.0;96.0;242.0;506.0;748.0;0.0;;10.0;855.0;;7.0;1.0;1.0;14.0;31.0;538.0;;12.0;1.0;551.0;;;;0.0;-8.0;-65.0;417.0;948.0;0.0;948.0;;-17.0;17.0;11.0;38.0;-18.0;-7.0;;-2.0;40.0;16.0;-14.0;-26.0;;;-0.0;-124.0;98.0;;;-1.0;;24.0;46.0;;;31.12;-1.45;2.6;;1.17;28.61;12.0;-8.1;-0.4;;374.0;10.8;17.0;-17.0;-178.8;-4.6;40.0;538.0;344.0;11.5;3.9;-5.1;100.0;
2015.0;441.0;123.0;70.0;85.0;18.0;10.0;28.0;103.0;1061.0;62.0;697.0;363.0;26.0;-72.0;54.0;9.0;11.0;318.0;27.96;47.0;;30.0;30.0;;18.0;365.0;;34.0;18.0;15.77;19.2;-67.0;4.12;8.0;2.23;0.58;0.37;18.0;;33.0;;33.0;60.0;;10.0;134.0;293.0;518.0;811.0;5.0;;8.0;958.0;;10.0;0.0;3.0;17.0;35.0;589.0;;35.0;11.0;635.0;;;;0.0;1.0;0.0;361.0;1060.0;1.0;1061.0;;10.0;18.0;8.0;4.0;1.0;-2.0;;0.0;41.0;-14.0;-15.0;-76.0;;;19.0;-554.0;;;;608.0;0.0;33.0;24.0;;;25.16;0.56;0.62;;0.86;20.69;18.0;21.7;1.1;;441.0;19.2;18.0;10.0;43.6;2.2;41.0;589.0;363.0;2.9;4.9;2.7;100.0;
2016.0;517.0;132.0;96.0;77.0;40.0;23.0;27.0;123.0;1081.0;65.0;691.0;389.0;60.0;-21.0;-20.0;18.0;39.0;385.0;25.57;54.0;;30.0;30.0;;24.0;438.0;;32.0;24.0;18.61;14.98;-37.0;7.8;17.0;4.46;1.28;0.85;18.0;;52.0;;52.0;60.0;;11.0;140.0;293.0;514.0;807.0;4.0;;7.0;958.0;;11.0;7.0;2.0;17.0;30.0;564.0;;51.0;10.0;626.0;;;;0.0;24.0;-1.0;365.0;1080.0;1.0;1081.0;;23.0;24.0;16.0;4.0;16.0;-6.0;;-2.0;57.0;-24.0;-21.0;-2.0;;;2.0;-20.0;;;;-0.0;-1.0;52.0;33.0;;;28.31;1.26;2.13;;1.15;21.33;18.0;7.5;0.3;;517.0;15.0;24.0;23.0;42.2;4.5;57.0;564.0;389.0;4.1;6.7;5.9;100.0;
2017.0;507.0;123.0;32.0;11.0;-22.0;-11.0;18.0;138.0;1056.0;73.0;675.0;380.0;51.0;-28.0;-8.0;14.0;28.0;384.0;24.24;52.0;;27.0;27.0;;26.0;437.0;;31.0;26.0;6.4;2.2;-33.0;-4.32;-13.0;-2.2;-0.56;-0.56;18.0;;65.0;;65.0;62.0;;11.0;147.0;243.0;508.0;751.0;8.0;;11.0;918.0;;15.0;10.0;2.0;18.0;32.0;556.0;;37.0;9.0;602.0;;;;0.0;13.0;-1.0;367.0;1055.0;1.0;1056.0;;-11.0;26.0;-14.0;1.0;8.0;-1.0;;1.0;65.0;42.0;-23.0;-6.0;-1.0;;1.0;-7.0;;;;-1.0;-0.0;65.0;52.0;;;27.49;-0.61;1.5;;1.24;20.58;18.0;-17.0;-0.7;;507.0;2.2;26.0;-11.0;59.5;-2.2;65.0;556.0;380.0;0.3;0.6;-2.9;100.0;
2018.0;431.0;124.0;20.0;40.0;1.0;-33.0;28.0;133.0;987.0;66.0;646.0;340.0;37.0;-42.0;-18.0;0.0;19.0;307.0;28.74;48.0;;29.0;29.0;;19.0;355.0;;33.0;19.0;4.7;9.38;-39.0;0.25;2.0;-7.65;-1.71;-1.71;18.0;;61.0;;61.0;62.0;;9.0;114.0;241.0;483.0;723.0;10.0;;7.0;854.0;;13.0;0.0;3.0;15.0;38.0;555.0;;16.0;9.0;580.0;;;;0.0;-26.0;;366.0;986.0;1.0;987.0;;-33.0;19.0;1.0;2.0;2.0;-1.0;;-3.0;67.0;46.0;-18.0;-25.0;;;1.0;-11.0;;;-6.0;-1.0;-0.0;61.0;61.0;;;23.3;-1.78;1.0;0.33;0.98;18.42;18.0;-4.0;-0.2;4.7;431.0;9.4;19.0;-33.0;145.1;-7.6;67.0;555.0;340.0;-0.1;0.1;-9.7;118.8;
2019.0;431.0;131.0;-23.0;-37.0;-72.0;-68.0;19.0;161.0;880.0;72.0;698.0;180.0;40.0;-17.0;-10.0;24.0;20.0;300.0;30.36;57.0;;31.0;31.0;;26.0;357.0;1.0;34.0;26.0;-5.32;-8.61;-35.0;-16.71;-15.0;-15.71;-3.8;-3.8;19.0;;85.0;;85.0;67.0;;9.0;164.0;158.0;388.0;546.0;8.0;;1.0;719.0;;15.0;18.0;;8.0;31.0;547.0;;34.0;45.0;626.0;;53.0;;0.0;-188.0;-129.0;497.0;878.0;3.0;880.0;;-68.0;26.0;-15.0;3.0;22.0;-6.0;;2.0;90.0;72.0;-20.0;-1.0;;1.0;3.0;-0.0;;-0.0;-8.0;-2.0;;85.0;61.0;;;23.26;-3.65;1.1;0.45;1.06;9.69;19.0;-1.7;-0.1;7.2;431.0;-8.6;26.0;-68.0;20.2;-15.7;90.0;547.0;180.0;-4.8;-5.6;-37.7;112.2;
2020.0;371.0;89.0;-56.0;-75.0;-104.0;-82.0;19.0;154.0;769.0;66.0;668.0;97.0;31.0;-14.0;-19.0;-1.0;16.0;282.0;23.96;49.0;;29.0;29.0;;20.0;331.0;1.0;30.0;20.0;-15.05;-20.19;-29.0;-28.12;-24.0;-22.21;-4.46;-4.46;19.0;;83.0;0.0;83.0;59.0;;12.0;160.0;158.0;281.0;439.0;12.0;;3.0;614.0;;9.0;8.0;;9.0;40.0;543.0;;10.0;48.0;602.0;;52.0;;0.0;-273.0;;370.0;765.0;3.0;769.0;;-82.0;20.0;-24.0;2.0;-1.0;0.0;;-5.0;89.0;117.0;-15.0;;-0.0;;1.0;-64.0;;;-4.0;49.0;;84.0;85.0;;;19.91;-4.42;0.87;0.23;0.81;5.22;19.0;-1.4;-0.0;3.8;371.0;-20.2;20.0;-82.0;22.9;-22.2;89.0;543.0;97.0;-8.4;-9.9;-84.8;105.1;
2021.0;418.0;130.0;86.0;74.0;29.0;17.0;21.0;120.0;726.0;76.0;677.0;46.0;61.0;-11.0;-83.0;-33.0;49.0;288.0;31.02;47.0;;28.0;28.0;;19.0;336.0;;40.0;19.0;20.58;17.82;-45.0;6.97;10.0;4.0;0.9;0.79;17.0;;51.0;;51.0;58.0;;12.0;150.0;158.0;278.0;436.0;18.0;;2.0;606.0;;6.0;;;10.0;60.0;580.0;;20.0;0.0;601.0;;46.0;;0.0;-257.0;;;723.0;3.0;726.0;;17.0;19.0;10.0;4.0;7.0;-3.0;;;-4.0;4.0;-12.0;;-0.0;1.0;1.0;-550.0;;-1.0;-0.0;468.0;;51.0;84.0;;;24.83;0.99;2.89;0.0;0.74;2.75;17.0;12.0;0.4;0.0;418.0;17.8;19.0;17.0;35.5;4.0;44.0;580.0;46.0;6.7;9.3;36.2;99.6;3.0
