;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
1994.0;2664.0;1337.0;356.0;450.0;236.0;224.0;618.0;3203.0;6739.0;612.0;4441.0;2202.0;-1.0;-1122.0;1552.0;1552.0;-463.0;1326.0;50.21;887.0;;;;;887.0;2214.0;;;121.0;13.35;16.89;-214.0;8.86;11.0;8.4;15.72;15.72;618.0;;955.0;;955.0;1026.0;982.0;241.0;2102.0;;523.0;523.0;;;911.0;3536.0;;210.0;67.0;;;335.0;2475.0;;38.0;1316.0;3829.0;;;;;1313.0;-894.0;1783.0;6643.0;96.0;6739.0;;224.0;121.0;-39.0;;-276.0;;-312.0;;;-32.0;-462.0;;;;-660.0;;1.0;;-103.0;1654.0;;;526.0;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1149.0;481.0;198.0;110.0;132.0;123.0;618.0;1415.0;3216.0;567.0;1943.0;1187.0;100.0;-96.0;-101.0;-101.0;3.0;668.0;41.88;371.0;;;;;371.0;1039.0;;;66.0;17.25;9.56;22.0;11.51;10.0;10.67;8.79;8.79;618.0;;359.0;;359.0;481.0;484.0;90.0;1004.0;;173.0;173.0;;;624.0;1801.0;;105.0;311.0;;;151.0;753.0;;12.0;612.0;1376.0;;;;;762.0;-436.0;861.0;3130.0;86.0;3216.0;;123.0;66.0;-0.0;;-108.0;;-23.0;;;19.0;-97.0;;;;2.0;;;-2.0;;-99.0;;;456.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1458.0;641.0;41.0;28.0;-61.0;-76.0;618.0;1679.0;3718.0;702.0;2426.0;1181.0;46.0;-5.0;-150.0;-150.0;-64.0;817.0;43.98;613.0;;;;;613.0;1429.0;;;102.0;2.78;1.95;-90.0;-4.21;14.0;-5.2;-4.67;-4.67;618.0;;338.0;;338.0;620.0;598.0;122.0;1151.0;;368.0;368.0;;;520.0;2039.0;;113.0;418.0;;;171.0;858.0;;6.0;860.0;1724.0;;;;;505.0;-542.0;1218.0;3607.0;111.0;3718.0;;-76.0;102.0;-5.0;;-40.0;;-16.0;;;64.0;-111.0;;;;105.0;;;;;-150.0;;;447.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1754.0;778.0;923.0;234.0;806.0;739.0;618.0;1788.0;4231.0;332.0;2186.0;1918.0;39.0;525.0;-644.0;-81.0;-75.0;977.0;44.32;544.0;;;;;544.0;1520.0;;;117.0;52.61;13.32;572.0;45.92;67.0;42.11;46.46;46.46;618.0;;301.0;;301.0;599.0;786.0;102.0;1220.0;;393.0;393.0;;;830.0;2443.0;;144.0;17.0;;;171.0;894.0;;0.0;960.0;1854.0;;;;;486.0;-553.0;1985.0;4104.0;127.0;4231.0;;739.0;117.0;-6.0;;-42.0;;-128.0;;;-770.0;-114.0;;;;638.0;;;;;-644.0;;301.0;382.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1698.0;733.0;225.0;238.0;-63.0;77.0;618.0;2176.0;4250.0;344.0;2147.0;1993.0;-293.0;645.0;-47.0;-47.0;-387.0;965.0;43.19;495.0;;;;;495.0;1460.0;;;118.0;13.25;14.03;-301.0;-3.71;30.0;4.53;4.68;4.68;618.0;;572.0;;572.0;755.0;795.0;54.0;1188.0;;373.0;373.0;;;513.0;2074.0;;137.0;14.0;;;193.0;918.0;;;884.0;1802.0;;;;;965.0;-578.0;1606.0;4140.0;110.0;4250.0;;77.0;118.0;-0.0;;-223.0;;-84.0;;;-264.0;-94.0;;;;739.0;;;;;-47.0;;;267.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1883.0;841.0;357.0;379.0;206.0;112.0;603.0;2437.0;4530.0;517.0;2363.0;2028.0;178.0;225.0;-430.0;-28.0;178.0;1043.0;44.65;462.0;;;;;462.0;1504.0;;;162.0;18.98;20.13;-173.0;10.94;83.0;5.92;6.4;6.4;603.0;;135.0;;135.0;905.0;843.0;554.0;1259.0;;381.0;381.0;;;454.0;2093.0;;208.0;77.0;;;232.0;907.0;;;939.0;1846.0;;;;642.0;1386.0;-667.0;667.0;4392.0;139.0;4530.0;;112.0;162.0;-5.0;;-10.0;;25.0;;;-81.0;;;;;225.0;;;-283.0;;-147.0;;639.0;667.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2238.0;988.0;148.0;540.0;166.0;-90.0;60.0;2685.0;4677.0;441.0;2849.0;1733.0;232.0;-30.0;-86.0;116.0;-36.0;1250.0;44.15;448.0;;312.0;150.0;162.0;136.0;1698.0;;;201.0;6.62;24.14;-374.0;7.42;38.0;-4.04;-1.52;-1.52;60.0;;110.0;683.0;793.0;846.0;872.0;174.0;1308.0;;581.0;581.0;;;103.0;1992.0;;226.0;36.0;;;179.0;1130.0;;192.0;1086.0;2408.0;;;;699.0;1014.0;-706.0;726.0;4582.0;95.0;4677.0;;-90.0;201.0;-66.0;;27.0;;2.0;-6.0;114.0;160.0;-268.0;;-52.0;165.0;126.0;-120.0;37.0;-132.0;;130.0;;864.0;747.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2362.0;988.0;525.0;493.0;299.0;162.0;61.0;2354.0;5684.0;1661.0;3520.0;2051.0;327.0;-705.0;107.0;-271.0;92.0;1375.0;41.81;495.0;;341.0;162.0;179.0;154.0;1869.0;111.0;145.0;154.0;22.23;20.88;-194.0;12.67;65.0;6.84;2.72;2.72;61.0;;56.0;594.0;650.0;1165.0;62.0;478.0;1611.0;;;334.0;;;1385.0;3330.0;;228.0;39.0;;1248.0;147.0;1481.0;;200.0;178.0;1859.0;;;;;1221.0;-878.0;1708.0;5571.0;113.0;5684.0;;162.0;154.0;-20.0;;-106.0;;-18.0;-17.0;89.0;138.0;-235.0;;-566.0;28.0;-5.0;-158.0;;-27.0;;292.0;;676.0;946.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2078.0;881.0;393.0;448.0;102.0;71.0;61.0;2273.0;5444.0;1647.0;3388.0;1946.0;494.0;-276.0;56.0;274.0;340.0;1197.0;42.4;433.0;;293.0;131.0;162.0;140.0;1630.0;;;293.0;18.91;21.57;-346.0;4.92;29.0;3.42;1.13;1.13;61.0;;156.0;692.0;847.0;1006.0;49.0;371.0;1479.0;;;768.0;292.0;;632.0;3171.0;;215.0;120.0;85.0;1113.0;200.0;1286.0;20.0;196.0;239.0;1741.0;;;;;1215.0;-896.0;;5334.0;110.0;5444.0;;71.0;293.0;-58.0;;152.0;;5.0;14.0;71.0;36.0;-154.0;;-463.0;70.0;266.0;-237.0;0.0;-4.0;;296.0;;847.0;573.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2097.0;950.0;642.0;538.0;377.0;320.0;60.0;2559.0;5764.0;1687.0;3314.0;2354.0;573.0;-153.0;-142.0;278.0;436.0;1147.0;45.3;412.0;;276.0;125.0;151.0;136.0;1559.0;58.0;122.0;136.0;30.63;25.66;-162.0;17.96;64.0;15.26;5.34;5.34;60.0;;33.0;1058.0;1091.0;1063.0;46.0;360.0;1388.0;;;819.0;563.0;;434.0;3204.0;;209.0;25.0;115.0;1209.0;243.0;1309.0;37.0;103.0;178.0;1627.0;;;;;1533.0;-200.0;;5668.0;96.0;5764.0;;320.0;136.0;-30.0;;128.0;;1.0;3.0;205.0;19.0;-138.0;;-54.0;48.0;-53.0;-16.0;358.0;-408.0;-51.0;-26.0;;1091.0;813.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
