;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;1.0;;7.0;;2.0;1.0;1.0;;;;;;1.0;-31.0;31.0;1.0;-0.0;;;;;;;;;;10.0;6.0;0.0;625.14;;;137.08;0.0;111.56;1.14;1.01;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;-0.0;-1.0;;-30.0;9.0;-8.0;;0.0;-0.0;;31.0;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;6.0;;8.0;;2.0;1.0;1.0;;;;;;1.0;-14.0;14.0;2.0;1.0;;;;;2.0;2.0;0.0;;;12.0;6.0;0.0;126.64;;;26.14;0.0;20.72;1.12;1.01;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;-1.0;;;;;;;0.0;-0.0;;-10.0;17.0;-21.0;;;;-0.0;15.0;;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;9.0;;13.0;;2.0;1.0;2.0;;257.0;;238.0;19.0;3.0;-15.0;17.0;5.0;2.0;;;;;3.0;3.0;0.0;;;19.0;11.0;1.0;139.24;;;18.54;0.0;16.0;0.66;0.63;2.0;;6.0;;6.0;2.0;;;5.0;;;;;;;;257.0;;;;;;;;;;;238.0;;;2.0;16.0;;1.0;257.0;;257.0;;1.0;1.0;-0.0;;;;;;;2.0;-1.0;;-12.0;12.0;-15.0;-2.0;;;-1.0;20.0;;14.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;14.0;;19.0;;4.0;3.0;3.0;;386.0;;352.0;35.0;7.0;12.0;-7.0;12.0;5.0;;;;;5.0;5.0;0.0;;;26.0;15.0;-0.0;134.24;;;30.11;1.0;22.87;0.96;0.96;3.0;;16.0;;16.0;2.0;;;6.0;;;;;;;;386.0;;;;;;;;;;;352.0;;;4.0;18.0;;13.0;386.0;;386.0;;3.0;-0.0;0.0;;;;;;;3.0;-1.0;;-47.0;17.0;42.0;-32.0;;;-1.0;27.0;;26.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;16.0;;21.0;;4.0;6.0;4.0;;425.0;;384.0;41.0;11.0;-53.0;33.0;-9.0;10.0;;;;;6.0;6.0;0.0;;;25.0;12.0;1.0;132.32;;;26.61;2.0;39.58;1.77;1.74;4.0;;11.0;;11.0;2.0;;;6.0;;;;151.0;;;;425.0;;;;;;;;;;;384.0;;;4.0;23.0;1.0;13.0;425.0;;425.0;;6.0;1.0;-0.0;;;;;;;3.0;-1.0;;-107.0;60.0;-5.0;-15.0;;;-2.0;49.0;;17.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;19.0;;18.0;;5.0;4.0;4.0;312.0;499.0;16.0;456.0;43.0;3.0;-9.0;-0.0;-6.0;2.0;;;;;7.0;7.0;0.0;;;25.0;10.0;3.0;96.13;;;25.77;1.0;19.94;1.01;1.0;4.0;;11.0;;11.0;;;301.0;7.0;;;9.0;171.0;;;187.0;685.0;;16.0;;;;49.0;;;;49.0;489.0;;;4.0;25.0;1.0;13.0;499.0;;499.0;;4.0;3.0;0.0;;;;;;;-3.0;-1.0;6.0;-139.0;118.0;6.0;-16.0;;;-2.0;17.0;;11.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;20.0;;16.0;;4.0;3.0;4.0;330.0;559.0;;515.0;44.0;7.0;-61.0;58.0;3.0;7.0;;;;;8.0;8.0;0.0;;;27.0;10.0;2.0;79.61;;;18.12;0.0;15.7;0.84;0.83;4.0;;10.0;;10.0;;;320.0;7.0;;;9.0;214.0;;;229.0;788.0;;;;;;142.0;;;;142.0;657.0;;;4.0;26.0;1.0;14.0;559.0;;559.0;;3.0;2.0;-0.0;;;;;;;2.0;-0.0;;-167.0;123.0;-18.0;-29.0;;;-2.0;88.0;;15.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;21.0;;19.0;;6.0;5.0;4.0;338.0;536.0;;492.0;44.0;7.0;16.0;-27.0;-4.0;7.0;;;;;8.0;7.0;1.0;;;30.0;12.0;1.0;92.75;;;28.3;1.0;22.34;1.26;1.25;4.0;;9.0;;9.0;;;329.0;6.0;;;8.0;183.0;;;198.0;734.0;;;;;;131.0;;;;131.0;623.0;;;4.0;29.0;-2.0;13.0;536.0;;536.0;;5.0;1.0;0.0;;;;;;;1.0;-0.0;;-41.0;70.0;-13.0;-26.0;;;-2.0;1.0;;10.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;21.0;;23.0;;6.0;5.0;4.0;368.0;550.0;;504.0;46.0;5.0;-14.0;11.0;2.0;4.0;;;;;8.0;7.0;0.0;;;33.0;15.0;1.0;110.76;;;30.11;1.0;24.01;1.37;1.37;4.0;;12.0;;12.0;;;356.0;7.0;;;8.0;168.0;;;183.0;733.0;;;;;;124.0;;;;124.0;628.0;;;4.0;32.0;-1.0;12.0;550.0;;550.0;;5.0;1.0;0.0;;;;;;;-1.0;-1.0;;-11.0;24.0;-27.0;-42.0;;;-2.0;55.0;;12.0;10.0;;;5.71;1.37;1.21;0.52;0.28;12.83;4.0;11.7;0.6;3.3;21.0;;1.0;5.0;20.3;24.0;368.0;124.0;46.0;3.1;3.9;10.7;62.1;42.8
2007.0;20.0;;24.0;;6.0;5.0;4.0;394.0;548.0;;499.0;49.0;7.0;5.0;-9.0;3.0;5.0;;;;;7.0;7.0;;;;35.0;17.0;1.0;119.68;;;28.16;1.0;22.47;1.3;1.3;4.0;;15.0;;15.0;;;379.0;8.0;;;8.0;138.0;;;154.0;702.0;;;;;;102.0;;;;102.0;601.0;;;4.0;35.0;-1.0;10.0;548.0;;548.0;;5.0;1.0;-0.0;;;;;;;1.0;-2.0;;-2.0;33.0;-26.0;-47.0;;;-2.0;39.0;;15.0;12.0;;;5.79;1.3;1.48;0.56;0.52;13.86;4.0;11.6;0.7;3.7;20.0;;1.0;5.0;20.2;22.5;394.0;102.0;49.0;3.4;4.2;9.4;57.0;37.8
2008.0;22.0;;22.0;;5.0;4.0;3.0;463.0;616.0;;565.0;51.0;8.0;-61.0;63.0;11.0;6.0;;;;;8.0;8.0;;;;35.0;16.0;1.0;101.2;;;24.58;1.0;20.01;1.28;1.28;3.0;;19.0;;19.0;;;444.0;9.0;;;8.0;136.0;;;153.0;769.0;;;;;;97.0;;;;97.0;662.0;;;4.0;38.0;-0.0;;616.0;;616.0;;4.0;1.0;-1.0;;;;;;;3.0;-2.0;;-28.0;30.0;-63.0;-46.0;;;-2.0;111.0;;26.0;15.0;;;6.41;1.28;1.75;0.6;0.66;14.69;3.0;9.4;0.4;5.0;22.0;;1.0;4.0;18.6;20.0;463.0;97.0;51.0;2.8;3.4;8.7;53.3;34.3
2009.0;25.0;;16.0;;3.0;3.0;3.0;461.0;616.0;;562.0;54.0;6.0;2.0;-6.0;2.0;5.0;;;;;7.0;7.0;;;;33.0;12.0;1.0;65.25;;;12.13;0.0;11.51;0.84;0.84;3.0;;27.0;;27.0;8.0;;426.0;9.0;7.0;0.0;7.0;139.0;;;155.0;771.0;;;;;;88.0;;;;88.0;650.0;;;4.0;38.0;2.0;10.0;616.0;;616.0;;3.0;1.0;-0.0;;;;;;;2.0;-0.0;0.0;-31.0;33.0;-0.0;-20.0;0.0;;-2.0;16.0;;27.0;26.0;;;7.27;0.84;1.51;0.6;0.11;15.76;3.0;11.8;0.2;6.1;25.0;;1.0;3.0;5.1;11.5;461.0;88.0;54.0;2.4;2.5;5.3;28.3;39.2
2010.0;25.0;;13.0;;3.0;3.0;3.0;453.0;613.0;;558.0;55.0;10.0;42.0;-31.0;21.0;10.0;;;;;8.0;8.0;;;;30.0;9.0;1.0;50.18;;;11.79;0.0;11.22;0.82;0.82;3.0;;49.0;;49.0;7.0;;398.0;10.0;9.0;0.0;9.0;140.0;;;159.0;772.0;;;;;;66.0;;;;66.0;624.0;;;4.0;40.0;2.0;10.0;613.0;;613.0;;3.0;1.0;-1.0;;;;;;;8.0;-0.0;22.0;-54.0;51.0;23.0;-22.0;0.0;;-2.0;-8.0;;49.0;27.0;;;7.26;0.82;2.91;0.45;0.09;15.97;3.0;11.6;0.6;4.8;25.0;;1.0;3.0;4.8;11.2;453.0;66.0;55.0;1.8;1.9;5.1;44.8;15.3
2011.0;23.0;;11.0;;3.0;3.0;3.0;417.0;587.0;;527.0;60.0;10.0;30.0;-31.0;9.0;9.0;;;;;8.0;8.0;;;;26.0;7.0;1.0;48.19;;;13.26;0.0;12.81;0.85;0.85;3.0;;57.0;;57.0;4.0;;355.0;10.0;9.0;0.0;9.0;152.0;;;170.0;757.0;;;;;;10.0;;;;10.0;538.0;;;4.0;43.0;4.0;10.0;587.0;;587.0;;3.0;1.0;-0.0;;;;;;;6.0;-0.0;;-66.0;57.0;39.0;-17.0;0.0;;;-14.0;;57.0;49.0;;;6.67;0.85;2.73;;0.05;17.34;3.0;10.3;0.6;;23.0;;1.0;3.0;3.4;12.8;417.0;10.0;60.0;1.7;1.8;4.9;100.0;-0.1
2012.0;22.0;;11.0;;6.0;4.0;3.0;377.0;572.0;;508.0;64.0;7.0;5.0;-20.0;-7.0;7.0;;;;;11.0;10.0;1.0;;;23.0;5.0;1.0;50.82;;;25.66;1.0;20.71;1.3;1.3;3.0;;52.0;178.0;230.0;4.0;;143.0;9.0;9.0;0.0;9.0;178.0;;;196.0;768.0;;;;;;33.0;;;;33.0;541.0;;;4.0;47.0;4.0;10.0;572.0;;572.0;;4.0;1.0;1.0;;;;;;;2.0;-0.0;;-82.0;56.0;31.0;-10.0;0.0;;-0.0;-9.0;;50.0;57.0;;;6.28;1.3;2.08;0.05;0.03;18.62;3.0;6.6;0.4;0.6;22.0;;1.0;4.0;19.3;20.7;377.0;33.0;64.0;1.4;1.8;7.0;96.2;2.3
