;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;7.0;;46.0;;12.0;8.0;4.0;;828.0;;776.0;52.0;17.0;-133.0;135.0;19.0;14.0;;;;;13.0;13.0;;;;63.0;32.0;2.0;677.77;;;177.19;4.0;120.98;2.1;2.1;4.0;;51.0;;51.0;8.0;;;19.0;;;;;;;;828.0;;;;;;49.0;;;;49.0;825.0;;;6.0;31.0;;15.0;828.0;;828.0;;8.0;2.0;0.0;;0.0;;;0.0;0.0;7.0;-3.0;;-201.0;68.0;3.0;-4.0;;;-1.0;139.0;;51.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;10.0;;64.0;;16.0;11.0;3.0;;1153.0;;1078.0;75.0;14.0;-252.0;254.0;16.0;4.0;;;;;18.0;18.0;;;;90.0;47.0;2.0;670.87;;;161.23;5.0;111.66;2.36;2.34;3.0;;69.0;;69.0;11.0;;;28.0;;;;;;;;1153.0;;;;;;61.0;;;;61.0;1139.0;;;7.0;42.0;;26.0;1153.0;;1153.0;;11.0;2.0;-0.0;;-3.0;;;1.0;;4.0;-10.0;;-315.0;73.0;;-9.0;6.0;;-1.0;257.0;;69.0;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;11.0;;77.0;;18.0;12.0;3.0;;1499.0;;1412.0;87.0;11.0;-321.0;297.0;-13.0;-2.0;;;;;23.0;23.0;;;;109.0;57.0;3.0;696.8;;;160.06;6.0;109.65;2.63;2.6;3.0;;56.0;;56.0;13.0;;;39.0;;;;;;;;1499.0;;;;;;203.0;;;;203.0;1614.0;;;7.0;53.0;;26.0;1499.0;;1499.0;;12.0;3.0;-1.0;;-0.0;;;;;-3.0;-13.0;;-446.0;127.0;11.0;-92.0;0.0;;-1.0;389.0;;56.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;16.0;;106.0;;20.0;14.0;4.0;;2131.0;;2035.0;96.0;25.0;-479.0;502.0;48.0;17.0;;;;;30.0;30.0;;;;150.0;82.0;5.0;667.77;;;122.59;6.0;85.62;2.73;2.66;4.0;;113.0;;113.0;18.0;;;47.0;;;;;;;;2131.0;;;;;;330.0;;;;330.0;2365.0;;;8.0;67.0;;22.0;2131.0;;2131.0;;14.0;5.0;-2.0;;6.0;;;;;2.0;-8.0;;-567.0;99.0;-3.0;-101.0;0.0;;-1.0;604.0;;113.0;64.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;24.0;;143.0;;21.0;15.0;7.0;;2529.0;2329.0;2370.0;158.0;19.0;-171.0;121.0;-32.0;12.0;;;;;46.0;46.0;;;;211.0;117.0;5.0;600.26;;;88.42;7.0;60.88;2.26;2.23;6.0;;102.0;;102.0;25.0;;;57.0;;;;;;;;2529.0;;49.0;;;2280.0;298.0;;;-257.0;41.0;82.0;;;11.0;86.0;;62.0;2529.0;;2529.0;;15.0;5.0;-4.0;;-1.0;;;;;4.0;-7.0;;-314.0;149.0;1.0;-269.0;16.0;;-3.0;376.0;;102.0;134.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;132.0;;148.0;;41.0;27.0;7.0;;2749.0;2507.0;2555.0;195.0;25.0;-105.0;101.0;21.0;17.0;;;;;53.0;50.0;3.0;;;208.0;101.0;6.0;111.83;;;30.81;14.0;20.59;4.12;4.03;7.0;;105.0;;105.0;23.0;;;64.0;;;;;;;;2749.0;;290.0;;;2217.0;48.0;;;-0.0;48.0;;;;11.0;108.0;;75.0;2749.0;;2749.0;;27.0;6.0;-1.0;;-3.0;;;;;-5.0;-8.0;;-129.0;189.0;-165.0;;;;-4.0;105.0;;123.0;102.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;148.0;;135.0;;50.0;33.0;7.0;2568.0;3211.0;492.0;2990.0;222.0;30.0;-475.0;428.0;-17.0;17.0;;;;;61.0;58.0;3.0;;;194.0;76.0;9.0;91.14;;;33.74;17.0;22.16;4.91;4.75;7.0;;106.0;;106.0;20.0;;2442.0;71.0;;;13.0;559.0;;;643.0;3854.0;;492.0;;;;75.0;;;;75.0;2573.0;;2.0;22.0;136.0;11.0;51.0;3211.0;;3211.0;;33.0;9.0;-1.0;;-9.0;;;;;-1.0;-13.0;;-333.0;248.0;-390.0;-5.0;;;-5.0;438.0;;106.0;123.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;175.0;;144.0;;58.0;38.0;7.0;3249.0;4069.0;328.0;3769.0;299.0;74.0;-318.0;298.0;54.0;60.0;;;;;71.0;68.0;3.0;;;207.0;71.0;15.0;82.2;;;33.46;20.0;21.81;5.36;5.2;7.0;;160.0;;160.0;21.0;;3068.0;87.0;;;72.0;660.0;;;820.0;4888.0;;328.0;;;;460.0;;;;460.0;3901.0;;1.0;24.0;167.0;7.0;101.0;4069.0;;4069.0;;38.0;15.0;-1.0;;-1.0;;;;;24.0;-14.0;83.0;-387.0;318.0;-332.0;-17.0;;;-7.0;321.0;;160.0;106.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;203.0;;162.0;;71.0;47.0;8.0;3983.0;5088.0;382.0;4691.0;397.0;34.0;-615.0;555.0;-25.0;19.0;;;;;82.0;78.0;4.0;;;238.0;75.0;15.0;79.81;;;35.3;25.0;23.0;6.21;6.02;7.0;;135.0;;135.0;28.0;;3820.0;104.0;;;121.0;880.0;;;1105.0;6193.0;;382.0;;;;469.0;;;;469.0;4778.0;;0.0;38.0;205.0;3.0;151.0;5088.0;;5088.0;;47.0;15.0;-1.0;;-8.0;;;;;-19.0;-15.0;9.0;-613.0;426.0;-437.0;-45.0;;;-8.0;609.0;;135.0;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;256.0;;232.0;;88.0;57.0;8.0;4644.0;5866.0;210.0;5393.0;473.0;104.0;-814.0;717.0;8.0;87.0;;;;;106.0;99.0;7.0;;;337.0;127.0;16.0;90.52;;;34.55;32.0;22.17;7.07;6.88;8.0;;143.0;;143.0;37.0;;4464.0;113.0;;;119.0;991.0;;;1222.0;7088.0;;210.0;;;;538.0;;;;538.0;5721.0;;0.0;40.0;251.0;-12.0;193.0;5866.0;;5866.0;;57.0;16.0;-3.0;;8.0;;;;;27.0;-17.0;;-383.0;257.0;-688.0;-1771.0;;;-11.0;2499.0;;143.0;135.0;;;;;;;;;;;;;;;;;;;;;;;;;;
