;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;644.0;79.0;22.0;20.0;17.0;10.0;45.0;144.0;186.0;98.0;124.0;62.0;-28.0;-14.0;43.0;43.0;-42.0;565.0;12.26;59.0;;54.0;;;5.0;624.0;;;5.0;3.43;3.14;-3.0;2.64;7.0;1.61;0.23;0.23;45.0;;1.0;;1.0;30.0;107.0;5.0;40.0;;;;;;2.0;42.0;;16.0;;;;83.0;23.0;;2.0;1.0;25.0;;;;;17.0;-27.0;71.0;186.0;;186.0;;10.0;5.0;-2.0;;-41.0;;-31.0;;46.0;0.0;-15.0;;;;0.0;;34.0;-3.0;-1.0;13.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;866.0;95.0;24.0;23.0;18.0;11.0;50.0;114.0;169.0;36.0;98.0;72.0;43.0;-17.0;-28.0;-28.0;25.0;771.0;10.98;73.0;;67.0;;;6.0;843.0;;;6.0;2.76;2.61;-4.0;2.1;8.0;1.24;0.21;0.21;50.0;;0.0;;0.0;31.0;79.0;5.0;51.0;;;;;;4.0;55.0;;15.0;;;;21.0;59.0;;2.0;1.0;62.0;;;;;27.0;-31.0;75.0;169.0;;169.0;;11.0;6.0;1.0;;33.0;;29.0;;78.0;-7.0;-18.0;;;;1.0;;0.0;;-1.0;-27.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;739.0;81.0;31.0;26.0;24.0;14.0;53.0;116.0;176.0;37.0;92.0;84.0;42.0;-13.0;-8.0;-8.0;27.0;658.0;11.01;55.0;;48.0;;;8.0;713.0;;;8.0;4.23;3.56;-3.0;3.21;10.0;1.91;0.27;0.27;53.0;;22.0;;22.0;25.0;66.0;4.0;55.0;;;;;;4.0;59.0;;14.0;;;;23.0;53.0;;2.0;1.0;55.0;;;;;40.0;-37.0;81.0;176.0;;176.0;;14.0;8.0;1.0;;1.0;;13.0;;80.0;18.0;-14.0;;;;2.0;;;;-2.0;-6.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;868.0;96.0;38.0;33.0;30.0;18.0;54.0;130.0;199.0;39.0;98.0;101.0;4.0;-19.0;-5.0;-5.0;-5.0;772.0;11.06;64.0;;55.0;;;8.0;835.0;;;8.0;4.39;3.75;-3.0;3.43;12.0;2.05;0.33;0.33;53.0;;1.0;;1.0;34.0;90.0;5.0;62.0;;3.0;3.0;;2.0;2.0;69.0;;15.0;;;;24.0;52.0;;;7.0;59.0;;;;17.0;56.0;-3.0;30.0;199.0;;199.0;;18.0;8.0;-1.0;;11.0;;-20.0;;91.0;-32.0;-9.0;;;;-10.0;;0.0;-1.0;-1.0;-4.0;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1066.0;106.0;36.0;32.0;26.0;17.0;55.0;158.0;229.0;68.0;114.0;116.0;19.0;-13.0;-4.0;-4.0;6.0;961.0;9.89;74.0;;64.0;;;10.0;1034.0;;;10.0;3.38;3.0;-6.0;2.44;9.0;1.59;0.32;0.31;53.0;;3.0;;3.0;36.0;111.0;8.0;65.0;;3.0;3.0;;2.0;3.0;72.0;;34.0;5.0;;;29.0;40.0;;;5.0;46.0;;;;18.0;70.0;-4.0;32.0;229.0;;229.0;;17.0;10.0;-1.0;;-1.0;;-21.0;;90.0;-6.0;-14.0;;;;1.0;;1.0;-1.0;-1.0;-3.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1239.0;164.0;58.0;52.0;43.0;26.0;62.0;182.0;420.0;82.0;228.0;192.0;67.0;-128.0;59.0;59.0;-60.0;1075.0;13.26;112.0;;97.0;;;15.0;1187.0;;;15.0;4.68;4.21;-9.0;3.47;17.0;2.13;0.44;0.43;60.0;;1.0;;1.0;63.0;108.0;10.0;131.0;;96.0;96.0;;8.0;3.0;238.0;;39.0;2.0;;;41.0;132.0;;;14.0;146.0;;;;21.0;95.0;-4.0;80.0;420.0;;420.0;;26.0;15.0;1.0;;10.0;;20.0;;100.0;14.0;-127.0;;;;-2.0;;1.0;;-2.0;60.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1435.0;201.0;70.0;63.0;51.0;31.0;64.0;216.0;469.0;91.0;254.0;215.0;33.0;-30.0;1.0;3.0;-3.0;1234.0;13.99;138.0;;120.0;;;18.0;1372.0;;;18.0;4.85;4.38;-11.0;3.58;20.0;2.19;0.51;0.49;62.0;;4.0;;4.0;70.0;132.0;10.0;149.0;;93.0;93.0;;8.0;2.0;253.0;;47.0;2.0;;;43.0;147.0;;;16.0;163.0;;;;20.0;115.0;1.0;78.0;469.0;-0.0;469.0;;31.0;18.0;-1.0;;25.0;;-23.0;;124.0;-41.0;-35.0;;;;5.0;;1.0;-11.0;-2.0;12.0;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1389.0;208.0;71.0;63.0;50.0;30.0;61.0;200.0;485.0;80.0;250.0;236.0;67.0;-63.0;-6.0;-2.0;38.0;1181.0;15.0;146.0;;124.0;;;21.0;1327.0;;;21.0;5.12;4.51;-13.0;3.57;19.0;2.19;0.51;0.5;60.0;;2.0;;2.0;64.0;123.0;10.0;168.0;106.0;;106.0;;9.0;2.0;285.0;;36.0;1.0;;;43.0;151.0;;;19.0;170.0;;;;20.0;137.0;-1.0;80.0;485.0;-0.0;485.0;;30.0;21.0;0.0;;-4.0;;13.0;;120.0;19.0;-29.0;-33.0;;;-1.0;;0.0;-8.0;-2.0;3.0;;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1530.0;211.0;77.0;66.0;53.0;33.0;61.0;235.0;551.0;111.0;320.0;231.0;78.0;-68.0;11.0;20.0;55.0;1319.0;13.82;146.0;;146.0;;;;1465.0;;;24.0;5.05;4.3;-13.0;3.45;20.0;2.17;0.56;0.54;59.0;;23.0;;23.0;86.0;121.0;5.0;182.0;120.0;3.0;123.0;;10.0;2.0;316.0;;47.0;1.0;;;63.0;154.0;;;55.0;209.0;;;;18.0;133.0;-1.0;82.0;551.0;;551.0;;33.0;24.0;5.0;;4.0;;10.0;;124.0;12.0;-23.0;-50.0;;;4.0;;1.0;-2.0;-2.0;13.0;;23.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1640.0;230.0;84.0;72.0;60.0;37.0;56.0;298.0;639.0;113.0;374.0;263.0;17.0;-49.0;23.0;-9.0;-15.0;1409.0;14.05;158.0;;158.0;;;;1568.0;;;25.0;5.14;4.4;-12.0;3.64;23.0;2.23;0.68;0.66;54.0;;18.0;;18.0;105.0;166.0;10.0;203.0;126.0;5.0;131.0;;13.0;-7.0;341.0;;58.0;8.0;;;47.0;235.0;;;26.0;262.0;;;;18.0;164.0;-1.0;82.0;637.0;2.0;639.0;;37.0;25.0;3.0;;61.0;;-41.0;;185.0;-109.0;-31.0;-18.0;;;0.0;;1.0;-40.0;-3.0;65.0;;13.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1899.0;258.0;92.0;80.0;64.0;40.0;55.0;334.0;687.0;144.0;382.0;305.0;70.0;-31.0;-39.0;-0.0;30.0;1641.0;13.59;178.0;;178.0;;;;1819.0;;;28.0;4.84;4.21;-16.0;3.39;24.0;2.11;0.75;0.73;53.0;;17.0;;17.0;138.0;170.0;9.0;214.0;125.0;7.0;132.0;;16.0;-9.0;353.0;;82.0;8.0;;;54.0;205.0;;;33.0;238.0;;;;18.0;201.0;1.0;85.0;687.0;0.0;687.0;;40.0;28.0;2.0;;5.0;;-4.0;;190.0;-4.0;-41.0;-1.0;;;10.0;;1.0;-2.0;-3.0;-36.0;;17.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2453.0;296.0;111.0;96.0;80.0;49.0;56.0;407.0;762.0;184.0;406.0;357.0;50.0;-37.0;-5.0;8.0;10.0;2157.0;12.08;200.0;;201.0;;;-1.0;2357.0;;;31.0;4.52;3.93;-16.0;3.26;31.0;1.98;0.9;0.86;54.0;;25.0;;25.0;152.0;213.0;17.0;216.0;124.0;8.0;132.0;;19.0;-11.0;356.0;;87.0;22.0;;;74.0;185.0;;;37.0;222.0;;;;18.0;247.0;2.0;89.0;762.0;0.0;762.0;;49.0;31.0;1.0;;32.0;;-43.0;;223.0;-62.0;-41.0;-10.0;;;14.0;;3.0;-0.0;-3.0;-5.0;;25.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
