;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1983.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985.0;24093.0;;2099.0;;1375.0;745.0;2989.0;8621.0;13459.0;5356.0;8329.0;4780.0;;;;;;;;24044.0;;;;;24044.0;24044.0;172.0;281.0;499.0;8.71;;1326.0;5.71;573.0;3.09;0.25;0.25;2989.0;;865.0;1260.0;2125.0;;3516.0;2980.0;4388.0;;;;276.0;865.0;-690.0;4838.0;;1710.0;1414.0;;;2231.0;934.0;;598.0;1442.0;2973.0;;;;134.0;4457.0;;189.0;13110.0;349.0;13459.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;25425.0;;2542.0;;1695.0;985.0;2989.0;11941.0;20460.0;10824.0;14572.0;5500.0;;;;;;;;25322.0;452.0;;;;24870.0;25322.0;237.0;313.0;589.0;10.0;;1593.0;6.67;656.0;3.87;0.33;0.33;2989.0;;1836.0;2970.0;4806.0;;3771.0;3364.0;5198.0;;;;3108.0;1836.0;-1623.0;8519.0;;1946.0;3283.0;;;5595.0;1230.0;;826.0;1693.0;3748.0;;;;138.0;5109.0;;254.0;20073.0;387.0;20460.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;31230.0;;3512.0;;2504.0;1472.0;2981.0;11160.0;18868.0;7207.0;12383.0;5587.0;;;;;;;;31230.0;623.0;;;;30607.0;31230.0;338.0;392.0;640.0;11.24;;;8.02;1008.0;4.71;0.49;0.49;2981.0;;904.0;1021.0;1925.0;;4676.0;4559.0;7293.0;;;;164.0;904.0;-653.0;7708.0;;2598.0;662.0;;;3946.0;1668.0;;1238.0;2270.0;5176.0;;;;175.0;5108.0;;304.0;17970.0;898.0;18868.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;30988.0;;3594.0;;2632.0;1510.0;2986.0;11954.0;19915.0;8384.0;13452.0;5676.0;;;;;;;;30921.0;601.0;;;;30319.0;30921.0;194.0;424.0;612.0;11.6;;2565.0;8.49;1048.0;4.87;0.51;0.51;2986.0;;753.0;1807.0;2560.0;;4765.0;4629.0;7584.0;;;;158.0;753.0;-534.0;7961.0;;2975.0;1876.0;;;3534.0;1657.0;;1099.0;2312.0;5067.0;10135.0;;;168.0;5241.0;;266.0;19127.0;788.0;19915.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;32856.0;;3962.0;;2744.0;1600.0;2991.0;11618.0;20761.0;9452.0;15615.0;4292.0;;;;;;;;32733.0;604.0;;;;32129.0;32733.0;267.0;672.0;638.0;12.06;;2621.0;8.35;1052.0;4.87;0.53;0.53;2991.0;;578.0;282.0;860.0;;5223.0;5534.0;8761.0;;;;143.0;578.0;-340.0;9143.0;;3256.0;2132.0;;;4065.0;2402.0;;472.0;3288.0;6163.0;;;;150.0;3836.0;;306.0;19907.0;854.0;20761.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;43746.0;;4736.0;;3429.0;1765.0;2989.0;13664.0;24752.0;10424.0;18407.0;5392.0;;;;;;;;43694.0;785.0;;;;42909.0;43694.0;260.0;910.0;881.0;10.83;;3377.0;7.84;1180.0;4.03;0.59;0.59;2989.0;;1145.0;464.0;1609.0;;5748.0;6308.0;10643.0;;;;177.0;1145.0;-877.0;11088.0;;3970.0;1903.0;;;4551.0;3385.0;;450.0;4149.0;7984.0;;;;179.0;4838.0;;375.0;23799.0;953.0;24752.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;43291.0;;5059.0;;3349.0;2155.0;2994.0;13827.0;25381.0;10524.0;18084.0;6364.0;2843.0;-2276.0;-243.0;297.0;865.0;;;43210.0;796.0;;;;42414.0;43210.0;320.0;835.0;979.0;11.69;;3269.0;7.74;1090.0;4.98;0.72;0.72;2994.0;;1176.0;662.0;1837.0;;5409.0;6581.0;11115.0;;;;209.0;1176.0;-946.0;11554.0;;4143.0;1506.0;;;4874.0;3157.0;;533.0;3871.0;7560.0;15120.0;;;174.0;5805.0;;385.0;24448.0;933.0;25381.0;;2155.0;979.0;;;682.0;;-9.0;;;-974.0;-1977.0;-234.0;-7.0;;-58.0;-1714.0;22.0;;;1448.0;-26.0;572.0;275.0;;1.34;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;37348.0;;4370.0;3197.0;3068.0;1952.0;3014.0;13132.0;24252.0;10048.0;16605.0;6785.0;2211.0;-1405.0;-316.0;556.0;534.0;;;34038.0;697.0;;;;33341.0;34038.0;315.0;538.0;842.0;11.7;8.56;-129.0;8.21;1037.0;5.23;0.65;0.65;3014.0;;1657.0;546.0;2203.0;;5029.0;5900.0;10702.0;;;;206.0;1657.0;-1446.0;11120.0;;3895.0;1509.0;;;4644.0;2546.0;;596.0;3416.0;6558.0;;;;141.0;6281.0;;363.0;23390.0;862.0;24252.0;;1952.0;842.0;;;253.0;;-192.0;;;-836.0;-1677.0;174.0;;2.0;97.0;-1052.0;20.0;;;717.0;67.0;1019.0;463.0;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
