;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;;;-158.0;6.0;6.0;4.0;11.0;;31.0;;7.0;23.0;;;;;;;;;;;;;;158.0;;;0.0;-inf;inf;0.0;inf;;inf;0.37;0.37;11.0;;;;;;;;;;;;;;;;31.0;;;;;;;;;;;7.0;;;;;;23.0;31.0;;31.0;;4.0;0.0;;;;;;;;-4.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;-205.0;8.0;8.0;5.0;11.0;;39.0;;9.0;30.0;;;;;;;;;;;;;;205.0;;;0.0;-inf;inf;0.0;inf;;inf;0.49;0.49;11.0;;;;;;;;;;;;;;;;39.0;;;;;;;;;;;9.0;;;;;;30.0;39.0;;39.0;;5.0;0.0;;;;;;;;-5.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;253.0;50.0;10.0;;12.0;7.0;11.0;40.0;59.0;29.0;31.0;27.0;11.0;-16.0;6.0;0.0;-0.0;203.0;19.87;28.0;;22.0;42.0;-20.0;7.0;231.0;;;-2.0;3.79;;-10.0;4.75;5.0;2.96;0.71;0.71;11.0;;1.0;;1.0;37.0;;2.0;13.0;;1.0;1.0;;;5.0;19.0;;9.0;10.0;;;11.0;2.0;;0.0;;2.0;;;;10.0;1.0;-11.0;26.0;59.0;;59.0;;7.0;-2.0;1.0;;11.0;-4.0;;5.0;11.0;-6.0;-11.0;;;;-5.0;-1.0;;;;7.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;278.0;55.0;11.0;;14.0;9.0;10.0;47.0;67.0;34.0;35.0;31.0;14.0;-18.0;4.0;-0.0;10.0;223.0;19.72;30.0;;23.0;45.0;-22.0;7.0;252.0;;;-3.0;3.95;;-11.0;4.98;5.0;3.14;0.87;0.87;10.0;;0.0;;0.0;43.0;;3.0;17.0;;1.0;1.0;;;2.0;20.0;;12.0;15.0;;;7.0;2.0;;;;2.0;;;;10.0;6.0;-15.0;30.0;67.0;;67.0;;9.0;-3.0;0.0;;2.0;-7.0;;5.0;13.0;6.0;-4.0;-0.0;;;-14.0;-2.0;;-1.0;;7.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;362.0;68.0;22.0;19.0;18.0;11.0;10.0;69.0;105.0;118.0;122.0;-17.0;11.0;-26.0;15.0;0.0;6.0;294.0;18.74;343.0;;28.0;55.0;-27.0;316.0;638.0;;;4.0;5.99;5.12;-1.0;4.91;7.0;3.07;1.11;1.11;10.0;;1.0;;1.0;62.0;;6.0;24.0;3.0;9.0;12.0;;1.0;0.0;37.0;;23.0;34.0;;;61.0;4.0;;;0.0;5.0;;;;10.0;;-17.0;-9.0;105.0;;105.0;;11.0;4.0;-0.0;;-62.0;-10.0;;7.0;-49.0;58.0;-5.0;-15.0;;;-6.0;-3.0;;;-3.0;21.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;531.0;90.0;32.0;28.0;28.0;17.0;15.0;108.0;158.0;42.0;45.0;113.0;13.0;-26.0;23.0;10.0;0.0;442.0;16.88;504.0;;37.0;72.0;-35.0;466.0;945.0;;;4.0;6.1;5.21;0.0;5.29;11.0;3.23;1.12;1.12;15.0;;10.0;14.0;25.0;72.0;;11.0;35.0;5.0;9.0;13.0;;;2.0;50.0;;28.0;;;;13.0;;;2.0;1.0;3.0;;;;16.0;17.0;0.0;80.0;158.0;;158.0;;17.0;4.0;0.0;;115.0;-14.0;;4.0;66.0;-124.0;-12.0;-1.0;-14.0;;1.0;-38.0;113.0;-2.0;;-50.0;;10.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;642.0;118.0;40.0;33.0;34.0;21.0;16.0;112.0;191.0;50.0;56.0;134.0;28.0;-30.0;1.0;-0.0;13.0;523.0;18.41;117.0;;46.0;86.0;-40.0;71.0;640.0;;;6.0;6.21;5.16;1.0;5.32;13.0;3.27;1.3;1.3;16.0;;5.0;15.0;20.0;83.0;;9.0;51.0;10.0;17.0;27.0;;;1.0;79.0;;30.0;;;;20.0;1.0;;4.0;2.0;7.0;;;;16.0;38.0;0.0;80.0;191.0;;191.0;;21.0;6.0;0.0;;-5.0;-11.0;;8.0;62.0;6.0;-16.0;-19.0;-27.0;31.0;0.0;;;;;1.0;;5.0;5.0;;;39.81;1.3;0.79;;0.96;8.34;16.0;21.0;1.2;;642.0;5.2;6.0;21.0;38.4;3.3;62.0;1.0;134.0;14.9;17.9;15.6;100.0;
2007.0;680.0;118.0;37.0;28.0;29.0;18.0;16.0;118.0;207.0;48.0;56.0;151.0;20.0;-19.0;-0.0;0.0;5.0;562.0;17.33;132.0;;48.0;93.0;-45.0;84.0;695.0;;;8.0;5.46;4.12;1.0;4.26;11.0;2.62;1.11;1.11;16.0;;5.0;18.0;23.0;87.0;;8.0;57.0;11.0;17.0;28.0;;;4.0;89.0;;30.0;;;;18.0;1.0;;5.0;1.0;7.0;;;;16.0;56.0;-20.0;100.0;207.0;;207.0;;18.0;8.0;2.0;;8.0;-6.0;;-1.0;70.0;-15.0;-15.0;-3.0;-16.0;12.0;1.0;;0.0;-0.0;;;;5.0;5.0;;;42.22;1.11;0.34;;0.92;9.4;16.0;19.4;1.1;;680.0;4.1;8.0;18.0;38.4;2.6;70.0;1.0;151.0;11.2;14.0;11.8;100.0;6.8
2008.0;760.0;209.0;34.0;27.0;24.0;15.0;16.0;118.0;212.0;40.0;47.0;164.0;35.0;-10.0;-1.0;23.0;24.0;550.0;27.56;140.0;;121.0;73.0;47.0;19.0;690.0;0.0;0.0;10.0;4.48;3.51;-2.0;3.19;9.0;1.96;0.93;0.93;16.0;;29.0;9.0;38.0;71.0;;10.0;61.0;12.0;17.0;29.0;;;4.0;93.0;;20.0;;0.0;;20.0;1.0;;5.0;1.0;7.0;;;;;71.0;-1.0;95.0;212.0;;212.0;;15.0;10.0;-2.0;;8.0;;;;78.0;4.0;-10.0;-5.0;-12.0;17.0;-10.0;;;-1.0;;;;29.0;5.0;;;47.25;0.93;1.52;;0.63;10.23;16.0;22.5;1.0;;760.0;3.5;10.0;15.0;38.6;2.0;78.0;1.0;164.0;8.7;11.5;9.1;100.0;5.0
2009.0;503.0;160.0;19.0;9.0;8.0;5.0;16.0;90.0;202.0;40.0;47.0;154.0;23.0;-34.0;-16.0;-28.0;1.0;343.0;31.78;116.0;;96.0;62.0;34.0;21.0;460.0;0.0;0.0;10.0;3.72;1.79;-1.0;1.59;3.0;0.97;0.31;0.31;16.0;;1.0;16.0;17.0;63.0;;10.0;76.0;14.0;15.0;29.0;;;7.0;112.0;;25.0;;;;15.0;1.0;;6.0;0.0;7.0;;;;;60.0;1.0;94.0;202.0;;202.0;;5.0;10.0;2.0;;-29.0;;;;49.0;35.0;-22.0;-7.0;-6.0;0.0;-22.0;;;-0.0;-16.0;;;1.0;29.0;;;31.49;0.31;0.04;1.0;1.39;9.66;16.0;50.0;0.7;6.5;503.0;1.8;10.0;5.0;38.9;1.0;49.0;1.0;154.0;3.2;4.2;3.2;-226.2;2494.4
