;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2005.0;;;-2.0;-2.0;-1.0;-1.0;33.0;9.0;39.0;5.0;18.0;21.0;-2.0;-18.0;16.0;-3.0;-8.0;;;;;;;;;2.0;0.0;;;-inf;-inf;1.0;-inf;-0.0;-inf;-0.02;-0.02;33.0;;1.0;8.0;9.0;0.0;;0.0;23.0;;;;;;6.0;29.0;;0.0;5.0;;;-0.0;11.0;;1.0;0.0;12.0;;5.0;;;-1.0;3.0;22.0;39.0;;39.0;;-1.0;;-0.0;;-0.0;;;;4.0;-0.0;-6.0;;-8.0;;-3.0;;18.0;;;-1.0;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-5.0;-5.0;-5.0;-4.0;59.0;25.0;63.0;6.0;15.0;48.0;-3.0;3.0;23.0;24.0;-8.0;;;;;;;;;5.0;1.0;;0.0;-inf;-inf;0.0;-inf;-0.0;-inf;-0.08;-0.08;59.0;;25.0;;25.0;0.0;;0.0;38.0;;;;;;0.0;38.0;;1.0;5.0;;;;8.0;;2.0;0.0;9.0;;5.0;;;-5.0;0.0;53.0;63.0;;63.0;;-4.0;0.0;-0.0;;15.0;;;;19.0;-13.0;-5.0;;-3.0;11.0;-0.0;;28.0;;;-5.0;;25.0;1.0;;;;-0.07;-0.13;;0.09;0.81;59.0;;;;;-inf;0.0;-4.0;9.2;-inf;19.0;8.0;48.0;-7.8;-7.8;-9.0;100.0;
2007.0;;;-7.0;-12.0;-10.0;-7.0;86.0;78.0;139.0;1.0;3.0;136.0;-6.0;-64.0;68.0;-2.0;-18.0;;;;;;;;;10.0;3.0;;0.0;-inf;-inf;2.0;-inf;-3.0;-inf;-0.08;-0.08;86.0;;27.0;50.0;77.0;1.0;;0.0;59.0;;;;;;2.0;61.0;;1.0;;;;;;;1.0;0.0;1.0;;;;;-13.0;-0.0;149.0;139.0;;139.0;;-7.0;0.0;-3.0;;57.0;;;;77.0;-53.0;-12.0;;-50.0;;-1.0;;80.0;;;-12.0;;27.0;29.0;;;;-0.08;-0.21;;0.14;1.59;86.0;;;;;-inf;0.0;-7.0;26.4;-inf;77.0;;136.0;-3.7;-4.9;-5.2;100.0;
2008.0;;;-25.0;-21.0;-15.0;-15.0;93.0;54.0;83.0;2.0;3.0;81.0;-9.0;6.0;2.0;-0.0;-11.0;;;;;;;;;21.0;2.0;;0.0;-inf;-inf;7.0;-inf;;-inf;-0.16;-0.16;93.0;;21.0;32.0;53.0;0.0;;0.0;28.0;;;;;;2.0;30.0;;2.0;;;;;;;0.0;0.0;1.0;;;;;-48.0;-1.0;130.0;83.0;;83.0;;-15.0;0.0;;;-25.0;;;;52.0;30.0;-2.0;;-54.0;63.0;-1.0;;2.0;;;-0.0;;21.0;22.0;;;;-0.16;-0.11;;0.02;0.87;93.0;-6.2;-0.3;;;-inf;0.0;-15.0;;-inf;52.0;;81.0;-31.2;-30.5;-18.2;100.0;
2009.0;;;-13.0;;-18.0;-18.0;94.0;42.0;78.0;1.0;1.0;77.0;-16.0;25.0;0.0;6.0;-18.0;;;12.0;7.0;5.0;5.0;;;17.0;1.0;;1.0;-inf;;-2.0;-inf;-0.0;-inf;-0.19;-0.19;94.0;;31.0;10.0;41.0;0.0;;0.0;31.0;;;;3.0;;3.0;36.0;;;;;;1.0;;;;;;;;;;-74.0;-1.0;152.0;78.0;0.0;78.0;;-18.0;1.0;-0.0;1.0;-12.0;;;;40.0;12.0;-2.0;;-36.0;62.0;0.0;;;;;0.0;-3.0;31.0;25.0;;;;-0.19;-0.19;;0.02;0.82;94.0;-4.2;-0.1;;;;1.0;-18.0;1.9;-inf;40.0;;77.0;-17.9;-17.9;-23.4;100.0;
2010.0;;;-12.0;;-16.0;-16.0;97.0;34.0;74.0;1.0;1.0;73.0;-13.0;3.0;8.0;-4.0;-15.0;;;10.0;5.0;5.0;5.0;;;15.0;0.0;;1.0;-inf;;-2.0;-inf;;-inf;-0.17;-0.17;97.0;;29.0;5.0;34.0;0.0;;0.0;33.0;;;;3.0;;4.0;40.0;;1.0;;;;1.0;;;;;;;;;;-94.0;-2.0;168.0;74.0;;74.0;;-16.0;1.0;;1.0;-7.0;;;;33.0;9.0;-2.0;;-19.0;25.0;-1.0;;5.0;;;3.0;-1.0;29.0;32.0;;;;-0.17;-0.16;;0.02;0.75;97.0;-6.6;-0.3;;;;1.0;-16.0;;-inf;33.0;;73.0;-17.9;-17.5;-22.6;100.0;
2011.0;;;-16.0;;-16.0;-16.0;103.0;24.0;64.0;2.0;2.0;63.0;-13.0;-3.0;3.0;-12.0;-14.0;;;;4.0;;;;;16.0;0.0;;0.0;-inf;;0.0;-inf;;-inf;-0.16;-0.16;103.0;;16.0;7.0;23.0;0.0;;1.0;35.0;;;;3.0;;3.0;41.0;;0.0;;;;1.0;;;;;;;;;;-107.0;-2.0;172.0;64.0;0.0;64.0;;-16.0;0.0;;2.0;-11.0;0.0;;;22.0;11.0;-1.0;;-7.0;5.0;-0.0;;;;;3.0;0.0;16.0;28.0;;;;-0.15;-0.13;;0.01;0.61;103.0;-10.9;-0.7;;;;0.0;-16.0;;-inf;22.0;;63.0;-25.5;-24.9;-25.3;100.0;
2012.0;;;-13.0;-14.0;-13.0;-13.0;119.0;18.0;74.0;3.0;4.0;70.0;-11.0;-10.0;16.0;-5.0;-22.0;;;11.0;5.0;6.0;6.0;;;14.0;0.0;;1.0;-inf;-inf;1.0;-inf;;-inf;-0.11;-0.11;119.0;;12.0;6.0;18.0;0.0;;0.0;50.0;;;;3.0;;3.0;56.0;;2.0;0.0;;;0.0;0.0;;;1.0;1.0;2.0;;;178.0;-123.0;-3.0;18.0;74.0;-0.0;74.0;;-13.0;1.0;;2.0;-6.0;-0.0;;;16.0;6.0;-11.0;-1.0;-10.0;11.0;2.0;-0.0;17.0;-1.0;;0.0;-0.0;12.0;16.0;;;;-0.11;-0.19;;0.09;0.59;119.0;-9.0;-0.6;;;-inf;1.0;-13.0;;-inf;16.0;0.0;70.0;-19.0;-18.3;-18.7;100.0;
2013.0;8.0;5.0;-30.0;-23.0;-30.0;-30.0;122.0;10.0;105.0;8.0;67.0;39.0;-28.0;-26.0;44.0;-10.0;-57.0;3.0;59.35;26.0;18.0;6.0;6.0;;2.0;30.0;-6.0;;1.0;-391.49;-306.62;-7.0;-398.54;;-398.54;-0.25;-0.25;122.0;;2.0;;2.0;6.0;2.0;1.0;88.0;;;;1.0;;6.0;95.0;;2.0;5.0;1.0;;1.0;34.0;3.0;3.0;19.0;59.0;;;;166.0;-149.0;3.0;18.0;105.0;;105.0;;-30.0;1.0;;1.0;-13.0;-6.0;-1.0;;2.0;14.0;-29.0;-0.0;;7.0;-3.0;-36.0;5.0;-0.0;;75.0;-0.0;2.0;12.0;;;0.06;-0.25;-0.47;;0.24;0.32;122.0;-4.2;-0.2;;8.0;-306.6;1.0;-30.0;;-398.5;2.0;34.0;39.0;-31.2;-28.8;-78.5;100.0;
2014.0;29.0;11.0;2.0;-7.0;-9.0;-9.0;129.0;9.0;104.0;12.0;71.0;32.0;2.0;-3.0;3.0;1.0;1.0;18.0;39.15;18.0;11.0;7.0;7.0;;0.0;36.0;;3.0;8.0;5.43;-23.78;-2.0;-29.81;;-29.81;-0.07;-0.07;129.0;;3.0;0.0;3.0;0.0;5.0;1.0;86.0;;;;1.0;;8.0;94.0;;2.0;7.0;2.0;0.0;3.0;32.0;;3.0;24.0;60.0;;;;168.0;-154.0;3.0;14.0;104.0;;104.0;;-9.0;8.0;;1.0;-5.0;6.0;-3.0;;-3.0;7.0;-1.0;-0.0;;;-3.0;-4.0;;;;6.0;-0.0;3.0;2.0;;;0.23;-0.07;0.01;;0.0;0.25;129.0;-17.7;-1.0;;29.0;-23.8;8.0;-9.0;;-29.8;-3.0;32.0;32.0;-6.6;-5.8;-27.3;100.0;
