;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;1.0;0.0;-0.0;-0.0;;-0.0;8.0;2.0;2.0;0.0;0.0;2.0;-0.0;-0.0;2.0;;-0.0;1.0;16.67;0.0;;0.0;;;;1.0;;;;-33.33;-50.0;;;;-33.33;-0.02;-0.02;8.0;;2.0;;2.0;0.0;;0.0;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;;;-0.0;;3.0;2.0;0.0;2.0;;-0.0;;;;;;;;2.0;;-0.0;;;;-0.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;2.0;1.0;-1.0;-1.0;;-1.0;10.0;7.0;9.0;0.0;1.0;8.0;-2.0;-2.0;7.0;;-3.0;2.0;29.17;2.0;;2.0;;;0.0;4.0;;;0.0;-41.67;-50.0;;;;-50.0;-0.05;-0.05;10.0;;6.0;;6.0;1.0;;0.0;1.0;;0.0;0.0;;;1.0;2.0;;0.0;;;;0.0;0.0;;;;0.0;;;;;-2.0;-0.0;10.0;9.0;0.0;9.0;;-1.0;0.0;;;5.0;;;;6.0;-5.0;-1.0;;;;-0.0;;7.0;;;0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;8.0;2.0;-1.0;-2.0;;-2.0;10.0;6.0;10.0;1.0;4.0;6.0;-3.0;-2.0;3.0;;-6.0;6.0;26.19;4.0;;4.0;;;1.0;10.0;;0.0;1.0;-16.67;-22.62;;;;-26.19;-0.07;-0.07;10.0;;3.0;;3.0;3.0;;0.0;3.0;;0.0;0.0;;;1.0;4.0;;0.0;;;;1.0;3.0;;;;3.0;;;;;-4.0;-1.0;10.0;10.0;0.0;10.0;;-2.0;1.0;;;-1.0;;;;5.0;-1.0;-2.0;;;;;;;;;3.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;17.0;4.0;-1.0;-2.0;;-3.0;11.0;7.0;15.0;2.0;10.0;4.0;-3.0;-4.0;6.0;;-7.0;13.0;23.26;6.0;;5.0;;;1.0;19.0;;1.0;1.0;-5.23;-10.47;;;;-16.28;-0.09;-0.09;11.0;;2.0;;2.0;5.0;;0.0;6.0;;1.0;1.0;;;1.0;7.0;;0.0;;;;1.0;8.0;;;;8.0;;;;;-7.0;-2.0;13.0;14.0;0.0;15.0;;-3.0;1.0;;;1.0;;;;6.0;-2.0;-4.0;;;;;;1.0;;;5.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;25.0;8.0;3.0;2.0;;1.0;11.0;9.0;16.0;2.0;10.0;5.0;2.0;-2.0;-0.0;;1.0;17.0;30.12;6.0;;4.0;;;2.0;23.0;;1.0;2.0;12.45;6.43;0.0;;;2.81;0.02;0.02;11.0;;3.0;;3.0;6.0;;0.0;6.0;;1.0;1.0;;;1.0;7.0;;0.0;;;;2.0;8.0;;;-0.0;8.0;;;;;-6.0;-3.0;14.0;15.0;1.0;16.0;;1.0;2.0;;;1.0;;;;7.0;-1.0;-2.0;;;;;;;;;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;32.0;10.0;4.0;4.0;2.0;2.0;11.0;12.0;20.0;3.0;11.0;8.0;5.0;-2.0;-1.0;;3.0;22.0;31.37;7.0;;5.0;5.0;;2.0;29.0;;1.0;2.0;12.73;11.18;-2.0;5.28;0.0;4.97;0.05;0.05;11.0;;5.0;;5.0;7.0;;0.0;6.0;;1.0;1.0;;;1.0;8.0;;0.0;0.0;;;2.0;8.0;;;;8.0;;;;;-4.0;-4.0;16.0;19.0;1.0;20.0;;2.0;2.0;;;2.0;;;;9.0;-1.0;-2.0;;;;;;;;;-1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;39.0;12.0;4.0;5.0;3.0;2.0;11.0;14.0;23.0;3.0;11.0;10.0;4.0;-2.0;-1.0;;2.0;27.0;29.64;7.0;;5.0;5.0;;2.0;34.0;;;2.0;11.34;12.37;-2.0;6.44;0.0;6.19;0.22;0.22;11.0;;6.0;;6.0;8.0;;1.0;6.0;;1.0;1.0;;;1.0;9.0;;0.0;0.0;;;2.0;8.0;;;-0.0;8.0;;;;;-2.0;-6.0;18.0;21.0;2.0;23.0;;2.0;2.0;;;2.0;;;;11.0;-3.0;-2.0;;;;-0.0;;;;;-1.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;44.0;13.0;6.0;6.0;3.0;2.0;11.0;16.0;24.0;3.0;11.0;12.0;5.0;-3.0;-2.0;1.0;3.0;31.0;30.0;8.0;;6.0;6.0;;2.0;39.0;;1.0;2.0;12.5;12.5;-3.0;6.14;1.0;3.64;0.15;0.14;11.0;;6.0;;6.0;9.0;;1.0;6.0;;1.0;1.0;;;1.0;9.0;;1.0;;;;2.0;8.0;;;0.0;8.0;;;;;-0.0;-8.0;19.0;22.0;2.0;24.0;;2.0;2.0;0.0;;2.0;;;;13.0;-1.0;-2.0;;;;-0.0;;;;;-2.0;;6.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;50.0;16.0;6.0;7.0;4.0;2.0;11.0;15.0;23.0;2.0;10.0;11.0;5.0;-2.0;-5.0;-2.0;3.0;34.0;31.73;9.0;;6.0;6.0;;2.0;43.0;;;2.0;12.12;14.55;-3.0;7.93;2.0;4.79;0.23;0.23;10.0;;4.0;;4.0;10.0;;1.0;6.0;;1.0;1.0;;;1.0;9.0;;0.0;0.0;;;2.0;8.0;;;;8.0;;;;0.0;2.0;-3.0;12.0;21.0;2.0;23.0;;2.0;2.0;;;-1.0;;;;12.0;1.0;-2.0;;;;0.0;;0.0;-3.0;;-2.0;;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;63.0;20.0;9.0;10.0;6.0;4.0;11.0;14.0;23.0;3.0;11.0;10.0;9.0;-3.0;-8.0;-2.0;6.0;43.0;32.14;10.0;;8.0;8.0;;2.0;53.0;;1.0;2.0;14.63;16.42;-4.0;9.71;2.0;5.91;0.2;0.17;10.0;;2.0;;2.0;11.0;;1.0;7.0;;1.0;1.0;;;1.0;9.0;;0.0;1.0;;;2.0;7.0;;;;7.0;;;;0.0;6.0;-11.0;15.0;20.0;3.0;23.0;;4.0;2.0;;;-2.0;;;;10.0;5.0;-3.0;;;;0.0;;0.0;-6.0;;-2.0;;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
