;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;92.0;44.0;-32.0;10.0;-2.0;-36.0;13.0;21.0;69.0;;161.0;-92.0;;;;;;49.0;47.3;34.0;;;;;34.0;82.0;;;4.0;-35.11;10.49;-12.0;-2.4;;-39.34;-2.78;-2.78;13.0;;3.0;;3.0;;;18.0;;;;;;;48.0;48.0;;;;;;;;;;;;161.0;;;;;;;69.0;;69.0;;-36.0;4.0;;;;;;;21.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;109.0;50.0;-5.0;12.0;1.0;-10.0;13.0;16.0;63.0;;166.0;-103.0;;;;;;60.0;45.61;38.0;;;;;38.0;98.0;;;5.0;-4.76;10.6;-11.0;0.85;;-8.89;-0.81;-0.81;13.0;;3.0;;3.0;;;13.0;;;;;;;47.0;47.0;;;;;;;;;;;;166.0;;;;;;;63.0;;63.0;;-10.0;5.0;;;-5.0;;;;16.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;144.0;74.0;20.0;22.0;15.0;10.0;20.0;29.0;77.0;44.0;173.0;-96.0;20.0;-6.0;-4.0;10.0;9.0;71.0;50.95;52.0;;;;;52.0;122.0;;;5.0;13.76;15.25;-7.0;10.33;5.0;6.71;0.51;0.44;13.0;;14.0;;14.0;13.0;;3.0;24.0;21.0;;21.0;;;3.0;48.0;;;;;;44.0;58.0;;;71.0;129.0;;;;0.0;-96.0;;;77.0;;77.0;;10.0;5.0;2.0;;-31.0;;;;-15.0;35.0;-12.0;;;0.0;6.0;-63.0;;;;59.0;;14.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;196.0;104.0;39.0;36.0;33.0;20.0;25.0;32.0;84.0;61.0;167.0;-83.0;36.0;-12.0;-29.0;-5.0;24.0;92.0;52.95;68.0;;;;;68.0;160.0;;;6.0;19.91;18.4;-3.0;16.66;12.0;10.37;1.03;0.79;14.0;;9.0;;9.0;20.0;;3.0;27.0;;21.0;21.0;;;4.0;52.0;;25.0;4.0;;26.0;7.0;28.0;;;78.0;106.0;;;;0.0;-0.0;-22.0;-62.0;84.0;;84.0;;20.0;6.0;0.0;;-15.0;;-0.0;;-29.0;24.0;-12.0;;;;0.0;;;;-5.0;-24.0;;9.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;255.0;138.0;57.0;50.0;48.0;29.0;28.0;77.0;136.0;71.0;81.0;55.0;48.0;-17.0;3.0;34.0;31.0;117.0;54.25;88.0;;88.0;88.0;;;205.0;;;9.0;22.25;19.64;-2.0;18.8;19.0;11.3;1.14;1.04;25.0;;43.0;;43.0;20.0;;14.0;37.0;;21.0;21.0;;;2.0;59.0;;33.0;0.0;;35.0;3.0;0.0;;;11.0;11.0;;;;0.0;-55.0;-24.0;134.0;136.0;;136.0;;29.0;9.0;3.0;;36.0;;;;7.0;-29.0;-17.0;;;;0.0;;60.0;-13.0;-13.0;-32.0;;43.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;311.0;166.0;67.0;56.0;57.0;36.0;29.0;104.0;201.0;90.0;105.0;96.0;68.0;-61.0;3.0;9.0;22.0;145.0;53.34;110.0;;110.0;110.0;;;255.0;;;10.0;21.56;17.95;1.0;18.42;21.0;11.52;1.28;1.26;28.0;;52.0;;52.0;21.0;;30.0;74.0;;21.0;21.0;;;2.0;97.0;;39.0;0.0;;43.0;8.0;;;;15.0;15.0;;;;0.0;-19.0;-30.0;145.0;201.0;;201.0;;36.0;10.0;-2.0;;7.0;;;;14.0;17.0;-46.0;;-32.0;16.0;0.0;;3.0;;;-0.0;;52.0;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;347.0;174.0;58.0;41.0;44.0;27.0;28.0;70.0;212.0;96.0;109.0;103.0;45.0;-30.0;-26.0;-11.0;-1.0;173.0;50.09;133.0;;133.0;133.0;;;306.0;;;14.0;16.69;11.74;3.0;12.59;16.0;7.89;0.99;0.97;28.0;;41.0;;41.0;17.0;;12.0;117.0;21.0;;21.0;;;4.0;142.0;;6.0;;;49.0;41.0;;;3.0;10.0;13.0;;;;0.0;8.0;-44.0;139.0;212.0;;212.0;;27.0;14.0;-2.0;;-40.0;;;;-26.0;46.0;-46.0;;;16.0;0.0;;3.0;-30.0;;1.0;;41.0;52.0;;;12.48;0.99;-0.03;;1.66;3.7;28.0;20.1;1.1;;347.0;11.7;14.0;27.0;37.3;7.9;-26.0;;103.0;23.6;20.6;26.6;100.0;-3732.3
2007.0;353.0;167.0;45.0;24.0;26.0;16.0;27.0;103.0;233.0;96.0;108.0;125.0;40.0;-6.0;1.0;34.0;-7.0;186.0;47.29;143.0;;143.0;143.0;;;330.0;;;19.0;12.77;6.72;3.0;7.46;11.0;4.4;0.58;0.57;27.0;;76.0;;76.0;15.0;;13.0;105.0;21.0;;21.0;;;5.0;130.0;;6.0;;;49.0;40.0;;;2.0;10.0;12.0;;;;0.0;22.0;-53.0;155.0;233.0;;233.0;;16.0;19.0;-1.0;;33.0;;;;7.0;-27.0;-47.0;;;;40.0;;1.0;;;0.0;;76.0;41.0;;;13.2;0.58;-0.26;;1.74;4.65;27.0;30.8;1.8;;353.0;6.7;19.0;16.0;41.0;4.4;7.0;;125.0;11.4;11.3;12.5;100.0;12.4
2008.0;343.0;157.0;32.0;11.0;14.0;8.0;26.0;118.0;209.0;87.0;101.0;108.0;21.0;13.0;-29.0;5.0;3.0;187.0;45.66;146.0;;146.0;146.0;;;333.0;;;18.0;9.21;3.11;3.0;4.08;6.0;2.39;0.32;0.32;26.0;;81.0;;81.0;20.0;;17.0;68.0;21.0;;21.0;;;3.0;92.0;;38.0;;;45.0;4.0;;;3.0;12.0;15.0;;;;0.0;31.0;-66.0;144.0;209.0;;209.0;;8.0;18.0;-0.0;;24.0;;;;31.0;-28.0;-18.0;;;;31.0;;0.0;-30.0;;0.0;;81.0;76.0;;;13.43;0.32;0.13;;0.69;4.23;26.0;36.6;1.7;;343.0;3.1;18.0;8.0;41.4;2.4;31.0;;108.0;6.7;6.7;7.6;100.0;857.0
2009.0;367.0;173.0;37.0;19.0;19.0;12.0;25.0;114.0;223.0;102.0;117.0;107.0;49.0;-57.0;-17.0;-25.0;21.0;193.0;47.23;155.0;;155.0;155.0;;;348.0;0.0;0.0;18.0;10.07;5.08;1.0;5.27;8.0;3.2;0.48;0.48;24.0;;56.0;25.0;81.0;15.0;;18.0;81.0;21.0;;21.0;4.0;;4.0;109.0;;47.0;;2.0;48.0;6.0;;6.0;3.0;6.0;15.0;;;;0.0;42.0;-78.0;142.0;223.0;;223.0;;12.0;18.0;-2.0;5.0;-18.0;;;;13.0;36.0;-29.0;;-32.0;3.0;0.0;;1.0;-17.0;;-1.0;;56.0;81.0;;;15.12;0.48;0.85;;1.18;4.4;24.0;27.1;0.4;;367.0;5.1;18.0;12.0;39.2;3.2;13.0;;107.0;9.7;8.7;11.0;100.0;77.8
