;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1987.0;8.0;3.0;1.0;1.0;1.0;0.0;10.0;5.0;7.0;1.0;3.0;5.0;;;;;;5.0;36.84;2.0;;2.0;;;0.0;7.0;;;0.0;14.47;9.21;;9.21;0.0;5.26;0.04;0.04;10.0;;2.0;;2.0;2.0;1.0;0.0;3.0;;0.0;0.0;;;0.0;3.0;;;;;;1.0;2.0;;;;2.0;;;;;-1.0;-1.0;6.0;7.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;14.0;5.0;3.0;2.0;2.0;1.0;11.0;7.0;10.0;3.0;4.0;6.0;;;;;;8.0;37.78;3.0;;3.0;;;1.0;12.0;;;1.0;19.26;14.81;;14.81;1.0;10.37;0.13;0.13;11.0;;4.0;;4.0;2.0;2.0;0.0;3.0;;0.0;0.0;;;;3.0;;;;;;3.0;1.0;;0.0;;1.0;;;;;1.0;-1.0;6.0;10.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;18.0;7.0;5.0;4.0;4.0;3.0;11.0;9.0;12.0;4.0;5.0;7.0;4.0;-1.0;-3.0;-3.0;4.0;11.0;41.34;4.0;;3.0;;;1.0;14.0;;;1.0;25.7;21.79;0.0;22.91;2.0;14.53;0.23;0.23;11.0;;1.0;;1.0;2.0;3.0;3.0;2.0;;0.0;0.0;;;0.0;3.0;;1.0;;;;3.0;0.0;;;1.0;1.0;;;;;4.0;-2.0;5.0;12.0;;12.0;;3.0;1.0;-0.0;;1.0;;-1.0;;5.0;1.0;-1.0;;-4.0;4.0;0.0;;1.0;-3.0;;-1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;24.0;10.0;7.0;6.0;7.0;4.0;12.0;11.0;16.0;3.0;4.0;12.0;3.0;-3.0;-1.0;-1.0;0.0;14.0;41.42;4.0;;3.0;;;1.0;18.0;;;1.0;30.13;25.1;1.0;28.03;2.0;17.99;0.37;0.37;12.0;;1.0;;1.0;2.0;4.0;4.0;5.0;;0.0;0.0;;;0.0;5.0;;1.0;;;;2.0;;;;1.0;1.0;;;;;8.0;-2.0;5.0;16.0;;16.0;;4.0;1.0;-0.0;;3.0;;-1.0;;8.0;-4.0;-3.0;;-4.0;4.0;0.0;;0.0;;;-1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;30.0;13.0;9.0;8.0;8.0;5.0;12.0;15.0;21.0;4.0;4.0;18.0;4.0;-4.0;0.0;0.0;2.0;17.0;43.29;5.0;;4.0;;;1.0;22.0;;;1.0;29.87;26.85;0.0;27.85;3.0;18.12;0.46;0.46;12.0;;2.0;;2.0;4.0;4.0;5.0;6.0;;0.0;0.0;;;0.0;7.0;;2.0;;;;2.0;;;;;;;;;;14.0;-2.0;6.0;21.0;;21.0;;5.0;1.0;0.0;;3.0;;-1.0;;11.0;-6.0;-2.0;;-4.0;3.0;-0.0;;0.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;36.0;17.0;12.0;9.0;11.0;7.0;12.0;20.0;28.0;3.0;3.0;25.0;6.0;-6.0;-0.0;-0.0;5.0;19.0;46.54;7.0;;7.0;;;1.0;27.0;;;1.0;31.86;26.04;1.0;29.36;4.0;19.11;0.58;0.57;12.0;;2.0;;2.0;5.0;4.0;9.0;7.0;;0.0;0.0;;;0.0;8.0;;1.0;;;;1.0;;;;1.0;1.0;;;;;20.0;-3.0;7.0;28.0;;28.0;;7.0;1.0;;;7.0;;;;18.0;-8.0;-2.0;;-8.0;4.0;-0.0;;1.0;-1.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;37.0;18.0;12.0;9.0;11.0;7.0;12.0;20.0;28.0;3.0;4.0;25.0;7.0;-1.0;-7.0;-7.0;6.0;20.0;47.3;9.0;;8.0;;;1.0;28.0;;;1.0;31.35;24.05;2.0;28.65;4.0;18.92;0.6;0.6;12.0;;1.0;;1.0;6.0;4.0;9.0;8.0;;1.0;1.0;;;-0.0;8.0;;2.0;;;;1.0;;;0.0;0.0;1.0;;;;;25.0;-4.0;4.0;28.0;;28.0;;7.0;1.0;0.0;;-0.0;;;;18.0;-1.0;-2.0;;-15.0;16.0;0.0;;1.0;-7.0;-1.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;40.0;19.0;12.0;10.0;11.0;7.0;10.0;18.0;27.0;3.0;4.0;23.0;9.0;0.0;-8.0;-8.0;7.0;21.0;47.73;9.0;2.0;6.0;;;1.0;30.0;;;1.0;30.81;25.25;1.0;27.53;4.0;17.93;0.68;0.68;10.0;;2.0;;2.0;6.0;0.0;10.0;8.0;;1.0;1.0;;;0.0;9.0;;2.0;;;;2.0;;;0.0;0.0;1.0;;;;;23.0;-5.0;5.0;27.0;;27.0;;7.0;1.0;-0.0;;-3.0;;0.0;;15.0;3.0;-2.0;;-4.0;6.0;-0.0;;0.0;-9.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;42.0;21.0;15.0;12.0;13.0;8.0;10.0;24.0;33.0;4.0;4.0;29.0;11.0;-5.0;-3.0;-3.0;9.0;21.0;50.48;10.0;2.0;6.0;6.0;;2.0;30.0;;;2.0;34.76;27.86;1.0;30.71;5.0;20.0;0.83;0.82;10.0;;5.0;;5.0;7.0;3.0;9.0;9.0;;1.0;1.0;;;;10.0;;2.0;;;;2.0;;;0.0;0.0;0.0;;;;;29.0;-6.0;6.0;33.0;;33.0;;8.0;2.0;-0.0;;5.0;;1.0;;20.0;-4.0;-2.0;;-7.0;5.0;0.0;;1.0;-4.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;39.0;21.0;15.0;12.0;14.0;9.0;9.0;15.0;29.0;4.0;5.0;24.0;11.0;1.0;-14.0;-14.0;5.0;18.0;53.23;9.0;1.0;6.0;6.0;;1.0;27.0;;;1.0;39.02;30.75;2.0;35.4;5.0;22.74;0.93;0.93;9.0;;3.0;;3.0;5.0;5.0;2.0;13.0;;1.0;1.0;;;;14.0;;2.0;;;;2.0;;;0.0;0.0;0.0;;;;;24.0;-7.0;7.0;29.0;;29.0;;9.0;1.0;-0.0;;-9.0;;-2.0;;11.0;10.0;-6.0;;-3.0;10.0;;;1.0;-15.0;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
