;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;0.0;;-0.0;;;-1.0;15.0;;1.0;;2.0;-1.0;-1.0;-0.0;1.0;1.0;-1.0;;;;;0.0;;;;0.0;;0.0;;-400.0;;;;;-500.0;-0.03;-0.03;15.0;;0.0;;0.0;;;;0.0;;;;;;;;1.0;1.0;;;;;;;;;;2.0;;;;-1.0;;;1.0;;1.0;;-1.0;;;;1.0;;;1.0;;-1.0;-0.0;;;;;;;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;0.0;;-1.0;;;-1.0;15.0;;4.0;;1.0;3.0;-2.0;-0.0;4.0;4.0;-2.0;;;;;1.0;;;;1.0;;0.0;-0.0;-275.0;;0.0;;;-250.0;-0.07;-0.07;15.0;;2.0;;2.0;;;;0.0;;0.0;0.0;;;;;4.0;0.0;;;;;;;;;;1.0;;;;-2.0;;4.0;4.0;;4.0;;-1.0;-0.0;;;;;;-0.0;;-0.0;-0.0;;;;;;;;;4.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1.0;;-1.0;;;-1.0;15.0;;3.0;;2.0;1.0;-1.0;-0.0;;;-1.0;;;;;2.0;;;;2.0;;0.0;;-108.33;;;;;-116.67;-0.09;-0.09;15.0;;1.0;;1.0;0.0;;;1.0;;0.0;0.0;;;;;3.0;1.0;;;;;;;;;;2.0;;;;-3.0;;4.0;3.0;;3.0;;-1.0;;;;;-0.0;;0.0;;0.0;-0.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1.0;;-2.0;;;-1.0;15.0;;2.0;;1.0;1.0;-0.0;-0.0;0.0;0.0;-1.0;;;;;2.0;;;;2.0;;;-0.0;-160.0;;;;;-130.0;-0.09;-0.09;15.0;;0.0;;0.0;;;;0.0;;0.0;0.0;;;;;2.0;1.0;;;;;;;;;;1.0;;;;-4.0;;5.0;2.0;;2.0;;-1.0;-0.0;;;;0.0;;0.0;;1.0;-0.0;;;;;;;;;0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;0.0;;-2.0;;;-2.0;15.0;;2.0;;1.0;1.0;-0.0;-0.0;0.0;0.0;-1.0;;;;;1.0;;;;2.0;;;-0.0;-450.0;;;;;-375.0;-0.1;-0.1;15.0;;;;;;;;0.0;;1.0;1.0;;;;;2.0;1.0;;;;;;;;;;1.0;;;;-6.0;;7.0;2.0;;2.0;;-2.0;-0.0;;;;;;0.0;;1.0;-0.0;;;;;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;0.0;;-2.0;;;-2.0;15.0;;;;;;-1.0;;1.0;1.0;-1.0;;;;;0.0;;;;0.0;;;;-2400.0;;;;;-2400.0;-0.16;-0.16;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;;;;;0.0;;0.0;;2.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;9.0;;2.0;2.0;2.0;2.0;17.0;;27.0;0.0;19.0;7.0;8.0;-3.0;;6.0;8.0;;;7.0;;4.0;4.0;;3.0;7.0;;;;24.71;24.71;;24.71;;24.71;0.13;0.13;17.0;;12.0;;12.0;;;;;;0.0;0.0;3.0;;;;27.0;;0.0;;;;;;;0.0;;19.0;;;0.0;-8.0;;15.0;27.0;;27.0;;2.0;;;;;;;0.0;;6.0;;;;;-3.0;;;;;;;7.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;8.0;;1.0;1.0;1.0;1.0;16.0;;30.0;;21.0;9.0;5.0;-1.0;-0.0;4.0;5.0;;;8.0;;4.0;4.0;;4.0;8.0;;;0.0;17.28;14.81;;14.81;;14.81;0.08;0.08;16.0;;16.0;;16.0;;;;0.0;;;;3.0;;;;30.0;;;;;2.0;;;;;;21.0;;;0.0;-7.0;0.0;15.0;30.0;;30.0;;1.0;0.0;;;;;;;;4.0;-0.0;;;;-0.0;;;;-0.0;;;16.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;9.0;;-1.0;;;-1.0;15.0;;30.0;;23.0;7.0;-5.0;-1.0;-0.0;-6.0;-5.0;;;;;6.0;6.0;;;6.0;;;0.0;-15.19;;3.0;;;-16.27;-0.1;-0.1;15.0;;10.0;;10.0;;;;1.0;;;;;;;;30.0;;;;;;;;;;;23.0;;;0.0;-8.0;;15.0;30.0;;30.0;;-1.0;0.0;;;;-6.0;;0.0;;-3.0;-0.0;;-2.0;1.0;;;;-0.0;-0.0;;;10.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;13.0;;-3.0;;;-3.0;15.0;;30.0;;26.0;4.0;2.0;-0.0;0.0;2.0;1.0;;;;;9.0;9.0;;;9.0;;;0.0;-21.44;;6.0;;;-22.61;-0.21;-0.21;15.0;;11.0;;11.0;;;;1.0;;;;;;;;30.0;;;;;;0.0;;;;0.0;27.0;;;0.0;-11.0;;15.0;30.0;;30.0;;-3.0;0.0;;;;2.0;;1.0;;5.0;-1.0;;-1.0;1.0;-0.0;;;-0.0;-0.0;0.0;;10.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
