;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;57.0;53.0;20.0;17.0;19.0;10.0;10.0;10.0;74.0;6.0;48.0;26.0;;;;;;4.0;92.79;36.0;;35.0;;;1.0;40.0;;;1.0;34.8;30.4;2.0;33.57;9.0;17.93;1.03;1.03;10.0;;4.0;;4.0;5.0;;1.0;4.0;;1.0;1.0;;;60.0;64.0;;;;;;6.0;12.0;;1.0;31.0;43.0;;;;;25.0;-3.0;3.0;74.0;;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;70.0;65.0;30.0;25.0;29.0;15.0;10.0;19.0;95.0;8.0;58.0;37.0;;;;;;5.0;93.12;41.0;;40.0;;;1.0;45.0;;;1.0;43.27;35.1;5.0;41.98;14.0;21.63;1.52;1.52;10.0;;12.0;;12.0;6.0;;1.0;4.0;;0.0;0.0;;;72.0;76.0;;;;;;8.0;6.0;;1.0;43.0;50.0;;;;;36.0;-3.0;4.0;95.0;;95.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;75.0;70.0;36.0;31.0;35.0;21.0;10.0;21.0;96.0;7.0;46.0;49.0;;;;;;5.0;93.31;39.0;;38.0;;;1.0;44.0;;;1.0;47.93;40.96;4.0;46.85;15.0;27.44;2.06;2.06;10.0;;15.0;;15.0;5.0;;1.0;4.0;;0.0;0.0;;;70.0;75.0;;;;;;7.0;3.0;;1.0;35.0;39.0;;;;;50.0;-4.0;3.0;96.0;;96.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;66.0;62.0;32.0;26.0;31.0;19.0;10.0;26.0;104.0;7.0;41.0;64.0;;;;;;4.0;93.66;36.0;;36.0;;;1.0;41.0;;;1.0;47.73;38.67;5.0;46.53;12.0;27.95;1.86;1.86;10.0;;19.0;;19.0;6.0;;2.0;4.0;;0.0;0.0;;;74.0;79.0;;;;;;7.0;3.0;;1.0;30.0;34.0;;;;;63.0;-4.0;5.0;104.0;;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;64.0;49.0;20.0;21.0;19.0;13.0;10.0;32.0;109.0;7.0;41.0;68.0;10.0;-2.0;-6.0;;8.0;14.0;77.8;28.0;;27.0;;;1.0;42.0;;;1.0;31.34;33.7;-3.0;29.45;6.0;19.69;1.25;1.25;10.0;;14.0;;14.0;6.0;;12.0;5.0;;0.0;0.0;;;72.0;77.0;;3.0;;;;3.0;3.0;;1.0;31.0;35.0;;;;;69.0;-5.0;3.0;109.0;;109.0;;13.0;1.0;-0.0;;1.0;;;;25.0;-4.0;-2.0;;-24.0;24.0;-0.0;;0.0;;-6.0;0.0;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;65.0;51.0;32.0;21.0;31.0;20.0;10.0;39.0;131.0;8.0;47.0;84.0;20.0;-16.0;-6.0;;19.0;14.0;78.52;30.0;;28.0;;;1.0;43.0;;;1.0;49.92;32.92;10.0;48.22;12.0;30.29;1.97;1.97;10.0;;12.0;;12.0;6.0;;21.0;5.0;;0.0;0.0;;;87.0;92.0;;4.0;;;;4.0;3.0;;1.0;35.0;39.0;;;;;83.0;-6.0;7.0;131.0;;131.0;;20.0;1.0;2.0;;6.0;;;;31.0;-8.0;-1.0;;-22.0;8.0;-0.0;;;;-6.0;;;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;75.0;69.0;44.0;30.0;43.0;26.0;10.0;57.0;153.0;11.0;48.0;105.0;26.0;-21.0;-6.0;;25.0;6.0;92.63;39.0;;38.0;;;1.0;45.0;;;1.0;58.58;40.21;13.0;57.24;16.0;35.25;2.64;2.64;10.0;;11.0;;11.0;6.0;;40.0;4.0;;0.0;0.0;;;91.0;95.0;;;;;;11.0;;;1.0;36.0;37.0;;;;;103.0;-7.0;8.0;153.0;;153.0;;26.0;1.0;-0.0;;15.0;;;;46.0;-16.0;-0.0;;-63.0;43.0;;;0.0;;-6.0;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;78.0;77.0;47.0;31.0;45.0;28.0;10.0;76.0;176.0;11.0;50.0;126.0;29.0;-19.0;-6.0;;29.0;1.0;98.6;47.0;;45.0;;;2.0;48.0;;;2.0;59.82;39.03;14.0;57.27;17.0;35.33;2.78;2.78;10.0;;15.0;;15.0;6.0;;56.0;2.0;;0.0;0.0;;;97.0;100.0;;6.0;;;;5.0;3.0;;1.0;36.0;39.0;;;;;125.0;-9.0;10.0;176.0;;176.0;;28.0;2.0;-1.0;;20.0;;;;66.0;-19.0;-1.0;;-79.0;61.0;;;;;-6.0;;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;82.0;76.0;49.0;33.0;48.0;29.0;10.0;70.0;200.0;16.0;53.0;147.0;23.0;-17.0;-7.0;;17.0;6.0;92.33;43.0;;42.0;;;1.0;50.0;;;1.0;59.81;39.59;16.0;58.71;19.0;35.2;2.9;2.9;10.0;;14.0;;14.0;7.0;;48.0;9.0;;0.0;0.0;;;122.0;131.0;;9.0;;;;8.0;;;0.0;36.0;37.0;;;;;146.0;-4.0;6.0;200.0;;200.0;;29.0;1.0;-1.0;;-13.0;;;;53.0;6.0;-6.0;;-108.0;97.0;;;0.0;;-8.0;;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;79.0;71.0;40.0;30.0;38.0;23.0;10.0;139.0;265.0;48.0;92.0;173.0;27.0;15.0;-11.0;;26.0;8.0;89.51;41.0;;40.0;;;1.0;50.0;;;1.0;50.19;37.42;9.0;48.55;15.0;29.33;2.32;2.32;10.0;;45.0;;45.0;5.0;;89.0;8.0;;0.0;0.0;;;118.0;126.0;;6.0;;;;42.0;;;5.0;39.0;43.0;;;;;163.0;-5.0;16.0;265.0;;265.0;;23.0;1.0;1.0;;37.0;;;;90.0;-35.0;-1.0;;-106.0;122.0;0.0;;;;-8.0;-3.0;;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;87.0;78.0;70.0;33.0;68.0;42.0;10.0;144.0;334.0;55.0;113.0;221.0;30.0;-37.0;-6.0;;24.0;9.0;90.01;46.0;;45.0;45.0;;1.0;55.0;;;1.0;80.02;37.31;36.0;78.53;27.0;47.88;4.18;4.18;10.0;;32.0;;32.0;5.0;;107.0;12.0;;0.0;0.0;;;178.0;190.0;;8.0;;;;46.0;;;13.0;44.0;58.0;;;;;197.0;-6.0;31.0;334.0;;334.0;;42.0;1.0;4.0;;-2.0;;;;89.0;-16.0;-6.0;;-114.0;82.0;;;;;-6.0;;;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;92.0;84.0;75.0;36.0;73.0;46.0;10.0;39.0;160.0;14.0;64.0;96.0;12.0;168.0;-196.0;;9.0;8.0;91.5;48.0;;46.0;46.0;;2.0;56.0;;;2.0;81.37;39.54;37.0;79.74;28.0;49.56;4.56;4.56;10.0;;16.0;;16.0;5.0;;18.0;13.0;;;;;;108.0;122.0;;8.0;;;;6.0;;;7.0;43.0;50.0;;;;;83.0;-6.0;19.0;160.0;;160.0;;46.0;2.0;-6.0;;-64.0;;;;25.0;34.0;-3.0;;-93.0;264.0;;;;;-159.0;-37.0;;;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;94.0;87.0;59.0;39.0;58.0;35.0;10.0;46.0;208.0;12.0;71.0;137.0;20.0;3.0;-10.0;;20.0;7.0;92.63;47.0;;46.0;46.0;;2.0;54.0;;;2.0;63.35;41.99;18.0;61.65;23.0;37.61;3.53;3.53;10.0;;30.0;;30.0;4.0;;12.0;13.0;;;;;;149.0;162.0;;7.0;;;;5.0;;;15.0;44.0;59.0;;;;;108.0;-7.0;35.0;208.0;;208.0;;35.0;2.0;-0.0;;9.0;;;;34.0;-25.0;-1.0;;-57.0;61.0;0.0;;;;-10.0;;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;95.0;90.0;47.0;39.0;45.0;27.0;10.0;64.0;244.0;11.0;77.0;167.0;25.0;-3.0;-10.0;;24.0;6.0;94.02;51.0;;49.0;49.0;;2.0;56.0;;;2.0;48.79;40.82;6.0;46.9;18.0;28.54;2.72;2.72;10.0;;42.0;;42.0;4.0;;17.0;12.0;;;;;;169.0;180.0;;6.0;;;;5.0;;;22.0;44.0;66.0;;;;;126.0;-8.0;49.0;244.0;;244.0;;27.0;2.0;1.0;;19.0;;;;53.0;-24.0;-1.0;;-18.0;13.0;3.0;;;;-10.0;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;96.0;92.0;57.0;36.0;55.0;34.0;10.0;74.0;298.0;13.0;87.0;211.0;20.0;-4.0;-10.0;6.0;19.0;4.0;95.55;56.0;;53.0;53.0;;3.0;60.0;;;3.0;59.7;37.85;19.0;57.08;21.0;35.01;3.38;3.38;10.0;;48.0;;48.0;19.0;6.0;1.0;10.0;;;;;;214.0;224.0;;7.0;;;;6.0;;;33.0;42.0;75.0;;;;1.0;149.0;-9.0;70.0;298.0;;298.0;;34.0;3.0;1.0;;8.0;;;;61.0;-26.0;-0.0;-55.0;;54.0;-2.0;;;;-10.0;;;48.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;98.0;90.0;44.0;38.0;41.0;24.0;10.0;109.0;271.0;11.0;71.0;200.0;26.0;23.0;-10.0;38.0;25.0;8.0;91.81;53.0;;53.0;53.0;;;61.0;;;3.0;44.74;38.43;3.0;41.6;17.0;24.48;2.41;2.41;10.0;;86.0;15.0;102.0;5.0;;2.0;9.0;;4.0;4.0;;;149.0;162.0;;6.0;;;;5.0;;;20.0;40.0;60.0;;;;1.0;163.0;-9.0;45.0;271.0;;271.0;;24.0;3.0;-1.0;;37.0;;;;98.0;-38.0;-1.0;;-104.0;130.0;-2.0;;0.0;;-10.0;;;86.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;
