;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2011.0;29.0;;50.0;;11.0;8.0;16.0;;1486.0;;1390.0;97.0;-20.0;102.0;18.0;100.0;-20.0;;;;;16.0;16.0;;;;56.0;39.0;;172.29;;;38.28;4.0;25.9;0.48;0.48;16.0;;189.0;;189.0;5.0;;;5.0;;;;118.0;;;;1486.0;4.0;;;;;50.0;;;;50.0;1439.0;;;;-15.0;7.0;;1486.0;;1486.0;;8.0;;;;-11.0;;;;;-17.0;;;-36.0;138.0;;;9.0;;;10.0;;189.0;89.0;;1.0;1.85;0.48;-1.28;;;6.1;16.0;;;;29.0;;;8.0;32.4;25.9;;50.0;97.0;2.3;3.4;7.8;100.0;42.5;1.0
2012.0;33.0;;49.0;;8.0;4.0;16.0;;1534.0;;1441.0;93.0;-10.0;-49.0;;-60.0;-10.0;;;;;22.0;22.0;;;;61.0;41.0;;150.13;;;24.6;4.0;11.62;0.24;0.24;16.0;;129.0;;129.0;3.0;;;5.0;;;;167.0;;;;1534.0;6.0;;;;;50.0;;;;50.0;1491.0;;;;-11.0;0.0;;1534.0;;1534.0;;4.0;;;;10.0;;;;;-24.0;;;-131.0;82.0;;;;;;;;129.0;189.0;;1.0;2.08;0.24;-0.64;;;5.88;16.0;;;;33.0;;;4.0;52.7;11.6;;50.0;93.0;1.5;3.2;4.1;100.0;;1.0
2013.0;27.0;;37.0;;2.0;2.0;17.0;;1346.0;;1219.0;128.0;-85.0;122.0;8.0;45.0;-85.0;;;;;20.0;20.0;;;;58.0;34.0;0.0;136.79;;;8.95;1.0;6.31;0.11;0.11;17.0;;169.0;;169.0;8.0;;;4.0;;;;38.0;;;;1346.0;2.0;;;;;61.0;;;;61.0;1280.0;;;136.0;-9.0;0.0;0.0;1346.0;;1346.0;;2.0;0.0;1.0;0.0;-88.0;;;;-137.0;1.0;;;-27.0;149.0;;-29.0;36.0;;;;;169.0;124.0;;0.96;1.69;0.11;-5.34;;;8.03;17.0;;;;28.0;;0.0;2.0;29.6;6.3;;64.0;133.0;1.9;2.7;1.3;100.0;42.9;0.959
2014.0;27.0;;33.0;;6.0;5.0;19.0;;1283.0;;1148.0;135.0;-26.0;-8.0;6.0;-28.0;-26.0;;;;;19.0;19.0;;;;52.0;27.0;0.0;120.92;;;20.35;0.0;18.61;0.26;0.26;19.0;;129.0;;129.0;5.0;;;4.0;;;;43.0;;;;1283.0;35.0;;;;;51.0;;;;51.0;1199.0;;12.0;126.0;-3.0;0.0;0.0;1283.0;;1283.0;;5.0;0.0;0.0;0.0;-30.0;;;;27.0;-2.0;;;-31.0;23.0;;-6.0;12.0;;;;;129.0;156.0;;0.89;1.57;0.29;-1.49;;;7.85;19.0;;;;31.0;;0.0;6.0;8.6;18.6;;57.0;153.0;2.3;2.5;3.7;100.0;45.8;0.887
2015.0;27.0;;31.0;;7.0;6.0;19.0;;1243.0;;1109.0;133.0;-44.0;20.0;10.0;-14.0;-44.0;;;;;17.0;17.0;;;;49.0;23.0;0.0;112.86;;;25.56;1.0;23.24;0.25;0.25;19.0;;97.0;;97.0;5.0;;;3.0;;;;17.0;;;;1243.0;49.0;;;;;44.0;;;;44.0;1153.0;;22.0;109.0;2.0;0.0;0.0;1243.0;;1243.0;;6.0;0.0;1.0;0.0;-52.0;;;;119.0;1.0;;;;20.0;;;12.0;;-1.0;;;97.0;111.0;;0.76;1.82;0.42;-2.96;0.09;;8.98;19.0;;;;35.0;;0.0;8.0;9.1;23.2;;57.0;175.0;2.2;2.4;4.7;77.8;23.4;0.764
2016.0;30.0;;33.0;;9.0;6.0;20.0;;1271.0;;1132.0;139.0;-35.0;9.0;1.0;-25.0;-35.0;;;;;18.0;18.0;;;;52.0;23.0;1.0;110.37;;;29.63;2.0;21.35;0.24;0.24;20.0;;70.0;;70.0;5.0;;;3.0;;;;7.0;;;;1271.0;65.0;;;;;43.0;;;;43.0;1175.0;;22.0;110.0;7.0;0.0;0.0;1271.0;;1271.0;;6.0;1.0;2.0;;-44.0;;;;42.0;-1.0;;;-7.0;16.0;;;4.0;;-2.0;-1.0;;70.0;95.0;;0.75;2.0;0.43;-2.35;0.11;;9.36;20.0;;;;40.0;;1.0;8.0;28.0;21.3;;58.0;186.0;1.8;2.5;4.6;74.0;6.0;0.746
2017.0;34.0;;33.0;;11.0;15.0;21.0;;1338.0;;1177.0;162.0;60.0;5.0;-15.0;51.0;59.0;;;;;19.0;19.0;;;;56.0;22.0;0.0;98.23;;;33.6;-4.0;44.41;0.64;0.64;21.0;;124.0;;124.0;5.0;;;6.0;;;;0.0;;;;1338.0;72.0;;;;;33.0;;;;33.0;1210.0;;23.0;118.0;21.0;0.0;0.0;1338.0;;1338.0;;15.0;0.0;-4.0;;51.0;;;;16.0;-2.0;-2.0;-0.0;;7.0;;-11.0;;;-2.0;-2.0;;124.0;73.0;;0.78;2.1;0.93;3.63;0.11;0.11;10.0;21.0;;;;44.0;;1.0;19.0;-32.2;44.4;;43.0;209.0;3.3;2.5;9.3;88.7;2.9;0.776
2018.0;39.0;;42.0;;19.0;14.0;21.0;;1375.0;;1205.0;170.0;-11.0;-8.0;-3.0;-23.0;-12.0;;;;;18.0;18.0;;;;62.0;22.0;0.0;106.51;;;48.4;5.0;34.97;0.57;0.57;21.0;;99.0;;99.0;6.0;;;6.0;;;;8.0;;;;1375.0;76.0;;;;;33.0;;;;33.0;1238.0;;22.0;116.0;32.0;;0.0;1375.0;;1375.0;;14.0;0.0;5.0;;-30.0;;;;52.0;-1.0;-1.0;;-8.0;0.0;;;;;-2.0;-1.0;;99.0;122.0;;0.76;2.45;0.86;-0.75;0.14;0.05;10.58;21.0;;;;52.0;;1.0;18.0;27.7;35.0;;43.0;224.0;2.2;3.0;8.1;83.2;-19.1;0.76
2019.0;41.0;;48.0;;21.0;15.0;21.0;;1356.0;;1174.0;182.0;15.0;-0.0;-8.0;7.0;15.0;;;;;18.0;18.0;;;;67.0;26.0;1.0;116.75;;;51.6;6.0;37.46;0.65;0.65;21.0;;106.0;;106.0;5.0;;;6.0;;;;8.0;;;;1356.0;77.0;;;;;29.0;;;;29.0;1203.0;;22.0;116.0;44.0;;0.0;1356.0;;1356.0;;15.0;1.0;6.0;;-5.0;;;;-35.0;-2.0;-0.0;;;;;-8.0;;;-3.0;3.0;;106.0;99.0;;0.76;2.55;0.96;0.92;0.17;0.01;11.37;21.0;;;;54.0;;1.0;20.0;27.4;37.5;;38.0;240.0;2.5;3.5;8.4;81.8;18.8;0.76
2020.0;41.0;;45.0;;20.0;15.0;21.0;;1459.0;;1268.0;192.0;105.0;7.0;-23.0;89.0;105.0;;;;;19.0;19.0;;;;65.0;24.0;1.0;110.49;;;49.37;6.0;35.81;0.62;0.62;21.0;;193.0;;193.0;5.0;;;8.0;;;;6.0;;;;1459.0;75.0;;;;;13.0;;;;13.0;1280.0;2.0;22.0;115.0;55.0;;0.0;1459.0;;1459.0;;15.0;1.0;6.0;;85.0;;;;128.0;-2.0;-0.0;;;8.0;;-19.0;;;-3.0;-1.0;;193.0;104.0;;0.75;2.57;0.92;6.6;0.2;0.01;12.09;21.0;;;;54.0;;1.0;19.0;27.5;35.8;;17.0;255.0;2.2;3.0;7.6;77.9;3.1;0.751
