;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2006.0;4868.0;3977.0;2443.0;1397.0;1212.0;811.0;1749.0;;;;;;1971.0;-2287.0;293.0;-19.0;425.0;891.0;81.7;2580.0;;1504.0;1504.0;;1076.0;3471.0;15.0;186.0;1054.0;50.19;28.7;-185.0;24.9;391.0;16.67;0.46;0.46;1749.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;811.0;1054.0;60.0;44.0;-5.0;-148.0;15.0;212.0;;6.0;-1547.0;-680.0;;;-342.0;-448.0;13.0;-39.0;;766.0;4.0;344.0;364.0;;;2.78;0.46;0.24;;0.88;;1749.0;22.9;1.3;;4868.0;28.7;1054.0;811.0;32.2;16.7;;;;;;;100.0;6.0
2007.0;7171.0;5856.0;3642.0;2206.0;2120.0;1463.0;1749.0;1727.0;10569.0;2000.0;4869.0;5412.0;3038.0;-2235.0;-194.0;659.0;1432.0;1315.0;81.66;3650.0;;2206.0;2206.0;;1443.0;4965.0;33.0;195.0;1391.0;50.79;30.77;-86.0;29.57;594.0;20.4;0.84;0.84;1749.0;;1004.0;43.0;1046.0;401.0;59.0;220.0;5498.0;1040.0;1801.0;2840.0;6.0;;498.0;8842.0;;698.0;527.0;82.0;424.0;352.0;2240.0;;576.0;53.0;2869.0;;;;0.0;3328.0;801.0;1283.0;10280.0;288.0;10569.0;;1463.0;1391.0;33.0;171.0;-63.0;-0.0;-3.0;-158.0;;44.0;-1606.0;-301.0;;;-695.0;-473.0;40.0;-81.0;-332.0;652.0;50.0;1004.0;344.0;;;4.1;0.84;0.82;0.19;0.92;3.09;1749.0;28.2;1.6;0.8;7171.0;30.8;1391.0;1463.0;28.0;20.4;-273.0;2240.0;5412.0;19.6;21.9;27.0;77.3;26.1
2008.0;10117.0;7753.0;3205.0;2536.0;891.0;524.0;1749.0;2407.0;15725.0;3814.0;11115.0;4389.0;3422.0;-8170.0;4744.0;-89.0;1031.0;2364.0;76.63;4774.0;;2839.0;2839.0;;1936.0;7138.0;72.0;496.0;1881.0;31.68;25.07;-1645.0;8.81;304.0;5.18;0.3;0.3;1749.0;;915.0;;915.0;858.0;143.0;491.0;6426.0;3477.0;2197.0;5674.0;494.0;;726.0;13319.0;;896.0;1909.0;152.0;455.0;554.0;6533.0;29.0;644.0;94.0;7301.0;;1.0;;0.0;3272.0;-89.0;1206.0;15504.0;221.0;15725.0;;524.0;1881.0;-93.0;-122.0;-528.0;-241.0;-90.0;282.0;;1759.0;-2391.0;-4135.0;-1484.0;;-549.0;-721.0;25.0;-114.0;-587.0;6141.0;-85.0;915.0;1004.0;;;5.78;0.3;0.59;0.34;1.37;2.51;1749.0;85.5;4.0;1.3;10117.0;25.1;1881.0;524.0;34.1;5.2;-1408.0;6533.0;4389.0;7.5;8.5;11.9;-12.0;65.6
2009.0;8703.0;6714.0;3850.0;2578.0;1552.0;1122.0;1014.0;2967.0;14733.0;3414.0;9715.0;4507.0;3513.0;-1433.0;-1545.0;532.0;2621.0;1989.0;77.14;4135.0;;2390.0;2390.0;;1745.0;6125.0;52.0;599.0;1694.0;44.23;29.63;-1026.0;17.84;435.0;12.89;1.09;1.08;1013.0;;1447.0;;1447.0;739.0;62.0;719.0;5562.0;3284.0;1691.0;4976.0;437.0;;792.0;11766.0;;546.0;1813.0;213.0;433.0;622.0;5540.0;;596.0;165.0;6301.0;;;0.0;1.0;4074.0;-488.0;919.0;14222.0;511.0;14733.0;;1122.0;1694.0;-20.0;2.0;201.0;-57.0;65.0;-69.0;;513.0;-892.0;;-13.0;;-730.0;-2486.0;;;-316.0;1256.0;-2.0;1447.0;915.0;;;8.59;1.11;2.59;0.31;0.88;4.45;1013.0;11.5;0.2;2.4;8703.0;29.6;1694.0;1122.0;28.0;12.9;-448.0;5540.0;4507.0;14.4;15.2;24.9;71.9;12.0
2010.0;10513.0;8044.0;4899.0;2852.0;2327.0;1673.0;1207.0;2289.0;17710.0;3222.0;8593.0;10671.0;3670.0;-1347.0;-2864.0;-562.0;1913.0;2468.0;76.52;5192.0;;;;;5192.0;7660.0;56.0;540.0;2080.0;46.6;27.13;-526.0;22.13;606.0;15.92;1.39;1.39;1207.0;;885.0;446.0;1331.0;506.0;137.0;314.0;6935.0;7004.0;1482.0;8486.0;446.0;;-446.0;15421.0;;963.0;1162.0;234.0;117.0;979.0;1162.0;;;184.0;1347.0;6718.0;;0.0;1.0;5154.0;-561.0;6077.0;19264.0;-1553.0;17710.0;;1673.0;2080.0;-191.0;2.0;53.0;75.0;-49.0;33.0;-28.0;52.0;-1757.0;-24.0;;;111.0;-2903.0;1.0;-480.0;-578.0;1097.0;-21.0;885.0;1447.0;;;8.71;1.39;1.58;0.48;1.46;8.84;1207.0;11.8;0.6;2.9;10513.0;27.1;2080.0;1673.0;26.0;15.9;-932.0;1162.0;10671.0;13.0;14.6;15.7;65.5;55.3
2011.0;20262.0;14637.0;7502.0;2854.0;854.0;543.0;1656.0;7221.0;53389.0;10295.0;54039.0;14037.0;6106.0;-6945.0;2583.0;1440.0;-154.0;5625.0;72.24;11166.0;;;;;11166.0;16791.0;120.0;1587.0;4787.0;37.02;14.09;-2000.0;4.21;585.0;2.68;0.31;0.31;1656.0;;2325.0;;2325.0;2065.0;227.0;2604.0;15165.0;16776.0;11825.0;28601.0;388.0;;2014.0;46168.0;;3059.0;3118.0;948.0;1123.0;2995.0;1408.0;;;26784.0;28192.0;71936.0;;0.0;;;-133.0;;68076.0;-14687.0;53389.0;;543.0;4787.0;;;87.0;-176.0;-69.0;332.0;;689.0;-6260.0;-813.0;;;128.0;-6581.0;;-1.0;-1216.0;10381.0;-304.0;2325.0;885.0;;;12.24;0.33;-0.09;0.73;3.78;8.48;1656.0;38.4;2.4;5.8;20262.0;14.1;4787.0;543.0;68.5;2.7;-3074.0;1408.0;14037.0;1.5;4.0;3.9;-123.9;-790.3
2012.0;23061.0;16929.0;10086.0;4171.0;2888.0;2145.0;1619.0;9463.0;55283.0;11884.0;55360.0;14869.0;7257.0;-4008.0;-587.0;2624.0;3371.0;6132.0;73.41;12237.0;;;;;12237.0;18369.0;154.0;2029.0;5006.0;43.74;18.09;-1283.0;12.52;906.0;9.3;1.33;1.32;1618.0;;4949.0;;4949.0;;167.0;4347.0;15666.0;16964.0;10601.0;27565.0;2259.0;;330.0;45820.0;;;;866.0;;11884.0;;;;28067.0;28067.0;71543.0;;;;;-1224.0;;70229.0;-14946.0;55283.0;;2145.0;5006.0;;;481.0;;14.0;421.0;36.0;-375.0;-3886.0;-75.0;;;-47.0;-3650.0;;;;3063.0;-38.0;4949.0;2325.0;;;14.25;1.33;2.08;;2.4;9.19;1618.0;7.7;0.5;;23061.0;18.1;5006.0;2145.0;31.4;9.3;-2421.0;;14869.0;6.0;7.2;14.4;100.0;
2013.0;22546.0;16633.0;6430.0;346.0;-2024.0;-2625.0;1748.0;8491.0;49605.0;11306.0;49747.0;9733.0;6351.0;-4213.0;-2575.0;-495.0;2396.0;5913.0;73.77;13214.0;;;;;13214.0;19127.0;91.0;2150.0;4841.0;28.52;1.53;-2370.0;-8.98;2064.0;-11.64;-0.81;-0.81;1748.0;;4454.0;;4454.0;;192.0;3845.0;15493.0;14709.0;9837.0;24546.0;711.0;;364.0;41114.0;;;;720.0;;11306.0;;;;29293.0;29293.0;67734.0;;;;;-1715.0;;59480.0;-9875.0;49605.0;;-2625.0;4841.0;;;1403.0;;-44.0;-286.0;1463.0;2732.0;-3955.0;85.0;;;-343.0;-5487.0;1392.0;;-4055.0;5575.0;-58.0;4454.0;4949.0;;;12.9;-1.5;1.37;2.32;2.26;5.57;1748.0;-7.7;-0.5;20.1;22546.0;1.5;4841.0;-2625.0;-102.0;-11.6;-2815.0;;9733.0;6.7;2.7;-27.0;254.5;
2014.0;19627.0;14695.0;6419.0;2586.0;-181.0;-647.0;1749.0;9627.0;41037.0;10565.0;41042.0;5006.0;5279.0;-3977.0;1329.0;1888.0;790.0;4932.0;74.87;11043.0;;;;;11043.0;15975.0;54.0;2026.0;4318.0;32.7;13.18;-2767.0;-0.92;722.0;-3.3;-0.4;-0.4;1749.0;;6342.0;;6342.0;;117.0;3168.0;11849.0;10285.0;7717.0;18002.0;867.0;;692.0;31410.0;;;2789.0;652.0;;7776.0;;;;26501.0;26501.0;56978.0;;;;;-5752.0;;46048.0;-5011.0;41037.0;;-647.0;4318.0;;;149.0;;19.0;135.0;169.0;1459.0;-4489.0;69.0;;110.0;333.0;-15322.0;;;-71.0;16722.0;-743.0;6342.0;4454.0;;;11.22;-0.37;0.45;0.04;2.57;2.86;1749.0;-21.9;-1.2;0.5;19627.0;13.2;4318.0;-647.0;-398.9;-3.3;-938.0;;5006.0;29.5;4.6;-12.9;111.0;
2015.0;9625.0;7438.0;2461.0;524.0;-595.0;-655.0;1749.0;5383.0;18717.0;5539.0;33854.0;3765.0;2033.0;-2634.0;-1439.0;-2728.0;-174.0;2187.0;77.28;6630.0;;;;;6630.0;8817.0;52.0;829.0;2067.0;25.57;5.44;-1119.0;-6.18;220.0;-6.81;-0.4;-0.4;1749.0;;3614.0;;3614.0;;104.0;1665.0;6239.0;4223.0;2224.0;6447.0;365.0;;283.0;13334.0;;;1519.0;287.0;;4020.0;;;;8944.0;8944.0;37259.0;;;;;-6284.0;;37619.0;-18902.0;18717.0;;-655.0;2067.0;;;-342.0;;-43.0;173.0;-185.0;963.0;-2207.0;-17.0;;175.0;-585.0;-4840.0;;;-61.0;3462.0;-374.0;3614.0;6342.0;;;5.5;-0.37;-0.1;0.03;1.26;2.15;1749.0;-12.6;-0.6;0.7;9625.0;5.4;2067.0;-655.0;-37.0;-6.8;-156.0;;3765.0;1.7;1.0;-17.4;109.3;
