;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;44.0;6.0;3.0;2.0;2.0;1.0;0.0;9.0;13.0;6.0;7.0;6.0;;;;;;37.0;14.42;4.0;;4.0;;;1.0;42.0;;1.0;1.0;6.64;4.35;-0.0;3.89;1.0;1.83;3.96;3.96;0.0;;0.0;;0.0;3.0;5.0;0.0;3.0;;1.0;1.0;;;1.0;4.0;;;;;;6.0;1.0;;0.0;0.0;1.0;;;;;-5.0;-4.0;14.0;13.0;;13.0;;1.0;1.0;;;1.0;;;;4.0;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;43.0;5.0;2.0;1.0;1.0;1.0;0.0;9.0;14.0;5.0;6.0;8.0;;;;;;38.0;11.83;4.0;;3.0;;;1.0;42.0;;;1.0;3.71;3.02;-0.0;2.32;1.0;1.16;1.98;1.98;0.0;;0.0;;0.0;4.0;5.0;0.0;3.0;;1.0;1.0;;;1.0;4.0;;;;;;5.0;;;0.0;0.0;0.0;;;;;-4.0;-4.0;16.0;14.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;47.0;6.0;2.0;1.0;0.0;0.0;0.0;10.0;21.0;5.0;13.0;8.0;;;;;;42.0;12.05;4.0;;4.0;;;1.0;46.0;;1.0;1.0;3.38;2.96;-1.0;0.85;0.0;0.42;1.32;1.32;0.0;;0.0;;0.0;3.0;6.0;1.0;4.0;;1.0;1.0;;;7.0;11.0;;;;;;5.0;7.0;;0.0;0.0;8.0;;;;;-4.0;-5.0;16.0;21.0;;21.0;;0.0;1.0;;;1.0;;;;5.0;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;59.0;8.0;4.0;2.0;1.0;1.0;0.0;16.0;24.0;10.0;15.0;10.0;3.0;-1.0;-1.0;-1.0;2.0;51.0;14.19;7.0;;6.0;;;1.0;58.0;;1.0;1.0;6.25;2.87;-0.0;2.36;1.0;1.35;3.96;3.96;0.0;;1.0;;1.0;5.0;7.0;4.0;4.0;;;;;;4.0;8.0;;6.0;;;;4.0;4.0;;;1.0;5.0;;;;;-2.0;-5.0;17.0;24.0;;24.0;;1.0;1.0;;;2.0;;-1.0;;7.0;-1.0;-1.0;;;;0.0;;;;;-1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;73.0;11.0;5.0;3.0;3.0;2.0;0.0;16.0;24.0;11.0;12.0;12.0;1.0;1.0;-2.0;-2.0;-1.0;62.0;15.38;8.0;;7.0;;;1.0;70.0;;1.0;1.0;7.14;4.53;-0.0;4.12;1.0;3.02;9.24;9.24;0.0;;1.0;;1.0;5.0;8.0;2.0;4.0;;;;;;3.0;7.0;;3.0;;;;8.0;1.0;;;0.0;1.0;;;;;0.0;-6.0;18.0;24.0;;24.0;;2.0;1.0;;;-1.0;;-1.0;;6.0;-2.0;-1.0;;;;3.0;;;;;-2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;68.0;10.0;5.0;3.0;3.0;2.0;0.0;20.0;27.0;7.0;12.0;15.0;-0.0;0.0;-0.0;-0.0;-2.0;58.0;15.1;7.0;;6.0;;;1.0;65.0;;1.0;1.0;7.04;4.84;-0.0;4.4;1.0;3.23;9.24;9.24;0.0;;0.0;;0.0;8.0;8.0;3.0;5.0;;;;;;2.0;7.0;;3.0;;;;4.0;4.0;;0.0;0.0;4.0;;;;;2.0;-7.0;19.0;27.0;;27.0;;2.0;1.0;;;8.0;;-0.0;;13.0;-11.0;-1.0;;;2.0;;;1.0;;;-1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;82.0;14.0;5.0;2.0;;-1.0;0.0;21.0;48.0;11.0;34.0;14.0;3.0;-8.0;6.0;6.0;1.0;68.0;16.99;12.0;;9.0;;;3.0;81.0;;3.0;3.0;6.07;2.31;;;;-0.73;-2.64;-2.64;0.0;;1.0;;1.0;8.0;10.0;2.0;6.0;;19.0;19.0;;;2.0;27.0;;4.0;;;;7.0;16.0;;6.0;0.0;22.0;;;;;2.0;-1.0;13.0;48.0;;48.0;;-1.0;3.0;;;-3.0;;-1.0;;10.0;4.0;-2.0;;;;-6.0;;7.0;-13.0;;11.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;102.0;23.0;12.0;9.0;5.0;4.0;0.0;27.0;53.0;14.0;35.0;18.0;3.0;-2.0;-1.0;-1.0;1.0;79.0;22.44;14.0;;11.0;;;3.0;93.0;;3.0;3.0;11.42;8.37;-3.0;5.31;2.0;3.44;-49.5;-49.5;0.0;;1.0;;1.0;13.0;11.0;2.0;7.0;;17.0;17.0;;;3.0;26.0;;5.0;;;;9.0;15.0;;;6.0;21.0;;;;;5.0;-9.0;21.0;53.0;;53.0;;4.0;3.0;0.0;;3.0;;-1.0;;13.0;-7.0;-2.0;;;;;;0.0;;;-2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;165.0;34.0;21.0;17.0;14.0;8.0;0.0;48.0;94.0;23.0;42.0;52.0;-1.0;-6.0;8.0;1.0;-7.0;131.0;20.64;17.0;;12.0;12.0;;4.0;147.0;;3.0;4.0;12.81;10.56;-3.0;8.74;6.0;4.8;30.36;30.36;0.0;;2.0;;2.0;23.0;21.0;3.0;14.0;;27.0;27.0;;;4.0;46.0;;7.0;6.0;;;10.0;20.0;;;;20.0;;;;;12.0;-9.0;49.0;94.0;;94.0;;8.0;4.0;-0.0;;13.0;;-8.0;;26.0;-26.0;-7.0;;;;1.0;;20.0;-3.0;;-9.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;202.0;54.0;-2.0;-10.0;-11.0;-18.0;1.0;57.0;138.0;43.0;69.0;69.0;6.0;-31.0;16.0;16.0;-18.0;148.0;26.68;64.0;;57.0;57.0;;7.0;212.0;;2.0;7.0;-0.99;-4.75;-1.0;-5.4;7.0;-8.71;-34.32;-34.32;1.0;;4.0;;4.0;28.0;23.0;2.0;43.0;;30.0;30.0;;;8.0;81.0;;9.0;17.0;;;16.0;26.0;;;0.0;26.0;;;;;-67.0;-16.0;153.0;138.0;;138.0;;-18.0;7.0;1.0;;-11.0;;-1.0;;15.0;27.0;-24.0;;;;-6.0;;1.0;;;15.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
