;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;;;;;;;;0.0;0.0;0.0;0.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013.0;;;-2.0;-4.0;-6.0;-6.0;9.0;2.0;2.0;8.0;8.0;-5.0;-3.0;-0.0;6.0;2.0;-4.0;;;4.0;2.0;1.0;1.0;0.0;;4.0;-1.0;1.0;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.6;-0.6;9.0;;2.0;;2.0;;;0.0;0.0;;;;;;0.0;0.0;;0.0;1.0;;;7.0;;;;;;;;;0.0;-6.0;-0.0;0.0;2.0;;2.0;;-6.0;0.0;;0.0;0.0;;;0.0;-6.0;2.0;-0.0;;;;-0.0;;0.0;-0.0;;5.0;;2.0;0.0;;;;-0.6;-0.39;;0.02;-0.58;9.0;;;;;-inf;0.0;-6.0;;-inf;-6.0;;-5.0;46.5;-105.0;103.3;100.0;
2014.0;;;-20.0;-20.0;-46.0;-46.0;8.0;32.0;34.0;3.0;3.0;31.0;-16.0;-2.0;47.0;30.0;-17.0;;;20.0;13.0;8.0;5.0;3.0;;20.0;-1.0;;0.0;-inf;-inf;-25.0;-inf;;-inf;-5.75;-5.75;8.0;;31.0;;31.0;;;0.0;2.0;;;;;;0.0;2.0;;2.0;;;;1.0;;;;;;;;;0.0;-51.0;-0.0;83.0;34.0;;34.0;;-46.0;0.0;;3.0;35.0;;;1.0;29.0;-8.0;-2.0;;;;;;47.0;;;0.0;;31.0;2.0;;;;-5.75;-2.17;;0.2;3.95;8.0;-2.0;-0.1;;;-inf;0.0;-46.0;;-inf;29.0;;31.0;-65.1;-60.2;-145.6;100.0;
2015.0;3.0;3.0;-27.0;-28.0;-28.0;-28.0;13.0;31.0;33.0;3.0;3.0;29.0;-20.0;-1.0;19.0;-2.0;-21.0;;100.0;30.0;19.0;11.0;8.0;3.0;;30.0;0.0;;1.0;-1069.76;-1103.09;0.0;-1102.47;;-1102.47;-2.07;-2.07;13.0;;30.0;;30.0;;;1.0;2.0;;;;;;0.0;2.0;;2.0;;;;1.0;;;;;;;;;0.0;-79.0;-1.0;109.0;33.0;;33.0;;-28.0;1.0;;6.0;-2.0;;;1.0;27.0;3.0;-1.0;;;;;;19.0;;;0.0;;30.0;31.0;;;0.19;-2.07;-1.58;;0.08;2.2;13.0;-4.0;-0.2;;3.0;-1103.1;1.0;-28.0;;-1102.5;27.0;;29.0;-94.1;-84.3;-94.1;100.0;
2016.0;1.0;;-45.0;-46.0;-46.0;-46.0;18.0;33.0;35.0;7.0;7.0;29.0;-33.0;-1.0;36.0;1.0;-34.0;;;47.0;33.0;14.0;11.0;3.0;;47.0;0.0;;1.0;-3089.63;-3156.51;0.0;-3155.6;;-3155.6;-2.6;-2.6;18.0;;31.0;;31.0;0.0;;1.0;2.0;;;;;;0.0;2.0;;5.0;;;0.0;2.0;;;;;;;;;0.0;-125.0;-2.0;155.0;35.0;;35.0;;-46.0;1.0;;10.0;-1.0;-0.0;;2.0;26.0;3.0;-1.0;;;;;;35.0;-0.0;;1.0;;31.0;30.0;;;0.08;-2.6;-1.94;;0.06;1.62;18.0;-4.8;-0.2;;1.0;-3156.5;1.0;-46.0;;-3155.6;26.0;;29.0;-160.5;-129.9;-160.5;100.0;
2017.0;1.0;;-48.0;-49.0;-49.0;-49.0;21.0;14.0;15.0;4.0;4.0;12.0;-34.0;-1.0;17.0;-18.0;-35.0;;;51.0;33.0;17.0;12.0;5.0;;51.0;0.0;;1.0;-4165.21;-4279.67;0.0;-4278.73;;-4278.73;-2.31;-2.31;21.0;;13.0;;13.0;;;1.0;1.0;;;;;;0.0;2.0;;2.0;;;;2.0;;;;;;;;;0.0;-174.0;-3.0;189.0;15.0;;15.0;;-49.0;1.0;;16.0;-16.0;0.0;;-3.0;10.0;14.0;-1.0;;;;0.0;;15.0;;;2.0;;13.0;31.0;;;0.05;-2.31;-1.65;;0.04;0.55;21.0;-6.2;-0.3;;1.0;-4279.7;1.0;-49.0;;-4278.7;10.0;;12.0;-419.9;-320.5;-419.9;100.0;
2018.0;1.0;;-50.0;-51.0;-51.0;-51.0;25.0;21.0;22.0;4.0;4.0;18.0;-33.0;-1.0;41.0;7.0;-33.0;;;51.0;33.0;19.0;12.0;6.0;;51.0;0.0;;1.0;-9670.39;-9892.61;0.0;-9875.26;;-9875.26;-1.99;-1.99;25.0;;20.0;;20.0;0.0;;1.0;1.0;;;;;;0.0;1.0;;2.0;;;;2.0;;;;;;;;;0.0;-225.0;-4.0;248.0;22.0;;22.0;;-51.0;1.0;;17.0;7.0;-0.0;;-0.0;17.0;-6.0;-1.0;;;;;;39.0;;;2.0;;20.0;13.0;;;0.02;-1.99;-1.31;;0.03;0.72;25.0;-7.4;-0.3;;1.0;-9892.6;1.0;-51.0;;-9875.3;17.0;;18.0;-276.7;-231.0;-276.7;100.0;
2019.0;0.0;;-38.0;-39.0;-38.0;-38.0;30.0;22.0;25.0;4.0;6.0;19.0;-27.0;-0.0;28.0;2.0;-27.0;;;39.0;23.0;16.0;10.0;5.0;;39.0;0.0;;1.0;-18795.49;-19390.09;0.0;-19185.83;;-19185.83;-1.27;-1.27;30.0;;22.0;;22.0;0.0;;0.0;3.0;;;;;;0.0;3.0;;2.0;1.0;;0.0;2.0;;;;1.0;1.0;;2.0;;0.0;-263.0;-4.0;286.0;25.0;;25.0;;-38.0;1.0;;11.0;1.0;-0.0;;-0.0;18.0;-0.0;-0.0;;;;;;28.0;-0.0;;1.0;;22.0;20.0;;;0.01;-1.27;-0.89;;0.01;0.63;30.0;-3.6;-0.2;;0.0;-19390.1;1.0;-38.0;;-19185.8;18.0;;19.0;-188.1;-154.3;-202.0;100.0;
2020.0;0.0;0.0;-31.0;-32.0;-32.0;-32.0;42.0;51.0;53.0;4.0;4.0;49.0;-25.0;-0.0;54.0;29.0;-25.0;0.0;61.34;32.0;17.0;15.0;9.0;6.0;;32.0;0.0;;0.0;-9615.33;-9744.67;0.0;-9724.17;;-9724.17;-0.76;-0.76;42.0;;51.0;;51.0;0.0;;1.0;2.0;;;;;;0.0;2.0;;1.0;1.0;;0.0;2.0;;;;1.0;1.0;;1.0;;0.0;-295.0;;344.0;53.0;;53.0;;-32.0;0.0;;8.0;30.0;-0.0;;-1.0;48.0;-31.0;-0.0;;;;;;54.0;;;0.0;;51.0;22.0;;;0.01;-0.76;-0.6;;0.0;1.18;42.0;-3.2;-0.1;;0.0;-9744.7;0.0;-32.0;;-9724.2;48.0;;49.0;-64.1;-59.9;-64.9;100.0;
2021.0;1.0;1.0;-41.0;-41.0;-41.0;-41.0;42.0;50.0;51.0;4.0;4.0;47.0;-29.0;-0.0;27.0;-2.0;-29.0;;100.0;38.0;21.0;18.0;9.0;9.0;;38.0;0.0;;0.0;-5439.93;-5474.78;0.0;-5474.06;;-5474.06;-0.99;-0.99;42.0;;49.0;;49.0;0.0;;1.0;1.0;;;;;;0.0;1.0;;1.0;1.0;;0.0;2.0;0.0;;;;0.0;;1.0;;0.0;-336.0;;383.0;51.0;;51.0;;-41.0;0.0;;12.0;-2.0;-0.0;;0.0;46.0;3.0;-0.0;;;;;;0.0;;;27.0;;49.0;51.0;;;0.02;-0.99;-0.7;;0.01;1.13;42.0;-3.0;-0.1;;1.0;-5474.8;0.0;-41.0;;-5474.1;46.0;0.0;47.0;-88.1;-80.6;-88.2;100.0;
