;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;57.0;33.0;20.0;18.0;19.0;9.0;15.0;31.0;33.0;4.0;4.0;29.0;;;;;;24.0;57.59;15.0;;15.0;;;0.0;40.0;;;0.0;34.03;31.06;2.0;33.86;10.0;16.4;0.63;0.63;15.0;;15.0;;15.0;12.0;3.0;1.0;2.0;;;;;;0.0;2.0;;;;;;4.0;;;;;;;;;;27.0;-1.0;2.0;33.0;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;69.0;40.0;23.0;21.0;23.0;12.0;15.0;36.0;39.0;6.0;6.0;33.0;;;;;;29.0;57.93;19.0;;19.0;;;0.0;48.0;;;0.0;33.0;30.84;1.0;32.71;11.0;16.71;0.77;0.77;15.0;;19.0;;19.0;14.0;3.0;1.0;2.0;;;;;;0.0;2.0;;;;;;6.0;;;0.0;-0.0;0.0;;;;;31.0;-1.0;3.0;39.0;;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;71.0;41.0;21.0;20.0;21.0;11.0;15.0;37.0;39.0;6.0;6.0;33.0;;;;;;30.0;57.83;21.0;;21.0;;;0.0;51.0;;;0.0;29.48;27.93;1.0;29.2;10.0;15.51;0.73;0.73;15.0;;18.0;;18.0;15.0;3.0;1.0;2.0;;;;;;0.0;2.0;;;;;;6.0;;;0.0;;0.0;;;;;31.0;-1.0;3.0;39.0;;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;80.0;46.0;26.0;24.0;25.0;16.0;15.0;41.0;43.0;7.0;7.0;37.0;;;;;;34.0;57.88;22.0;;22.0;;;0.0;56.0;;;0.0;32.0;30.25;1.0;31.75;10.0;19.38;1.03;1.03;15.0;;22.0;;22.0;14.0;4.0;1.0;2.0;;;;;;0.0;3.0;;;;;;7.0;;;0.0;;0.0;;;;;34.0;-1.0;4.0;43.0;;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;84.0;48.0;26.0;24.0;26.0;16.0;15.0;41.0;45.0;7.0;7.0;38.0;;;;;;36.0;57.21;24.0;;24.0;;;0.0;60.0;;;0.0;31.47;28.49;2.0;30.99;10.0;18.83;1.04;1.04;15.0;;22.0;;22.0;14.0;3.0;1.0;3.0;;;;;;0.0;3.0;;;;;;7.0;;;0.0;;;;;;;36.0;-2.0;4.0;45.0;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;91.0;51.0;26.0;23.0;25.0;16.0;15.0;43.0;47.0;8.0;8.0;39.0;15.0;-0.0;-15.0;;14.0;40.0;56.04;28.0;;27.0;;;1.0;68.0;;;1.0;28.24;25.49;2.0;27.69;10.0;17.03;1.03;1.03;15.0;;22.0;;22.0;16.0;4.0;2.0;3.0;;;;;;1.0;4.0;;4.0;;;;4.0;;;0.0;;0.0;;;;;36.0;-2.0;5.0;47.0;;47.0;;16.0;1.0;;;-2.0;;-0.0;;37.0;;-0.0;;;;0.0;;;;-15.0;;0.0;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;90.0;50.0;26.0;24.0;25.0;15.0;15.0;44.0;48.0;7.0;7.0;41.0;17.0;-17.0;-13.0;;16.0;39.0;56.12;27.0;;26.0;;;1.0;66.0;;;1.0;28.51;26.28;2.0;27.95;10.0;17.04;1.01;1.01;15.0;;9.0;;9.0;13.0;4.0;17.0;3.0;;;;;;1.0;4.0;;4.0;;;;3.0;;;0.0;0.0;0.0;;;;;38.0;-2.0;5.0;48.0;;48.0;;15.0;1.0;;;-4.0;;-1.0;;33.0;5.0;-1.0;;-16.0;;0.0;;;;-13.0;;-0.0;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;100.0;58.0;30.0;28.0;30.0;18.0;15.0;41.0;54.0;8.0;8.0;45.0;17.0;-5.0;-14.0;;16.0;42.0;58.4;30.0;;30.0;;;1.0;72.0;;;1.0;30.1;28.3;1.0;29.5;11.0;18.1;1.19;1.19;15.0;;7.0;;7.0;16.0;5.0;14.0;3.0;;;;;;9.0;12.0;;4.0;;;;4.0;;;0.0;;0.0;;;;;40.0;-2.0;8.0;54.0;;54.0;;18.0;1.0;;;0.0;;-0.0;;34.0;-2.0;-1.0;;;4.0;-8.0;;2.0;;-16.0;;1.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;109.0;65.0;32.0;33.0;32.0;19.0;15.0;43.0;59.0;10.0;13.0;46.0;22.0;-0.0;-17.0;;21.0;44.0;59.54;32.0;;31.0;;;1.0;76.0;;;1.0;29.63;30.37;-1.0;29.08;12.0;17.71;1.26;1.26;15.0;;11.0;;11.0;14.0;6.0;13.0;3.0;;;;;;13.0;16.0;;4.0;;;;6.0;3.0;;;1.0;3.0;;;;;41.0;-2.0;7.0;59.0;;59.0;;19.0;1.0;-0.0;;4.0;;-1.0;;37.0;-2.0;-1.0;;;1.0;1.0;;1.0;;-18.0;-0.0;-1.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;112.0;66.0;21.0;32.0;21.0;13.0;15.0;46.0;55.0;8.0;13.0;42.0;10.0;9.0;-18.0;;10.0;46.0;58.82;34.0;;33.0;;;1.0;80.0;;;1.0;18.98;28.88;-12.0;18.27;8.0;11.32;0.83;0.83;15.0;;14.0;;14.0;15.0;6.0;11.0;3.0;;;;;;6.0;9.0;;4.0;;;;4.0;4.0;;;1.0;5.0;;;;;36.0;-3.0;8.0;55.0;;55.0;;13.0;1.0;;;1.0;;-1.0;;39.0;-4.0;-1.0;;;10.0;0.0;;1.0;;-18.0;-1.0;1.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
