;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;112.0;40.0;10.0;8.0;9.0;5.0;21.0;39.0;45.0;9.0;12.0;33.0;;;;;;72.0;35.78;32.0;;31.0;;;1.0;103.0;;0.0;1.0;9.15;7.44;1.0;8.07;4.0;4.3;0.22;0.22;21.0;;9.0;;9.0;16.0;14.0;-0.0;5.0;;;;;;0.0;6.0;;;;;;9.0;;;3.0;1.0;3.0;;;;;48.0;-5.0;;45.0;;45.0;;5.0;1.0;;;;;;;31.0;-6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;107.0;38.0;9.0;7.0;8.0;4.0;21.0;38.0;44.0;7.0;11.0;33.0;;;;;;68.0;35.99;31.0;;30.0;;;1.0;99.0;;0.0;1.0;8.43;6.84;1.0;7.31;4.0;4.03;0.2;0.2;21.0;;9.0;;9.0;16.0;13.0;;5.0;;;;;;0.0;5.0;;;;;;7.0;;;3.0;1.0;4.0;;;;;51.0;-5.0;;44.0;;44.0;;4.0;1.0;;;5.0;;;;36.0;-10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;118.0;41.0;9.0;7.0;8.0;5.0;20.0;46.0;51.0;10.0;15.0;37.0;;;;;;77.0;35.03;34.0;;33.0;;;1.0;111.0;;;1.0;7.46;6.02;1.0;6.62;3.0;3.9;0.23;0.23;20.0;;7.0;;7.0;19.0;20.0;0.0;4.0;;;;;;1.0;5.0;;;;;;10.0;;;3.0;1.0;4.0;;;;;34.0;-6.0;8.0;51.0;;51.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;126.0;43.0;10.0;8.0;8.0;5.0;20.0;47.0;52.0;10.0;12.0;40.0;;;;;;83.0;33.97;35.0;;34.0;;;1.0;119.0;;0.0;1.0;7.68;6.02;1.0;6.41;3.0;4.04;0.26;0.26;20.0;;9.0;;9.0;20.0;18.0;;4.0;;;;;;1.0;5.0;;;;;;10.0;;;1.0;2.0;2.0;;;;;37.0;-6.0;8.0;52.0;;52.0;;5.0;1.0;;;1.0;;;;37.0;-7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;139.0;50.0;11.0;10.0;10.0;6.0;19.0;56.0;62.0;14.0;17.0;45.0;;;;;;89.0;36.0;40.0;;39.0;;;1.0;129.0;;;1.0;8.06;6.98;1.0;7.42;4.0;4.61;0.33;0.33;19.0;;7.0;;7.0;23.0;25.0;1.0;4.0;;;;;;2.0;6.0;;;;;;14.0;;;1.0;2.0;3.0;;;;;43.0;-6.0;8.0;62.0;;62.0;;6.0;1.0;;;5.0;;;;42.0;-12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;149.0;52.0;12.0;10.0;11.0;7.0;19.0;57.0;63.0;10.0;13.0;50.0;;;;;;96.0;35.22;42.0;;41.0;;;1.0;138.0;;0.0;1.0;7.95;6.8;0.0;7.07;4.0;4.38;0.34;0.34;19.0;;9.0;;9.0;20.0;27.0;1.0;4.0;;;;;;3.0;7.0;;;;;;10.0;;;1.0;2.0;3.0;;;;;47.0;-5.0;9.0;63.0;;63.0;;7.0;1.0;;;5.0;;;;47.0;-13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;141.0;49.0;10.0;7.0;8.0;5.0;19.0;65.0;72.0;15.0;19.0;53.0;15.0;-7.0;-2.0;;14.0;92.0;34.71;42.0;;40.0;;;1.0;134.0;;;1.0;6.81;5.25;1.0;5.96;3.0;3.62;0.26;0.26;19.0;;14.0;;14.0;21.0;23.0;7.0;4.0;;;;;;3.0;7.0;;10.0;;;;5.0;;;1.0;3.0;4.0;;;;;50.0;-5.0;9.0;72.0;;72.0;;5.0;1.0;-1.0;;3.0;;4.0;;50.0;6.0;-1.0;;-16.0;10.0;-0.0;;;-1.0;-1.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;140.0;50.0;12.0;10.0;11.0;7.0;19.0;63.0;72.0;11.0;14.0;58.0;10.0;-13.0;-2.0;;8.0;89.0;36.06;40.0;;39.0;;;1.0;130.0;;;1.0;8.46;7.1;1.0;7.53;4.0;4.73;0.34;0.34;19.0;;9.0;;9.0;20.0;17.0;17.0;5.0;;;;;;4.0;9.0;;6.0;;;;6.0;;;;3.0;3.0;;;;;54.0;-5.0;8.0;72.0;;72.0;;7.0;1.0;-1.0;;2.0;;6.0;;52.0;1.0;-3.0;;-22.0;11.0;-0.0;;0.0;-0.0;-1.0;-0.0;;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;122.0;41.0;10.0;7.0;8.0;6.0;19.0;65.0;75.0;9.0;13.0;62.0;4.0;-3.0;-1.0;;2.0;82.0;33.17;33.0;;32.0;;;1.0;115.0;;;1.0;8.03;5.81;1.0;6.31;3.0;4.75;0.3;0.3;19.0;;9.0;;9.0;20.0;17.0;19.0;5.0;;;;;;5.0;10.0;;6.0;;;;3.0;;;;4.0;4.0;;;;;59.0;-4.0;8.0;75.0;;75.0;;6.0;1.0;0.0;;4.0;;-1.0;;56.0;-7.0;-2.0;;-40.0;39.0;-0.0;;0.0;;-2.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;115.0;40.0;11.0;9.0;10.0;6.0;19.0;63.0;73.0;10.0;13.0;59.0;17.0;-13.0;-9.0;;16.0;75.0;34.52;30.0;;29.0;;;1.0;105.0;;;1.0;9.85;8.2;1.0;8.81;4.0;5.41;0.33;0.33;19.0;;4.0;;4.0;18.0;11.0;31.0;5.0;;;;;;6.0;10.0;;5.0;;;;4.0;;;;4.0;4.0;;;;;56.0;-5.0;8.0;73.0;;73.0;;6.0;1.0;-0.0;;-3.0;;6.0;;53.0;13.0;-1.0;;-66.0;53.0;0.0;;1.0;-8.0;-2.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
