;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;3140.0;;32.0;;;32.0;198.0;;;;;;;;;;;;;;;;;;;;;;;1.01;;;;;1.01;0.16;0.16;198.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;1859.0;;-249.0;;;-249.0;204.0;;;;;;;;;;;;;;;;;;;;;;;-13.41;;;;;-13.41;-1.22;-1.22;204.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;1780.0;;90.0;;;90.0;210.0;;;;;;;;;;;;;;;;;;;;;;;5.07;;;;;5.07;0.43;0.43;210.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;1673.0;;98.0;;;98.0;233.0;;;;;;;;;;;;;;;;;;;;;;;5.86;;;;;5.86;0.42;0.42;233.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1717.0;;53.0;;;53.0;224.0;;;;;;;;;;;;;;;;;;;;;;;3.06;;;;;3.06;0.2;0.2;224.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;1822.0;;77.0;;;77.0;242.0;;;;;;;;;;;;;;;;;;;;;;;4.23;;;;;4.23;0.27;0.27;242.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;2105.0;;110.0;;;110.0;246.0;;;;;;;;;;;;;;;;;;;;;;;5.23;;;;;5.23;0.4;0.4;246.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;2448.0;;138.0;;;138.0;269.0;;;;;;;;;;;;;;;;;;;;;;;5.65;;;;;5.65;0.46;0.46;269.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;2438.0;;232.0;;;232.0;306.0;;;;;;;;;;;;;;;;;;;;;;;9.51;;;;;9.51;0.72;0.72;306.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1751.0;;328.0;306.0;247.0;247.0;205.0;1457.0;5226.0;1474.0;3721.0;1506.0;368.0;-427.0;31.0;-28.0;-101.0;;;1445.0;;257.0;257.0;;1188.0;1445.0;;;;18.75;17.49;-60.0;14.08;82.0;14.09;1.16;1.16;205.0;;36.0;;36.0;452.0;112.0;856.0;3124.0;;;;;;645.0;3769.0;;223.0;890.0;;;361.0;1308.0;;663.0;276.0;2247.0;;;;104.0;717.0;-1187.0;1872.0;5226.0;;5226.0;;247.0;;26.0;;-131.0;;10.0;;-17.0;226.0;-468.0;-57.0;-3.0;81.0;21.0;;26.0;-413.0;-113.0;531.0;;36.0;64.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;2856.0;;1420.0;587.0;401.0;1318.0;306.0;1344.0;10495.0;2050.0;7308.0;3187.0;829.0;585.0;-1359.0;54.0;1.0;;;2269.0;;527.0;527.0;;1742.0;2269.0;;;;49.73;20.56;-186.0;14.06;102.0;46.16;6.38;6.24;296.0;;90.0;;90.0;677.0;189.0;387.0;8015.0;;;;;;1136.0;9151.0;;472.0;320.0;;;1258.0;2874.0;;1568.0;816.0;5258.0;;;;105.0;1916.0;-1464.0;2630.0;10495.0;;10495.0;;1318.0;;125.0;;-689.0;;12.0;;-706.0;74.0;-828.0;-859.0;-50.0;125.0;2196.0;;78.0;-4.0;-119.0;-1315.0;;90.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3531.0;;545.0;840.0;545.0;362.0;329.0;1890.0;12419.0;2199.0;8998.0;3421.0;710.0;-1420.0;734.0;25.0;-109.0;;;2691.0;;627.0;627.0;;2064.0;2691.0;;;;15.45;23.79;-295.0;15.45;183.0;10.26;1.08;1.07;324.0;;115.0;;115.0;1071.0;205.0;500.0;9386.0;;;;;;1142.0;10529.0;;683.0;329.0;;;1187.0;4377.0;;1627.0;796.0;6799.0;;;;160.0;2120.0;-1826.0;2967.0;12419.0;;12419.0;;362.0;;72.0;;397.0;;-16.0;;-309.0;-121.0;-819.0;-366.0;-77.0;;-158.0;;54.0;-34.0;-158.0;872.0;;115.0;90.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;4410.0;;449.0;959.0;529.0;271.0;327.0;2256.0;13879.0;3027.0;10190.0;3689.0;920.0;-1271.0;317.0;-34.0;-243.0;;;3451.0;;831.0;831.0;;2620.0;3451.0;;;;10.19;21.74;-430.0;11.99;178.0;6.15;0.81;0.8;323.0;;81.0;;81.0;1331.0;301.0;543.0;10056.0;;;435.0;;;1132.0;11623.0;;886.0;734.0;;;1407.0;4565.0;;1719.0;996.0;7280.0;;;;325.0;2209.0;-2229.0;3383.0;13879.0;;13879.0;;271.0;;82.0;;-462.0;;-74.0;;-772.0;1029.0;-1162.0;-87.0;-134.0;;113.0;;63.0;;-182.0;436.0;;81.0;115.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;7658.0;;238.0;921.0;257.0;128.0;430.0;3532.0;18647.0;4439.0;13882.0;4766.0;613.0;-2040.0;1809.0;381.0;-1096.0;;;6737.0;;1205.0;1205.0;;5532.0;6737.0;;;;3.11;12.03;-664.0;3.36;110.0;1.66;0.28;0.28;430.0;;503.0;;503.0;1725.0;498.0;807.0;12605.0;;;584.0;;;1927.0;15115.0;;1158.0;1443.0;;;1838.0;6366.0;;2061.0;1524.0;9951.0;;;;432.0;2850.0;-3621.0;5105.0;18647.0;;18647.0;;128.0;;43.0;;-136.0;;-62.0;;-907.0;578.0;-1708.0;-10.0;-470.0;;148.0;;78.0;;-261.0;1992.0;;503.0;122.0;;;;;;;;;;;;;;;;;;;;;;;;;;
