;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;545.0;545.0;49.0;111.0;75.0;45.0;40.0;67.0;203.0;44.0;203.0;162.0;-12.0;-0.0;12.0;;-12.0;;100.0;37.0;;37.0;37.0;;;37.0;;-26.0;0.0;9.06;20.29;-35.0;13.85;30.0;8.27;1.12;1.12;40.0;;17.0;203.0;220.0;22.0;6.0;-181.0;99.0;373.0;;373.0;;;-337.0;136.0;;9.0;;;11.0;24.0;;;;;;159.0;;;0.0;;-0.0;162.0;365.0;-162.0;203.0;;45.0;0.0;;;20.0;-15.0;0.0;;23.0;-77.0;;;;;-0.0;;0.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;674.0;184.0;80.0;135.0;109.0;64.0;82.0;100.0;267.0;65.0;267.0;233.0;-3.0;0.0;3.0;;-3.0;491.0;27.23;48.0;;48.0;48.0;;;539.0;;-26.0;;11.93;20.06;-26.0;16.2;43.0;9.43;0.78;0.78;82.0;;31.0;267.0;298.0;29.0;10.0;-237.0;120.0;499.0;12.0;511.0;;;-464.0;167.0;;16.0;;;11.0;38.0;;;;;;202.0;;;0.0;;0.0;233.0;500.0;-233.0;267.0;;64.0;;;;12.0;-3.0;;;35.0;-78.0;;;;;0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;840.0;226.0;85.0;159.0;115.0;68.0;82.0;146.0;887.0;81.0;897.0;309.0;-3.0;0.0;3.0;;-3.0;614.0;26.9;66.0;;66.0;66.0;;;680.0;;-27.0;;10.11;18.96;-44.0;13.7;44.0;8.08;0.82;0.82;82.0;;58.0;;58.0;36.0;18.0;33.0;144.0;586.0;11.0;597.0;;;;741.0;;21.0;;;11.0;49.0;;;;;;816.0;;;0.0;;1.0;307.0;1206.0;-319.0;887.0;;68.0;;;;29.0;-3.0;;;65.0;-100.0;;;;;0.0;;3.0;;;;;;;;;10.19;0.82;-0.04;;;3.75;82.0;;;;840.0;19.0;;68.0;38.3;8.1;65.0;;309.0;4.7;7.0;22.0;100.0;99.7
2006.0;983.0;271.0;144.0;193.0;168.0;109.0;83.0;153.0;961.0;95.0;972.0;430.0;-6.0;;6.0;;-6.0;713.0;27.52;78.0;;78.0;78.0;;;791.0;;-24.0;;14.65;19.58;-24.0;17.11;60.0;11.05;1.31;1.31;83.0;;45.0;;45.0;44.0;21.0;42.0;166.0;626.0;16.0;642.0;;;;808.0;;23.0;;;15.0;57.0;;;;;;877.0;;;0.0;;1.0;430.0;1402.0;-441.0;961.0;;109.0;;;;-6.0;-6.0;;;58.0;-108.0;;;;;;;6.0;;;;;;;;;11.82;1.31;-0.07;;;5.17;83.0;;;;983.0;19.6;;109.0;35.4;11.0;58.0;;430.0;7.1;10.3;25.2;100.0;100.0
2007.0;1156.0;321.0;167.0;233.0;203.0;121.0;84.0;217.0;1275.0;116.0;1287.0;568.0;-8.0;;8.0;;-8.0;835.0;27.8;87.0;;87.0;87.0;;;922.0;;-33.0;;14.42;20.17;-30.0;17.59;79.0;10.47;1.44;1.44;84.0;;111.0;;111.0;43.0;26.0;38.0;214.0;822.0;22.0;844.0;;;;1058.0;;28.0;;;14.0;74.0;;;;;;1170.0;;;0.0;;-3.0;572.0;1855.0;-580.0;1275.0;;121.0;;;;42.0;-8.0;;;101.0;-171.0;;;;;;;8.0;;;;;;;;;13.78;1.44;-0.1;;;6.78;84.0;;;;1156.0;20.2;;121.0;38.7;10.5;101.0;;568.0;5.9;9.0;21.3;100.0;100.0
2008.0;1277.0;343.0;187.0;252.0;223.0;133.0;84.0;199.0;1420.0;123.0;1449.0;711.0;-4.0;;4.0;;-4.0;935.0;26.82;91.0;;91.0;91.0;;;1026.0;;-32.0;;14.66;19.7;-28.0;17.47;86.0;10.41;1.57;1.57;84.0;;89.0;;89.0;43.0;27.0;40.0;263.0;922.0;36.0;958.0;;;;1221.0;;26.0;;;16.0;81.0;;;;;;1326.0;;;0.0;;-6.0;717.0;2160.0;-740.0;1420.0;;133.0;;;;-25.0;-4.0;;;76.0;-112.0;;;;;;;4.0;;;;;;;;;15.13;1.57;-0.04;;;8.42;84.0;;;;1277.0;19.7;;133.0;38.6;10.4;76.0;;711.0;5.6;8.7;18.7;100.0;100.0
2009.0;1315.0;343.0;198.0;242.0;220.0;136.0;85.0;278.0;1598.0;122.0;736.0;875.0;-15.0;;15.0;;-15.0;972.0;26.09;97.0;;97.0;97.0;;;1069.0;;-22.0;;15.04;18.37;-21.0;16.75;85.0;10.31;1.59;1.59;85.0;;145.0;;145.0;;32.0;101.0;289.0;986.0;44.0;1030.0;;;;1319.0;;28.0;;;18.0;76.0;;;;;;614.0;;;0.0;;-0.0;875.0;1611.0;-14.0;1598.0;;136.0;;;;80.0;-15.0;;;156.0;-231.0;;;;;;;15.0;;;;;;;;;15.45;1.59;-0.18;;;10.29;85.0;;;;1315.0;18.4;;136.0;38.4;10.3;156.0;;875.0;8.2;12.3;15.5;100.0;100.0
2010.0;1381.0;331.0;192.0;207.0;192.0;114.0;89.0;246.0;1717.0;142.0;751.0;999.0;-6.0;;6.0;;-6.0;1050.0;23.97;124.0;;124.0;124.0;;;1174.0;;;;13.92;15.0;-15.0;13.92;78.0;8.26;1.29;1.28;88.0;;97.0;;97.0;49.0;41.0;59.0;332.0;1092.0;47.0;1139.0;;;;1471.0;;32.0;;;19.0;91.0;28.0;;;;28.0;637.0;;;;;1.0;998.0;1750.0;-32.0;1717.0;;114.0;;;;-51.0;-6.0;;;105.0;-69.0;;;;;;;6.0;;;;;;;;;15.63;1.29;-0.06;;;11.3;88.0;;;;1381.0;15.0;;114.0;40.6;8.3;105.0;28.0;999.0;7.1;11.0;11.4;100.0;100.0
2011.0;1485.0;338.0;176.0;196.0;176.0;100.0;89.0;237.0;1938.0;157.0;870.0;1108.0;-4.0;;4.0;;-4.0;1147.0;22.79;121.0;;121.0;121.0;;;1268.0;;;;11.84;13.17;-20.0;11.84;76.0;6.72;1.13;1.12;88.0;;64.0;;64.0;58.0;49.0;67.0;371.0;1238.0;92.0;1330.0;;;;1701.0;;38.0;;;26.0;93.0;33.0;;;;33.0;746.0;;;0.0;746.0;0.0;362.0;1978.0;-41.0;1938.0;;100.0;;;;-25.0;-4.0;;;80.0;-79.0;;;;;;;4.0;;;;;;;;;16.8;1.13;-0.05;;;12.53;88.0;;;;1485.0;13.2;;100.0;43.2;6.7;80.0;33.0;1108.0;5.5;8.9;9.0;100.0;100.0
2012.0;1700.0;375.0;172.0;93.0;83.0;46.0;89.0;244.0;2092.0;185.0;908.0;1184.0;237.0;-219.0;-14.0;5.0;160.0;1325.0;22.06;157.0;;157.0;157.0;;;1482.0;;17.0;78.0;10.12;5.47;-10.0;4.86;32.0;2.68;0.52;0.51;88.0;;68.0;;68.0;56.0;51.0;68.0;403.0;1291.0;95.0;1386.0;6.0;23.0;30.0;1848.0;;39.0;39.0;;11.0;96.0;592.0;0.0;76.0;37.0;705.0;1428.0;;;0.0;791.0;2.0;390.0;2092.0;;2092.0;;46.0;78.0;33.0;14.0;-22.0;-2.0;;4.0;58.0;89.0;-77.0;-135.0;;;-8.0;-0.0;10.0;-68.0;;46.0;0.0;68.0;64.0;;;19.38;0.52;1.83;;0.88;13.5;88.0;;;;1700.0;5.5;78.0;46.0;38.6;2.7;58.0;592.0;1184.0;3.0;4.5;3.8;100.0;36.7
