;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;98.0;;51.0;;;41.0;24.0;;523.0;15.0;235.0;;50.0;-1.0;-59.0;-10.0;48.0;;;77.0;;5.0;5.0;;71.0;77.0;;;10.0;51.72;;;;;41.24;1.69;1.69;24.0;;19.0;;19.0;;;;240.0;;;;;;;;523.0;9.0;;;;6.0;208.0;;;0.0;208.0;428.0;;;;;;;536.0;-13.0;523.0;;41.0;10.0;;;;;;;-15.0;-1.0;-2.0;;;1.0;0.0;-28.0;;;-44.0;13.0;;19.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;85.0;;46.0;;;38.0;25.0;;813.0;28.0;306.0;511.0;52.0;-72.0;7.0;-13.0;-133.0;;;63.0;;7.0;7.0;;57.0;63.0;;;7.0;53.75;;;;;45.08;1.55;1.55;25.0;;6.0;;6.0;;;;453.0;;;;;;;;813.0;7.0;;;;21.0;271.0;;;-0.0;271.0;549.0;;;518.0;-3.0;;;817.0;-4.0;813.0;;38.0;7.0;;;-13.0;;;;-28.0;19.0;-184.0;;-0.0;22.0;-4.0;-108.0;7.0;;-31.0;139.0;;6.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;89.0;;45.0;;;34.0;26.0;;856.0;27.0;350.0;509.0;48.0;-55.0;3.0;-3.0;-77.0;;;73.0;;8.0;8.0;;65.0;73.0;;;11.0;51.11;;;;;38.46;1.33;1.33;26.0;;2.0;;2.0;;;;501.0;;;;;;;;856.0;7.0;;;;20.0;317.0;;;-0.0;317.0;640.0;;;526.0;-12.0;;;859.0;-3.0;856.0;;34.0;11.0;;;1.0;-4.0;;;-27.0;2.0;-125.0;;-4.0;10.0;-0.0;-24.0;1.0;-1.0;;28.0;0.0;2.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;120.0;;17.0;;-5.0;-9.0;30.0;376.0;904.0;52.0;341.0;563.0;58.0;41.0;-91.0;8.0;13.0;;;113.0;;16.0;16.0;;96.0;113.0;;;22.0;14.18;;-13.0;-4.25;4.0;-7.72;-0.31;-0.31;30.0;;10.0;;10.0;8.0;;358.0;434.0;;;94.0;;;;528.0;;-3.0;;;;55.0;305.0;;;-15.0;290.0;;;;645.0;-74.0;;;903.0;1.0;904.0;;-9.0;22.0;;;351.0;2.0;;;324.0;-306.0;-45.0;;;47.0;15.0;-91.0;;-14.0;-50.0;63.0;-0.0;10.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;139.0;;71.0;;44.0;36.0;35.0;387.0;916.0;60.0;355.0;560.0;59.0;-13.0;-47.0;-1.0;8.0;;;109.0;;29.0;29.0;;80.0;109.0;;;27.0;51.23;;14.0;31.76;9.0;25.65;1.04;1.02;34.0;;9.0;;9.0;19.0;;360.0;436.0;;93.0;93.0;;;;528.0;;-1.0;;;;61.0;312.0;;7.0;-23.0;296.0;;;;665.0;-97.0;;;915.0;1.0;916.0;;36.0;27.0;;;3.0;;;;327.0;-7.0;-51.0;;;3.0;7.0;-91.0;6.0;-0.0;-58.0;96.0;0.0;9.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;162.0;;86.0;;52.0;47.0;36.0;170.0;894.0;88.0;320.0;572.0;76.0;52.0;-115.0;12.0;61.0;;;93.0;;43.0;43.0;;50.0;93.0;;;21.0;53.01;;-17.0;32.31;18.0;28.83;1.31;1.28;36.0;;21.0;;21.0;40.0;;108.0;630.0;50.0;45.0;94.0;68.0;;-68.0;724.0;;1.0;;;;87.0;248.0;;;-13.0;235.0;;;;691.0;-112.0;-2.0;-4.0;892.0;1.0;894.0;;47.0;21.0;;;-246.0;;;;82.0;254.0;-15.0;;-13.0;6.0;74.0;-143.0;10.0;;-61.0;78.0;-0.0;21.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;163.0;;101.0;;81.0;63.0;38.0;383.0;907.0;103.0;308.0;597.0;68.0;24.0;-89.0;3.0;65.0;;;101.0;;44.0;44.0;;57.0;101.0;;;19.0;61.76;;19.0;49.78;19.0;38.49;1.72;1.65;37.0;;24.0;83.0;107.0;51.0;;225.0;422.0;64.0;39.0;102.0;265.0;;-265.0;524.0;;15.0;52.0;2.0;;36.0;230.0;;30.0;-50.0;209.0;;;;710.0;-113.0;2.0;-3.0;905.0;2.0;907.0;;63.0;19.0;10.0;;198.0;-13.0;;;280.0;-222.0;-3.0;1.0;-12.0;4.0;35.0;-117.0;8.0;;-63.0;83.0;0.0;24.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;228.0;;144.0;;122.0;64.0;39.0;223.0;1014.0;102.0;392.0;620.0;99.0;-97.0;-10.0;-8.0;97.0;;;99.0;;51.0;51.0;;48.0;99.0;;;28.0;63.41;;-7.0;53.57;53.0;28.03;1.71;1.64;37.0;;17.0;110.0;127.0;63.0;;33.0;676.0;64.0;51.0;114.0;110.0;;-110.0;790.0;;18.0;;4.0;;84.0;295.0;;40.0;-42.0;293.0;;;;735.0;-114.0;4.0;-4.0;1012.0;1.0;1014.0;;64.0;28.0;11.0;;-159.0;-15.0;;-0.0;121.0;155.0;-2.0;;-116.0;122.0;-102.0;-118.0;7.0;-3.0;-65.0;169.0;0.0;17.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;174.0;;94.0;;62.0;49.0;39.0;879.0;983.0;130.0;372.0;607.0;53.0;48.0;-104.0;-4.0;50.0;;;105.0;;55.0;55.0;;50.0;105.0;;;26.0;53.73;;-7.0;35.75;19.0;27.91;1.29;1.25;38.0;;13.0;135.0;148.0;83.0;;648.0;462.0;64.0;41.0;104.0;267.0;;-729.0;104.0;;21.0;;1.0;;109.0;245.0;;40.0;-39.0;246.0;;;;741.0;-131.0;3.0;-5.0;980.0;4.0;983.0;;49.0;26.0;2.0;;628.0;4.0;;;749.0;-651.0;-3.0;-1.0;-0.0;6.0;46.0;-162.0;4.0;-2.0;-67.0;123.0;-0.0;13.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;273.0;;159.0;;133.0;86.0;39.0;986.0;1093.0;182.0;453.0;632.0;120.0;-45.0;-67.0;9.0;58.0;;;145.0;;41.0;41.0;;104.0;145.0;;;27.0;58.19;;5.0;48.69;45.0;31.58;2.29;2.22;38.0;;22.0;166.0;188.0;89.0;;709.0;574.0;64.0;44.0;107.0;109.0;;-683.0;107.0;;48.0;;22.0;;134.0;3.0;40.0;42.0;194.0;279.0;;;;746.0;-114.0;0.0;;1085.0;8.0;1093.0;;86.0;27.0;2.0;;55.0;10.0;;;804.0;-50.0;-62.0;-1.0;-0.0;;13.0;-180.0;9.0;-2.0;-69.0;175.0;0.0;22.0;13.0;;;7.25;2.29;1.54;1.82;1.65;16.78;38.0;11.9;0.7;6.7;273.0;;27.0;86.0;34.2;31.6;804.0;3.0;632.0;9.6;12.1;13.7;20.5;107.0
