;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2004.0;;-0.0;-0.0;-0.0;;-0.0;49.0;;4.0;;0.0;3.0;-0.0;-0.0;0.0;;-0.0;0.0;-inf;0.0;;;;;0.0;0.0;;;;-inf;-inf;;;;-inf;-0.0;-0.0;49.0;;;;;;;;4.0;;;;;;;;4.0;;;;;;;;;;;0.0;;;;-14.0;;;4.0;;4.0;;-0.0;;;;;;;;;;-0.0;;;;;;;;;0.0;;;;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;-0.0;-0.0;-0.0;;-0.0;49.0;;4.0;;0.0;4.0;-0.0;-0.0;1.0;;-1.0;0.0;-inf;0.0;;;;;0.0;0.0;;;;-inf;-inf;;;;-inf;-0.01;-0.01;49.0;;;;;;;;4.0;;;;;;;;4.0;;;;;;;;;;;0.0;;;;-15.0;;;4.0;;4.0;;-0.0;;;;;;;;;;-0.0;;;;;;;;;1.0;;;;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;-3.0;-7.0;-5.0;;-3.0;52.0;32.0;72.0;1.0;11.0;61.0;-3.0;-28.0;34.0;2.0;-4.0;3.0;-inf;2.0;;;;;2.0;5.0;1.0;;0.0;-inf;-inf;2.0;;;-inf;-0.05;-0.05;52.0;;2.0;30.0;32.0;0.0;;0.0;40.0;;;;;;;40.0;;1.0;;;;;;;10.0;;10.0;;;;;-18.0;-0.0;;72.0;;72.0;;-3.0;0.0;;;0.0;202.0;;;19577.0;-1.0;84.0;-0.0;;;-28.0;;;1.0;;33.0;;2.0;;;0.86;;-0.06;-0.08;;-1.87;1.36;52.0;-18.5;-1.0;;;-inf;0.0;-3.0;;-inf;37.0;;72.0;;-9.5;-4.5;100.0;;0.858
2007.0;;-3.0;-6.0;-6.0;-5.0;-3.0;72.0;24.0;81.0;1.0;11.0;70.0;-4.0;25.0;0.0;22.0;-14.0;3.0;-inf;4.0;;;;;4.0;6.0;1.0;;0.0;-inf;-inf;1.0;-inf;-2.0;-inf;-0.05;-0.05;72.0;;24.0;;24.0;0.0;;0.0;57.0;;;;;;;57.0;;1.0;;;;;;;10.0;;10.0;;;;;-24.0;-0.0;;81.0;;81.0;;-3.0;0.0;-2.0;;-0.0;117.0;;;12307.0;1.0;63.0;;;;35.0;;;0.0;;-0.0;;24.0;2.0;;1.0;;-0.04;-0.19;;-0.87;0.96;72.0;-33.9;-2.0;;;-inf;0.0;-3.0;32.0;-inf;23.0;;70.0;-5.1;-7.4;-4.6;100.0;;1.004
2008.0;;;-2.0;-2.0;-2.0;-2.0;73.0;11.0;65.0;9.0;9.0;56.0;-1.0;-14.0;0.0;-15.0;-9.0;;;2.0;;2.0;2.0;0.0;;2.0;0.0;;0.0;-inf;-inf;0.0;-inf;-0.0;-inf;-0.02;-0.02;73.0;;4.0;7.0;11.0;0.0;;0.0;54.0;;;;;;;54.0;;;;;;9.0;;;;;;;;;;-22.0;-0.0;;65.0;;65.0;;-2.0;0.0;-0.0;;0.0;;;;;1.0;-7.0;;;;-7.0;;;;;0.0;;4.0;19.0;;0.82;;-0.03;-0.15;;0.12;0.94;73.0;-30.7;-1.4;;;-inf;0.0;-2.0;17.3;-inf;2.0;;68.0;-2.8;-2.9;-3.2;100.0;;0.822
2009.0;;;-2.0;-2.0;-2.0;-2.0;75.0;13.0;83.0;10.0;10.0;72.0;-2.0;-8.0;9.0;-2.0;-8.0;;;2.0;;2.0;2.0;0.0;;2.0;0.0;;0.0;-inf;-inf;0.0;-inf;-0.0;-inf;-0.02;-0.02;75.0;;3.0;10.0;13.0;0.0;;0.0;69.0;;;;0.0;;;69.0;;;;;;10.0;;;;;;;;;;-27.0;-0.0;;83.0;;83.0;;-2.0;0.0;-0.0;;0.0;80.0;;;11950.0;0.0;199.0;;;;-2.0;;;9.0;;-1.0;;3.0;5.0;;0.95;;-0.02;-0.11;;-2.8;1.02;75.0;-38.7;-0.5;;;-inf;0.0;-2.0;17.5;-inf;3.0;;76.0;-2.7;-2.8;-2.4;100.0;;0.951
2010.0;;;-3.0;-3.0;-3.0;-3.0;81.0;24.0;110.0;1.0;14.0;96.0;-2.0;-24.0;25.0;-2.0;-15.0;;;3.0;;3.0;3.0;;;3.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.03;-0.03;81.0;;2.0;22.0;24.0;0.0;;0.0;86.0;;;;0.0;;;86.0;;;;;;1.0;;;13.0;;13.0;;;;;-31.0;-0.0;;110.0;;110.0;;-3.0;0.0;;;-0.0;132.0;;;391.0;1.0;142.0;;;;-12.0;;;26.0;;-1.0;;2.0;3.0;;1.0;;-0.03;-0.18;;-1.74;1.18;81.0;-45.6;-2.2;;;-inf;0.0;-3.0;;-inf;23.0;;96.0;-2.6;-2.6;-2.9;100.0;;1.003
2011.0;;;-24.0;4.0;-23.0;-22.0;93.0;10.0;51.0;1.0;1.0;50.0;-3.0;5.0;-2.0;-0.0;-12.0;;;4.0;;4.0;4.0;;;4.0;0.0;;0.0;-inf;inf;-27.0;-inf;-2.0;-inf;0.24;0.24;93.0;;1.0;8.0;9.0;;;0.0;41.0;;;;;;;41.0;;;;;;1.0;;;;;;;;;;-81.0;;;51.0;;51.0;;-22.0;0.0;;;-0.0;;;;168.0;19.0;80.0;;;;14.0;;;3.0;;-5.0;;1.0;2.0;;0.98;;-0.24;-0.13;;-0.89;0.55;93.0;-12.5;-0.8;;;inf;0.0;-22.0;8.1;-inf;9.0;;51.0;-43.7;-46.4;-43.2;100.0;;0.981
2012.0;;;-4.0;-4.0;-4.0;-4.0;93.0;34.0;52.0;2.0;2.0;50.0;-1.0;1.0;32.0;32.0;-8.0;;;4.0;;4.0;4.0;;-0.0;4.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.04;-0.04;93.0;;34.0;;34.0;;;0.0;18.0;;;;;;;18.0;;;;;;2.0;;;;;;;;;105.0;-87.0;;32.0;52.0;;52.0;;-4.0;;;;1.0;;;;32108.0;2.0;28.0;;;;8.0;;;1.0;;32.0;;34.0;1.0;;1.01;;-0.04;-0.09;;-0.29;0.54;93.0;-27.0;-1.8;;;-inf;;-4.0;;-inf;32.0;;50.0;-8.0;-7.8;-7.8;100.0;;1.007
2013.0;;;-4.0;-3.0;-1.0;-1.0;94.0;23.0;48.0;1.0;1.0;47.0;-1.0;-25.0;0.0;-26.0;-10.0;;;3.0;;3.0;3.0;;;3.0;0.0;;;-inf;-inf;1.0;-inf;;-inf;-0.01;-0.01;94.0;;6.0;16.0;22.0;;;1.0;25.0;;;;;;;25.0;;;;;;1.0;;;;;;;;;98.0;-82.0;;30.0;48.0;;48.0;;-1.0;;;;-0.0;;;;4289.0;1.0;-9.0;;;;-16.0;;;0.0;;-0.0;;6.0;32.0;;0.94;;-0.01;-0.11;;0.1;0.53;94.0;-54.2;-3.2;;;-inf;;-1.0;;-inf;22.0;;49.0;-8.7;-8.5;-2.8;100.0;;0.941
