;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;2314.0;;501.0;663.0;662.0;408.0;764.0;;;;;;526.0;;;;526.0;;;;;;;;;;;;93.0;21.64;28.66;-1.0;28.62;;17.62;0.53;0.53;764.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408.0;93.0;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2743.0;;494.0;824.0;799.0;494.0;760.0;;2470.0;;999.0;1471.0;608.0;;;;608.0;;;;;;;;;;;;;18.01;30.02;-24.0;29.14;;18.01;0.65;0.65;760.0;;;;;;;;;;;;;;;;2470.0;;;;;;;;;;;999.0;;;;;;;2470.0;;2470.0;;494.0;;;;;;;;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3152.0;;634.0;;;634.0;764.0;;;;;;;;;;;;;;;;;;;;;;;20.11;;;;;20.11;0.83;0.83;764.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;3548.0;;752.0;;;752.0;764.0;;;;;;;;;;;;;;;;;;;;;;;21.19;;;;;21.19;0.98;0.98;764.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;3988.0;1869.0;1424.0;1269.0;1344.0;927.0;777.0;2384.0;4606.0;1235.0;1795.0;2812.0;1003.0;-428.0;-534.0;41.0;938.0;2119.0;46.87;600.0;;600.0;;;;2719.0;;;80.0;35.7;31.83;75.0;33.7;417.0;23.26;0.98;0.98;765.0;;510.0;;510.0;944.0;;929.0;82.0;1618.0;180.0;1798.0;;;342.0;2223.0;;239.0;;;;997.0;164.0;;248.0;148.0;560.0;;;;;;2812.0;;4606.0;;4606.0;;927.0;80.0;25.0;;-55.0;;;;-37.0;26.0;-65.0;-349.0;-5.0;;-9.0;;;;-417.0;-117.0;;510.0;470.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;4470.0;2040.0;1439.0;1311.0;1335.0;914.0;769.0;2706.0;5321.0;1890.0;5636.0;-315.0;1109.0;-385.0;187.0;912.0;907.0;2431.0;45.63;728.0;;728.0;;;;3159.0;;;104.0;32.18;29.34;24.0;29.87;421.0;20.45;1.2;1.19;765.0;;1422.0;;1422.0;;;1284.0;176.0;1648.0;288.0;1936.0;;;503.0;2615.0;;555.0;;;;1335.0;3324.0;;275.0;147.0;3746.0;;;;8.0;208.0;-74.0;-457.0;5321.0;;5321.0;;914.0;104.0;13.0;;35.0;;;;-88.0;44.0;-202.0;-67.0;;;-116.0;;81.0;-20.0;-2962.0;3088.0;;1422.0;510.0;;;5.85;1.2;1.19;3.87;0.26;-0.41;765.0;18.5;1.0;17.5;4470.0;29.3;104.0;914.0;31.5;20.4;816.0;3324.0;-315.0;26.6;25.1;-290.3;-224.0;320.0
2007.0;4900.0;2092.0;1346.0;1322.0;1222.0;857.0;773.0;3135.0;5784.0;2787.0;5734.0;51.0;1104.0;-202.0;-530.0;371.0;911.0;2808.0;42.69;770.0;;770.0;;;;3578.0;;;124.0;27.47;26.98;-100.0;24.95;365.0;17.5;1.13;1.11;760.0;;1997.0;194.0;2190.0;944.0;;;200.0;1640.0;334.0;1974.0;;;476.0;2649.0;;350.0;838.0;;;1599.0;2500.0;;264.0;183.0;2946.0;;;;8.0;453.0;-69.0;-341.0;5784.0;;5784.0;;857.0;124.0;4.0;;53.0;;;;-5.0;65.0;-192.0;;-36.0;;26.0;;216.0;-727.0;-30.0;11.0;;1793.0;1422.0;;;6.45;1.13;1.2;0.04;0.25;0.07;760.0;19.1;1.1;0.2;4900.0;27.0;124.0;857.0;29.9;17.5;348.0;2500.0;51.0;28.6;21.1;1690.9;96.5;59.3
2008.0;5282.0;2189.0;1554.0;1355.0;1239.0;919.0;738.0;2503.0;5578.0;1975.0;5586.0;-8.0;1254.0;-454.0;-1298.0;-498.0;1183.0;3093.0;41.44;834.0;;834.0;;;;3927.0;45.0;171.0;144.0;29.42;25.65;-116.0;23.45;320.0;17.4;1.26;1.24;730.0;;1296.0;;1296.0;1104.0;;104.0;192.0;1674.0;351.0;2025.0;;;858.0;3075.0;;408.0;;382.0;;1567.0;3144.0;;270.0;198.0;3612.0;;;;;29.0;-30.0;;5578.0;;5578.0;;919.0;144.0;16.0;26.0;106.0;;;;-21.0;43.0;-71.0;-43.0;-298.0;;-59.0;-755.0;;-1315.0;-28.0;801.0;;1296.0;1793.0;;;7.23;1.26;1.62;0.04;0.1;-0.01;730.0;17.1;0.8;0.2;5282.0;25.7;144.0;919.0;25.8;17.4;528.0;3144.0;-8.0;29.0;25.3;-11345.7;96.9;113.5
2009.0;5084.0;2209.0;1444.0;1283.0;1132.0;849.0;701.0;4319.0;7353.0;3409.0;7000.0;354.0;1218.0;-324.0;-504.0;390.0;1119.0;2875.0;43.45;926.0;;926.0;;;;3801.0;9.0;158.0;154.0;28.4;25.23;-151.0;22.26;283.0;16.7;1.21;1.21;699.0;;1685.0;;1685.0;131.0;;2503.0;204.0;2143.0;489.0;2633.0;87.0;;110.0;3034.0;;501.0;;519.0;;2908.0;3049.0;;269.0;273.0;3591.0;;;;7.0;433.0;-127.0;41.0;7353.0;;7353.0;;849.0;154.0;-21.0;32.0;160.0;;;;;44.0;-99.0;-516.0;;291.0;-39.0;-583.0;;-400.0;-41.0;520.0;;1685.0;1296.0;;;7.27;1.21;1.6;0.06;0.14;0.51;699.0;13.6;0.2;0.4;5084.0;25.2;154.0;849.0;25.0;16.7;910.0;3049.0;354.0;24.5;17.5;240.1;95.1;39.4
2010.0;5193.0;2214.0;1491.0;1300.0;1145.0;910.0;669.0;4988.0;7929.0;3512.0;7347.0;583.0;994.0;-65.0;-458.0;472.0;881.0;2978.0;42.64;914.0;;914.0;;;;3893.0;3.0;170.0;176.0;28.71;25.04;-155.0;22.05;235.0;17.52;1.37;1.36;667.0;;2157.0;;2157.0;64.0;;2766.0;197.0;2152.0;438.0;2590.0;86.0;;70.0;2942.0;;520.0;;357.0;;2992.0;3290.0;37.0;290.0;217.0;3834.0;;;;7.0;592.0;-133.0;117.0;7929.0;;7929.0;;910.0;176.0;29.0;36.0;-158.0;;;;;2.0;-114.0;-5.0;;17.0;-24.0;;;-581.0;-165.0;289.0;;2157.0;1685.0;;;7.79;1.37;1.32;0.25;0.17;0.87;667.0;12.6;0.6;1.4;5193.0;25.0;176.0;910.0;20.5;17.5;1475.0;3290.0;583.0;23.7;16.6;156.2;81.8;84.8
