;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;333.0;84.0;21.0;;-5.0;-3.0;71.0;181.0;323.0;68.0;129.0;194.0;36.0;-24.0;-12.0;-0.0;19.0;249.0;25.32;62.0;;59.0;59.0;;3.0;311.0;;;26.0;6.28;;-28.0;-1.56;-2.0;-0.98;-0.05;-0.05;71.0;;10.0;;10.0;70.0;80.0;21.0;123.0;;;5.0;;14.0;;142.0;;38.0;29.0;;;1.0;33.0;;;29.0;62.0;;;;0.0;194.0;-163.0;163.0;323.0;;323.0;;-3.0;26.0;-10.0;;-2.0;;8.0;;114.0;26.0;-17.0;-8.0;;;1.0;-4.0;;-4.0;-11.0;7.0;-0.0;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;380.0;105.0;44.0;;20.0;12.0;70.0;209.0;350.0;93.0;152.0;198.0;31.0;-18.0;-12.0;2.0;12.0;275.0;27.67;75.0;;70.0;70.0;;5.0;350.0;;;24.0;11.58;;-10.0;5.32;8.0;3.14;0.17;0.17;70.0;;12.0;;12.0;82.0;93.0;22.0;118.0;;;5.0;;18.0;;141.0;;51.0;35.0;;;7.0;28.0;;;31.0;59.0;;;;0.0;196.0;-187.0;189.0;350.0;;350.0;;12.0;24.0;-3.0;;3.0;;-12.0;;116.0;-4.0;-19.0;;;;1.0;-4.0;1.0;-3.0;-11.0;6.0;1.0;12.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;417.0;136.0;59.0;;35.0;22.0;69.0;206.0;349.0;85.0;141.0;208.0;53.0;-20.0;-31.0;;31.0;282.0;32.54;93.0;;70.0;70.0;;23.0;375.0;;;23.0;14.02;;-7.0;8.41;13.0;5.3;0.32;0.32;69.0;;13.0;;13.0;81.0;92.0;20.0;114.0;;10.0;10.0;;;19.0;143.0;;62.0;20.0;;;3.0;23.0;;;33.0;56.0;;;;;207.0;-202.0;203.0;349.0;;349.0;;22.0;23.0;-1.0;;5.0;;-1.0;;121.0;3.0;-21.0;;;;1.0;;0.0;-2.0;-11.0;-19.0;-0.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;442.0;139.0;50.0;;33.0;12.0;69.0;210.0;348.0;85.0;138.0;211.0;56.0;-29.0;-25.0;;35.0;303.0;31.48;95.0;;72.0;72.0;;23.0;398.0;;;23.0;11.31;;-11.0;7.55;15.0;2.69;0.26;0.26;69.0;;15.0;;15.0;92.0;83.0;20.0;111.0;;9.0;9.0;;;19.0;138.0;;65.0;13.0;;;7.0;18.0;;;35.0;53.0;;;;;215.0;-206.0;201.0;348.0;;348.0;;12.0;23.0;;;4.0;;7.0;;125.0;18.0;-21.0;;;;-7.0;;0.0;-4.0;-11.0;-11.0;-0.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;491.0;157.0;65.0;;38.0;22.0;68.0;247.0;563.0;128.0;343.0;220.0;43.0;-208.0;163.0;;-160.0;333.0;32.09;106.0;;79.0;79.0;;27.0;439.0;;;27.0;13.23;;-13.0;7.81;17.0;4.4;0.32;0.32;68.0;;12.0;;12.0;108.0;106.0;20.0;130.0;;162.0;162.0;;;24.0;316.0;;83.0;38.0;;;7.0;176.0;;;40.0;216.0;;;;;227.0;-221.0;215.0;563.0;;563.0;;22.0;27.0;-1.0;;-5.0;;-8.0;;120.0;1.0;-203.0;;;;-5.0;;0.0;-5.0;-11.0;178.0;-0.0;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;597.0;185.0;84.0;;52.0;31.0;68.0;247.0;551.0;123.0;309.0;242.0;60.0;-18.0;-43.0;-2.0;37.0;412.0;30.99;111.0;;79.0;79.0;;32.0;523.0;;;32.0;14.07;;-22.0;8.71;21.0;5.16;0.46;0.46;68.0;;10.0;;10.0;116.0;104.0;17.0;124.0;;157.0;157.0;;;22.0;303.0;;77.0;42.0;;;4.0;139.0;;;47.0;186.0;;;;0.0;247.0;-242.0;236.0;551.0;;551.0;;31.0;32.0;4.0;;5.0;;2.0;;124.0;-12.0;-23.0;;;;5.0;;0.0;-1.0;-11.0;-32.0;-1.0;10.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;597.0;168.0;105.0;;74.0;47.0;68.0;234.0;534.0;133.0;258.0;276.0;55.0;16.0;-71.0;-1.0;28.0;430.0;28.1;108.0;;77.0;77.0;;30.0;537.0;;;30.0;17.51;;14.0;12.42;27.0;7.86;0.69;0.69;68.0;;9.0;;9.0;105.0;103.0;17.0;122.0;;150.0;150.0;;;27.0;299.0;;81.0;44.0;;;8.0;75.0;;;50.0;125.0;;;;0.0;284.0;-248.0;239.0;534.0;;534.0;;47.0;30.0;-0.0;;-23.0;;-4.0;;101.0;1.0;-27.0;;;;43.0;;2.0;-2.0;-10.0;-61.0;-1.0;9.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;679.0;168.0;119.0;;86.0;53.0;69.0;261.0;585.0;138.0;266.0;319.0;87.0;-62.0;-23.0;1.0;56.0;511.0;24.72;74.0;;67.0;67.0;;7.0;586.0;;;33.0;17.49;;-7.0;12.66;33.0;7.82;0.78;0.77;68.0;;11.0;;11.0;102.0;131.0;18.0;131.0;;165.0;165.0;;16.0;12.0;323.0;;91.0;28.0;;;18.0;77.0;;;51.0;128.0;;;;0.0;327.0;-256.0;248.0;585.0;;585.0;;53.0;33.0;1.0;;23.0;;-25.0;;124.0;-23.0;-31.0;-31.0;;;0.0;;0.0;;-11.0;-13.0;-1.0;11.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;680.0;141.0;100.0;;71.0;43.0;69.0;249.0;582.0;96.0;227.0;355.0;91.0;-48.0;-25.0;19.0;68.0;539.0;20.72;63.0;;59.0;59.0;;4.0;602.0;;;32.0;14.75;;-8.0;10.39;26.0;6.28;0.63;0.61;68.0;;30.0;;30.0;76.0;127.0;15.0;124.0;;182.0;182.0;;18.0;10.0;334.0;;75.0;18.0;;;3.0;78.0;;;53.0;131.0;;;;0.0;360.0;-267.0;262.0;582.0;;582.0;;43.0;32.0;1.0;;29.0;;9.0;;152.0;-13.0;-23.0;-26.0;;;0.0;;0.0;-0.0;-11.0;-14.0;1.0;30.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;587.0;94.0;52.0;;20.0;12.0;68.0;259.0;616.0;108.0;255.0;361.0;61.0;-76.0;8.0;-6.0;42.0;492.0;16.1;70.0;;65.0;65.0;;5.0;562.0;;;32.0;8.92;;-5.0;3.4;8.0;2.1;0.18;0.18;67.0;;24.0;;24.0;90.0;126.0;19.0;124.0;;219.0;219.0;;6.0;7.0;357.0;;27.0;36.0;;;46.0;90.0;;;57.0;147.0;;;;0.0;361.0;14.0;-15.0;616.0;;616.0;;12.0;32.0;9.0;;-1.0;;14.0;;151.0;9.0;-19.0;-58.0;;;1.0;;1.0;-10.0;-11.0;27.0;1.0;24.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
