;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;5.0;1.0;-6.0;-7.0;-7.0;-7.0;49.0;;;;;;-1.0;-1.0;11.0;10.0;-2.0;4.0;11.8;7.0;2.0;6.0;5.0;1.0;;12.0;0.0;;0.0;-134.71;-142.36;0.0;-142.26;0.0;-144.04;-1.07;-1.07;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.0;0.0;;5.0;0.0;-1.0;;0.0;1.0;0.0;-1.0;;-0.0;;0.0;;;-1.0;;12.0;-0.0;16.0;6.0;;;0.11;-0.15;;;;;45.0;;;;5.0;-142.4;0.0;-7.0;-0.8;-144.0;;;;;;;;
2010.0;19.0;3.0;-35.0;-36.0;-36.0;-36.0;49.0;18.0;24.0;38.0;378.0;-355.0;2.0;-5.0;-0.0;-3.0;-2.0;17.0;14.24;38.0;7.0;31.0;29.0;2.0;0.0;55.0;0.0;;1.0;-180.17;-183.52;-0.0;-183.91;0.0;-186.12;-6.85;-6.85;45.0;;13.0;;13.0;4.0;;1.0;4.0;0.0;2.0;2.0;0.0;;0.0;6.0;;2.0;;1.0;3.0;34.0;;;;340.0;340.0;;;;0.0;-354.0;-0.0;0.0;24.0;-0.0;24.0;;-36.0;1.0;-0.0;36.0;2.0;-2.0;;0.0;2.0;0.0;-4.0;;-0.0;;-2.0;;;-0.0;;-0.0;-0.0;13.0;16.0;;;0.43;-0.8;-0.03;;0.02;-7.86;45.0;;;;19.0;-183.5;1.0;-36.0;-1.0;-186.1;-20.0;;-355.0;253.5;-149.0;10.2;100.0;
2011.0;51.0;22.0;-11.0;-16.0;-13.0;-13.0;42.0;107.0;119.0;20.0;20.0;99.0;16.0;-84.0;76.0;7.0;8.0;29.0;42.84;38.0;17.0;21.0;19.0;2.0;-0.0;67.0;1.0;;2.0;-21.18;-31.12;3.0;-25.17;0.0;-26.01;-0.31;-0.31;42.0;;21.0;;21.0;8.0;;79.0;9.0;0.0;2.0;2.0;1.0;0.0;0.0;12.0;;3.0;;4.0;7.0;11.0;;0.0;;;0.0;;;;0.0;-387.0;-2.0;488.0;119.0;0.0;119.0;;-13.0;2.0;-2.0;21.0;9.0;-3.0;;2.0;4.0;-2.0;-8.0;;-1.0;;-76.0;;78.0;;;-2.0;-1.0;21.0;13.0;;;1.2;-0.31;-0.04;;0.1;2.33;42.0;;;;51.0;-31.1;2.0;-13.0;-1.7;-26.0;87.0;;99.0;-13.4;-11.0;-13.4;100.0;
2012.0;131.0;65.0;24.0;16.0;19.0;14.0;50.0;253.0;272.0;59.0;60.0;212.0;57.0;-80.0;84.0;60.0;47.0;67.0;49.25;48.0;28.0;20.0;18.0;3.0;-0.0;115.0;3.0;;5.0;18.37;12.55;2.0;14.4;5.0;10.87;4.79;0.29;30.0;;81.0;144.0;225.0;19.0;;9.0;14.0;0.0;3.0;3.0;0.0;0.0;1.0;19.0;;5.0;;10.0;27.0;27.0;;1.0;;;1.0;2.0;;;0.0;-210.0;-2.0;424.0;272.0;0.0;272.0;;14.0;5.0;-3.0;16.0;23.0;-12.0;;1.0;21.0;1.0;-10.0;-2.0;-167.0;99.0;-0.0;;88.0;;;-4.0;-1.0;81.0;21.0;;;4.35;0.47;0.28;;0.25;7.01;30.0;27.7;1.9;;131.0;12.5;5.0;14.0;24.6;10.9;194.0;;212.0;6.7;7.0;6.7;100.0;
2013.0;301.0;155.0;102.0;79.0;93.0;79.0;59.0;396.0;429.0;116.0;117.0;311.0;147.0;-109.0;-1.0;37.0;135.0;146.0;51.63;77.0;44.0;37.0;33.0;4.0;-4.0;222.0;10.0;;8.0;33.86;26.11;15.0;31.03;15.0;26.2;1.4;1.33;56.0;;120.0;236.0;357.0;17.0;;22.0;17.0;0.0;5.0;5.0;10.0;0.0;1.0;33.0;;9.0;;16.0;52.0;55.0;;2.0;;;2.0;;;;0.0;-144.0;-1.0;456.0;429.0;;429.0;;79.0;8.0;-6.0;19.0;46.0;-2.0;;4.0;25.0;0.0;-12.0;-1.0;-260.0;164.0;-3.0;;;;;-1.0;-0.0;120.0;83.0;;;5.36;1.4;0.84;;0.18;5.55;56.0;23.0;1.4;;301.0;26.1;8.0;79.0;15.9;26.2;280.0;;311.0;25.2;21.9;25.3;100.0;-187.2
2014.0;593.0;295.0;219.0;174.0;196.0;172.0;60.0;875.0;1106.0;176.0;608.0;498.0;210.0;-637.0;387.0;-41.0;178.0;298.0;49.73;121.0;70.0;52.0;36.0;17.0;-1.0;419.0;27.0;9.0;13.0;36.86;29.33;22.0;33.02;25.0;28.94;2.98;2.86;58.0;;77.0;679.0;756.0;73.0;0.0;46.0;38.0;48.0;25.0;73.0;30.0;0.0;90.0;232.0;;16.0;;17.0;64.0;95.0;395.0;4.0;4.0;30.0;432.0;;;;0.0;28.0;3.0;468.0;1106.0;;1106.0;;172.0;13.0;-7.0;22.0;10.0;-30.0;;4.0;11.0;1.0;-32.0;-30.0;-873.0;411.0;-117.0;;;;;387.0;-1.0;77.0;118.0;;;10.28;2.98;2.35;;0.2;8.64;58.0;24.4;1.3;;593.0;29.3;13.0;172.0;12.7;28.9;699.0;395.0;498.0;19.3;18.6;34.4;100.0;
2015.0;908.0;357.0;230.0;179.0;179.0;159.0;58.0;559.0;1129.0;213.0;629.0;499.0;281.0;-161.0;-52.0;70.0;239.0;551.0;39.3;175.0;85.0;103.0;55.0;48.0;-13.0;727.0;21.0;15.0;29.0;25.35;19.7;0.0;19.71;27.0;17.52;2.83;2.77;56.0;;143.0;292.0;435.0;28.0;2.0;94.0;130.0;23.0;309.0;333.0;87.0;1.0;19.0;570.0;;20.0;;21.0;68.0;125.0;400.0;3.0;3.0;10.0;415.0;;;;0.0;186.0;3.0;310.0;1128.0;1.0;1129.0;;159.0;29.0;-4.0;29.0;56.0;19.0;-2.0;-3.0;7.0;12.0;-42.0;1.0;-343.0;656.0;-441.0;-70.0;;-160.0;;178.0;2.0;143.0;73.0;;;16.15;2.83;3.16;;0.57;8.87;56.0;21.6;1.1;;908.0;19.7;29.0;159.0;15.3;17.5;346.0;400.0;499.0;18.7;17.9;31.9;100.0;
2016.0;1181.0;447.0;311.0;255.0;257.0;219.0;61.0;860.0;1409.0;675.0;682.0;727.0;349.0;-257.0;2.0;94.0;315.0;735.0;37.79;204.0;97.0;125.0;69.0;56.0;-19.0;939.0;10.0;12.0;40.0;26.33;21.59;2.0;21.74;40.0;18.58;3.89;3.8;56.0;;228.0;540.0;768.0;60.0;0.0;32.0;121.0;2.0;278.0;280.0;132.0;2.0;15.0;549.0;;20.0;399.0;28.0;70.0;187.0;;4.0;1.0;1.0;6.0;12.0;;;0.0;393.0;22.0;312.0;1408.0;1.0;1409.0;;219.0;40.0;-1.0;23.0;68.0;-5.0;0.0;5.0;13.0;-0.0;-33.0;-16.0;-1169.0;914.0;38.0;;;;;2.0;0.0;228.0;134.0;;;20.96;3.89;4.24;;0.74;12.89;56.0;12.7;0.6;;1181.0;21.6;40.0;219.0;15.7;18.6;184.0;;727.0;31.2;19.3;30.2;100.0;67.1
2017.0;1776.0;700.0;487.0;413.0;443.0;382.0;61.0;1552.0;2215.0;482.0;574.0;1625.0;570.0;-618.0;213.0;159.0;506.0;1076.0;39.4;292.0;120.0;189.0;83.0;106.0;-17.0;1368.0;28.0;5.0;37.0;27.43;23.28;29.0;24.94;64.0;21.5;6.44;6.33;59.0;;401.0;938.0;1339.0;39.0;0.0;174.0;156.0;2.0;286.0;288.0;177.0;17.0;25.0;663.0;;12.0;90.0;26.0;128.0;252.0;1.0;9.0;2.0;80.0;92.0;;;;0.0;799.0;8.0;818.0;2199.0;16.0;2215.0;;382.0;37.0;1.0;39.0;114.0;3.0;0.0;-6.0;60.0;-3.0;-64.0;14.0;-1556.0;1151.0;-166.0;-422.0;452.0;;;183.0;-5.0;401.0;242.0;;;29.94;6.44;5.31;;0.56;27.4;59.0;10.6;0.4;;1776.0;23.3;37.0;382.0;14.4;21.5;1070.0;1.0;1625.0;22.5;20.5;23.5;100.0;
2018.0;2292.0;835.0;424.0;384.0;368.0;321.0;65.0;2397.0;3746.0;560.0;638.0;2692.0;649.0;-915.0;606.0;347.0;592.0;1456.0;36.45;452.0;173.0;295.0;128.0;167.0;-17.0;1908.0;71.0;1.0;32.0;18.49;16.75;-15.0;16.08;69.0;14.01;3.72;3.69;64.0;;873.0;1207.0;2080.0;277.0;;40.0;188.0;2.0;270.0;272.0;667.0;10.0;211.0;1349.0;;17.0;1.0;50.0;153.0;389.0;;13.0;4.0;61.0;78.0;;;;0.0;1005.0;64.0;1624.0;3331.0;415.0;3746.0;;321.0;32.0;7.0;94.0;122.0;-7.0;0.0;1.0;36.0;73.0;-57.0;;-2387.0;1750.0;-229.0;-190.0;175.0;-30.0;;651.0;7.0;873.0;526.0;;;35.78;5.01;7.9;;0.99;42.04;64.0;18.9;0.8;;2292.0;16.7;32.0;321.0;18.8;14.0;1837.0;;2692.0;11.5;11.8;11.9;100.0;-89.3
